as_of_utc	bundle_id	visual_id	canonical_slot	bundle_role	route_a_state	route_b_state	route_c_state	best_near_term_package	current_source_path	scope_or_denominator	bounded_claim_now	mandatory_limitation	observatory_hook	next_gate
2026-06-08T09:39:34Z	LIMEN-FIRST-BUNDLE-001	LIMEN-VIS-001	Figure 1	source_family_coverage_map	core	context_only	not_needed	thesis_methods_data_chapter	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	15 source families; seeded=13; planned=2	LIMEN can make observability boundaries explicit by showing declared source families, thin-family blockers, route-specific evidence roles, and typed blocked-source ceilings instead of pretending seeded families are equally mature.	Do not narrate seeded families as completeness, equal authority, or publication-ready parity; keep sf08, sf09, sf11, sf13, and appendix-only/manual-overlay sf06 visibly bounded, and when Figure 1 or Table 1 prose is reused keep shell blockage, open-court absence, OCR normalization failure, buyer-side traceability gaps, peer-reviewed-gap states, and non-Springer notice-depth ceilings separate through the shard-013 typed blocker bundle.	Source-family saturation map with blocker badges, route filters, and Table 1 claim-ceiling drill-down.	Keep Figure 1 synchronized to CCR-008, the blocked-source priority register, and the shard-013 blocker typology plus wording-contract bundle whenever thin-family state or wording changes.
2026-06-08T20:33:25Z	LIMEN-FIRST-BUNDLE-001	LIMEN-VIS-002	Figure 2	taxonomy_heatmap	core	context_only	not_needed	thesis_methods_data_chapter	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv	15 taxonomy rows; live_core_dashboard_taxonomy=39_governed_record_refs/29_unique_lineages; live_extended_dashboard_taxonomy=44_governed_record_refs/34_unique_lineages; mechanical_figure_contract_still=35_visible_rows/27_lineages; authoritatively_seeded=11; candidate_only_seeded=1; zero_seed_local_gap=3; route_state_board_consumed=TSRB-058; overlay_ready=2; boxed_comparator_ready=1; appendix_nested_ready=1; frontier_queue_or_singleton_watch=3; seeded_but_authority_thin=1; zero_seed_methods_guardrail=1	LIMEN can show uneven category support, explicit zero-seed local gaps, and route-state-bounded frontier pressure without collapsing overlays, boxed comparators, appendix-nested subtypes, or residual guardrails into incidence, completeness, or category-growth claims.	Do not read the live `39 governed record refs/29 unique lineages` dashboard taxonomy core, the `44 governed record refs/34 unique lineages` extended live surface, or the still-stale `35 visible rows/27 lineages` Figure 2 mechanical source as prevalence or real-world absence; keep the live-versus-mechanical split, zero-seed typing, overlay-ready slices, boxed-comparator-only families, appendix-only nested families, queue-only families, seeded-but-authority-thin caution, and the residual guardrail separate.	Taxonomy heatmap with support-state legend, zero-seed semantics tooltip, and route-state toggles for security and AI-misstatement overlays, the biometric comparator, appendix-only trust-boundary nesting, and residual-pressure watch families.	Reuse only with `results/dashboard-paper/figure2-live-denominator-drift-audit-v0.1.tsv`, `results/dashboard-paper/taxonomy-shared-surface-currentness-audit-v0.1.tsv`, CCR-001 and CCR-002, the fragility matrix, subtype-readiness board, zero-seed differentiation matrix, zero-seed currentness audit, and the shard-010 paper-fragment when prose needs family-level routing.
2026-06-08T03:06:35Z	LIMEN-FIRST-BUNDLE-001	LIMEN-VIS-003	Figure 3	legal_uncertainty_matrix	core	supporting	context_only	thesis_methods_data_chapter	results/boost/limen-dashboard-paper-forge/legal-uncertainty-matrix.tsv	15 category rows; High=10; Medium=5	LIMEN can encode stronger-source needs and legal or normative caution explicitly at category level, making weak legal footing visible instead of silently over-reading public facts.	Do not use the matrix as a legal conclusion engine, compliance classifier, or high-risk score; only one row currently has a direct local EU AI Act primary-text anchor.	Legal-uncertainty matrix with anchor-depth badges, stronger-source queue links, and reviewer-safe caution labels.	Refresh if review-priority counts, direct-anchor depth, or residual_unclassified anchor status changes.
2026-06-08T20:33:25Z	LIMEN-FIRST-BUNDLE-001	LIMEN-VIS-004	Figure 4	duplicate_cluster_graph	core	supporting	not_needed	thesis_methods_data_chapter	results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv	27 reviewed graph edges; 14 identifier-collision blockers; 13 reviewed-not-duplicate edges	Duplicate handling is a substantive research-quality control: LIMEN can visualize namespace risk, reviewed non-merges, and overcount prevention without narrating recurrence.	Do not treat graph edges as repeated-event prevalence or flatten graph scope into the full duplicate ledger.	Duplicate-cluster graph with edge-class filters, join-safety legend, and ledger-versus-graph scope badge.	Keep Figure 4 tied to CCR-018 and the live duplicate ledger; preserve the graph-versus-ledger scope badge and non-recurrence ceiling whenever graph-eligible reviewed packages change again.
2026-06-08T03:06:35Z	LIMEN-FIRST-BUNDLE-001	LIMEN-VIS-005	Figure 5	evidence_tier_funnel	core	core	context_only	thesis_methods_data_chapter	results/boost/limen-boost-011/refreshed-evidence-funnel-safe.tsv	21 publication-safe lineages; T3=14; T3_direct_url_resolved=1; T1=6; high=15; medium=0; low=6; validator-backed local projection=23 with high=17 kept sidecar-only until explicit shared consumption	LIMEN can make manuscript-safe evidence maturity visible through publication-safe lineages, evidence tiers, and confidence caps rather than raw row counts.	Do not hide the 21-lineage denominator or the 15 high / 0 medium / 6 low confidence split, and do not revert to the older staged funnel.	Evidence-tier funnel with denominator badge, confidence overlay, and lineage-safe filter for main-text versus limitations use.	Refresh only if the publication-safe aggregate or duplicate-review catch-up changes the 21-lineage contract.
2026-06-08T03:06:35Z	LIMEN-FIRST-BUNDLE-001	LIMEN-VIS-006	Figure 6	jurisdiction_language_map	supporting	core	context_only	bounded_governance_security_empirical_submission	results/boost/limen-dashboard-paper-forge/jurisdiction-language-coverage.tsv	12 staged jurisdiction-language rows including 2 bounded non-English authoritative sidecars outside the six-row multilingual ladder, plus multilingual routing overlay 1 bounded substantive / 2 appendix / 3 queue-only	LIMEN can show uneven multilingual visibility and translation-review pressure while keeping substantive, queue-only, and sidecar geographies apart.	Do not use as a country ranking, prevalence map, or resolved comparative geography surface; keep Slovenia substantive, Finland caution-only, Lithuania/Estonia queue-only, and Denmark/France sidecar-only.	Jurisdiction/language map with translation filter, evidence-quality legend, and rare-language coverage overlay.	Reuse only with CCR-016, the multilingual routing matrix, the rare-language package-boundary board, and the blocked shared-export note.
2026-06-08T03:06:35Z	LIMEN-FIRST-BUNDLE-001	LIMEN-VIS-007	Table 1A	authoritative_document_depth_facet	core	supporting	core	thesis_methods_data_chapter	results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv	10 rows; document_grade=7; follow_through_grade=1; partial_document_grade=1; summary_grade=1	Within the authoritative package, LIMEN can distinguish direct-document, captured-document-but-normalization-limited, and summary-grade rows, showing that T3 support is not uniform.	Do not flatten summary-only or charging-stage rows into the same evidentiary class as direct-document anchors.	Authoritative depth panel with document-depth groups, quote-ready flags, blocker labels, and upgrade-needed fields.	Capture a stronger court-facing text for LIMEN-000002 and cleaner caption support for LIMEN-000005 before stronger court-depth rhetoric.
2026-06-08T03:06:35Z	LIMEN-FIRST-BUNDLE-001	LIMEN-VIS-008	Table 1B	public_sector_disclosure_comparison	supporting	core	context_only	bounded_governance_security_empirical_submission	results/dashboard/public-sector-disclosure-comparison.tsv	6 rows across 4 surface classes in one mirrored shared panel, preserving a 5-row claim-bearing Table 1B core plus 1 bounded Danish regulator-governance sidecar; Helsinki has a family-level same-buyer procurement companion, Amsterdam has exact-row current+history CSV exports, and Denmark remains buyer-side-unresolved with translation caution	LIMEN can compare project-page, regulator-package, and register-entry disclosure surfaces as different reconstruction states rather than a flat public-sector AI count, while keeping the claim-bearing manuscript core at 5 rows and the Danish regulator-decision row as a bounded 6th shared-panel sidecar.	Do not treat Helsinki as exact row-linked procurement proof, Amsterdam as buyer-side resolved, the mirrored 6-row shared panel as permission to widen the main denominator, or the package as a procurement-transparency ranking.	Public-sector comparison card with surface-class badges, traceability-ladder overlay, row-level proof-ceiling tooltips, and explicit five-row-core versus six-row-shared-panel governance.	Keep CCR-015 plus the core-sidecar controls attached and add one exact buyer-side procurement, impact-assessment, or DPIA companion before stronger traceability rhetoric.
2026-06-08T08:54:19Z	LIMEN-FIRST-BUNDLE-001	LIMEN-VIS-010	Figure 7	authority_balance_panel	supporting	bounded_companion	context_only	technical_methods_or_standards_note	results/boost/limen-boost-011/source-authority-balance.tsv; results/dashboard-paper/figure7-sidecar-consumption-matrix-v0.1.tsv	21-lineage bounded legacy single-state panel; authority_anchor=7; technical_authority=7; translation_caution_authority=1; provisional_or_limitations_only=6; explicit shared sidecar consumer now records the validator-backed local 23-lineage multistate-safe projection and keeps the broader denominator context split between a 28-lineage seeded-core duplicate/taxonomy package and a separate 33-lineage extended reviewed local surface until a default-visible figure rewrite is deliberately chosen	LIMEN can show that publication-safe lineages are compositionally heterogeneous by authority role through a bounded 21-lineage legacy single-state panel, while one shared sidecar-aware consumer now preserves the exact projected 23-lineage composition without rewriting the visible panel.	Do not restate Figure 7 as the live 23-lineage authority distribution, do not fold the broader 28-lineage seeded-core duplicate/taxonomy package or the separate 33-lineage extended reviewed local surface into this panel, and do not imply the omitted singleton-plus-collision rows are already synchronized into the default visible figure.	Authority-balance composition chart with mandatory warning badge, authority-role legend, linkage to Figure 5 denominator controls, and a sidecar-aware denominator-stack explainer path.	Reuse only with CCR-014 plus `results/dashboard-paper/figure7-sidecar-consumption-matrix-v0.1.tsv`; keep the visible panel legacy-first unless a deliberate default-visible Figure 7 rewrite is chosen.
2026-06-08T15:52:43Z	LIMEN-FIRST-BUNDLE-001	LIMEN-VIS-015	Table 6	security_agentic_crosswalk	context_only	core	context_only	bounded_governance_security_empirical_submission	results/security/security-agentic-publication-cell-matrix-v0.1.tsv	12 cells: core_results=3; appendix_supporting=8; gap_only=1; no remaining limitations-only row	LIMEN can compare security and agentic rows as evidence-architecture cells showing three core rows, eight appendix/supporting rows, and one explicit gap rather than as a prevalence dataset.	Do not flatten the `3 / 8 / 1` shape, hide the remaining peer-reviewed zero state, or treat the ToolHive-plus-Playwright-plus-PraisonAI trust-boundary slice as balanced family support.	Security/agentic crosswalk panel with publication-bucket filters, observatory cells, and route-order tooltip.	Keep CCR-017 attached and add one incident-specific peer-reviewed or conference-grade attachment before closing the last shard-004 gap.
2026-06-08T03:06:35Z	LIMEN-FIRST-BUNDLE-001	LIMEN-VIS-016	Table 1G	attestation_trust_surface_ladder	context_only	context_only	core	technical_methods_or_standards_note	results/dashboard-paper/attestation-trust-surface-readiness-v0.1.tsv	4 trust-surface rows: project_shared_local_bundle=1; detached_signature_absent=1; transparency_receipt_absent=1; vc_issuance_absent=1	LIMEN can evidence machine-checkable observation-and-processing provenance and one live local shared bundle without implying external witness or signer trust.	Do not flatten the local bundle into detached-signature verification, transparency-log inclusion, VC issuance, truth, legality, compliance, or certification.	Attestation readiness ladder with local-bundle-present versus stronger-trust-absent states and Route C legend.	Strengthen only after one real detached-signature verifier note, transparency receipt, or VC witness is bound to the v0.2 shared bundle manifest.
