export_id	intended_shared_path	current_source_path	promotion_state_before	promotion_state_after	bytes	line_count	sha256	count_contract_or_scope	reviewer_safe_instruction
exp-001	results/dashboard/source-family-coverage.tsv	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	ready_but_not_promoted	materialized_local_shared_copy	26824	16	67edebf2b5783ee2752189953f93fdd29a5cdfc4a77db0d8d99db62c34b4facd	15 source families	Use the boost-local source directly until a writable shared path exists; keep denominator and provenance labels visible.
exp-002	results/dashboard/publication-safe-aggregate.tsv	results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv	ready_but_not_promoted	materialized_local_shared_copy	13961	22	1570747ec765fedcf3b9a3c84ab361afe88c201274b07a4bfa257c5c27e95ab5	30 normalized rows / 21 publication-safe lineages	Cite this matrix directly and keep the singleton-ahead-of-duplicate-review caveat explicit.
exp-003	results/dashboard/evidence-funnel.tsv	results/boost/limen-boost-011/refreshed-evidence-funnel-safe.tsv	ready_but_not_promoted	materialized_local_shared_copy	3170	12	866475937cae0d4103b2adb4052be18cf5afac0352b34ec3df1232e9c844b499	21 publication-safe lineages with a validator-backed local 23-lineage projection kept separate until explicit consumption	Use the refreshed safe funnel, not the older staged file-qualified funnel, for headline figure logic; when discussing projected repair, carry `results/boost/limen-boost-011/figure5-figure7-multistate-export-contract.tsv`, `results/boost/limen-boost-011/figure5-figure7-multistate-export-sample.tsv`, and `results/boost/limen-boost-011/figure5-figure7-multistate-export-acceptance.md`, and keep current 21 versus projected 23 explicit.
exp-004	results/dashboard/jurisdiction-language-coverage.tsv	results/boost/limen-dashboard-paper-forge/jurisdiction-language-coverage.tsv	ready_but_not_promoted	materialized_local_shared_copy	3250	13	8bb99a9b5e4d35bb945d4d63f99791d4eb80ca4f8d2d7fb14115ebe964f2400a	12 staged jurisdiction/language rows including 2 bounded non-English authoritative sidecars outside the six-row multilingual ladder	Label this view provisional and do not use it as a ranking surface.
exp-005	results/dashboard/taxonomy-heatmap.tsv	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv	ready_but_not_promoted	diverged_local_shared_copy	16888	16	c0c9db0ed86acdf4f9910bd9e78ff03fae52303150bf5b62217954f721fdff75	15 taxonomy rows; shared_live_core=39_governed_record_refs/29_unique_lineages; shared_live_extended=44_34; boost_mechanical=35_27	Use the shared dashboard path for live denominator-safe Figure 2 / Table 2 prose and the boost-local source only as the intentionally older mechanical figure substrate; carry `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-001` / `CCR-002`, `results/dashboard-paper/figure2-live-denominator-drift-audit-v0.1.tsv`, `results/boost/limen-boost-058/taxonomy-authority-fragility-matrix.tsv`, `results/boost/limen-boost-022/zero-seed-differentiation-matrix.tsv`, and `results/boost/limen-continuous-experiments/figure2-shared-vs-boost-divergence-audit-2026-06-08T21-11-45Z.tsv`; do not cite exact shared/boost parity, and do not flatten the live `39 / 29` + `44 / 34` dashboard contract into the mechanical `35 / 27` package.
exp-006	results/dashboard/legal-uncertainty-matrix.tsv	results/boost/limen-dashboard-paper-forge/legal-uncertainty-matrix.tsv	ready_but_not_promoted	materialized_local_shared_copy	15845	16	94a2b73d75a7401a26face5c1d5b756a9db98cd9c6094dd5c7973c503390529c	15 category rows	Use as a stronger-source-needs matrix, not as a legal conclusion engine.
exp-007	results/dashboard/duplicate-review-graph.tsv	results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv	ready_but_not_promoted	materialized_local_shared_copy	17254	24	e45c14d4a7e03fa2995a259744af89f419050eae8286d5dfd5564962f2143840	23 review edges	Treat the boost-local graph as a fully materialized current graph for all graph-eligible reviewed packages, but still carry `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-018`, the live 34-row duplicate-control review ledger in `results/clusters/duplicate-clusters-v0.1.tsv`, and the `37 scoped visible records / 27 stable-or-standalone lineages` broader duplicate-governance context plus the `35 visible rows / 27 stable-or-standalone lineages` headline duplicate/taxonomy context from `results/clusters/status.md` whenever this surface is reused, and do not narrate stable duplicate clusters as recurrence or imply that graph edges alone equal the whole duplicate ledger.
exp-008	results/dashboard/source-authority-balance.tsv	results/boost/limen-boost-011/source-authority-balance.tsv	ready_but_not_promoted	materialized_local_shared_copy	14769	22	581a43cb14ecf607696f3c2ca1a4f33257ea0927b7d790a6baa3e601c85ae32d	21 publication-safe lineages in a bounded legacy single-state export below the validator-backed local 23-lineage multistate-safe projection, the broader 28-lineage seeded-core duplicate/taxonomy package, and the separate 33-lineage extended reviewed local surface	Treat the boost-local panel as a bounded single-state source only; keep the legacy-denominator warning visible, separate authority-anchor, technical-authority, translation-caution, and provisional rows in captions, cite `results/boost/limen-boost-011/figure5-figure7-multistate-export-contract.tsv`, `results/boost/limen-boost-011/figure5-figure7-multistate-export-acceptance.md`, and `results/boost/limen-boost-035/figure7-broader-family-currentness-audit.tsv` when distinguishing the `21` visible / `23` sidecar / `28` seeded-core / `33` extended-local denominator stack, and do not treat write-enable alone as sufficient for publication-safe promotion.
exp-009	results/dashboard/public-sector-disclosure-comparison.tsv	results/boost/limen-boost-054/public-sector-shared-disclosure-panel.tsv	ready_but_not_promoted	materialized_local_shared_copy	8481	7	2317abc14f92f966ca615c39ce99c9272bd54d81deb147e7f40b20551c622ac9	6 public-sector disclosure rows in one shared panel, preserving a 5-row Table 1B core plus 1 Danish governance sidecar	Use the six-row shared panel directly for dashboard/methods/jurisdiction breadth work, but keep manuscript-facing Table 1B and LIMEN-C-012 on the five-row core; keep Helsinki bounded as same-buyer companion evidence, Amsterdam buyer-side unresolved, and Denmark as a governance-only sidecar with translation caution.
exp-010	results/dashboard/ai-washing-posture-table.tsv	results/dashboard-paper/ai-washing-posture-table-v0.1.tsv	ready_but_not_promoted	materialized_local_shared_copy	3505	5	8d3aff041f08ee690239532987b2aeba092c0f58f7bfc71569edd79245ed2505	4 posture rows	Keep settled SEC rows, the Nate charging-stage row, and the explicit queue row visibly separate.
