as_of_utc	visual_id	title	route_a_methods_data	route_b_governance_security	route_c_attestation_provenance	claim_id	bounded_claim_now	mandatory_limitation_to_keep_visible	observatory_hook	next_gate
2026-06-08T15:56:04Z	LIMEN-VIS-001	Source-family saturation map	core	context_only	not_needed	LIMEN-C-010	LIMEN can make observability boundaries explicit by showing declared source families, typed thin-family blockers, and route-specific evidence roles instead of pretending seeded families are equally mature.	Do not narrate seeded families as completeness, equal authority, or publication-ready parity; keep sf08, sf09, sf11, sf13, and appendix-only/manual-overlay sf06 visibly bounded, and do not collapse shell blockage, open-court absence, OCR normalization failure, buyer-side traceability gaps, peer-reviewed-gap states, or archive-versus-live-or-mediated notice ceilings into generic readiness language.	Source-family saturation map with blocker badges, route filters, and Table 1 claim-ceiling drill-down.	Keep Figure 1 synchronized to CCR-008, the blocked-source priority register, the ranked Route-B blocker register, the host-friction overlay, and the shard-013 blocker typology plus wording-contract bundle whenever family states or thin-family wording changes.
2026-06-08T20:33:25Z	LIMEN-VIS-002	Taxonomy support heatmap	core	context_only	not_needed	LIMEN-C-016	LIMEN can show uneven category support, explicit zero-seed local gaps, and route-state-bounded frontier pressure without collapsing overlays, boxed comparators, appendix-nested subtypes, or residual guardrails into incidence, completeness, or category-growth claims.	Do not read the live `39 governed record refs/29 unique lineages` dashboard taxonomy core, the `44 governed record refs/34 unique lineages` extended live surface, or the still-stale `35 visible rows/27 lineages` Figure 2 mechanical source as prevalence or real-world absence; keep the live-versus-mechanical split, zero-seed typing, overlay-ready slices, boxed-comparator-only families, appendix-only nested families, queue-only families, and the residual guardrail separate.	Taxonomy heatmap with support-state legend, zero-seed semantics tooltip, and route-state toggles for security and AI-misstatement overlays, the biometric comparator, appendix-only trust-boundary nesting, and residual-pressure watch families.	Reuse only with `results/dashboard-paper/figure2-live-denominator-drift-audit-v0.1.tsv`, CCR-001 and CCR-002, the fragility matrix, subtype-readiness board, zero-seed differentiation matrix, zero-seed currentness audit, and the shard-010 paper-fragment when prose needs family-level routing.
2026-06-07T20:15:13Z	LIMEN-VIS-003	Legal uncertainty matrix	core	supporting	context_only	LIMEN-C-004	LIMEN can encode stronger-source needs and legal or normative caution explicitly at category level, making weak legal footing visible instead of silently over-reading public facts.	Do not use the matrix as a legal conclusion engine, compliance classifier, or high-risk score; only one row currently has a direct local EU AI Act primary-text anchor.	Legal-uncertainty matrix with anchor-depth badges, stronger-source queue links, and reviewer-safe caution labels.	Refresh if review-priority counts, direct-anchor depth, or residual_unclassified anchor status changes.
2026-06-08T20:33:25Z	LIMEN-VIS-004	Duplicate-review quality-control graph	core	supporting	not_needed	LIMEN-C-004	Duplicate handling is a substantive research-quality control: LIMEN can visualize namespace risk, reviewed non-merges, and overcount prevention without narrating recurrence.	Do not treat graph edges as repeated-event prevalence or flatten graph scope into the full duplicate ledger.	Duplicate-cluster graph with edge-class filters, join-safety legend, and ledger-versus-graph scope badge.	Keep Figure 4 tied to CCR-018 and the live duplicate ledger; preserve the graph-versus-ledger scope badge and non-recurrence ceiling whenever graph-eligible reviewed packages change again.
2026-06-07T20:15:13Z	LIMEN-VIS-005	Publication-safe evidence-tier funnel	core	core	context_only	LIMEN-C-004	LIMEN can make manuscript-safe evidence maturity visible through publication-safe lineages, evidence tiers, and confidence caps rather than raw row counts.	Do not hide the 21-lineage denominator or the 15 high / 0 medium / 6 low confidence split, and do not revert to the older staged funnel.	Evidence-tier funnel with denominator badge, confidence overlay, and lineage-safe filter for main-text versus limitations use.	Refresh only if the publication-safe aggregate or duplicate-review catch-up changes the 21-lineage contract.
2026-06-07T20:15:13Z	LIMEN-VIS-006	Jurisdiction/language visibility map	supporting	core	context_only	LIMEN-C-013	LIMEN can show uneven multilingual visibility and translation-review pressure while keeping substantive and queue-only geography apart.	Do not use as a country ranking, prevalence map, or resolved comparative geography surface; keep Slovenia substantive, Finland caution-only, and Lithuania/Estonia queue-only.	Jurisdiction/language map with translation filter, evidence-quality legend, and rare-language coverage overlay.	Reuse only with CCR-016, the multilingual routing matrix, and the blocked shared-export note.
2026-06-07T20:15:13Z	LIMEN-VIS-007	Authoritative document-depth facet	core	supporting	core	LIMEN-C-010	Within the authoritative package, LIMEN can distinguish direct-document, captured-document-but-normalization-limited, and summary-grade rows, showing that T3 support is not uniform.	Do not flatten summary-only or charging-stage rows into the same evidentiary class as direct-document anchors.	Authoritative depth panel with document-depth groups, quote-ready flags, blocker labels, and upgrade-needed fields.	Capture a stronger court-facing text for LIMEN-000002 and cleaner caption support for LIMEN-000005 before stronger court-depth rhetoric.
2026-06-08T11:41:24+02:00	LIMEN-VIS-008	Public-sector disclosure asymmetry comparison	supporting	core	context_only	LIMEN-C-012	LIMEN can compare project-page, regulator-package, and register-entry disclosure surfaces as different reconstruction states rather than a flat public-sector AI count, while keeping the claim-bearing manuscript core at 5 rows and the Danish regulator-decision row as a bounded 6th shared-panel sidecar.	Do not treat Helsinki as exact row-linked procurement proof, Amsterdam as buyer-side resolved, the mirrored 6-row shared panel as permission to widen the main denominator, or the package as a procurement-transparency ranking.	Public-sector comparison card with surface-class badges, traceability-ladder overlay, row-level proof-ceiling tooltips, and explicit five-row-core versus six-row-shared-panel governance.	Keep CCR-015 plus the core-sidecar controls attached, route row-state change questions through `results/boost/limen-boost-054/public-sector-threshold-impact-board.tsv`, and add one exact buyer-side procurement, impact-assessment, or DPIA companion before stronger traceability rhetoric.
2026-06-08T08:54:19Z	LIMEN-VIS-010	Authority-balance composition panel	supporting	bounded_companion	context_only	LIMEN-C-010	LIMEN can show that publication-safe lineages are compositionally heterogeneous by authority role through a bounded 21-lineage legacy single-state panel, while one shared sidecar-aware consumer now preserves the exact projected 23-lineage composition without rewriting the visible panel.	Do not restate Figure 7 as the live 23-lineage authority distribution, do not fold the broader 28-lineage seeded-core duplicate/taxonomy package or the separate 33-lineage extended reviewed local surface into this panel, and do not imply the omitted singleton-plus-collision rows are already synchronized into the default visible figure.	Authority-balance composition chart with mandatory warning badge, authority-role legend, linkage to Figure 5 denominator controls, and a sidecar-aware denominator-stack explainer path.	Reuse only with CCR-014 plus `results/dashboard-paper/figure7-sidecar-consumption-matrix-v0.1.tsv`; keep the visible panel legacy-first unless a deliberate default-visible Figure 7 rewrite is chosen.
2026-06-08T08:45:45Z	LIMEN-VIS-013	Authority-geography concentration panel	bounded_companion	supporting	context_only	LIMEN-C-010	LIMEN can show that its authoritative core package is already useful for posture comparison while still geographically concentrated in U.S./UK anchors, and it can attach one bounded French CNIL biometric-governance/legality-warning sidecar for language-jurisdiction diversification without widening the 11-row core denominator.	Do not narrate the panel as balanced international coverage or court-depth completeness; only one direct-document anchor currently sits outside the U.S./UK core, and the French sidecar remains non-core rather than a denominator-widening second non-U.S./non-UK direct-official anchor.	Authority-geography concentration panel with diversification-priority badge, bounded French sidecar note, and Table 1A companion link.	Need one additional clearly public non-U.S./non-UK document-grade follow-through row plus the sf08 upgrades before stronger geography rhetoric; any stronger France use still needs a case-specific warning decision, sanction, Legifrance, or court-facing follow-through document.
