audit_id	as_of_utc	directive_component	required_outcome_or_question	current_artifact_path	status	current_bounded_state	remaining_blocker	next_smallest_publishability_move	paper_or_dashboard_use
OCA-001	2026-06-08T05:09:58Z	required_output	dashboard spec exists and remains uncertainty-first	/dashboard/limen-dashboard-spec-v0.1.md	grounded_now	The spec already frames LIMEN as an uncertainty-aware observatory and keeps saturation, denominator choice, translation dependence, and duplicate control visible instead of completeness rhetoric.	Figure 7 shared-consumer transport and any future drift between mirrored dashboard files and caption controls.	Use this audit plus the caption-control register before widening any count-bearing dashboard prose.	Front-door verifier that the required dashboard artifact exists and still carries the right claim ceiling.
OCA-002	2026-06-08T05:09:58Z	required_output	article architecture exists and still routes to bounded publication packages	/papers/article-architecture-v0.1.md	grounded_now	The article architecture keeps Route A as the lead package, Route B as secondary, and Route C as companion-only while preserving limitations and denominator warnings.	Shared-surface drift or route-widening before sf08/sf09/sf11 and Figure 7 blockers improve.	Use this audit plus the route matrix before promoting Route B or Route C language.	Front-door verifier that the paper package remains reviewer-safe and route-disciplined.
OCA-003	objective	define source-family coverage map	/results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	grounded_now	A 15-family source map is already tied to Figure 1 role logic and saturation/authority/blocker semantics.	Shared consumers could flatten blocker families into ordinary seeded coverage if Figure 1 controls are dropped.	Keep Figure 1 tied to the source-family figure register, threshold register, and blocked-source priority register.	Supports Figure 1 and Table 1 for the methods/data paper route.
OCA-004	2026-06-08T05:09:58Z	objective	define evidence-tier funnel	/results/boost/limen-boost-011/refreshed-evidence-funnel-safe.tsv	grounded_now	The live funnel remains the refreshed 21-lineage publication-safe contract with 15 high / 0 medium / 6 low confidence overlay.	Future prose could drift back to an older staged funnel or hide the confidence split.	Carry CCR-005 and the refreshed publication-safe aggregate contract with every reuse.	Supports Figure 5 and the denominator-aware methods/results argument.
OCA-005	2026-06-08T09:05:47Z	objective	define taxonomy heatmap	/results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv	grounded_now_but_live_drift	The support-state split remains reviewer-usable at 15 rows with 11 authority-backed, 1 candidate-only, and 3 zero-seed rows, but the current mechanical Figure 2 source still carries an older 35 visible / 27 lineage contract while the live duplicate/taxonomy core has advanced to 40 review rows / 38 governed records / 28 lineages.	Shared consumers could silently flatten a stale mechanical heatmap into denominator-current prose and hide the live-vs-mechanical split.	Use figure2-live-denominator-drift audit together with taxonomy shared-surface currentness audit plus CCR-001/CCR-002 before any Figure 2 reuse.	Supports Figure 2 / Table 2 and the novelty-gap argument only when the denominator warning travels with it.
OCA-006	2026-06-08T05:09:58Z	objective	define jurisdiction/language map	/results/boost/limen-dashboard-paper-forge/jurisdiction-language-coverage.tsv	grounded_now_but_staged	The geography layer is usable only as a visibility surface, with Slovenia substantive, Finland caution-only, and Lithuania/Estonia queue-only under the 1 / 2 / 3 multilingual routing split.	The staged geography export is still weaker than the refreshed safe aggregate and remains translation-review dependent.	Route every reuse through CCR-016, the multilingual routing matrix, and the shared-export caution note.	Supports Figure 6 and rare-language visibility without implying stable country comparison.
OCA-007	2026-06-08T05:09:58Z	objective	define legal uncertainty matrix	/results/boost/limen-dashboard-paper-forge/legal-uncertainty-matrix.tsv	grounded_now	The legal matrix already exposes stronger-source need, anchor depth, and review priority across 15 category rows.	Consumers could overread it as a legal classifier or lose sync with live taxonomy support counts.	Refresh from the taxonomy heatmap whenever seed_case_count or evidence_tier_snapshot changes.	Supports Figure 3 and hostile-reviewer legal caution prose.
OCA-008	2026-06-08T05:09:58Z	objective	define security/agentic crosswalk	/results/security/security-agentic-publication-cell-matrix-v0.1.tsv	bounded_secondary_route_only	A reusable security/agentic evidence-architecture panel exists, but it remains Route-B-only bounded evidence rather than lead-route proof.	Peer-reviewed depth, trust-boundary singleton breadth, and source-role asymmetry still block stronger cross-sector rhetoric.	Keep Table 6 attached to CCR-017 and the threshold ladder until one stronger row-level scholarly anchor lands.	Supports the secondary governance/security route and reviewer-safe methods sidecars.
OCA-009	2026-06-08T14:45:29Z	objective	define duplicate-cluster graph	/results/dashboard/duplicate-review-graph.tsv	grounded_now	The duplicate graph now exposes 25 reviewed edges, keeping 14 identifier-collision blockers distinct from 11 reviewed non-merges and excluding stable duplicate clusters from recurrence storytelling.	Later users could still flatten graph scope into recurrence or ignore the graph-versus-ledger split even after the shared caption-control row was synchronized.	Carry CCR-018 and the live duplicate-governance audit with every graph reuse.	Supports Figure 4 and the methods contribution on join safety.
OCA-010	2026-06-08T05:09:58Z	required_output_and_objective	propose article/data/method routes with claims and limitations	/results/dashboard-paper/publication-route-matrix-v0.1.tsv; /results/dashboard-paper/dashboard-view-claim-route-matrix-v0.1.tsv; /results/dashboard-paper/venue-fit-register-v0.1.tsv	grounded_now	The route package already distinguishes Route A lead status from Route B and Route C limitations, and ties each visual to a bounded claim and mandatory caution.	Route rhetoric can still outrun evidence hardening if later prose ignores sf08, sf09, sf11, or Figure 7 caveats.	Use this audit as the compact preflight front door before any new route-facing manuscript or dashboard wording.	Supports package selection, venue-fit framing, and thesis chapter routing.
