fragment_id	fragment_label	boost_local_ref	shared_control_candidate	shared_control_exists	routing_action	note
shard-007	provenance-confusion	results/boost/limen-boost-007/provenance-question-role-matrix.tsv	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-013	true	add_shared_front_door	CCR-013 already governs this cell ladder; add shared-control-first rule
shard-007	provenance-confusion	results/boost/limen-boost-007/provenance-confusion-manuscript-bundle.tsv	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-013	true	add_shared_front_door	CCR-013 already governs this cell ladder; add shared-control-first rule
shard-007	provenance-confusion	results/boost/limen-boost-007/disposition-lifecycle.tsv	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-013	true	add_shared_front_door	CCR-013 already governs this cell ladder; add shared-control-first rule
shard-007	provenance-confusion	results/boost/limen-boost-019/provenance-confusion-publication-cells.tsv	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-013	true	add_shared_front_door	CCR-013 already governs this cell ladder; add shared-control-first rule
shard-007	provenance-confusion	results/boost/limen-boost-055/provenance-visual-encoding-contract.tsv	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-013	true	add_shared_front_door	CCR-013 already governs this cell ladder; add shared-control-first rule
shard-007	provenance-confusion	results/boost/limen-boost-055/provenance-panel-surface-reconciliation.tsv	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-013	true	add_shared_front_door	CCR-013 already governs this cell ladder; add shared-control-first rule
shard-007	provenance-confusion	results/boost/limen-boost-016/security-result-block-citation-bundle.tsv	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-013	true	add_shared_front_door	CCR-013 already governs this cell ladder; add shared-control-first rule
shard-008	procedural-contamination	results/boost/limen-boost-008/finnish-official-escalation-ladder.tsv	results/dashboard-paper/procedural-contamination-source-depth-panel-v0.1.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-010	true	add_shared_front_door	CCR-010 and shared panel already govern this fragment
shard-008	procedural-contamination	results/boost/limen-boost-008/reviewer-evidence-panel.tsv	results/dashboard-paper/procedural-contamination-source-depth-panel-v0.1.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-010	true	add_shared_front_door	CCR-010 and shared panel already govern this fragment
shard-008	procedural-contamination	results/boost/limen-boost-008/case-normalization-register.tsv	results/dashboard-paper/procedural-contamination-source-depth-panel-v0.1.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-010	true	add_shared_front_door	CCR-010 and shared panel already govern this fragment
shard-008	procedural-contamination	results/boost/limen-boost-008/caption-safe-claim-register.tsv	results/dashboard-paper/procedural-contamination-source-depth-panel-v0.1.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-010	true	add_shared_front_door	CCR-010 and shared panel already govern this fragment
shard-008	procedural-contamination	results/boost/limen-boost-012/manuscript-integration-register.tsv:limen-ms-tab-001E	results/dashboard-paper/procedural-contamination-source-depth-panel-v0.1.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-010	true	add_shared_front_door	CCR-010 and shared panel already govern this fragment
shard-003	authority-depth	results/boost/limen-boost-039/table1a-control-travel-kit.tsv	results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-009	true	add_shared_front_door	CCR-009 and shared facet already govern Table 1A authority
shard-003	authority-depth	results/boost/limen-boost-039/claim-defense-crosswalk.tsv	results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-009	true	add_shared_front_door	CCR-009 and shared facet already govern Table 1A authority
shard-003	authority-depth	results/boost/limen-boost-039/hostile-reviewer-objections.tsv	results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-009	true	add_shared_front_door	CCR-009 and shared facet already govern Table 1A authority
public-sector	disclosure-asymmetry	results/boost/limen-boost-018/public-sector-institutional-asymmetry-matrix.tsv	results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-015	true	add_shared_front_door	CCR-015 and shared proof-ceilings panel already govern this
public-sector	disclosure-asymmetry	results/boost/limen-boost-042/public-sector-traceability-ladder.tsv	results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-015	true	add_shared_front_door	CCR-015 and shared proof-ceilings panel already govern this
public-sector	disclosure-asymmetry	results/boost/limen-boost-018/public-sector-route-novelty-frontier.tsv	results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-015	true	add_shared_front_door	CCR-015 and shared proof-ceilings panel already govern this
shard-004	security-evidence	results/boost/limen-boost-016/security-result-block-citation-bundle.tsv	results/security/security-agentic-claim-ceiling-matrix-v0.1.tsv; results/security/security-agentic-threshold-change-matrix-v0.1.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-017	true	add_shared_front_door	CCR-017 and security result files already govern this fragment
shard-004	security-evidence	results/boost/limen-boost-016/peer-review-gap-frontier-contrast.tsv	results/security/security-agentic-claim-ceiling-matrix-v0.1.tsv; results/security/security-agentic-threshold-change-matrix-v0.1.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-017	true	add_shared_front_door	CCR-017 and security result files already govern this fragment
shard-004	security-evidence	results/boost/limen-boost-028/security-source-anchor-extension.tsv	results/security/security-agentic-claim-ceiling-matrix-v0.1.tsv; results/security/security-agentic-threshold-change-matrix-v0.1.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-017	true	add_shared_front_door	CCR-017 and security result files already govern this fragment
shard-004	security-evidence	results/boost/limen-boost-051/security-source-anchors.tsv	results/security/security-agentic-claim-ceiling-matrix-v0.1.tsv; results/security/security-agentic-threshold-change-matrix-v0.1.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-017	true	add_shared_front_door	CCR-017 and security result files already govern this fragment
