category	Regulator / court record	Contested / interim	Security disclosure (CVE)	Notable incident (media)	total
Legal & procedural	42	4	0	0	46
Surveillance & biometrics	23	13	0	9	45
Deepfakes & synthetic media	19	21	0	2	42
AI-washing & false claims	16	9	0	6	31
Agentic / control failure	10	6	0	7	23
Public sector	13	4	0	5	22
Hiring & education	10	7	0	4	21
Data protection	11	5	0	0	16
Rights & ethics	4	4	0	7	15
Finance & insurance	6	4	0	3	13
Security & agentic	0	0	11	0	11
Chatbot safety & harm	3	3	0	2	8
Institutional absurdity	0	0	0	1	1
