as_of_utc	visual_id	shared_slot	route_a_methods_data	route_b_governance_security	route_c_attestation_provenance	current_source_path	current_denominator_or_scope	default_dashboard_state	paper_claim_ceiling	primary_limitation_to_keep_visible	next_gate
LIMEN-VIS-008	Figure 1	core	context_only	not_needed	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	15 source families; seeded=13; planned=2	default_visible	Bounded claim about declared source-family coverage, blocker concentration, observability boundaries, and typed thin-family claim ceilings.	Do not narrate seeded families as completeness, equal authority, or publication-ready parity, and do not collapse shell blockage, open-court absence, OCR normalization failure, buyer-side traceability gaps, peer-reviewed-gap states, and non-Springer notice-depth ceilings into one generic insufficiency label.	Keep Figure 1 synchronized with CCR-008, the blocked-source priority register, and the shard-013 blocker typology plus wording-contract bundle whenever family states or thin-family wording changes. Always route threshold-change questions through `results/boost/limen-boost-054/public-sector-threshold-impact-board.tsv`.
2026-06-08T20:33:25Z	LIMEN-VIS-002	Figure 2	core	context_only	not_needed	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv	15 taxonomy rows; live_core_dashboard_taxonomy=39_governed_record_refs/29_unique_lineages; live_extended_dashboard_taxonomy=44_governed_record_refs/34_unique_lineages; mechanical_figure_contract_still=35_visible_rows/27_lineages; authoritatively_seeded=11; candidate_only_seeded=1; zero_seed_local_gap=3; route_state_board_consumed=TSRB-058; overlay_ready=2; boxed_comparator_ready=1; appendix_nested_ready=1; frontier_queue_or_singleton_watch=3; seeded_but_authority_thin=1; zero_seed_methods_guardrail=1	default_visible	Bounded claim about uneven category support, explicit zero-seed local gaps, route-state-bounded residual pressure, and fragility-aware seeded support rather than flat maturity or category growth.	Do not read the live `39 governed record refs/29 unique lineages` dashboard taxonomy core, the `44 governed record refs/34 unique lineages` extended live surface, or the still-stale `35 visible rows/27 lineages` Figure 2 mechanical source as prevalence, completeness, or proof that zero-seed rows mark real-world absence, and do not flatten overlay-ready, boxed-comparator, appendix-nested, authority-thin, or residual-guardrail states into one maturity class.	Reuse through `results/dashboard-paper/figure2-live-denominator-drift-audit-v0.1.tsv`, CCR-001 and CCR-002, plus the fragility matrix, subtype-readiness board, zero-seed differentiation matrix, zero-seed currentness audit, and shard-010 paper-fragment; if downstream prose needs family-level routing, carry the live-versus-mechanical split rather than compressing states back into generic overlay language.
2026-06-07T14:34:16Z	LIMEN-VIS-003	Figure 3	core	supporting	context_only	results/boost/limen-dashboard-paper-forge/legal-uncertainty-matrix.tsv	15 category rows; High=10; Medium=5	default_visible	Bounded claim that stronger-source needs and legal/normative caution are encoded explicitly.	Do not use as a legal conclusion engine, compliance classifier, or high-risk score.	Add more direct framework-text anchors row by row while preserving limitation-forward framing.
2026-06-08T20:33:25Z	LIMEN-VIS-004	Figure 4	core	supporting	not_needed	results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv	27 reviewed graph edges; 14 identifier-collision blockers; 13 reviewed-not-duplicate edges	default_visible_with_scope_badge	Bounded claim about join safety, namespace risk, and overcount prevention.	Do not narrate the graph as recurrence evidence, collapse edge classes, or treat the graph alone as the whole duplicate ledger.	Keep Figure 4 tied to CCR-018 and the live duplicate ledger; preserve the graph-versus-ledger scope badge and non-recurrence ceiling whenever reviewed packages change again.
2026-06-07T20:24:33Z	LIMEN-VIS-005	Figure 5	core	core	context_only	results/boost/limen-boost-011/refreshed-evidence-funnel-safe.tsv	21 publication-safe lineages; T3=14; T3_direct_url_resolved=1; T1=6; high=15; medium=0; low=6; validator-backed local projection=23 with high=17 kept sidecar-only until explicit shared consumption; FTC non-finance authoritative-core rows LIMEN-000010/LIMEN-000011 remain outside both denominator states	default_visible	Bounded claim about evidence maturity under publication-safe joins and confidence caps.	Do not revert to the older staged funnel or hide the confidence-cap overlay, and do not narrate the local 23-lineage projection as live shared state before an explicit consumer patch lands.	Keep the 21-lineage denominator and confidence banner synchronized with CCR-005, and carry the shard-011 contract/sample/acceptance bundle whenever projected repair is discussed.
2026-06-07T14:34:16Z	LIMEN-VIS-006	Figure 6	supporting	core	context_only	results/boost/limen-dashboard-paper-forge/jurisdiction-language-coverage.tsv	12 staged jurisdiction-language rows including 2 bounded non-English authoritative sidecars outside the six-row multilingual ladder, plus multilingual routing overlay 1 bounded substantive / 2 appendix / 3 queue-only	default_visible_with_translation_filter	Bounded visibility claim about where multilingual public evidence is surfaced and how translation caution constrains reuse.	Do not use as a country ranking, prevalence surface, or resolved substantive geography map.	Keep Figure 6 tied to CCR-016, the multilingual publication-routing matrix, the rare-language package-boundary board, and the blocked shared-export note.
2026-06-08T01:19:26Z	LIMEN-VIS-007	Table 1A	core	supporting	core	results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv	10 rows; document_grade=7; follow_through_grade=1; partial_document_grade=1; summary_grade=1	default_visible	Bounded claim that authoritative support is procedurally heterogeneous and should not be flattened into one class, with the default Table 1A facet staying narrower than the wider 11-row package-state core.	Do not imply that charging-stage, follow-through, or summary-only rows are equivalent to direct-document rows, and do not silently treat Workado as already part of the default facet.	Capture one stronger court-facing text for LIMEN-000002 and cleaner caption normalization for LIMEN-000005 before stronger court-depth rhetoric.
2026-06-08T11:41:24+02:00	LIMEN-VIS-008	Table 1B	supporting	core	context_only	results/dashboard/public-sector-disclosure-comparison.tsv	6 rows across 4 surface classes in one mirrored shared panel, preserving a 5-row claim-bearing Table 1B core plus 1 bounded Danish regulator-governance sidecar; Helsinki has a family-level same-buyer procurement companion, Amsterdam has exact-row current+history CSV exports, and Denmark remains buyer-side-unresolved with translation caution	default_visible	Bounded claim that disclosure surfaces expose different reconstruction fields, governance anchors, and claim ceilings across register, regulator-package, and project-page routes while keeping the main claim on the 5-row core rather than the full 6-row shared panel.	Do not treat Helsinki as exact row-linked procurement proof, Amsterdam as buyer-side resolved, Denmark as silently promoted into the default denominator, or the table as a procurement-transparency ranking or package-level prevalence surface.	Reuse through CCR-015 plus exp-009 and exp-013, carry `results/boost/limen-boost-054/public-sector-threshold-impact-board.tsv` with the shard-054/shard-030 core-sidecar controls, and add one exact row-linked procurement, contract, public impact-assessment, or DPIA companion before stronger transparency rhetoric.
2026-06-08T08:54:19Z	LIMEN-VIS-010	Figure 7	supporting	bounded_companion	context_only	results/boost/limen-boost-011/source-authority-balance.tsv; results/dashboard-paper/figure7-sidecar-consumption-matrix-v0.1.tsv	21-lineage bounded legacy single-state panel; authority_anchor=7; technical_authority=7; translation_caution_authority=1; provisional_or_limitations_only=6; explicit shared sidecar consumer now records the validator-backed local 23-lineage multistate-safe projection and keeps the broader denominator context split between a 28-lineage seeded-core duplicate/taxonomy package and a separate 33-lineage extended reviewed local surface until a default-visible figure rewrite is deliberately chosen	default_hidden_until_warning_acknowledged	Bounded claim that current lineages are compositionally heterogeneous by authority role under a legacy single-state export, while one shared sidecar-aware consumer now preserves the exact projected 23-lineage composition without rewriting the visible panel.	Do not restate Figure 7 as the live 23-lineage authority distribution, do not fold the broader 28-lineage seeded-core package or the separate 33-lineage extended local surface into this panel, and do not imply omitted singleton-plus-collision rows are already synchronized into the default visible figure.	Reuse only with CCR-014 plus `results/dashboard-paper/figure7-sidecar-consumption-matrix-v0.1.tsv`; keep the legacy-warning badge attached unless a deliberate default-visible figure rewrite replaces the 21-lineage panel itself, and keep `results/boost/limen-boost-011/ftc-core-denominator-decision-v0.1.tsv` attached whenever authoritative-core breadth is discussed so `LIMEN-000010` / `LIMEN-000011` are not misread as already counted in Figure 7.
2026-06-08T15:52:43Z	LIMEN-VIS-015	Table 6	context_only	core	context_only	results/security/security-agentic-publication-cell-matrix-v0.1.tsv	12 cells; core_results=3; appendix_supporting=8; gap_only=1; no remaining limitations-only row	secondary_dashboard_panel	Bounded claim that the security shard contributes evidence-architecture and claim-ceiling value through three core rows, eight appendix/supporting rows, and one explicit gap rather than through prevalence or balanced ecosystem coverage.	Do not flatten the `3 / 8 / 1` shape, hide the remaining explicit peer-reviewed zero state, or treat the ToolHive-plus-Playwright-plus-PraisonAI trust-boundary slice as balanced trust-boundary coverage.	Need one incident-specific peer-reviewed/conference-grade attachment before the last security gap can close; preserve the three-row trust-boundary slice as thin coverage rather than a balanced-family signal.
