case_id	case_title	jurisdiction	language	evidence_tier	initial_posture	followup_posture	public_record_type	document_depth_status	document_depth_rank	document_depth_label	document_depth_group	claim_ceiling	reviewer_use	dashboard_view	paper_table_role	next_upgrade_needed	negative_result_note	source_ids
LIMEN-000001	Garante / ChatGPT urgent provisional limitation matter	Italy	it	T3_authoritative_source	regulator order text		Garante docweb order text	document_text_present	3	direct document text present	document_grade	Can support narrow document-text claims about the regulator order itself; no broader compliance inference.	Benchmark row for direct-order-text support versus shallower official summaries.	document-depth comparison facet	Benchmark document-grade row	No immediate depth upgrade required; preserve Italian original for any quoted legal nuance.	No negative result this cycle; the regulator-hosted order text itself is already present.	SRC-AUTH-0001
LIMEN-000002	EEOC / iTutorGroup automated hiring discrimination matter	United States	en	T3_authoritative_source	agency lawsuit filing summary	agency settlement/decree summary	EEOC public press-release record	agency_summary_only	0	agency summaries only	summary_grade	Supports narrow filing-to-settlement procedural narration from the EEOC perspective only.	Summary-only comparator row for agency allegation plus agency-reported settlement/decree terms without docket text.	agency-to-court escalation facet	Summary-grade procedural row	Capture official complaint, consent decree, or judicial order text.	Two official EEOC summaries are present, but no official court-docket complaint, consent decree, or judicial order text was captured.	SRC-AUTH-0002|SRC-AUTH-0005
LIMEN-000003	ICO / Serco Leisure biometric attendance enforcement matter	United Kingdom	en	T3_authoritative_source	regulator newsroom enforcement summary	direct enforcement notice PDF text	ICO enforcement notice PDF	document_text_present	3	direct document text present	document_grade	Can support narrow document-text claims about the ICO notice basis, cited UK GDPR provisions, and Annex 1 remedy terms.	Direct-notice comparator row for biometric workplace enforcement with remedy-text support.	regulator-record versus notice-text facet	Document-grade ICO notice row	No immediate depth upgrade required; preserve linkage to newsroom and enforcement-record context.	Earlier summary-only limitation is resolved by local capture of the linked ICO notice PDF.	SRC-AUTH-0003|SRC-AUTH-0006|SRC-AUTH-0008
LIMEN-000004	ICO / Chelmer Valley High School facial-recognition reprimand matter	United Kingdom	en	T3_authoritative_source	regulator newsroom reprimand summary	direct reprimand PDF text	ICO reprimand PDF	document_text_present	3	direct document text present	document_grade	Can support narrow document-text claims about the reprimand basis, missing DPIA, and invalid opt-out consent framing in the ICO text.	Direct-reprimand comparator row for school biometric governance with process-failure detail.	regulator-record versus notice-text facet	Document-grade ICO reprimand row	No immediate depth upgrade required; preserve newsroom and enforcement-record linkage plus date distinction.	Earlier summary-only limitation is resolved by local capture of the linked ICO reprimand PDF.	SRC-AUTH-0004|SRC-AUTH-0007|SRC-AUTH-0009
LIMEN-000005	DOJ / Nate hidden-human-behind-AI charging matter	United States	en	T3_authoritative_source	prosecutor press-release charging summary	linked indictment PDF with partial caption normalization	DOJ-linked indictment PDF plus prosecutor press release	captured_document_partial_normalization	2	captured document with partial normalization	partial_document_grade	Supports accusation-stage wording and document-presence methods claims, but not a fully normalized exact case-number citation.	Normalization-limited court-record comparator showing a captured charging document that still falls below quote-ready caption precision.	court-normalization facet	Partial-document-grade charging-stage row	Use a materially different OCR stack or another public exact-caption source before promoting exact docket metadata.	A bounded 600 dpi rerender plus RapidOCR variants still recovered only `25 Cr.` and no readable post-period numeric suffix from the local source image.	SRC-AUTH-0010|SRC-AUTH-0011
LIMEN-000006	SEC / Delphia AI-washing settlement matter	United States	en	T3_authoritative_source	regulator settlement press release	direct SEC administrative order text	SEC administrative order	document_text_present	3	direct document text present	document_grade	Can support narrow settlement-order claims about false and misleading AI/machine-learning statements plus the USD 225000 sanction.	Direct-order comparator row for settled AI-washing support with explicit sanction text.	settled-order document-depth facet	Document-grade settled-order row	No immediate depth upgrade required; preserve settlement-order posture and avoid judicial-overread.	The order text is already present; the remaining caution is interpretive, not documentary.	SRC-AUTH-0012|SRC-AUTH-0013
LIMEN-000007	SEC / Global Predictions AI-washing settlement matter	United States	en	T3_authoritative_source	regulator settlement press release	direct SEC administrative order text	SEC administrative order	document_text_present	3	direct document text present	document_grade	Can support narrow settlement-order claims about false and misleading AI-adviser marketing statements plus the USD 175000 sanction.	Document-grade settled-order comparator that keeps sanction text and misstatement posture visible without implying court adjudication.	settled-order document-depth facet	Document-grade settled-order row	No immediate depth upgrade required; preserve settlement-order posture and avoid prevalence overread.	The order text is already present; the remaining caution is interpretive, not documentary.	SRC-AUTH-0014|SRC-AUTH-0015
LIMEN-000008	FCC / Lingo Telecom deepfake robocall enforcement lifecycle	United States	en	T3_authoritative_source	FCC notice of apparent liability text	FCC consent-decree order text	FCC order text plus agency release	document_text_present	3	direct document text present	document_grade	Can support narrow document-text claims about allegation-stage spoofed robocall posture, consent-decree resolution, STIR/SHAKEN-related compliance-plan terms, and the USD 1000000 civil penalty.	Direct-order comparator row for synthetic-identity / telecom enforcement that keeps allegation-stage and consent-decree stages visibly separate.	telecom-enforcement document-depth facet	Document-grade FCC enforcement row	No immediate depth upgrade required; preserve stage-aware wording that separates the May apparent-liability document from the August consent-decree order.	The document text is already present; the remaining caution is procedural-stage interpretation, not documentary absence.	SRC-AUTH-0016|SRC-AUTH-0017|SRC-AUTH-0018
LIMEN-000009	Slovenian police ORION border-management pilot with CORDIS companion chain	Slovenia; European Union	sl; en	T3_authoritative_source	official police project page	official EU project fact sheet plus XML/PDF companions	public police project page plus EU CORDIS fact-sheet HTML/XML/PDF chain	multilingual_official_companion_chain	1	official companion chain only	companion_grade	Supports bounded project-existence, participant, funding-line, objective-text, pilot-stage, biometric/privacy, and interoperability wording only; it does not support legality, procurement-award certainty, independent audit, production deployment, or effectiveness claims.	Companion-grade multilingual comparator for public-sector governance that now keeps police-page plus official EU HTML/XML/PDF companion support explicit under translation caution.	jurisdiction/language map x authority-depth facet	Follow-through-grade multilingual companion row	Only add one genuinely different procurement, audit, evaluation, or court/public-record surface if stronger depth is needed; otherwise preserve this bounded geography-diversification role.	Translation caution remains active and the CORDIS companions are descriptive rather than adjudicative; do not treat the chain as enforcement, procurement proof, or external validation.	SRC-AUTH-0019|SRC-AUTH-0033|SRC-AUTH-0037|SRC-AUTH-0038
LIMEN-000010	FTC / DoNotPay AI-lawyer and robot-lawyer final-order package	United States	en	T3_authoritative_source	FTC complaint text	FTC final order text	FTC complaint PDF plus final decision and order PDF	document_text_present	3	direct document text present	document_grade	Can support narrow complaint-plus-final-order claims about marketed AI-lawyer / robot-lawyer representations, final-order prohibitions on human-lawyer-equivalence representations, and USD 193000 monetary relief.	Direct-order comparator row for one bounded non-finance official AI-claim exemplar with document-grade FTC support.	document-depth comparison facet x non-finance official AI-claim badge	Document-grade non-finance official AI-claim row	No immediate depth upgrade required; preserve complaint-versus-final-order posture and avoid unauthorized-practice, product-truth, hidden-human, or prevalence overread.	The remaining caution is interpretive and package-governance related, not documentary absence.	SRC-AUTH-0020|SRC-AUTH-0021
