export_id	intended_shared_path	current_source_path	count_contract_or_scope	paper_or_dashboard_use	promotion_state	promotion_blocker	reviewer_safe_instruction
exp-001	results/dashboard/source-family-coverage.tsv	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	15 source families	Source-family saturation map and observability-boundary panel	materialized_local_shared_copy	Live shared dashboard copy now matches the current source on this host (sha256 `67edebf2b5783ee2752189953f93fdd29a5cdfc4a77db0d8d99db62c34b4facd`; 16 lines; 26824 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	Use the shared dashboard path directly for host-local reuse, but keep denominator and provenance labels visible.
exp-002	results/dashboard/publication-safe-aggregate.tsv	results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv	30 normalized rows / 21 publication-safe lineages	Headline aggregate contract for manuscript/dashboard count-bearing prose	materialized_local_shared_copy	Live shared dashboard copy now matches the current source on this host (sha256 `1570747ec765fedcf3b9a3c84ab361afe88c201274b07a4bfa257c5c27e95ab5`; 22 lines; 13961 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	Cite this matrix directly and keep the singleton-ahead-of-duplicate-review caveat explicit.
exp-003	results/dashboard/evidence-funnel.tsv	results/boost/limen-boost-011/refreshed-evidence-funnel-safe.tsv	21 publication-safe lineages with a validator-backed local 23-lineage projection kept separate until explicit consumption	Reviewer-safe evidence-tier funnel	materialized_local_shared_copy	Live shared dashboard copy now matches the current source on this host (sha256 `866475937cae0d4103b2adb4052be18cf5afac0352b34ec3df1232e9c844b499`; 12 lines; 3170 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	Use the shared dashboard path directly for the live 21-lineage funnel; when discussing projected repair, carry `results/boost/limen-boost-011/figure5-figure7-multistate-export-contract.tsv`, `results/boost/limen-boost-011/figure5-figure7-multistate-export-sample.tsv`, `results/boost/limen-boost-011/figure5-figure7-multistate-export-acceptance.md`, and `results/boost/limen-boost-011/ftc-core-denominator-decision-v0.1.tsv`, keep current 21 versus projected 23 explicit, and do not let the FTC non-finance authoritative-core rows `LIMEN-000010` / `LIMEN-000011` travel as if they were already part of either Figure 5 denominator state.
exp-004	results/dashboard/jurisdiction-language-coverage.tsv	results/boost/limen-dashboard-paper-forge/jurisdiction-language-coverage.tsv	12 staged jurisdiction/language rows including 2 bounded non-English authoritative sidecars outside the six-row multilingual ladder	Bounded visibility map with translation overlay	materialized_local_shared_copy	Live shared dashboard copy now matches the current source on this host (sha256 `8bb99a9b5e4d35bb945d4d63f99791d4eb80ca4f8d2d7fb14115ebe964f2400a`; 13 lines; 3250 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	Label this view provisional and do not use it as a ranking surface.
exp-005	results/dashboard/taxonomy-heatmap.tsv	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv	15 taxonomy rows	Taxonomy heatmap and local gap panel	diverged_local_shared_copy	The shared dashboard path no longer matches the boost-local source on this host: shared sha256 `c0c9db0ed86acdf4f9910bd9e78ff03fae52303150bf5b62217954f721fdff75` at 16888 bytes versus boost sha256 `8ef9c732b2e174edb17d7dccc455add208026f9a6c74675a320556d80730414d` at 16404 bytes; both remain 16 lines, but the shared path now carries the live dashboard `39 / 29` core with `44 / 34` extended while the boost-local source remains the older mechanical `35 / 27` package. Semantic use remains bounded by the reviewer-safe instruction and caption/denominator controls named there.	Use the shared dashboard path first for live Figure 2 denominator prose, treat the boost-local source as the intentionally older mechanical substrate, and carry `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-001` / `CCR-002`, `results/dashboard-paper/figure2-live-denominator-drift-audit-v0.1.tsv`, `results/boost/limen-boost-058/taxonomy-authority-fragility-matrix.tsv`, `results/boost/limen-boost-022/zero-seed-differentiation-matrix.tsv`, and `results/boost/limen-continuous-experiments/figure2-shared-vs-boost-divergence-audit-2026-06-08T21-11-45Z.tsv`; do not cite exact shared/boost parity or collapse the live dashboard contract into the older mechanical package.
exp-006	results/dashboard/legal-uncertainty-matrix.tsv	results/boost/limen-dashboard-paper-forge/legal-uncertainty-matrix.tsv	15 category rows	Hostile-reviewer legal/normative control surface	materialized_local_shared_copy	Live shared dashboard copy now matches the current source on this host (sha256 `94a2b73d75a7401a26face5c1d5b756a9db98cd9c6094dd5c7973c503390529c`; 16 lines; 15845 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	Use as a stronger-source-needs matrix, not as a legal conclusion engine.
exp-007	results/dashboard/duplicate-review-graph.tsv	results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv	23 review edges	Join-safety figure and duplicate-control appendix	materialized_local_shared_copy	Live shared dashboard copy now matches the current source on this host (sha256 `e45c14d4a7e03fa2995a259744af89f419050eae8286d5dfd5564962f2143840`; 24 lines; 17254 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	Treat the boost-local graph as a fully materialized current graph for all graph-eligible reviewed packages, but still carry `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-018`, the live 34-row duplicate-control review ledger in `results/clusters/duplicate-clusters-v0.1.tsv`, and the `37 scoped visible records / 27 stable-or-standalone lineages` broader duplicate-governance context plus the `35 visible rows / 27 stable-or-standalone lineages` headline duplicate/taxonomy context from `results/clusters/status.md` whenever this surface is reused, and do not narrate stable duplicate clusters as recurrence or imply that graph edges alone equal the whole duplicate ledger.
exp-008	results/dashboard/source-authority-balance.tsv	results/boost/limen-boost-011/source-authority-balance.tsv	21 publication-safe lineages in a bounded legacy single-state export below the validator-backed local 23-lineage multistate-safe projection, the broader 28-lineage seeded-core duplicate/taxonomy package, and the separate 33-lineage extended reviewed local surface	Authority-balance composition panel	materialized_local_shared_copy	Live shared dashboard copy now matches the current source on this host (sha256 `581a43cb14ecf607696f3c2ca1a4f33257ea0927b7d790a6baa3e601c85ae32d`; 22 lines; 14769 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	Treat the shared dashboard path as the live bounded 21-lineage single-state source only; keep the legacy-denominator warning visible, separate authority-anchor, technical-authority, translation-caution, and provisional rows in captions, carry `results/dashboard-paper/figure7-sidecar-consumption-matrix-v0.1.tsv` as the shared count-bearing sidecar consumer when exact projected 23-lineage composition is needed, cite `results/boost/limen-boost-011/figure5-figure7-multistate-export-contract.tsv`, `results/boost/limen-boost-011/figure5-figure7-multistate-export-acceptance.md`, `results/boost/limen-boost-011/ftc-core-denominator-decision-v0.1.tsv`, and `results/boost/limen-boost-035/figure7-broader-family-currentness-audit.tsv` when distinguishing the `21` visible / `23` sidecar / `28` seeded-core / `33` extended-local denominator stack, keep the FTC non-finance authoritative-core rows `LIMEN-000010` / `LIMEN-000011` explicit as authoritative-core-only breadth outside both the 21-lineage panel and the shared 23-lineage sidecar, and do not treat path-level materialization alone as sufficient for publication-safe promotion.
exp-009	results/dashboard/public-sector-disclosure-comparison.tsv	results/boost/limen-boost-054/public-sector-shared-disclosure-panel.tsv	6 public-sector disclosure rows in one shared panel, preserving a 5-row Table 1B core plus 1 Danish governance sidecar	Register/project-page/regulator asymmetry table with sidecar-aware dashboard reuse	materialized_local_shared_copy	Live shared dashboard copy now matches the current source on this host (sha256 `2317abc14f92f966ca615c39ce99c9272bd54d81deb147e7f40b20551c622ac9`; 7 lines; 8481 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	Use the shared dashboard path directly for dashboard/methods/jurisdiction breadth work, but keep manuscript-facing Table 1B and LIMEN-C-012 on the five-row core; keep Helsinki bounded as same-buyer companion evidence, Amsterdam buyer-side unresolved, and Denmark as a governance-only sidecar with translation caution.
exp-010	results/dashboard/ai-washing-posture-table.tsv	results/dashboard-paper/ai-washing-posture-table-v0.1.tsv	4 posture rows	Settled-vs-charging-stage-vs-queue posture ladder	materialized_local_shared_copy	Live shared dashboard copy now matches the current source on this host (sha256 `8d3aff041f08ee690239532987b2aeba092c0f58f7bfc71569edd79245ed2505`; 5 lines; 3505 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	Keep settled SEC rows, the Nate charging-stage row, and the explicit queue row visibly separate.
