as_of_utc	cell_id	cell_family	dim_a	dim_b	jurisdiction_scope	value	queue_ids	interpretation	reviewer_safe_use	blocked_overread	observatory_hook
2026-06-07T14:34:23Z	MLCC-001	language_publication_bucket	et	limitations_queue_only	Estonia	1	LMWCS-20260606-006	Estonia/et currently contributes 1 row(s) to limitations_queue_only.	Figure 6 legend sidecar; Table 1D package counts; multilingual evidence-quality ladder.	Do not read bucket counts as prevalence, severity, or country readiness ranking.	jurisdiction_language_map; evidence_quality_ladder
2026-06-07T14:34:23Z	MLCC-002	language_publication_bucket	fi	bounded_appendix_row	Finland	1	LMWCS-20260606-001	Finland/fi currently contributes 1 row(s) to bounded_appendix_row.	Figure 6 legend sidecar; Table 1D package counts; multilingual evidence-quality ladder.	Do not read bucket counts as prevalence, severity, or country readiness ranking.	jurisdiction_language_map; evidence_quality_ladder
2026-06-07T14:34:23Z	MLCC-003	language_publication_bucket	fi	limitations_queue_only	Finland	1	LMWCS-20260606-002	Finland/fi currently contributes 1 row(s) to limitations_queue_only.	Figure 6 legend sidecar; Table 1D package counts; multilingual evidence-quality ladder.	Do not read bucket counts as prevalence, severity, or country readiness ranking.	jurisdiction_language_map; evidence_quality_ladder
2026-06-07T14:34:23Z	MLCC-004	language_publication_bucket	lt	limitations_queue_only	Lithuania	1	LMWCS-20260606-003	Lithuania/lt currently contributes 1 row(s) to limitations_queue_only.	Figure 6 legend sidecar; Table 1D package counts; multilingual evidence-quality ladder.	Do not read bucket counts as prevalence, severity, or country readiness ranking.	jurisdiction_language_map; evidence_quality_ladder
2026-06-07T14:34:23Z	MLCC-005	language_publication_bucket	sl	bounded_appendix_row	Slovenia	1	LMWCS-20260606-005	Slovenia/sl currently contributes 1 row(s) to bounded_appendix_row.	Figure 6 legend sidecar; Table 1D package counts; multilingual evidence-quality ladder.	Do not read bucket counts as prevalence, severity, or country readiness ranking.	jurisdiction_language_map; evidence_quality_ladder
2026-06-07T14:34:23Z	MLCC-006	language_publication_bucket	sl	bounded_substantive_row	Slovenia	1	LMWCS-20260606-004	Slovenia/sl currently contributes 1 row(s) to bounded_substantive_row.	Figure 6 legend sidecar; Table 1D package counts; multilingual evidence-quality ladder.	Do not read bucket counts as prevalence, severity, or country readiness ranking.	jurisdiction_language_map; evidence_quality_ladder
2026-06-07T14:34:23Z	MLCC-007	rare_language_priority_resolution_state	high_undercovered	queue_only_unresolved	multi	2	LMWCS-20260606-003;LMWCS-20260606-006	high_undercovered currently has 2 row(s) in state queue_only_unresolved.	Rare-language barrier panel; reviewer-response limitation note; route-priority board.	Do not narrate unresolved high-undercovered rows as evidence of absence or resolved substantive cases.	rare_language_barrier_map; authority_upgrade_funnel
2026-06-07T14:34:23Z	MLCC-008	rare_language_priority_resolution_state	medium_undercovered	direct_non_official	multi	2	LMWCS-20260606-001;LMWCS-20260606-005	medium_undercovered currently has 2 row(s) in state direct_non_official.	Rare-language barrier panel; reviewer-response limitation note; route-priority board.	Do not narrate unresolved high-undercovered rows as evidence of absence or resolved substantive cases.	rare_language_barrier_map; authority_upgrade_funnel
2026-06-07T14:34:23Z	MLCC-009	rare_language_priority_resolution_state	medium_undercovered	direct_official	multi	1	LMWCS-20260606-004	medium_undercovered currently has 1 row(s) in state direct_official.	Rare-language barrier panel; reviewer-response limitation note; route-priority board.	Do not narrate unresolved high-undercovered rows as evidence of absence or resolved substantive cases.	rare_language_barrier_map; authority_upgrade_funnel
2026-06-07T14:34:23Z	MLCC-010	rare_language_priority_resolution_state	medium_undercovered	queue_only_unresolved	multi	1	LMWCS-20260606-002	medium_undercovered currently has 1 row(s) in state queue_only_unresolved.	Rare-language barrier panel; reviewer-response limitation note; route-priority board.	Do not narrate unresolved high-undercovered rows as evidence of absence or resolved substantive cases.	rare_language_barrier_map; authority_upgrade_funnel
