queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-00841	LIMEN-SIGNAL-929534A4819E62E5	country_gap_no_parent_source		Iceland research-queue scaffold	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:21	Wishlist/query row names no concrete source URL.	processing-state only; no source/case claim	Leave queued for bounded source discovery.
BPSE-00842	LIMEN-SIGNAL-92FEAF3A07396438	country_gap_no_parent_source		Ethiopia research-queue scaffold	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:23	Wishlist/query row names no concrete source URL.	processing-state only; no source/case claim	Leave queued for bounded source discovery.
BPSE-00843	LIMEN-SIGNAL-9332C45F47C22299	parent_source_wrapper		New Caledonia hardening-summary source bundle	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_HARDENING_SUMMARY.csv:6; nc-source-hardening/source_refresh.csv rows 7-8	Summary/source pack exposes multiple context/negative sources; no single parent target chosen.	wrapper only; no incident or reviewed-core claim	Human choose bounded parent source if review continues.
BPSE-00844	LIMEN-SIGNAL-934F907A87DFA143	country_gap_no_parent_source		Albania research-queue scaffold	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:29	Wishlist/query row names no concrete source URL.	processing-state only; no source/case claim	Leave queued for bounded source discovery.
BPSE-00845	LIMEN-SIGNAL-93908087D938ECFA	parent_source_wrapper		United Arab Emirates I03 country-data label	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:39; ae-readiness-profile/source_pack.csv rows 8-10; ae-source-hardening/source_refresh.csv rows 7-9	Atlas indicator label points to several sandbox sources, not one parent source.	indicator wrapper only; no source/case claim	Human choose RegLab/SCA/CBUAE/ADGM source if needed.
BPSE-00846	LIMEN-SIGNAL-94281E942450313F	source_url_extracted	https://cbs.gov.ws/news/cbs-approves-regulatory-sandbox-testing-of-pacwallex-and-ticktap-card-in-samoa	CBS approves regulatory sandbox testing of PacWallex and TickTap Card	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_HARDENING_SUMMARY.csv:94; ws-source-hardening/source_refresh.csv row 6	Local source pack gives one official Samoa I03 sandbox source URL.	sector sandbox evidence only; not AI-specific or incident claim	Review source directly if Samoa I03 hardening continues.
BPSE-00847	LIMEN-SIGNAL-9435729EE9E0662B	source_url_extracted	https://www.asic.gov.au/for-business-and-companies/innovation-hub/enhanced-regulatory-sandbox-ers/	Enhanced regulatory sandbox (ERS)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv:427; cx-source-hardening/source_refresh.csv row 8	Queue delta names ASIC ERS and local source_refresh provides URL.	sectoral parent-state context only; not Christmas-Island-specific AI evidence	Review as bounded sectoral context or reject for local AI specificity.
BPSE-00848	LIMEN-SIGNAL-946D4CC48ED15497	parent_source_wrapper		Saint Martin profile source examples	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_COUNTRY_PROFILES.md:1679; mf-readiness-profile/source_pack.csv rows 8-9; mf-source-hardening/source_refresh.csv rows 8-9	Profile lists examples and local pack has multiple CNIL sandbox sources.	profile wrapper only; no local participation claim	Human choose CNIL sandbox source if national-context review continues.
BPSE-00849	LIMEN-SIGNAL-94752C9FC870827D	country_gap_no_parent_source		Zimbabwe research-queue scaffold	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:84	Research queue row is a query scaffold with no concrete source URL.	processing-state only; no source/case claim	Leave queued for bounded source discovery.
BPSE-00850	LIMEN-SIGNAL-94759162539639E3	country_gap_no_parent_source		Niue research-queue scaffold	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:68	Research queue row is a query scaffold with no concrete source URL.	processing-state only; no source/case claim	Leave queued for bounded source discovery.
