as_of_utc	lane_id	cluster_id	cluster_status	member_case_count	member_source_count	graph_edge_count_now	graph_state	authority_profile	evidence_tier_profile	publication_confidence_profile	translation_profile	publication_count_policy	reviewer_safe_role_now	paper_use_profile	visualization_band_profile	claim_ceiling_profile	representative_keys	representative_titles	review_notes	next_smallest_publishability_move	evidence_basis_paths
2026-06-07T06:09:00Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000001	identifier_collision_blocker	3	3	3	graph_expected_identifier_collision	none confirmed	T3_authoritative_source	high	translation_dependent	do_not_join_on_bare_case_id_count_only_with_file_qualified_keys	schema_and_join_hazard_control	methods appendix / denominator-safe join control	authority_anchor|join_hazard_overlay	Use for narrow source-supported descriptive claims within stated evidence tier and strict join-safety limits.	data/cases/authoritative-candidates.jsonl:LIMEN-000001 | data/cases/security-agentic-candidates.jsonl:LIMEN-000001 | results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001	none; shared local identifier only	Do not merge. Bare case_id reuse now spans regulator, security, and SEC AI-washing packages; downstream joins must use file-qualified or globally normalized IDs.	Patch downstream tables/figures to use file-qualified keys and never aggregate on bare LIMEN ids.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl
2026-06-07T06:09:00Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000002	identifier_collision_blocker	3	4	3	graph_expected_identifier_collision	none confirmed	T3_authoritative_source	high	not_translation_dependent	do_not_join_on_bare_case_id_count_only_with_file_qualified_keys	schema_and_join_hazard_control	methods appendix / denominator-safe join control	authority_anchor|join_hazard_overlay	Use for narrow source-supported descriptive claims within stated evidence tier and strict join-safety limits.	data/cases/authoritative-candidates.jsonl:LIMEN-000002 | data/cases/security-agentic-candidates.jsonl:LIMEN-000002 | results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000002	none; shared local identifier only	Do not merge. One bare ID now points to EEOC hiring-discrimination, Langflow RCE, and SEC AI-washing records; this is a schema blocker, not event duplication.	Patch downstream tables/figures to use file-qualified keys and never aggregate on bare LIMEN ids.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl
2026-06-07T06:09:00Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000003	identifier_collision_blocker	2	3	1	graph_expected_identifier_collision	none confirmed	T3_authoritative_source	high	not_translation_dependent	do_not_join_on_bare_case_id_count_only_with_file_qualified_keys	schema_and_join_hazard_control	methods appendix / denominator-safe join control	authority_anchor|join_hazard_overlay	Use for narrow source-supported descriptive claims within stated evidence tier and strict join-safety limits.	data/cases/authoritative-candidates.jsonl:LIMEN-000003 | data/cases/security-agentic-candidates.jsonl:LIMEN-000003	none; shared local identifier only	Do not merge. File-qualified IDs show distinct biometric-governance and coding-agent exfiltration events.	Patch downstream tables/figures to use file-qualified keys and never aggregate on bare LIMEN ids.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
2026-06-07T06:09:00Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000004	identifier_collision_blocker	2	3	1	graph_expected_identifier_collision	none confirmed	T3_authoritative_source	high	not_translation_dependent	do_not_join_on_bare_case_id_count_only_with_file_qualified_keys	schema_and_join_hazard_control	methods appendix / denominator-safe join control	authority_anchor|join_hazard_overlay	Use for narrow source-supported descriptive claims within stated evidence tier and strict join-safety limits.	data/cases/authoritative-candidates.jsonl:LIMEN-000004 | data/cases/security-agentic-candidates.jsonl:LIMEN-000004	none; shared local identifier only	Do not merge. File-qualified IDs show distinct school biometrics and CrewAI local-file-read events.	Patch downstream tables/figures to use file-qualified keys and never aggregate on bare LIMEN ids.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
2026-06-07T06:09:00Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000005	identifier_collision_blocker	2	3	1	graph_expected_identifier_collision	none confirmed	T3_authoritative_source	high	not_translation_dependent	do_not_join_on_bare_case_id_count_only_with_file_qualified_keys	schema_and_join_hazard_control	methods appendix / denominator-safe join control	authority_anchor|join_hazard_overlay	Use for narrow source-supported descriptive claims within stated evidence tier and strict join-safety limits.	data/cases/authoritative-candidates.jsonl:LIMEN-000005 | data/cases/security-agentic-candidates.jsonl:LIMEN-000005	none; shared local identifier only	Do not merge. Bare case_id reuse now points to a DOJ charging-stage alleged AI-misstatement / hidden-human-processing matter and a CrewAI SSRF/internal-content-acquisition vulnerability; this is a schema blocker, not event duplication.	Patch downstream tables/figures to use file-qualified keys and never aggregate on bare LIMEN ids.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
2026-06-07T15:49:00Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000006	identifier_collision_blocker	2	3	1	graph_expected_identifier_collision	none confirmed	T3_authoritative_source	high	not_translation_dependent	do_not_join_on_bare_case_id_count_only_with_file_qualified_keys	schema_and_join_hazard_control	methods appendix / denominator-safe join control	authority_anchor|join_hazard_overlay	Use for narrow source-supported descriptive claims within stated evidence tier and strict join-safety limits.	data/cases/authoritative-candidates.jsonl:LIMEN-000006 | data/cases/security-agentic-candidates.jsonl:LIMEN-000006	none; shared local identifier only	Do not merge. Bare case_id reuse now points to a settled SEC AI-washing matter (Delphia) and a separate LangChain LLMMathChain execution-surface vulnerability; downstream joins must use file-qualified or globally normalized IDs.	Patch downstream tables/figures to use file-qualified keys and never aggregate on bare LIMEN ids.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
2026-06-07T15:49:00Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000007	identifier_collision_blocker	2	3	1	graph_expected_identifier_collision	none confirmed	T3_authoritative_source	high	not_translation_dependent	do_not_join_on_bare_case_id_count_only_with_file_qualified_keys	schema_and_join_hazard_control	methods appendix / denominator-safe join control	authority_anchor|join_hazard_overlay	Use for narrow source-supported descriptive claims within stated evidence tier and strict join-safety limits.	data/cases/authoritative-candidates.jsonl:LIMEN-000007 | data/cases/security-agentic-candidates.jsonl:LIMEN-000007	none; shared local identifier only	Do not merge. Bare case_id reuse now points to a settled SEC AI-washing matter (Global Predictions) and a separate LlamaIndex safe_eval command-injection vulnerability; downstream joins must use file-qualified or globally normalized IDs.	Patch downstream tables/figures to use file-qualified keys and never aggregate on bare LIMEN ids.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
2026-06-07T06:09:00Z	limen-boost-023	CLUSTER-DERIVATIVE-LMWCS-20260606-001	stable_duplicate_cluster	2	2	0	ledger_only_stable_collapse	T1_single_public_source	T1_single_public_source	low	translation_dependent	collapse_to_one_lineage_for_counts_preserve_derivative_provenance	deduplicated_count_control_with_provenance_retention	methods/results duplicate-collapse exemplar	duplicate_collapse_funnel|cluster_graph_sidecar	Use only for lineage-count control and bounded provenance-retention discussion; do not count derivative members as separate atlas events.	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001 | results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-001	AI-assisted procedural contamination in a police/legal workflow	Collapse for lineage counts, but keep the evidence-state asymmetry visible. The base multilingual row is now a resolved direct Yle article with bounded extraction notes, while the lane-005 queue copy still preserves the older pre-resolution verification state; do not count both rows separately or treat the queue copy as fresher evidence.	Keep the representative lineage count-safe and preserve derivative provenance members for reproducibility notes.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl
2026-06-07T06:09:00Z	limen-boost-023	CLUSTER-DERIVATIVE-LMWCS-20260606-003	stable_duplicate_cluster	2	1	0	ledger_only_stable_collapse	derivative queue duplicate; same lead copied into verification queue	T1_single_public_source	low	translation_dependent	collapse_to_one_lineage_for_counts_preserve_derivative_provenance	deduplicated_count_control_with_provenance_retention	methods/results duplicate-collapse exemplar	duplicate_collapse_funnel|cluster_graph_sidecar	Use only for lineage-count control and bounded provenance-retention discussion; do not count derivative members as separate atlas events.	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003 | results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-003	Lithuanian police-warning / scam lead	Collapse only for counting lineages. The lane-005 row is a selected-work queue entry, not a new case.	Keep the representative lineage count-safe and preserve derivative provenance members for reproducibility notes.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl
2026-06-07T12:21:51Z	limen-boost-023	CLUSTER-DERIVATIVE-LMWCS-20260606-004	stable_duplicate_cluster	3	2	0	ledger_only_stable_collapse	cross-inventory derivative duplicate with evidence-state upgrade: authoritative follow-through row now promotes the same official Slovenian police page previously carried in multilingual and lane-005 queue surfaces	T3_authoritative_source	high	translation_dependent	collapse_to_one_lineage_for_counts_preserve_derivative_provenance	deduplicated_count_control_with_provenance_retention	methods/results duplicate-collapse exemplar	duplicate_collapse_funnel|cluster_graph_sidecar	Use only for lineage-count control and bounded provenance-retention discussion; do not count derivative members as separate atlas events.	data/cases/authoritative-candidates.jsonl:LIMEN-000009 | data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004 | results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-004	Project ORION / Slovenian police border-management pilot	Collapse for lineage counts, but preserve all three provenance trails. The authoritative row is the richer representative for dashboard/manuscript reuse, while the multilingual base row and lane-005 queue copy remain useful for translation-caution and workflow-history audit. This canonical ORION row also sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000009`, so lineage collapse and join-safety must travel together.	Keep the representative lineage count-safe and preserve derivative provenance members for reproducibility notes.	data/cases/authoritative-candidates.jsonl; data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl
