as_of_utc	lane_id	cluster_id	cluster_status	member_case_count	canonical_case_id	evidence_tier_ceiling	authority_class_mix	authority_detail_mix	evidence_tier_mix	source_family_mix	translation_caution_member_count	language_scope	jurisdiction_scope	fragility_level	fragility_reasons	paper_safe_role_now	forbidden_overread	next_smallest_publishability_move	member_refs	member_titles
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-SINGLETON-LMWCS-20260606-002	no_cluster_review_row	1	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	T1_single_public_source	single_public_source:1	regional_newspaper:1	T1_single_public_source:1	local_news:1	1	fi	Finland	high	singleton_without_second_surface; all_members_single_public_source	singleton watch-state and denominator governance	Do not promote singleton rows into seeded subtype prevalence or imply corroboration that is not present in the current package.	Seek one official companion, direct source, or second reviewed lineage before promotion beyond a limitations-forward queue.	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	Crime suspicion: a man used AI to falsify nude images of relatives and co-workers in a small northern Finnish town
2026-06-07T18:56:47Z	limen-boost-023	CLUSTER-DERIVATIVE-LIMEN-008-LEAD-001	stable_duplicate_cluster	2	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	T1_single_public_source	single_public_source:2	local_public_broadcaster:2	T1_single_public_source:2	public_broadcaster_news:2	2	fi	Finland	high	all_members_single_public_source; translation_caution_without_authoritative_member	canonical-lineage collapse note for counts and provenance-preserving dashboard filters	Do not count derivative queue/restatement rows as separate incidents or treat repeated local packaging as stronger evidence.	Keep the canonical row count-silent and seek one stronger official or direct-source companion before widening any narrative beyond the narrow support note.	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001 | results/boost/limen-boost-008/candidate-cases.jsonl:LIMEN-008-LEAD-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist | AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist
2026-06-07T18:56:47Z	limen-boost-023	CLUSTER-DERIVATIVE-LMWCS-20260606-001	stable_duplicate_cluster	2	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	T1_single_public_source	single_public_source:2	local_public_broadcaster:2	T1_single_public_source:1; unspecified_local_copy:1	public_broadcaster_news:2	2	fi	Finland	high	all_members_single_public_source; translation_caution_without_authoritative_member	canonical-lineage collapse note for counts and provenance-preserving dashboard filters	Do not count derivative queue/restatement rows as separate incidents or treat repeated local packaging as stronger evidence.	Keep the canonical row count-silent and seek one stronger official or direct-source companion before widening any narrative beyond the narrow support note.	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001 | results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist | AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist
2026-06-07T18:56:47Z	limen-boost-023	CLUSTER-DERIVATIVE-LMWCS-20260606-003	stable_duplicate_cluster	2	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003	T1_single_public_source	single_public_source:2	local_reputable_news:2	T1_single_public_source:1; unspecified_local_copy:1	news_reporting_authority_warning:2	2	lt	Lithuania	high	all_members_single_public_source; translation_caution_without_authoritative_member	canonical-lineage collapse note for counts and provenance-preserving dashboard filters	Do not count derivative queue/restatement rows as separate incidents or treat repeated local packaging as stronger evidence.	Keep the canonical row count-silent and seek one stronger official or direct-source companion before widening any narrative beyond the narrow support note.	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003 | results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-003	Police warn about new fraud methods: gold trading offers and AI-assisted deception | Police warn about new fraud methods: gold trading offers and AI-assisted deception
2026-06-07T18:56:47Z	limen-boost-023	CLUSTER-DERIVATIVE-LMWCS-20260606-005	stable_duplicate_cluster	2	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005	T1_single_public_source	single_public_source:2	regional_radio:2	T1_single_public_source:1; unspecified_local_copy:1	local_news:2	2	sl	Slovenia	high	all_members_single_public_source; translation_caution_without_authoritative_member	canonical-lineage collapse note for counts and provenance-preserving dashboard filters	Do not count derivative queue/restatement rows as separate incidents or treat repeated local packaging as stronger evidence.	Keep the canonical row count-silent and seek one stronger official or direct-source companion before widening any narrative beyond the narrow support note.	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005 | results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-005	In Sveta Trojica, artificial intelligence already stands in for a secretary | In Sveta Trojica, artificial intelligence already stands in for a secretary
2026-06-07T18:56:47Z	limen-boost-023	CLUSTER-DERIVATIVE-LMWCS-20260606-006	stable_duplicate_cluster	2	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006	T1_single_public_source	single_public_source:2	commercial_broadcaster:2	T1_single_public_source:1; unspecified_local_copy:1	local_news:2	2	et	Estonia	high	all_members_single_public_source; translation_caution_without_authoritative_member	canonical-lineage collapse note for counts and provenance-preserving dashboard filters	Do not count derivative queue/restatement rows as separate incidents or treat repeated local packaging as stronger evidence.	Keep the canonical row count-silent and seek one stronger official or direct-source companion before widening any narrative beyond the narrow support note.	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006 | results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-006	AI over the human brain? Artificial intelligence wrongly failed a Saaremaa gymnasium student on an exam | AI over the human brain? Artificial intelligence wrongly failed a Saaremaa gymnasium student on an exam
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000001	identifier_collision_blocker	3	none	T3_authoritative_source	authoritative_anchor:3	official_or_regulator_or_cve_anchor:3	T3_authoritative_source:3	unspecified:3	1	English; en; it	CA; Global; Italy; US	low	schema_join_hazard_not_source_depth_problem	join-safety QA panel and duplicate-control legend	Do not treat bare local IDs as atlas-global identifiers or as evidence of same-event duplication.	Keep file-qualified IDs in dashboard/manuscript exports; only revisit if a project-wide normalized ID namespace is adopted.	data/cases/authoritative-candidates.jsonl:LIMEN-000001 | data/cases/security-agentic-candidates.jsonl:LIMEN-000001 | results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy | Auto-GPT sandbox escape and host code execution risk via unsanitized file basename | SEC settlement with Delphia over false and misleading statements about AI and machine learning use
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000002	identifier_collision_blocker	3	none	T3_authoritative_source	authoritative_anchor:2; single_public_source:1	official_or_regulator_or_cve_anchor:2; single_media_surface:1	T1_single_public_source:1; T3_authoritative_source:2	unspecified:3	0	English; en	Global; US; United States	low	schema_join_hazard_not_source_depth_problem	join-safety QA panel and duplicate-control legend	Do not treat bare local IDs as atlas-global identifiers or as evidence of same-event duplication.	Keep file-qualified IDs in dashboard/manuscript exports; only revisit if a project-wide normalized ID namespace is adopted.	data/cases/authoritative-candidates.jsonl:LIMEN-000002 | data/cases/security-agentic-candidates.jsonl:LIMEN-000002 | results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software | Langflow custom_component endpoint allows public candidate record for remote code execution risk | SEC settlement with Global Predictions over false and misleading AI financial-adviser claims
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000003	identifier_collision_blocker	2	none	T3_authoritative_source	authoritative_anchor:2	official_or_regulator_or_cve_anchor:2	T3_authoritative_source:2	unspecified:2	0	English; en	Global; United Kingdom	low	schema_join_hazard_not_source_depth_problem	join-safety QA panel and duplicate-control legend	Do not treat bare local IDs as atlas-global identifiers or as evidence of same-event duplication.	Keep file-qualified IDs in dashboard/manuscript exports; only revisit if a project-wide normalized ID namespace is adopted.	data/cases/authoritative-candidates.jsonl:LIMEN-000003 | data/cases/security-agentic-candidates.jsonl:LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring | Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000004	identifier_collision_blocker	2	none	T3_authoritative_source	authoritative_anchor:2	official_or_regulator_or_cve_anchor:2	T3_authoritative_source:2	unspecified:2	0	English; en	Global; United Kingdom	low	schema_join_hazard_not_source_depth_problem	join-safety QA panel and duplicate-control legend	Do not treat bare local IDs as atlas-global identifiers or as evidence of same-event duplication.	Keep file-qualified IDs in dashboard/manuscript exports; only revisit if a project-wide normalized ID namespace is adopted.	data/cases/authoritative-candidates.jsonl:LIMEN-000004 | data/cases/security-agentic-candidates.jsonl:LIMEN-000004	UK ICO reprimands Essex school over facial-recognition canteen payments | CrewAI JSON loader allowed arbitrary local file read on the server
