cluster_id	cluster_status	mapped_representative_key	representative_title_or_scope	family_scope	member_row_count	jurisdiction_scope	language_scope	evidence_tier_ceiling_now	publication_confidence_cap_now	paper_safe_count_action	preferred_publication_route	remaining_publication_blocker	reviewer_safe_use_now	dashboard_hook	next_smallest_publishability_move	cross_source_overlap	review_notes	provenance_inputs
REVIEW-IDCOLLISION-LIMEN-000001	identifier_collision_blocker	data/cases/authoritative-candidates.jsonl:LIMEN-000001	none; shared local identifier only	none confirmed	3	Global;Italy;US;CA	English;it;en	T3_authoritative_source	high	block_bare_id_joins_use_file_qualified_or_global_id	normalized_key_propagation	schema_namespace_collision	methods appendix on denominator-safe joins for strong rows that share local ids	identifier-collision overlay for authority/security/public-sector/ai-washing counts	Patch downstream tables and captions to use file-qualified or synthetic normalized keys only.	not a duplicate cluster; namespace collision across three distinct lineages	Do not merge. Bare case_id reuse now spans regulator, security, and SEC AI-washing packages; downstream joins must use file-qualified or globally normalized IDs.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl
REVIEW-IDCOLLISION-LIMEN-000002	identifier_collision_blocker	data/cases/authoritative-candidates.jsonl:LIMEN-000002	none; shared local identifier only	none confirmed	3	Global;United States	English;en	T3_authoritative_source	high	block_bare_id_joins_use_file_qualified_or_global_id	normalized_key_propagation	schema_namespace_collision	methods appendix on denominator-safe joins for strong rows that share local ids	identifier-collision overlay for authority/security/public-sector/ai-washing counts	Patch downstream tables and captions to use file-qualified or synthetic normalized keys only.	not a duplicate cluster; namespace collision across three distinct lineages	Do not merge. One bare ID now points to EEOC hiring-discrimination, Langflow RCE, and SEC AI-washing records; this is a schema blocker, not event duplication.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl
REVIEW-IDCOLLISION-LIMEN-000003	identifier_collision_blocker	data/cases/authoritative-candidates.jsonl:LIMEN-000003	none; shared local identifier only	none confirmed	2	Global;United Kingdom	English;en	T3_authoritative_source	high	block_bare_id_joins_use_file_qualified_or_global_id	normalized_key_propagation	schema_namespace_collision	methods appendix on denominator-safe joins for strong rows that share local ids	identifier-collision overlay for authority/security/public-sector/ai-washing counts	Patch downstream tables and captions to use file-qualified or synthetic normalized keys only.	not a duplicate cluster; namespace collision across shard files	Do not merge. File-qualified IDs show distinct biometric-governance and coding-agent exfiltration events.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
REVIEW-IDCOLLISION-LIMEN-000004	identifier_collision_blocker	data/cases/authoritative-candidates.jsonl:LIMEN-000004	none; shared local identifier only	none confirmed	2	Global;United Kingdom	English;en	T3_authoritative_source	high	block_bare_id_joins_use_file_qualified_or_global_id	normalized_key_propagation	schema_namespace_collision	methods appendix on denominator-safe joins for strong rows that share local ids	identifier-collision overlay for authority/security/public-sector/ai-washing counts	Patch downstream tables and captions to use file-qualified or synthetic normalized keys only.	not a duplicate cluster; namespace collision across shard files	Do not merge. File-qualified IDs show distinct school biometrics and CrewAI local-file-read events.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
REVIEW-IDCOLLISION-LIMEN-000005	identifier_collision_blocker	data/cases/authoritative-candidates.jsonl:LIMEN-000005	none; shared local identifier only	none confirmed	2	United States;Global	en	T3_authoritative_source	high	block_bare_id_joins_use_file_qualified_or_global_id	normalized_key_propagation	schema_namespace_collision	methods appendix on denominator-safe joins for strong rows that share local ids	identifier-collision overlay for authority/security/public-sector/ai-washing counts	Patch downstream tables and captions to use file-qualified or synthetic normalized keys only.	not a duplicate cluster; namespace collision across two distinct lineages	Do not merge. Bare case_id reuse now points to a DOJ charging-stage alleged AI-misstatement / hidden-human-processing matter and a CrewAI SSRF/internal-content-acquisition vulnerability; this is a schema blocker, not event duplication.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
REVIEW-IDCOLLISION-LIMEN-000006	identifier_collision_blocker	data/cases/authoritative-candidates.jsonl:LIMEN-000006	none; shared local identifier only	none confirmed	2	United States;Global	en;English	T3_authoritative_source	high	block_bare_id_joins_use_file_qualified_or_global_id	normalized_key_propagation	schema_namespace_collision	methods appendix on denominator-safe joins for strong rows that share local ids	identifier-collision overlay for authority/security/public-sector/ai-washing counts	Patch downstream tables and captions to use file-qualified or synthetic normalized keys only.	not a duplicate cluster; namespace collision across distinct finance-enforcement and agent-security lineages	Do not merge. Bare case_id reuse now points to a settled SEC AI-washing matter (Delphia) and a separate LangChain LLMMathChain execution-surface vulnerability; downstream joins must use file-qualified or globally normalized IDs.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
REVIEW-IDCOLLISION-LIMEN-000007	identifier_collision_blocker	data/cases/authoritative-candidates.jsonl:LIMEN-000007	none; shared local identifier only	none confirmed	2	United States;Global	en;English	T3_authoritative_source	high	block_bare_id_joins_use_file_qualified_or_global_id	normalized_key_propagation	schema_namespace_collision	methods appendix on denominator-safe joins for strong rows that share local ids	identifier-collision overlay for authority/security/public-sector/ai-washing counts	Patch downstream tables and captions to use file-qualified or synthetic normalized keys only.	not a duplicate cluster; namespace collision across distinct finance-enforcement and agent-security lineages	Do not merge. Bare case_id reuse now points to a settled SEC AI-washing matter (Global Predictions) and a separate LlamaIndex safe_eval command-injection vulnerability; downstream joins must use file-qualified or globally normalized IDs.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
CLUSTER-DERIVATIVE-LMWCS-20260606-001	stable_duplicate_cluster	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	AI-assisted procedural contamination in a police/legal workflow	derivative queue duplicate with evidence-state divergence; base row now has a resolved direct Yle article while the lane-005 queue copy still reflects an older unresolved queue state	2	Finland	fi	T1_single_public_source	low	collapse_to_canonical_lineage_for_counts_preserve_member_provenance	representative_sync_and_provenance_preservation	representative drift or stale derivative copy	methods/results text on duplicate collapse without losing provenance trails	duplicate-collapse lineage funnel or cluster graph	Keep one representative row count-safe, but preserve derivative provenance paths and review-note asymmetries.	T1_single_public_source	Collapse for lineage counts, but keep the evidence-state asymmetry visible. The base multilingual row is now a resolved direct Yle article with bounded extraction notes, while the lane-005 queue copy still preserves the older pre-resolution verification state; do not count both rows separately or treat the queue copy as fresher evidence.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl
CLUSTER-DERIVATIVE-LMWCS-20260606-003	stable_duplicate_cluster	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003	Lithuanian police-warning / scam lead	AI-assisted deception / scam-modality queue	2	Lithuania	lt	T1_single_public_source	low	collapse_to_canonical_lineage_for_counts_preserve_member_provenance	representative_sync_and_provenance_preservation	representative drift or stale derivative copy	methods/results text on duplicate collapse without losing provenance trails	duplicate-collapse lineage funnel or cluster graph	Keep one representative row count-safe, but preserve derivative provenance paths and review-note asymmetries.	derivative queue duplicate; same lead copied into verification queue	Collapse only for counting lineages. The lane-005 row is a selected-work queue entry, not a new case.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl
CLUSTER-DERIVATIVE-LMWCS-20260606-004	stable_duplicate_cluster	data/cases/authoritative-candidates.jsonl:LIMEN-000009	Project ORION / Slovenian police border-management pilot	same underlying public-sector governance lineage preserved across multilingual scouting, queue handling, and authoritative follow-through promotion	3	Slovenia	sl	T3_authoritative_source	high	collapse_to_canonical_lineage_for_counts_preserve_member_provenance	representative_sync_and_provenance_preservation	representative drift or stale derivative copy	methods/results text on duplicate collapse without losing provenance trails	duplicate-collapse lineage funnel or cluster graph	Keep one representative row count-safe, but preserve derivative provenance paths and review-note asymmetries.	cross-inventory derivative duplicate with evidence-state upgrade: authoritative follow-through row now promotes the same official Slovenian police page previously carried in multilingual and lane-005 queue surfaces	Collapse for lineage counts, but preserve all three provenance trails. The authoritative row is the richer representative for dashboard/manuscript reuse, while the multilingual base row and lane-005 queue copy remain useful for translation-caution and workflow-history audit. This canonical ORION row also sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000009`, so lineage collapse and join-safety must travel together.	data/cases/authoritative-candidates.jsonl; data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl
