row_id	signal_id	url_extraction_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
SRPH-00933	LIMEN-SIGNAL-CFC23CEDB9D6590C	url_extracted	http://data.europa.eu/eli/reg/2024/1689/oj	EUR-Lex Regulation (EU) 2024/1689	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html:45-52; local excerpt line 14434	ELI legal-resource URI is explicit in the local EUR-Lex snapshot head.	source-surface existence only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Keep ELI URL with article-level local line anchor only.
SRPH-00934	LIMEN-SIGNAL-DD3AB302A5229F64	url_extracted	http://data.europa.eu/eli/reg/2024/1689/oj	EUR-Lex Regulation (EU) 2024/1689	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html:45-52; local excerpt line 14474	ELI legal-resource URI is explicit in the local EUR-Lex snapshot head.	source-surface existence only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Keep ELI URL with article-level local line anchor only.
SRPH-00937	LIMEN-SIGNAL-04D28D9FA49923AA	url_extracted	https://www.datatilsynet.dk/regler-og-vejledning/kunstig-intelligens	Datatilsynet: Kunstig intelligens og databeskyttelse	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-arabic-official-route-tune-20260605T043422Z:4007-4013	Seed metadata has an explicit url field for the named Danish DPA AI hub.	source-surface existence only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Use as source-surface URL; extract deeper sandbox URL only if later row requires it.
SRPH-00938	LIMEN-SIGNAL-1C163FFA69149AFC	url_extracted	https://spdp.gob.ec/wp-content/uploads/2026/02/ResolIA.pdf	Resolución Nº SPDP-SPD-2026-0009-R	/srv/tyche/shared/repos/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_8_SOURCE_REFRESH.csv:197	Local source-refresh ledger explicitly maps the named SPDP resolution to the PDF URL.	source-surface existence only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Promote URL into source ledger; do not infer scope beyond source-surface existence.
SRPH-00939	LIMEN-SIGNAL-2B2A3D8FA57B7529	url_extracted	http://data.europa.eu/eli/reg/2024/1689/oj	EUR-Lex Regulation (EU) 2024/1689	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html:45-52; local excerpt line 14449	ELI legal-resource URI is explicit in the local EUR-Lex snapshot head.	source-surface existence only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Keep ELI URL with article-level local line anchor only.
SRPH-00940	LIMEN-SIGNAL-326AA4FADA7228A7	url_extracted	http://data.europa.eu/eli/reg/2024/1689/oj	EUR-Lex Regulation (EU) 2024/1689	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html:45-52; local excerpt line 14440	ELI legal-resource URI is explicit in the local EUR-Lex snapshot head.	source-surface existence only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Keep ELI URL with article-level local line anchor only.
SRPH-00941	LIMEN-SIGNAL-33B62081CF816F61	url_extracted	http://data.europa.eu/eli/reg/2024/1689/oj	EUR-Lex Regulation (EU) 2024/1689	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html:45-52; local excerpt line 8452	ELI legal-resource URI is explicit in the local EUR-Lex snapshot head.	source-surface existence only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Keep ELI URL with recital-level local line anchor only.
SRPH-00942	LIMEN-SIGNAL-41F940FC2A008146	url_extracted	https://www.etalab.gouv.fr/algorithmes-publics	Etalab public algorithms support programme	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-international-20260603T133212Z:1995-2001	Seed metadata has an explicit url field for the named French public-algorithm programme.	source-surface existence only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Use as official source-surface URL only.
SRPH-00943	LIMEN-SIGNAL-55C91F3E6973941E	url_extracted	https://aesia.digital.gob.es/en/guides	AESIA Guides	/srv/tyche/atlas/tyche-thesis-atlas-factory/inbox/official/aesia/guides-page.html:14-19 and 408-413	Local page head has explicit og:url and the relevant section links official guide PDFs.	source-surface existence only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	If hardening the guide corpus, enumerate the linked PDF URLs separately.
SRPH-00944	LIMEN-SIGNAL-5A754F16E8115017	url_extracted	https://www.industry.gov.au/publications/voluntary-ai-safety-standard/10-guardrails	Australia Voluntary AI Safety Standard - The 10 guardrails	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-au-voluntary-ai-safety-standard__1__www.industry.gov.au__direct_public_fetch__0610609eeb7b320e.html:16-19 and 4073	Snapshot head has explicit canonical and og:url for the standard page.	source-surface existence only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Use canonical page URL with local guardrail line anchor.
SRPH-00945	LIMEN-SIGNAL-88DCDDE269855886	url_extracted	https://www.industry.gov.au/publications/voluntary-ai-safety-standard/10-guardrails	Australia Voluntary AI Safety Standard - The 10 guardrails	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-au-voluntary-ai-safety-standard__1__www.industry.gov.au__direct_public_fetch__0610609eeb7b320e.html:16-19 and 4073	Snapshot head has explicit canonical and og:url for the standard page.	source-surface existence only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Use canonical page URL with local guardrail line anchor.
SRPH-00946	LIMEN-SIGNAL-9449DD5EA3AB43EE	url_extracted	https://www.datatilsynet.no/en/regulations-and-tools/sandbox-for-artificial-intelligence/	Datatilsynet Regulatory privacy sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/42/424318a6d2d45b6907910d6e.html:11-22	Local cached page has alternate and og:url entries for the English sandbox page.	source-surface existence only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Use English sandbox URL; retain Norwegian alternate only as secondary.
SRPH-00947	LIMEN-SIGNAL-95AA813AF134611C	url_extracted	https://cca.gov.in/signature_verification.html	India CCA signature verification and long-term validation guidance	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json:4502-4508	Seed metadata has an explicit url field for the named CCA guidance.	source-surface existence only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Use as source-surface URL only.
SRPH-00948	LIMEN-SIGNAL-A498FEF69E353DA2	url_extracted	http://data.europa.eu/eli/reg/2024/1689/oj	EUR-Lex Regulation (EU) 2024/1689	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html:45-52; local excerpt line 14354	ELI legal-resource URI is explicit in the local EUR-Lex snapshot head.	source-surface existence only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	Keep ELI URL with article-level local line anchor only.
