bridge_row_id	limen_category	lineage_count	example_case_id	example_title	mit_domain_primary_id	mit_domain_primary_label	mit_subdomain_primary_id	mit_subdomain_primary_label	secondary_anchor_ids	bridge_strength_now	crosswalk_rationale	claim_ceiling	paper_use	dashboard_hook	next_smallest_move
LIMEN-038-MIT-001	security_risk	9	LIMEN-000001	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	MITAIR-D02	2. Privacy & Security	MITAIR-S2-2	2.2 AI system security vulnerabilities and attacks	MITAIR-D07|MITAIR-S7-2	manual_taxonomy_bridge	Direct fit for public CVE-style rows about exploitable AI-system weaknesses; keep dangerous-capability language secondary to concrete vulnerability language.	Interpretive taxonomy bridge only; do not treat this mapping as incident evidence, legal proof, or a row-level external join.	Methods appendix, taxonomy heatmap caption, residual-category discussion, and thesis claim-support map for concept-layer interoperability.	Category-to-risk heatmap using lineage counts from the 22-row local seed and primary/secondary MIT anchor splits.	If shared crosswalk work resumes, promote the highest-frequency rows first and keep one-to-many mappings explicit rather than forcing one-hot equivalence.
LIMEN-038-MIT-002	agentic_control_failure	9	LIMEN-000001	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	MITAIR-D07	7. AI System Safety, Failures, & Limitations	MITAIR-S7-6	7.6 Multi-agent risks	MITAIR-S5-2|MITAIR-S7-1	manual_taxonomy_bridge	Best current fit for autonomy/control breakdowns, cascading multi-agent coordination risk, and delegated-action failures; use cautiously because LIMEN covers concrete incidents while MIT AI Risk is conceptual.	Interpretive taxonomy bridge only; do not treat this mapping as incident evidence, legal proof, or a row-level external join.	Methods appendix, taxonomy heatmap caption, residual-category discussion, and thesis claim-support map for concept-layer interoperability.	Category-to-risk heatmap using lineage counts from the 22-row local seed and primary/secondary MIT anchor splits.	If shared crosswalk work resumes, promote the highest-frequency rows first and keep one-to-many mappings explicit rather than forcing one-hot equivalence.
LIMEN-038-MIT-003	public_sector_misuse_or_gap	6	LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	MITAIR-D06	6. Socioeconomic & Environmental	MITAIR-S6-5	6.5 Governance failure	MITAIR-S5-2|MITAIR-S7-4	manual_taxonomy_bridge	Best current fit for public-sector disclosure, procurement, or oversight gaps; this is mainly a governance/oversight bridge, not proof of public-sector harm severity.	Interpretive taxonomy bridge only; do not treat this mapping as incident evidence, legal proof, or a row-level external join.	Methods appendix, taxonomy heatmap caption, residual-category discussion, and thesis claim-support map for concept-layer interoperability.	Category-to-risk heatmap using lineage counts from the 22-row local seed and primary/secondary MIT anchor splits.	If shared crosswalk work resumes, promote the highest-frequency rows first and keep one-to-many mappings explicit rather than forcing one-hot equivalence.
LIMEN-038-MIT-004	normative_or_moral_outlier	5	LIMEN-000001	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	MITAIR-D06	6. Socioeconomic & Environmental	MITAIR-S6-5	6.5 Governance failure	MITAIR-S7-4	manual_taxonomy_bridge	Use for governance/ethics outliers where institutional control or oversight appears to lag; mapping stays interpretive, not event-mechanical.	Interpretive taxonomy bridge only; do not treat this mapping as incident evidence, legal proof, or a row-level external join.	Methods appendix, taxonomy heatmap caption, residual-category discussion, and thesis claim-support map for concept-layer interoperability.	Category-to-risk heatmap using lineage counts from the 22-row local seed and primary/secondary MIT anchor splits.	If shared crosswalk work resumes, promote the highest-frequency rows first and keep one-to-many mappings explicit rather than forcing one-hot equivalence.
LIMEN-038-MIT-005	education_workplace_or_hr	4	LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	MITAIR-D01	1. Discrimination & Toxicity	MITAIR-S1-1	1.1 Unfair discrimination and misrepresentation	MITAIR-S6-2	manual_taxonomy_bridge	Strongest bridge for hiring, school, and workplace rows involving unequal treatment, with employment-quality harms as a secondary route.	Interpretive taxonomy bridge only; do not treat this mapping as incident evidence, legal proof, or a row-level external join.	Methods appendix, taxonomy heatmap caption, residual-category discussion, and thesis claim-support map for concept-layer interoperability.	Category-to-risk heatmap using lineage counts from the 22-row local seed and primary/secondary MIT anchor splits.	If shared crosswalk work resumes, promote the highest-frequency rows first and keep one-to-many mappings explicit rather than forcing one-hot equivalence.
LIMEN-038-MIT-006	unlawful_or_allegedly_unlawful_use	4	LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	MITAIR-D04	4. Malicious Actors	MITAIR-S4-2	4.2 Fraud, scams, and targeted manipulation	MITAIR-S6-5	manual_taxonomy_bridge	Use when the row centers on deceptive or manipulative use; keep accusation-stage and regulator-stage posture explicit because MIT AI Risk does not encode legal proof burdens.	Interpretive taxonomy bridge only; do not treat this mapping as incident evidence, legal proof, or a row-level external join.	Methods appendix, taxonomy heatmap caption, residual-category discussion, and thesis claim-support map for concept-layer interoperability.	Category-to-risk heatmap using lineage counts from the 22-row local seed and primary/secondary MIT anchor splits.	If shared crosswalk work resumes, promote the highest-frequency rows first and keep one-to-many mappings explicit rather than forcing one-hot equivalence.
LIMEN-038-MIT-007	ai_washing_or_false_ai_claim	4	LIMEN-000005	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	MITAIR-D03	3. Misinformation	MITAIR-S3-1	3.1 False or misleading information	MITAIR-S6-5|MITAIR-S4-2	manual_taxonomy_bridge	Best fit for false AI-capability representations and misleading claims; governance-failure and fraud routes remain secondary and source-dependent.	Interpretive taxonomy bridge only; do not treat this mapping as incident evidence, legal proof, or a row-level external join.	Methods appendix, taxonomy heatmap caption, residual-category discussion, and thesis claim-support map for concept-layer interoperability.	Category-to-risk heatmap using lineage counts from the 22-row local seed and primary/secondary MIT anchor splits.	If shared crosswalk work resumes, promote the highest-frequency rows first and keep one-to-many mappings explicit rather than forcing one-hot equivalence.
LIMEN-038-MIT-008	surveillance_biometrics_or_policing	3	LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	MITAIR-D02	2. Privacy & Security	MITAIR-S2-1	2.1 Compromise of privacy by obtaining, leaking or correctly inferring sensitive information	MITAIR-S4-1|MITAIR-S1-1	manual_taxonomy_bridge	Best fit for biometric and surveillance rows because privacy compromise is directly visible; influence-at-scale and discrimination remain secondary overlays.	Interpretive taxonomy bridge only; do not treat this mapping as incident evidence, legal proof, or a row-level external join.	Methods appendix, taxonomy heatmap caption, residual-category discussion, and thesis claim-support map for concept-layer interoperability.	Category-to-risk heatmap using lineage counts from the 22-row local seed and primary/secondary MIT anchor splits.	If shared crosswalk work resumes, promote the highest-frequency rows first and keep one-to-many mappings explicit rather than forcing one-hot equivalence.
LIMEN-038-MIT-009	institutional_absurdity	3	LMWCS-20260606-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	MITAIR-D06	6. Socioeconomic & Environmental	MITAIR-S6-5	6.5 Governance failure	MITAIR-S5-2|MITAIR-S7-4	manual_taxonomy_bridge	Use as a bounded governance-failure bridge for institutionally strange or process-breaking rows; keep the humor/absurdity signal as LIMEN-specific rather than forcing a false MIT equivalence.	Interpretive taxonomy bridge only; do not treat this mapping as incident evidence, legal proof, or a row-level external join.	Methods appendix, taxonomy heatmap caption, residual-category discussion, and thesis claim-support map for concept-layer interoperability.	Category-to-risk heatmap using lineage counts from the 22-row local seed and primary/secondary MIT anchor splits.	If shared crosswalk work resumes, promote the highest-frequency rows first and keep one-to-many mappings explicit rather than forcing one-hot equivalence.
LIMEN-038-MIT-010	legal_procedural_contamination	2	LIMEN-000001	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	MITAIR-D06	6. Socioeconomic & Environmental	MITAIR-S6-5	6.5 Governance failure	MITAIR-S7-4	manual_taxonomy_bridge	Best fit for contamination of legal or procedural processes via oversight failure, with transparency/interpretability concerns as a secondary layer.	Interpretive taxonomy bridge only; do not treat this mapping as incident evidence, legal proof, or a row-level external join.	Methods appendix, taxonomy heatmap caption, residual-category discussion, and thesis claim-support map for concept-layer interoperability.	Category-to-risk heatmap using lineage counts from the 22-row local seed and primary/secondary MIT anchor splits.	If shared crosswalk work resumes, promote the highest-frequency rows first and keep one-to-many mappings explicit rather than forcing one-hot equivalence.
