sidecar_id	generated_at_utc	dashboard_export	source_row_number	row_key	dashboard_surface	manuscript_surface	source_pointer_status	source_id_or_pointer	source_url_or_path	accessed_at_status	rights_terms_status	language	jurisdiction	translation_status	denominator_scope	claim_ceiling	uncertainty_flag	reviewer_safe_reading	provenance_note	observatory_hook	action_needed_before_public_dashboard
DRPS-001	2026-06-18T06:04:55Z	results/dashboard/source-family-coverage.tsv	2	sf01	Source-family saturation map	Figure 1 / Figure 4	direct_row_pointer	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/sample-bridge-appendix.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/sample-bridge-appendix.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	English-facing interface with global incident coverage	Global, multi-jurisdiction	not_row_level_in_export__language_scope_only	source family row; 15-family dashboard surface	Use only for methods, taxonomy, comparator, or related-work framing; not a shared empirical claim family now.	no	source-family saturation and uncertainty; not completeness	Grounded in bounded 2026-06-07 local verification of public cite-page and snapshot surfaces; GraphQL POST remained origin-restricted	Source-family saturation map; comparator-overlap panel; interoperability readiness board	join_access_date_and_rights_terms_from_source_ledger
DRPS-002	2026-06-18T06:04:55Z	results/dashboard/source-family-coverage.tsv	3	sf02	Source-family saturation map	Figure 1 / Figure 4	direct_row_pointer	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/sample-bridge-appendix.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/sample-bridge-appendix.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	English-facing interface with international article references and platform vocabularies	Global, multi-jurisdiction	not_row_level_in_export__language_scope_only	source family row; 15-family dashboard surface	Use only for methods, taxonomy, comparator, or related-work framing; not a shared empirical claim family now.	no	source-family saturation and uncertainty; not completeness	Grounded in 2026-06-07 local detail-page and facet-endpoint checks; page footer still signals OECD rights reservation	Country/language coverage comparison; vocabulary bridge; incident-monitor interoperability board	join_access_date_and_rights_terms_from_source_ledger
DRPS-003	2026-06-18T06:04:55Z	results/dashboard/source-family-coverage.tsv	4	sf03	Source-family saturation map	Figure 1 / Figure 4	direct_row_pointer	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/sample-bridge-appendix.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/sample-bridge-appendix.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Primarily English technical reporting	Global	not_row_level_in_export__language_scope_only	source family row; 15-family dashboard surface	May support shared package explanation or comparator context, but should not stand alone as a shared empirical claim anchor.	no	source-family saturation and uncertainty; not completeness	Grounded in 2026-06-08 bounded live crosswalk/security-package verification of two exact AVID joins plus previously confirmed MIT license	Security-edge-case bridge; technique/report join board; reviewer-safe machine-readable sample appendix	join_access_date_and_rights_terms_from_source_ledger
DRPS-004	2026-06-18T06:04:55Z	results/dashboard/source-family-coverage.tsv	5	sf04	Source-family saturation map	Figure 1 / Figure 4	direct_row_pointer	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv; results/security/security-agentic-notice-depth-matrix-v0.1.tsv	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv; results/security/security-agentic-notice-depth-matrix-v0.1.tsv	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	English technical/security knowledge base	Global	not_row_level_in_export__language_scope_only	source family row; 15-family dashboard surface	May support shared package explanation or comparator context, but should not stand alone as a shared empirical claim anchor.	no	source-family saturation and uncertainty; not completeness	Grounded in prior bounded local parse of distributed ATLAS YAML and current crosswalk references	Security/agentic crosswalk; mitigation graph; attack-pattern overlay	join_access_date_and_rights_terms_from_source_ledger
DRPS-005	2026-06-18T06:04:55Z	results/dashboard/source-family-coverage.tsv	6	sf05	Source-family saturation map	Figure 1 / Figure 4	direct_row_pointer	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv; methods/crosswalk-method-note-v0.1.md	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv; methods/crosswalk-method-note-v0.1.md	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	English-facing taxonomy surface	Global / framework-defined	not_row_level_in_export__language_scope_only	source family row; 15-family dashboard surface	Use only for methods, taxonomy, comparator, or related-work framing; not a shared empirical claim family now.	no	source-family saturation and uncertainty; not completeness	Grounded in 2026-06-07 homepage-level verification including a visible CC BY 4.0 publishing-principles signal	Taxonomy heatmap; residual-category overlay; methods table on definition-layer comparators	join_access_date_and_rights_terms_from_source_ledger
DRPS-006	2026-06-18T06:04:55Z	results/dashboard/source-family-coverage.tsv	7	sf06	Source-family saturation map	Figure 1 / Figure 4	direct_row_pointer	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/cset-harm-bridge.tsv; results/boost/limen-boost-002/cset-coding-rules.tsv; methods/crosswalk-method-note-v0.1.md	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/cset-harm-bridge.tsv; results/boost/limen-boost-002/cset-coding-rules.tsv; methods/crosswalk-method-note-v0.1.md	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	English	Global / conceptual	not_row_level_in_export__language_scope_only	source family row; 15-family dashboard surface	Use only for methods, taxonomy, comparator, or related-work framing; not a shared empirical claim family now.	no	source-family saturation and uncertainty; not completeness	Grounded in 2026-06-07 public article retrieval, exact public PDF/README anchors, and local manual bridge/coding-rule artifacts; reuse remains citation/manual only	Harm-taxonomy note; conceptual-support panel; related-work table	join_access_date_and_rights_terms_from_source_ledger
DRPS-007	2026-06-18T06:04:55Z	results/dashboard/source-family-coverage.tsv	8	sf07	Source-family saturation map	Figure 1 / Figure 4	direct_row_pointer	sources/authoritative-source-ledger.tsv; results/authoritative-scout/regulator-court-escalation-matrix.tsv; results/authoritative-scout/status.md	sources/authoritative-source-ledger.tsv; results/authoritative-scout/regulator-court-escalation-matrix.tsv; results/authoritative-scout/status.md	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Multilingual depending on regulator	Jurisdiction-specific; collectively global	not_row_level_in_export__language_scope_only	source family row; 15-family dashboard surface	May support bounded shared empirical claims when exact cited source limits remain attached.	no	source-family saturation and uncertainty; not completeness	Grounded in local authoritative ledger rows with explicit posture and provenance controls; 2026-06-07 promotion added two settled SEC order exemplars from the previously shard-local AI-washing package	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map	join_access_date_and_rights_terms_from_source_ledger
DRPS-008	2026-06-18T06:04:55Z	results/dashboard/source-family-coverage.tsv	9	sf08	Source-family saturation map	Figure 1 / Figure 4	direct_row_pointer	sources/authoritative-source-ledger.tsv; results/authoritative-scout/regulator-court-escalation-matrix.tsv; results/authoritative-scout/ocr-readiness-matrix-v0.1.tsv; results/authoritative-scout/status.md; results/boost/limen-regulator-cour... [truncated]	sources/authoritative-source-ledger.tsv; results/authoritative-scout/regulator-court-escalation-matrix.tsv; results/authoritative-scout/ocr-readiness-matrix-v0.1.tsv; results/authoritative-scout/status.md; results/boost/limen-regulator-cour... [truncated]	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Highly multilingual	Jurisdiction-specific	not_row_level_in_export__language_scope_only	source family row; 15-family dashboard surface	May support bounded shared empirical claims when exact cited source limits remain attached.	yes	source-family saturation and uncertainty; not completeness	not_row_level_in_export	Regulator-to-court escalation matrix; procedural-posture timeline	join_access_date_and_rights_terms_from_source_ledger
DRPS-009	2026-06-18T06:04:55Z	results/dashboard/source-family-coverage.tsv	10	sf09	Source-family saturation map	Figure 1 / Figure 4	direct_row_pointer	results/boost/limen-continuous-experiments/public-sector-disclosure-field-completeness-v0.1.tsv; results/boost/limen-continuous-experiments/orion-disclosure-schema-probe-v0.1.tsv; results/boost/limen-boost-006/comparator-freeze-matrix.tsv; results/dashboard-paper/public-sector-disclosure-asymmetry-v0.1.md	results/boost/limen-continuous-experiments/public-sector-disclosure-field-completeness-v0.1.tsv; results/boost/limen-continuous-experiments/orion-disclosure-schema-probe-v0.1.tsv; results/boost/limen-boost-006/comparator-freeze-matrix.tsv; results/dashboard-paper/public-sector-disclosure-asymmetry-v0.1.md	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Often local-language first	Country, regional, and municipal public-sector jurisdictions	not_row_level_in_export__language_scope_only	source family row; 15-family dashboard surface	May support bounded shared empirical claims when exact cited source limits remain attached.	yes	source-family saturation and uncertainty; not completeness	Grounded in 2026-06-07 Dutch and Hels... [truncated]	Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel	join_access_date_and_rights_terms_from_source_ledger
DRPS-010	2026-06-18T06:04:55Z	results/dashboard/source-family-coverage.tsv	11	sf10	Source-family saturation map	Figure 1 / Figure 4	direct_row_pointer	sources/issuer-notice-ledger.tsv; results/boost/limen-boost-004/notice-verification.tsv; results/security/security-agentic-mitigation-visibility-v0.1.tsv; results/security/security-agentic-notice-depth-matrix-v0.1.tsv	sources/issuer-notice-ledger.tsv; results/boost/limen-boost-004/notice-verification.tsv; results/security/security-agentic-mitigation-visibility-v0.1.tsv; results/security/security-agentic-notice-depth-matrix-v0.1.tsv	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Mostly English with some localized notices	Global firm/platform scope	not_row_level_in_export__language_scope_only	source family row; 15-family dashboard surface	May support shared package explanation or comparator context, but should not stand alone as a shared empirical claim anchor.	no	source-family saturation and uncertainty; not completeness	Grounded in public GitHub advisories/issues, release-note metadata, and CERT/CC-linked coordination evidence already normalized locally	Remediation timeline overlay; issuer-vs-independent-source comparison table	join_access_date_and_rights_terms_from_source_ledger
