stage	count	denominator	dashboard_interpretation	claim_ceiling	uncertainty_flags	paper_use
audited_source_ledger_rows	102	corpus-audit-v0.1.tsv	source-level dashboard candidate rows extracted from sources.md and selected bridge artifacts	audit surface only; not an incident denominator	evidence_tier inferred; lat/lon centroided or missing	Figure 1 / Figure 2 denominator reconciliation
evidence_tier_T2_corrob_context_source	51	audited_source_ledger_rows	inferred source-authority tier from source_family and notes	context/corroboration only	tier_inferred_not_original_column	Figure 2 tier branch; caption must disclose inference
evidence_tier_T3_authoritative_source	45	audited_source_ledger_rows	inferred source-authority tier from source_family and notes	authoritative/source-bounded only	tier_inferred_not_original_column	Figure 2 tier branch; caption must disclose inference
evidence_tier_T1_single_public_source	6	audited_source_ledger_rows	inferred source-authority tier from source_family and notes	single-source/local-signal only	tier_inferred_not_original_column	Figure 2 tier branch; caption must disclose inference
rows_referenced_by_selected_bridge_artifacts	11	audited_source_ledger_rows	rows explicitly referenced by shard-007/source-delta or provenance-confusion bridge in this audit	routing linkage only; not validation	only selected bridge artifacts checked; one requested boost-009 path missing	Figure 2 linkage branch
rows_with_uncertainty_flags	63	audited_source_ledger_rows	rows carrying inferred caution flags	flag-aware review priority only	flags inferred from notes; absence of flag is not absence of uncertainty	dashboard caution overlay
rows_without_recorded_uncertainty_flags	39	audited_source_ledger_rows	rows without inferred caution flags in audit pass	not a clean/verified set	missing explicit uncertainty_flags column in sources.md	limitation panel
distinct_source_families	60	audited_source_ledger_rows	distinct source_family strings in sources.md audit	schema diversity only; not saturation	source families unnormalized	Figure 1 legend QA
distinct_languages	5	audited_source_ledger_rows	distinct language strings in sources.md audit	language coverage surface only	translation review metadata still needed for non-English claims	jurisdiction/language map support
distinct_jurisdictions	11	audited_source_ledger_rows	distinct jurisdiction strings in sources.md audit	jurisdiction label coverage only	not country ranking or readiness score	jurisdiction/language map support
validated_or_publishable_claims_from_this_audit_alone	0	audited_source_ledger_rows	this audit does not adjudicate incidents or legal claims	none from this audit alone	requires reviewed-core/adjudication linkage	hostile-reviewer guardrail
