query_or_taxonomy_proxy	count	share	interpretation	uncertainty_flags
algorithm register	10614	0.190471	Query-level proxy for taxonomy heatmap coverage; needs mapping to final taxonomies before manuscript claim.	query_proxy_not_final_taxonomy; review_pending
regulatory sandbox	8427	0.151225	Query-level proxy for taxonomy heatmap coverage; needs mapping to final taxonomies before manuscript claim.	query_proxy_not_final_taxonomy; review_pending
deepfake	5472	0.098197	Query-level proxy for taxonomy heatmap coverage; needs mapping to final taxonomies before manuscript claim.	query_proxy_not_final_taxonomy; review_pending
C2PA	5385	0.096635	Query-level proxy for taxonomy heatmap coverage; needs mapping to final taxonomies before manuscript claim.	query_proxy_not_final_taxonomy; review_pending
AI register	4617	0.082853	Query-level proxy for taxonomy heatmap coverage; needs mapping to final taxonomies before manuscript claim.	query_proxy_not_final_taxonomy; review_pending
AI evidence	4273	0.07668	Query-level proxy for taxonomy heatmap coverage; needs mapping to final taxonomies before manuscript claim.	query_proxy_not_final_taxonomy; review_pending
AI procurement	2500	0.044863	Query-level proxy for taxonomy heatmap coverage; needs mapping to final taxonomies before manuscript claim.	query_proxy_not_final_taxonomy; review_pending
retraction	2380	0.04271	Query-level proxy for taxonomy heatmap coverage; needs mapping to final taxonomies before manuscript claim.	query_proxy_not_final_taxonomy; review_pending
prompt injection	2356	0.042279	Query-level proxy for taxonomy heatmap coverage; needs mapping to final taxonomies before manuscript claim.	query_proxy_not_final_taxonomy; review_pending
automated decision	2029	0.036411	Query-level proxy for taxonomy heatmap coverage; needs mapping to final taxonomies before manuscript claim.	query_proxy_not_final_taxonomy; review_pending
LLM vulnerability	1546	0.027743	Query-level proxy for taxonomy heatmap coverage; needs mapping to final taxonomies before manuscript claim.	query_proxy_not_final_taxonomy; review_pending
watermark	1132	0.020314	Query-level proxy for taxonomy heatmap coverage; needs mapping to final taxonomies before manuscript claim.	query_proxy_not_final_taxonomy; review_pending
public sector AI	871	0.01563	Query-level proxy for taxonomy heatmap coverage; needs mapping to final taxonomies before manuscript claim.	query_proxy_not_final_taxonomy; review_pending
procurement AI	617	0.011072	Query-level proxy for taxonomy heatmap coverage; needs mapping to final taxonomies before manuscript claim.	query_proxy_not_final_taxonomy; review_pending
AI hiring	579	0.01039	Query-level proxy for taxonomy heatmap coverage; needs mapping to final taxonomies before manuscript claim.	query_proxy_not_final_taxonomy; review_pending
