stage_order	stage	denominator	count	disposition	claim_ceiling	dashboard_view	paper_use	next_action
1	materialized_review_candidates	all non-self CPU-mined signals	55725	review-candidate surface only	triage only; no incident truth, legal, compliance, safety, deployment, prevalence, or ranking claim	Figure 2 denominator base	Methods/data-flow denominator	Keep separated from reviewed-core examples.
2	first_pass_reviewed	materialized review candidates	55725	first-pass triage complete	routing labels only, not confidence or truth labels	Figure 2 triage branch	Methods quality-control attrition row	Use verdict breakdown before any example claim.
3	direct_source_review_queue	first-pass reviewed rows requiring direct source review	13918	needs source/source-pack/translation-aware review	no promotion until source posture is resolved	Source-review backlog widget	Reviewer-risk backlog / limitation	Continue bounded source resolution, not broad crawling.
4	source_review_completion_ledger	direct-source reviewed/completed subset	1646	completion dispositions recorded	completion can close duplicates/source gaps but does not itself prove incidents	Source-review completion panel	Evidence-hardening progress row	Route only promotable rows to hardening.
5	source_review_promotion_hardening	source-reviewed rows routed through promotion gates	1646	7 linked existing reviewed-core case ids; 3 linked source ids	promotion_gate/resolution are workflow states, not legality/prevalence findings	Promotion gate panel	Deduplication and denominator-control evidence	Preserve duplicate closures and required hardening steps.
6	reviewed_core_promotion_packet	promotion packet rows	2006	review-status/readiness packet built	packet readiness is not final acceptance	Promotion-packet table	Appendix audit trail	Use hardening_gate before manuscript examples.
7	case_extraction_results	source clusters processed for case extraction	977	case extraction verdicts assigned	extraction proposals need reviewed-core hardening/adjudication	Case extraction queue/funnel	Methods: case construction pipeline	Use noncase closures as negative evidence.
8	hardening_review_candidates	case candidates after hardening review	13	11 official_source_verified=yes; 11 ready_for_human_acceptance_not_promoted	ready means eligible for acceptance review, not promoted by automation	Human-acceptance queue	Hostile-reviewer gate for examples	Human/author acceptance required before new reviewed-core rows.
9	autoreview_crosscheck	hardened candidates with auto-review decision	13	rule-based crosscheck applied	autoreview remains advisory and bounded by human_acceptance_required	Auto-review sidecar	Reproducibility note / limitation	Do not use as independent adjudication.
10	final_adjudication	final adjudication rows	14	final decisions mostly hold/duplicate/no-new-row	only final_decision/action text may be cited; no hidden promotion	Final adjudication table	Example inclusion/exclusion appendix	Use rationale text for excluded/held candidates.
11	ai_washing_posture_exemplars	dashboard-paper AI-washing posture table	4	posture-aware exemplar rows using dashboard-paper path	authority posture controls the strongest claim; settlement/charge posture must be named	AI-washing exemplar table	Paper Table: bounded authority-posture exemplars	Use dashboard-paper path as corrected input pointer.
