check_id	surface	role	exists	mtime_utc	bytes	sha256	verdict	claim_ceiling
POR-INPUT-001	results/dashboard/review-candidate-triage-panel.tsv	fresh_review_output_observed_not_release_card_source	true	2026-06-19T06:28:40Z	5972	f6fa2b9b37675829425fee4d1fea7e6760355b806633d9ad41214fda92e575d7	OBSERVED_ONLY	review-output freshness only; no row promotion or empirical/legal claim expansion
POR-INPUT-002	results/dashboard/reviewed-core-case-hardening-review.tsv	fresh_review_output_observed_not_release_card_source	true	2026-06-19T06:29:20Z	17868	abe92ddc5be1e2f07da1b8067fc787e287e1e94487f4bd46cfe8c06d00d4cb57	OBSERVED_ONLY	review-output freshness only; no row promotion or empirical/legal claim expansion
POR-INPUT-003	results/dashboard/reviewed-core-case-hardening-queue.tsv	fresh_review_output_observed_not_release_card_source	true	2026-06-19T06:30:08Z	13396	406e4eddd759ca8d7616b29dc1e01d3dedc6df901be310aac457b0ba9811bbd1	OBSERVED_ONLY	review-output freshness only; no row promotion or empirical/legal claim expansion
POR-INPUT-004	results/dashboard/reviewed-core-case-extraction-results.tsv	fresh_review_output_observed_not_release_card_source	true	2026-06-19T06:30:08Z	369831	2f1f6e81d3926520c458420e157f82c8e8937292d5faf3bb42cf5fc432c9ef3d	OBSERVED_ONLY	review-output freshness only; no row promotion or empirical/legal claim expansion
POR-INPUT-005	results/dashboard/reviewed-core-source-surface-disposition.tsv	fresh_review_output_observed_not_release_card_source	true	2026-06-19T06:30:08Z	263371	06f4c9363974464af109016e4211293a3b3a9afd2cbbd18993e891d9892a08c0	OBSERVED_ONLY	review-output freshness only; no row promotion or empirical/legal claim expansion
POR-INPUT-006	results/dashboard/reviewed-core-promotion-packet.tsv	fresh_review_output_observed_not_release_card_source	true	2026-06-19T06:30:08Z	401153	7b2e5bc40e3ede734e464be7f18f5112e5870a40c98dc10578f77ce1ffc447ef	OBSERVED_ONLY	review-output freshness only; no row promotion or empirical/legal claim expansion
POR-GATE-001	tools/limen_pre_submit_check.py --project-root /srv/tyche/projects/limen-ai-edge-case-atlas	release_gate_rerun	true	2026-06-19T06:29:28Z			PASS	9/9 PASS, 0 FAIL, 0 WARN
POR-GATE-002	tools/limen_dashboard_ui_contract_check.py --write-artifacts	release_gate_rerun	true	2026-06-19T06:29:28Z			PASS	7/7 PASS; generated 2026-06-19T06-29-28Z gate artifacts
POR-GATE-003	tools/build_limen_dashboard_api_bundle.py	release_gate_rerun	true	2026-06-19T06:29:28Z			PASS	7/7 PASS; rebuilt API bundle
POR-GATE-004	tools/build_limen_static_dashboard_preview.py	release_gate_rerun	true	2026-06-19T06:29:28Z			PASS	7/7 PASS; rebuilt static preview
POR-GATE-005	pytest -q tests/test_limen_caption_currentness_gate.py	release_gate_rerun	true	2026-06-19T06:29:28Z			PASS	2 passed
POR-OUTPUT-012	results/boost/limen-dashboard-paper-forge/dashboard-ui-contract-fail-closed-check-2026-06-19T06-29-28Z.tsv	release_gate_output_or_stable_surface	true	2026-06-19T06:29:28Z	4095	cca60b1e01c4b688b0f01e3e128a4b40170540fe122cc215bf408ad729defe0a	PASS	package-integrity/dashboard-paper parity only
POR-OUTPUT-013	dashboard/limen-dashboard-api-bundle-v0.1.json	release_gate_output_or_stable_surface	true	2026-06-19T06:29:28Z	78095	722fa3655e3c4b504d8100b1514ed53d8b7f8e1daa17334b456a0b30a7649219	PASS	package-integrity/dashboard-paper parity only
POR-OUTPUT-014	dashboard/static-dashboard-preview-v0.1.html	release_gate_output_or_stable_surface	true	2026-06-19T06:29:28Z	20238	085e09d896bed3ddd207b6f57ea9a03bacad8ec1f29b9508e54f427446948a70	PASS	package-integrity/dashboard-paper parity only
POR-OUTPUT-015	manifest.json	release_gate_output_or_stable_surface	true	2026-06-19T05:56:12Z	13598	4d2bd9da9ef1122fdf88a637a12c4f8e93d601cf3e8668565eedfb7e157ba7bb	PASS	package-integrity/dashboard-paper parity only
POR-OUTPUT-016	draft/preprint.md	release_gate_output_or_stable_surface	true	2026-06-19T04:34:57Z	45967	431213b9233cedab70fe32987bfeee2ba07537841dfdf601430fc6cfa7f22e48	PASS	package-integrity/dashboard-paper parity only
