packet_id	path	v2_6_expected_sha256	current_sha256_before_v2_7_write	current_size_bytes_before_v2_7_write	currentness_state_before_v2_7_write	allowed_action	review_consumer	claim_ceiling	note
manuscript_current	draft/preprint-v0.3-f1000.md	74f77d887bf2dca2635cef96b0f8d177c1ecdd519f9bfec8c2d07a43599929cf	74f77d887bf2dca2635cef96b0f8d177c1ecdd519f9bfec8c2d07a43599929cf	36646	MATCH	read-only-review	author/human release review	claims bounded to evidence architecture, denominator classes, source-link coverage, and explicit no-prevalence/no-legal-violation language	primary release text
dashboard_spec	dashboard/limen-dashboard-spec-v0.1.md	bb7fd5843bf554d2047c2addd6dfa5ef7c8257820f8a2af08329db6fe9870e54	bb7fd5843bf554d2047c2addd6dfa5ef7c8257820f8a2af08329db6fe9870e54	20511	MATCH	read-only-review	dashboard/paper parity review	package-integrity and figure/view claim ceilings only	required lane output
article_architecture	papers/article-architecture-v0.1.md	8b201822dc0c9e0c8a84c1be800ddb9875aee9ebd8a69136203925f71fe7af3d	8b201822dc0c9e0c8a84c1be800ddb9875aee9ebd8a69136203925f71fe7af3d	18465	MATCH	read-only-review	route-selection review	venue-fit and manuscript-structure guidance only	required lane output
dashboard_api_bundle	dashboard/limen-dashboard-api-bundle-v0.1.json	722fa3655e3c4b504d8100b1514ed53d8b7f8e1daa17334b456a0b30a7649219	722fa3655e3c4b504d8100b1514ed53d8b7f8e1daa17334b456a0b30a7649219	78095	MATCH	internal-consume	dashboard/API consumer	dashboard rendering and package parity only	do not present as public release proof
static_dashboard_preview	dashboard/static-dashboard-preview-v0.1.html	085e09d896bed3ddd207b6f57ea9a03bacad8ec1f29b9508e54f427446948a70	085e09d896bed3ddd207b6f57ea9a03bacad8ec1f29b9508e54f427446948a70	20238	MATCH	internal-consume	visual/internal review	local preview parity only	no upload/deploy action
si_manifest	results/boost/limen-dashboard-paper-forge/si-package/si-package-manifest.json	8220c90950b8361c55b2b6dc98728f66fc620f58889ab4da838f039d84a3f923	8220c90950b8361c55b2b6dc98728f66fc620f58889ab4da838f039d84a3f923	1408	MATCH	read-only-review	SI completeness review	local packaging completeness only	check file presence before deposit
pre_submit_tool	tools/limen_pre_submit_check.py	0db4c5154a92c2dfb5c15a8693c3d48ca36d454418c2e57a6f83fed61ec1bb32	0db4c5154a92c2dfb5c15a8693c3d48ca36d454418c2e57a6f83fed61ec1bb32	18226	MATCH	internal-run	package gate	verification tool, not substantive evidence	rerun after edits
caption_gate_test	tests/test_limen_caption_currentness_gate.py	76ecdcdca0a0380847c1ce4080421080ff2cb50ce519392e0c7816dfdf893f0d	76ecdcdca0a0380847c1ce4080421080ff2cb50ce519392e0c7816dfdf893f0d	2825	MATCH	internal-run	package gate	caption parity only	rerun after edits
closure_audit_v23	results/boost/limen-dashboard-paper-forge/required-output-closure-audit-v2.3.md	fe09e291b65621ef6af9e3fdf4592f62c03816dfa7dee93c9ad0b2d48c5193cc	fe09e291b65621ef6af9e3fdf4592f62c03816dfa7dee93c9ad0b2d48c5193cc	3304	MATCH	read-only-review	release review context	package-health handoff only	current closure state before v2.4
source_join_scope_v22	results/boost/limen-dashboard-paper-forge/file-qualified-source-join-scope-audit-v2.2.md	9c399f33542801db272923329bdd60d4c2475846b478593d09a80ca5f35a660e	9c399f33542801db272923329bdd60d4c2475846b478593d09a80ca5f35a660e	5407	MATCH	read-only-review	provenance review	artifact-level provenance safe; row-level access/rights badges blocked	do not enable tooltips before file-qualified joins
release_checklist_v20	results/boost/limen-dashboard-paper-forge/human-release-decision-checklist-v2.0.md	264a4c9eedf8007150dd33a43f235106244a0e715f67c7100cac11e9003bb7f1	264a4c9eedf8007150dd33a43f235106244a0e715f67c7100cac11e9003bb7f1	4894	MATCH	read-only-review	Anton-only release decision	release routing only; no external action performed	external upload/deposit remains Anton-controlled
status	results/dashboard-paper/status.md	44908b9522881ca30804de3b63cf91786a1c75bd1de04de0c28ae2adb1d5b330	44908b9522881ca30804de3b63cf91786a1c75bd1de04de0c28ae2adb1d5b330	33824	MATCH	read-only-review	continuity/status	operational state only	append-only summary surface
manifest	manifest.json	059fa4123da611a9c50d1d93ad1ec9b1b2ac8c925ec0d7754a8da4548a1af28c	059fa4123da611a9c50d1d93ad1ec9b1b2ac8c925ec0d7754a8da4548a1af28c	19776	MATCH	internal-consume	machine/human package inventory	file inventory and readiness state only	must remain valid JSON
drift_audit_v25	results/boost/limen-dashboard-paper-forge/release-packet-drift-audit-v2.5.md	4eab965ab17bcc5b2c5cd11e62656e8f30e33bbb542eb8b78e1b5cb431fbdb33	4eab965ab17bcc5b2c5cd11e62656e8f30e33bbb542eb8b78e1b5cb431fbdb33	3467	MATCH	read-only-review	release-review/provenance	package-integrity and release-review routing only	records 3 review-required drift rows against v2.4; superseded for current packet hashes by v2.6
drift_audit_v25_table	results/boost/limen-dashboard-paper-forge/release-packet-drift-audit-v2.5.tsv	0e5246ea56f51fa4081d1fc102462ec97f287c89911051de22334cf137cf3c34	0e5246ea56f51fa4081d1fc102462ec97f287c89911051de22334cf137cf3c34	3710	MATCH	read-only-review	release-review/provenance	package-integrity and release-review routing only	consume as provenance, not as current baseline
