audit_id	surface	path	state	size_bytes	sha256	dashboard_hook	claim_ceiling	next_action
ROC-REQ-001	dashboard_spec	dashboard/limen-dashboard-spec-v0.1.md	PASS_PRESENT	19271	cb374e546b17f82b14fdd7465e78930202179a34d089708a567165bde7747458	package_health/required_output_closure	required-output presence and package routing only; no empirical/legal/compliance/prevalence/source-truth claim	rerun pre-submit gates after any edit
ROC-REQ-002	article_architecture	papers/article-architecture-v0.1.md	PASS_PRESENT	17068	a694935e6f1f81e090df4e22f320231b0bfb55ed8e98c81502e05e0cacb687bb	package_health/required_output_closure	required-output presence and package routing only; no empirical/legal/compliance/prevalence/source-truth claim	rerun pre-submit gates after any edit
ROC-REQ-003	dashboard_paper_status	results/dashboard-paper/status.md	PASS_PRESENT	27970	ea8d1dec1774477dadc80687bc43e670693f48180eff91bf57cc087a99511ddc	package_health/required_output_closure	required-output presence and package routing only; no empirical/legal/compliance/prevalence/source-truth claim	rerun pre-submit gates after any edit
ROC-REQ-004	journal	journal.md	PASS_PRESENT	38095	0c78a00c01d3c17f3a399dd4ff97b4ae7768f42ad6f279ac47bfb30b8eae7673	package_health/required_output_closure	required-output presence and package routing only; no empirical/legal/compliance/prevalence/source-truth claim	rerun pre-submit gates after any edit
ROC-REQ-005	manifest	manifest.json	PASS_PRESENT	16641	75b4894582689b4ad23a2ae5886f9a18efd7efe6f2e6c592797fcd0fdf263610	package_health/required_output_closure	required-output presence and package routing only; no empirical/legal/compliance/prevalence/source-truth claim	rerun pre-submit gates after any edit
ROC-REQ-006	preprint	draft/preprint.md	PASS_PRESENT	45967	431213b9233cedab70fe32987bfeee2ba07537841dfdf601430fc6cfa7f22e48	package_health/required_output_closure	required-output presence and package routing only; no empirical/legal/compliance/prevalence/source-truth claim	rerun pre-submit gates after any edit
ROC-REQ-007	sources	sources/sources.md	PASS_PRESENT	64343	b9081d53dd4763270395ca3b21cbf23ceea9d8832c2f48d8fabde37a70ab0a3d	package_health/required_output_closure	required-output presence and package routing only; no empirical/legal/compliance/prevalence/source-truth claim	rerun pre-submit gates after any edit
ROC-REQ-008	methods	methods.md	PASS_PRESENT	1500	cca89832aa364848f0c056d1465b7063f1ef7842a4123e653e9d0f0abae9c916	package_health/required_output_closure	required-output presence and package routing only; no empirical/legal/compliance/prevalence/source-truth claim	rerun pre-submit gates after any edit
ROC-REQ-009	claims	claims.md	PASS_PRESENT	22077	d8f2926d72373236467cc4a31f75bdfe37d4ee93ae8d47d7f1f0ae46a18e567d	package_health/required_output_closure	required-output presence and package routing only; no empirical/legal/compliance/prevalence/source-truth claim	rerun pre-submit gates after any edit
ROC-REQ-010	data_readme	data/README.md	PASS_PRESENT	1400	9a247f4aa34521dcfa6f82f8cfdf793e812231c867207b0d437dbf2aeeddff5e	package_health/required_output_closure	required-output presence and package routing only; no empirical/legal/compliance/prevalence/source-truth claim	rerun pre-submit gates after any edit
ROC-EXTRA-011	dashboard_views_contract	dashboard/limen-dashboard-spec-v0.1.md	PASS_REQUIRED_VIEWS_DEFINED	19271	cb374e546b17f82b14fdd7465e78930202179a34d089708a567165bde7747458	package_health/required_output_closure	dashboard/paper architecture closure only; no collection, row promotion, incident validation, source-truth, legal/compliance/safety/deployment/prevalence/country-ranking claim	Seven bounded views defined: source-family coverage, evidence-tier funnel, taxonomy heatmap, jurisdiction/language map, legal uncertainty matrix, security/agentic crosswalk, duplicate graph.
ROC-EXTRA-012	article_routes_contract	papers/article-architecture-v0.1.md	PASS_ROUTES_DEFINED	17068	a694935e6f1f81e090df4e22f320231b0bfb55ed8e98c81502e05e0cacb687bb	package_health/required_output_closure	dashboard/paper architecture closure only; no collection, row promotion, incident validation, source-truth, legal/compliance/safety/deployment/prevalence/country-ranking claim	Methods/data paper, policy brief, standards note, and thesis chapter routes defined with claim ceilings.
ROC-EXTRA-013	provenance_label_scope	results/boost/limen-dashboard-paper-forge/file-qualified-source-join-scope-audit-v2.2.tsv	PASS_BUT_ROW_LEVEL_BADGES_BLOCKED	2481	046f4aab9fafdccec2db7bae0aa6c819a322e55cef9a5774c48cb1bbea20b182	package_health/required_output_closure	dashboard/paper architecture closure only; no collection, row promotion, incident validation, source-truth, legal/compliance/safety/deployment/prevalence/country-ranking claim	v2.2 records row-level access/rights badges blocked while artifact-level provenance and candidate links remain safe with warnings.
ROC-EXTRA-014	external_action_boundary	manifest.json	PASS_INTERNAL_ONLY	16641	75b4894582689b4ad23a2ae5886f9a18efd7efe6f2e6c592797fcd0fdf263610	package_health/required_output_closure	dashboard/paper architecture closure only; no collection, row promotion, incident validation, source-truth, legal/compliance/safety/deployment/prevalence/country-ranking claim	No upload, deposit, submission, email, contact, portal action, crawler expansion, or bulk download performed in this closure cycle.
