object	rel_path	exists	size_bytes	sha256	row_count	header	packaged_copy	copy_exists	copy_sha256	copy_matches_source	notes
S1	results/dashboard/authoritative-document-depth-facet.tsv	True	8163	a8a4cd8b93886954fd9a04558120402f0302633788553744bfd65f292b5ee4ef	9	"case_id	case_title	jurisdiction	language	evidence_tier	initial_posture	followup_posture	public_record_type	document_depth_status	document_depth_rank	document_depth_label	document_depth_group	claim_ceiling	reviewer_use	dashboard_view	paper_table_role	next_upgrade_needed	negative_result_note	source_ids"	results/boost/limen-dashboard-paper-forge/si-package/supplementary-s1.tsv	True	a8a4cd8b93886954fd9a04558120402f0302633788553744bfd65f292b5ee4ef	True	
S2	results/dashboard/security-threshold-ladder-panel.tsv	True	1267	c989a5509d9ea6337312231e40ab3f6324608d12aa2c6cd6b4c0aa02794ff2e1	4	"panel_id	threshold_class	member_count	member_ids	route_ids	publication_buckets_present	reviewer_safe_reading	dashboard_hook"	results/boost/limen-dashboard-paper-forge/si-package/supplementary-s2.tsv	True	c989a5509d9ea6337312231e40ab3f6324608d12aa2c6cd6b4c0aa02794ff2e1	True	
S3	results/dashboard/security-authority-balance-panel.tsv	True	897	6b50ab646076d1f34a848949dc1b094a637dc88bfa274220ac09682c6f885145	6	"panel_id	authority_or_gap_state	live_case_count	core_results_count	appendix_supporting_count	limitations_only_count	exact_interoperability_case_count	exact_fix_visible_case_count	release_note_or_source_qualified_case_count	route_priority	summary_label"	results/boost/limen-dashboard-paper-forge/si-package/supplementary-s3.tsv	True	6b50ab646076d1f34a848949dc1b094a637dc88bfa274220ac09682c6f885145	True	
S4	results/dashboard/provenance-confusion-publication-cells.tsv	True	6299	73bf6ac30fb0ece49f1ccb9096c62cd8f7ab9f4bd15d6878c7515ef743aaab30	6	"cell_id	cell_label	publication_cell	current_rows_or_refs	authority_depth_now	paper_safe_claim_now	claim_rewrite_or_caption_rule	default_visualization_role	hide_from_default_views	next_stronger_source_needed	paper_thesis_use"	results/boost/limen-dashboard-paper-forge/si-package/supplementary-s4.tsv	True	73bf6ac30fb0ece49f1ccb9096c62cd8f7ab9f4bd15d6878c7515ef743aaab30	True	
S5	results/dashboard/security-publication-buckets.tsv	True	7668	6b8125d97ef61a085741e8922988e2a8f3d981ac9e7ee98e6e703c54c6991301	12	"case_id	platform	cve_id	mechanism_family	authority_family	publication_bucket	figure_priority	interoperability_state	fix_visibility_state	evidence_tier	reviewer_safe_claim	next_move	source_ids	dashboard_cell"	results/boost/limen-dashboard-paper-forge/si-package/supplementary-s5.tsv	True	6b8125d97ef61a085741e8922988e2a8f3d981ac9e7ee98e6e703c54c6991301	True	
S6	results/dashboard/security-crosswalk-coverage-panel.tsv	True	1301	838efefa8e6d31dfc32f6ed21f4475d51e95d73cab313f983c4117da9110ddb6	6	"panel_id	panel_segment	segment_key	cell_count	member_ids	reviewer_safe_reading	dashboard_hook"	results/boost/limen-dashboard-paper-forge/si-package/supplementary-s6.tsv	True	838efefa8e6d31dfc32f6ed21f4475d51e95d73cab313f983c4117da9110ddb6	True	
S7	results/dashboard/supplementary-table-s7-trust-boundary-breadth.tsv	True	2459	e8ef518eb10f14212f67a677e0397c8ab82bf62e7ed5ff57dd231b929d36b7ec	3	"case_id	platform	cve_id	mechanism_family	authority_family	publication_bucket	figure_priority	interoperability_state	fix_visibility_state	evidence_tier	reviewer_safe_claim	next_move	source_ids	dashboard_cell"	results/boost/limen-dashboard-paper-forge/si-package/supplementary-s7.tsv	True	e8ef518eb10f14212f67a677e0397c8ab82bf62e7ed5ff57dd231b929d36b7ec	True	
S8	results/dashboard/supplementary-table-s8-supply-chain-frontier.tsv	True	3622	5ac692f2aa9818b1dee492ad0b2ae597524aa9412accb3840a4467a2d5d34a40	5	"case_id	platform	cve_id	mechanism_family	authority_family	publication_bucket	figure_priority	interoperability_state	fix_visibility_state	evidence_tier	reviewer_safe_claim	next_move	source_ids	dashboard_cell"	results/boost/limen-dashboard-paper-forge/si-package/supplementary-s8.tsv	True	5ac692f2aa9818b1dee492ad0b2ae597524aa9412accb3840a4467a2d5d34a40	True	
S9	results/dashboard/supplementary-table-s9-peer-review-gap.tsv	True	348	936b9243354df5c7de2723ecc1cdd4aa5708fcb666d70fe272422311a70ccf41	1	"panel_id	authority_or_gap_state	live_case_count	core_results_count	appendix_supporting_count	limitations_only_count	exact_interoperability_case_count	exact_fix_visible_case_count	release_note_or_source_qualified_case_count	route_priority	summary_label"	results/boost/limen-dashboard-paper-forge/si-package/supplementary-s9.tsv	True	936b9243354df5c7de2723ecc1cdd4aa5708fcb666d70fe272422311a70ccf41	True	
S10	results/dashboard/procedural-contamination-source-depth-panel.tsv	True	9745	f2b7398c2788244d3b94340cb64771d693a8d83067ebfc3e91e604952dbebbb0	7	"shared_row_id	package_branch	case_key_or_bucket	jurisdiction_scope	source_depth_state	strongest_public_support_now	publication_safe_claim	publication_safe_limitation	current_support_refs	paper_thesis_use	shared_table_role	dashboard_hook	next_smallest_upgrade	caution"	results/boost/limen-dashboard-paper-forge/si-package/supplementary-s10.tsv	True	f2b7398c2788244d3b94340cb64771d693a8d83067ebfc3e91e604952dbebbb0	True	
S11	results/dashboard/supplementary-table-s11-research-integrity.tsv	True	7212	39d06a2da7a7619cd9db696a347cadf9ecd076d1df081b1235ac359a420193f1	5	"shared_row_id	package_branch	case_key_or_bucket	jurisdiction_scope	source_depth_state	strongest_public_support_now	publication_safe_claim	publication_safe_limitation	current_support_refs	paper_thesis_use	shared_table_role	dashboard_hook	next_smallest_upgrade	caution"	results/boost/limen-dashboard-paper-forge/si-package/supplementary-s11.tsv	True	39d06a2da7a7619cd9db696a347cadf9ecd076d1df081b1235ac359a420193f1	True	
S12	results/dashboard/procedural-contamination-source-depth-panel.tsv	True	9745	f2b7398c2788244d3b94340cb64771d693a8d83067ebfc3e91e604952dbebbb0	7	"shared_row_id	package_branch	case_key_or_bucket	jurisdiction_scope	source_depth_state	strongest_public_support_now	publication_safe_claim	publication_safe_limitation	current_support_refs	paper_thesis_use	shared_table_role	dashboard_hook	next_smallest_upgrade	caution"	results/boost/limen-dashboard-paper-forge/si-package/supplementary-s12.tsv	True	f2b7398c2788244d3b94340cb64771d693a8d83067ebfc3e91e604952dbebbb0	True	
S13	results/dashboard/public-sector-disclosure-comparison.tsv	True	9211	eaee7560d43157968a6f74e0a66768b8527595087d0f943bfcb8615bb7252200	6	"as_of_utc	shared_panel_row_id	comparison_row_id	case_id	jurisdiction	language	surface_class	core_or_sidecar_role	direct_source_resolved	document_depth_status	legal_basis_signal	procurement_or_register_trace_local	comparison_value_now	claim_ceiling_now	translation_review_state	dashboard_export_contract_now	shared_use_now	missing_to_reach_register_or_procurement_comparison	evidence_paths"	results/boost/limen-dashboard-paper-forge/si-package/supplementary-s13.tsv	True	eaee7560d43157968a6f74e0a66768b8527595087d0f943bfcb8615bb7252200	True	
S14	results/dashboard/public-sector-proof-ceilings.tsv	True	8287	4aa07b6e8fd469917f9cf2da4d43e06d06aa9f578dee4e8f211ba9a9c71ad98e	6	"as_of_utc	proof_row_id	comparison_row_id	jurisdiction	surface_class	current_traceability_rung	default_publication_role	default_view_state	buyer_side_trace_state	public_impact_or_companion_state	exact_row_or_public_impact_gap	reviewer_safe_claim_now	forbidden_overread	next_smallest_publishability_move	dashboard_hook	evidence_paths"	results/boost/limen-dashboard-paper-forge/si-package/supplementary-s14.tsv	True	4aa07b6e8fd469917f9cf2da4d43e06d06aa9f578dee4e8f211ba9a9c71ad98e	True	
S15	results/dashboard/supplementary-table-s1-panel-c-jurisdiction-tier.tsv	True	4652	c6341fd9050c928929ed124847a79813e082be5a9629b406ab7d85eda69761a7	35	"jurisdiction	T3_regulator_court	T2_contested_interim	T1_security_disclosure_CVE	evidence_grade_total	denominator_class	claim_ceiling"	results/boost/limen-dashboard-paper-forge/si-package/supplementary-s15.tsv	True	c6341fd9050c928929ed124847a79813e082be5a9629b406ab7d85eda69761a7	True	
