source_id	jurisdiction	language	source_family	evidence_tier	uncertainty_flags	has_lat_lon	notes
LIMEN-S-001	European Union	English	local structured legal knowledge	T2_corrob_context_source	not_authoritative	false	access_date=2026-06-06; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md; requested_input_missing=results/boost/limen-boost-009/ai-washing-posture-table-v0.1.tsv
LIMEN-S-002	Global	English	local seed ledger with external URL	T1_single_public_source		false	access_date=2026-06-06; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-003	Global	English	public standards/specification website	T3_authoritative_source		false	access_date=2026-06-06; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags; referenced_by=results/boost/limen-boost-007/source-delta.tsv;results/boost/limen-boost-019/provenance-confusion-publication-cells.tsv
LIMEN-S-004	Global	English	public technical specification	T3_authoritative_source		false	access_date=2026-06-06; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags; referenced_by=results/boost/limen-boost-007/source-delta.tsv;results/boost/limen-boost-019/provenance-confusion-publication-cells.tsv
LIMEN-S-005	EU/global	English	local analytical draft	T1_single_public_source	not_authoritative,analytical_only	false	access_date=2026-06-06; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md; referenced_by=results/boost/limen-boost-007/source-delta.tsv;results/boost/limen-boost-019/provenance-confusion-publication-cells.tsv
LIMEN-S-006	Global	English	public vulnerability record	T3_authoritative_source		false	access_date=2026-06-06; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-007	Global	English	public vulnerability record	T3_authoritative_source	single_source,verification_queue	false	access_date=2026-06-06; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-008	Global	English	public vulnerability record	T3_authoritative_source		false	access_date=2026-06-06; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-009	Global	English	public vulnerability record	T3_authoritative_source	verification_queue,fix_version_unverified	false	access_date=2026-06-06; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-010	Global	English	public vulnerability record	T3_authoritative_source	verification_queue	false	access_date=2026-06-06; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-011	European Union	English	public legal text	T3_authoritative_source		false	access_date=2026-06-06; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags; referenced_by=results/boost/limen-boost-007/source-delta.tsv;results/boost/limen-boost-019/provenance-confusion-publication-cells.tsv
LIMEN-S-012	Global	English	public vendor/platform security advisory API	T3_authoritative_source	no_prevalence_claim	false	access_date=2026-06-06; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-013	Global	English	public vendor/platform security advisory API	T3_authoritative_source		false	access_date=2026-06-06; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-014	Global	English	public vendor repository issue API	T2_corrob_context_source	not_formal_advisory	false	access_date=2026-06-06; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-015	Global	English	public coordination-center vulnerability API	T3_authoritative_source		false	access_date=2026-06-06; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-016	United States / Pennsylvania / multistate	English	public state attorney general press release mirror	T3_authoritative_source	no_prevalence_claim	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md; referenced_by=results/boost/limen-boost-007/source-delta.tsv
LIMEN-S-017	United States / multistate	English	public state attorney general document	T3_authoritative_source		false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags; referenced_by=results/boost/limen-boost-007/source-delta.tsv
LIMEN-S-018	United States	English	public federal agency press release	T3_authoritative_source		false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags; referenced_by=results/boost/limen-boost-007/source-delta.tsv
LIMEN-S-019	Global	English	public vendor/platform security advisory API	T3_authoritative_source	negative_evidence_only	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-020	Global	English	public vendor release-note API	T2_corrob_context_source	not_formal_advisory	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-021	Global	English	public vendor/platform security advisory API	T3_authoritative_source	negative_evidence_only	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
SRC-SEC-2024-36	United States	English	public federal regulator press release	T3_authoritative_source	settlement_posture,no_prevalence_claim	false	access_date=2026-06-06; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md; requested_input_missing=results/boost/limen-boost-009/ai-washing-posture-table-v0.1.tsv
SRC-SEC-IA-6573	United States	English	public federal regulator administrative order	T3_authoritative_source	settlement_posture,not_adjudicated	false	access_date=2026-06-06; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md; requested_input_missing=results/boost/limen-boost-009/ai-washing-posture-table-v0.1.tsv
SRC-SEC-IA-6574	United States	English	public federal regulator administrative order	T3_authoritative_source	settlement_posture,not_adjudicated	false	access_date=2026-06-06; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md; requested_input_missing=results/boost/limen-boost-009/ai-washing-posture-table-v0.1.tsv
LIMEN-S-022	United States	English	public federal enforcement press release	T2_corrob_context_source	allegation_stage,not_adjudicated	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-023	United States	English	public federal court/enforcement document	T3_authoritative_source	allegation_stage	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-024	Global	English	public vendor repository issue API	T2_corrob_context_source	not_formal_advisory	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-025	Global	English	public vendor release-note API	T2_corrob_context_source	negative_evidence_only	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-026	Global	English	public vendor repository tags API	T2_corrob_context_source		false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-027	Finland	Finnish	public broadcaster news article	T3_authoritative_source	machine_translation_review_needed	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-028	United States	English	public federal regulator document	T3_authoritative_source		false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags; referenced_by=results/boost/limen-boost-007/source-delta.tsv
LIMEN-S-029	United States	English	public federal regulator enforcement document	T3_authoritative_source	allegation_stage,not_adjudicated	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md; referenced_by=results/boost/limen-boost-007/source-delta.tsv
LIMEN-S-030	United States / global	English	public standards/governance framework	T2_corrob_context_source	context_only	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-031	Global	English	public intergovernmental policy standard page	T3_authoritative_source		false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-032	Global	English	public vulnerability record	T3_authoritative_source		false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-033	Global	English	public independent-lab security advisory	T2_corrob_context_source	source_qualified_version	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-034	Finland	Finnish	public national police news article	T3_authoritative_source	discovery_only,machine_translation_review_needed	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-035	Finland	Finnish	public justice ministry article	T2_corrob_context_source	context_only,machine_translation_review_needed	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-036	Global	English	public vulnerability record	T3_authoritative_source	source_qualified_version	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-037	Global	English	public independent-lab security advisory	T3_authoritative_source	source_qualified_version	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-038	Finland	Finnish	public judicial portal search API	T2_corrob_context_source	negative_evidence_only,search_surface_only,machine_translation_review_needed	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-039	Finland	Finnish	public court search page	T2_corrob_context_source	search_surface_only,machine_translation_review_needed	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-040	Global	English	public intergovernmental ethics/governance framework	T3_authoritative_source		false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-041	Global	English	public vulnerability record	T3_authoritative_source		false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-042	Global	English	public vendor/platform security advisory API	T3_authoritative_source		false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-043	Slovenia	Slovenian	public national police project page	T3_authoritative_source	machine_translation_review_needed	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-044	Slovenia	Slovenian	public regional news article	T2_corrob_context_source	verification_queue,machine_translation_review_needed	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
