join_audit_id	dashboard_export	sidecar_id	row_key	dashboard_surface	manuscript_surface	join_status	candidate_source_id	candidate_source_title	candidate_path_or_url	candidate_access_date	candidate_rights_terms_note	sidecar_accessed_at_status	sidecar_rights_terms_status	claim_ceiling	uncertainty_flag	public_dashboard_action	reviewer_safe_reading
SLJ-001	results/dashboard/source-family-coverage.tsv	DRPS-001	sf01	Source-family saturation map	Figure 1 / Figure 4	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Use only for methods, taxonomy, comparator, or related-work framing; not a shared empirical claim family now.	no	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	source-family saturation and uncertainty; not completeness
SLJ-002	results/dashboard/source-family-coverage.tsv	DRPS-002	sf02	Source-family saturation map	Figure 1 / Figure 4	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Use only for methods, taxonomy, comparator, or related-work framing; not a shared empirical claim family now.	no	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	source-family saturation and uncertainty; not completeness
SLJ-003	results/dashboard/source-family-coverage.tsv	DRPS-003	sf03	Source-family saturation map	Figure 1 / Figure 4	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	May support shared package explanation or comparator context, but should not stand alone as a shared empirical claim anchor.	no	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	source-family saturation and uncertainty; not completeness
SLJ-004	results/dashboard/source-family-coverage.tsv	DRPS-004	sf04	Source-family saturation map	Figure 1 / Figure 4	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	May support shared package explanation or comparator context, but should not stand alone as a shared empirical claim anchor.	no	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	source-family saturation and uncertainty; not completeness
SLJ-005	results/dashboard/source-family-coverage.tsv	DRPS-005	sf05	Source-family saturation map	Figure 1 / Figure 4	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Use only for methods, taxonomy, comparator, or related-work framing; not a shared empirical claim family now.	no	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	source-family saturation and uncertainty; not completeness
SLJ-006	results/dashboard/source-family-coverage.tsv	DRPS-006	sf06	Source-family saturation map	Figure 1 / Figure 4	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Use only for methods, taxonomy, comparator, or related-work framing; not a shared empirical claim family now.	no	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	source-family saturation and uncertainty; not completeness
SLJ-007	results/dashboard/source-family-coverage.tsv	DRPS-007	sf07	Source-family saturation map	Figure 1 / Figure 4	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	May support bounded shared empirical claims when exact cited source limits remain attached.	no	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	source-family saturation and uncertainty; not completeness
SLJ-008	results/dashboard/source-family-coverage.tsv	DRPS-008	sf08	Source-family saturation map	Figure 1 / Figure 4	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	May support bounded shared empirical claims when exact cited source limits remain attached.	yes	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	source-family saturation and uncertainty; not completeness
SLJ-009	results/dashboard/source-family-coverage.tsv	DRPS-009	sf09	Source-family saturation map	Figure 1 / Figure 4	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	May support bounded shared empirical claims when exact cited source limits remain attached.	yes	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	source-family saturation and uncertainty; not completeness
SLJ-010	results/dashboard/source-family-coverage.tsv	DRPS-010	sf10	Source-family saturation map	Figure 1 / Figure 4	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	May support shared package explanation or comparator context, but should not stand alone as a shared empirical claim anchor.	no	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	source-family saturation and uncertainty; not completeness
SLJ-011	results/dashboard/source-family-coverage.tsv	DRPS-011	sf11	Source-family saturation map	Figure 1 / Figure 4	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	May support bounded shared empirical claims when exact cited source limits remain attached.	yes	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	source-family saturation and uncertainty; not completeness
SLJ-012	results/dashboard/source-family-coverage.tsv	DRPS-012	sf12	Source-family saturation map	Figure 1 / Figure 4	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	May support bounded shared empirical claims when exact cited source limits remain attached.	no	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	source-family saturation and uncertainty; not completeness
SLJ-013	results/dashboard/source-family-coverage.tsv	DRPS-013	sf13	Source-family saturation map	Figure 1 / Figure 4	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	May support bounded shared empirical claims when exact cited source limits remain attached.	yes	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	source-family saturation and uncertainty; not completeness
SLJ-014	results/dashboard/source-family-coverage.tsv	DRPS-014	sf14	Source-family saturation map	Figure 1 / Figure 4	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Planned frontier only; still not safe for shared claims, but one governed lead-queue row now exists and remains below seeded use.	no	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	source-family saturation and uncertainty; not completeness
SLJ-015	results/dashboard/source-family-coverage.tsv	DRPS-015	sf15	Source-family saturation map	Figure 1 / Figure 4	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Planned frontier only; still not safe for shared claims, but one governed residual queue row now exists and remains below seeded use.	no	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	source-family saturation and uncertainty; not completeness
SLJ-016	results/dashboard/taxonomy-heatmap.tsv	DRPS-016	unlawful_or_allegedly_unlawful_use	Taxonomy heatmap	Figure 2 / Table 2	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	posture-aware comparison across accusation, enforcement, and suspected misuse rows	mixed_authority_with_single_public_dependence; translation_caution_exposed; procedure_posture_mixed	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	taxonomy support and residual pressure; not prevalence
SLJ-017	results/dashboard/taxonomy-heatmap.tsv	DRPS-017	security_risk	Taxonomy heatmap	Figure 2 / Table 2	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	bounded repeated-mechanism overlay inside existing taxonomy labels	single_jurisdiction_concentrated; single_language_concentrated; mixed_authority_with_single_public_dependence; framework_security_slice_global_english_skew	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	taxonomy support and residual pressure; not prevalence
SLJ-018	results/dashboard/taxonomy-heatmap.tsv	DRPS-018	agentic_control_failure	Taxonomy heatmap	Figure 2 / Table 2	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	bounded repeated-mechanism overlay inside existing taxonomy labels	single_jurisdiction_concentrated; single_language_concentrated; mixed_authority_with_single_public_dependence; framework_security_slice_global_english_skew	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	taxonomy support and residual pressure; not prevalence
SLJ-019	results/dashboard/taxonomy-heatmap.tsv	DRPS-019	institutional_absurdity	Taxonomy heatmap	Figure 2 / Table 2	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	residual-pressure queue and small governance-anomaly appendix	all_single_public_source; translation_caution_exposed; media_heavy_authority_thin	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	taxonomy support and residual pressure; not prevalence
SLJ-020	results/dashboard/taxonomy-heatmap.tsv	DRPS-020	public_sector_misuse_or_gap	Taxonomy heatmap	Figure 2 / Table 2	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	small comparison panel on disclosure-surface heterogeneity	mixed_authority_with_single_public_dependence; translation_caution_exposed; heterogeneous_surface_not_one_proof_class	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	taxonomy support and residual pressure; not prevalence
SLJ-021	results/dashboard/taxonomy-heatmap.tsv	DRPS-021	deepfake_or_synthetic_identity	Taxonomy heatmap	Figure 2 / Table 2	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	limitations-forward queue and provenance-confusion methods panel	mixed_authority_with_single_public_dependence; translation_caution_exposed; direct_authority_gap	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	taxonomy support and residual pressure; not prevalence
SLJ-022	results/dashboard/taxonomy-heatmap.tsv	DRPS-022	legal_procedural_contamination	Taxonomy heatmap	Figure 2 / Table 2	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	source-depth panel pairing a document-grade anchor with a broadcaster-resolved comparator	pair_only; mixed_authority_with_single_public_dependence; translation_caution_exposed; one_document_anchor_one_broadcaster_anchor	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	taxonomy support and residual pressure; not prevalence
SLJ-023	results/dashboard/taxonomy-heatmap.tsv	DRPS-023	health_medical_or_mental_health	Taxonomy heatmap	Figure 2 / Table 2	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	methods safeguard and zero-seed heatmap row	zero_seed_methods_guardrail	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	taxonomy support and residual pressure; not prevalence
SLJ-024	results/dashboard/taxonomy-heatmap.tsv	DRPS-024	education_workplace_or_hr	Taxonomy heatmap	Figure 2 / Table 2	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	cross-domain comparator for hiring, schooling, and worker monitoring	mixed_authority_with_single_public_dependence; translation_caution_exposed	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	taxonomy support and residual pressure; not prevalence
SLJ-025	results/dashboard/taxonomy-heatmap.tsv	DRPS-025	finance_insurance_or_market	Taxonomy heatmap	Figure 2 / Table 2	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	narrow sector-concentrated comparator attached to AI-washing findings	pair_only; single_jurisdiction_concentrated; single_language_concentrated; authority_anchor_heavy; sector_concentrated_finance_heavy	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	taxonomy support and residual pressure; not prevalence
SLJ-026	results/dashboard/taxonomy-heatmap.tsv	DRPS-026	surveillance_biometrics_or_policing	Taxonomy heatmap	Figure 2 / Table 2	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	boxed comparator on biometric governance and policing/border-control tensions	translation_caution_exposed; authority_anchor_heavy; uk_ico_plus_slovenia_triangle	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	taxonomy support and residual pressure; not prevalence
SLJ-027	results/dashboard/taxonomy-heatmap.tsv	DRPS-027	research_integrity	Taxonomy heatmap	Figure 2 / Table 2	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	count-invariant zero-seed row with sidecar shadow-package explanation	zero_seed_methods_guardrail; locally_non_empty_shadow_package	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	taxonomy support and residual pressure; not prevalence
SLJ-028	results/dashboard/taxonomy-heatmap.tsv	DRPS-028	ai_washing_or_false_ai_claim	Taxonomy heatmap	Figure 2 / Table 2	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Table 1C posture ladder with settled SEC rows separated from accusation-stage hidden-human evidence	mixed_authority_with_single_public_dependence; translation_caution_exposed; sector_concentrated_finance_heavy	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	taxonomy support and residual pressure; not prevalence
SLJ-029	results/dashboard/taxonomy-heatmap.tsv	DRPS-029	normative_or_moral_outlier	Taxonomy heatmap	Figure 2 / Table 2	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	bounded interpretive overlay spanning governance anomalies	mixed_authority_with_single_public_dependence; translation_caution_exposed; interpretive_ceiling_high	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	taxonomy support and residual pressure; not prevalence
SLJ-030	results/dashboard/taxonomy-heatmap.tsv	DRPS-030	residual_unclassified	Taxonomy heatmap	Figure 2 / Table 2	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	methods safeguard and zero-seed heatmap row	zero_seed_methods_guardrail	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	taxonomy support and residual pressure; not prevalence
SLJ-031	results/dashboard/evidence-funnel.tsv	DRPS-031	T0_discovered_lead	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	no_source_ledger_match						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Counts still require confidence-cap interpretation; do not equate lineages with equally strong article support.	safe_only_after_normalized_record_key_or_lineage_key_collapse	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	evidence maturity and proof ceilings; not truth or legal finding
SLJ-032	results/dashboard/evidence-funnel.tsv	DRPS-032	T1_single_public_source	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	no_source_ledger_match						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Counts still require confidence-cap interpretation; do not equate lineages with equally strong article support.	safe_only_after_normalized_record_key_or_lineage_key_collapse	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	evidence maturity and proof ceilings; not truth or legal finding
SLJ-033	results/dashboard/evidence-funnel.tsv	DRPS-033	T2_corroborated_record	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	no_source_ledger_match						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Counts still require confidence-cap interpretation; do not equate lineages with equally strong article support.	safe_only_after_normalized_record_key_or_lineage_key_collapse	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	evidence maturity and proof ceilings; not truth or legal finding
SLJ-034	results/dashboard/evidence-funnel.tsv	DRPS-034	T3_authoritative_source	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	no_source_ledger_match						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Counts still require confidence-cap interpretation; do not equate lineages with equally strong article support.	safe_only_after_normalized_record_key_or_lineage_key_collapse	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	evidence maturity and proof ceilings; not truth or legal finding
SLJ-035	results/dashboard/evidence-funnel.tsv	DRPS-035	T3_authoritative_source_direct_url_resolved	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	no_source_ledger_match						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Counts still require confidence-cap interpretation; do not equate lineages with equally strong article support.	safe_only_after_normalized_record_key_or_lineage_key_collapse	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	evidence maturity and proof ceilings; not truth or legal finding
SLJ-036	results/dashboard/evidence-funnel.tsv	DRPS-036	T4_technically_validated_record	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	no_source_ledger_match						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Counts still require confidence-cap interpretation; do not equate lineages with equally strong article support.	safe_only_after_normalized_record_key_or_lineage_key_collapse	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	evidence maturity and proof ceilings; not truth or legal finding
SLJ-037	results/dashboard/evidence-funnel.tsv	DRPS-037	high	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	no_source_ledger_match						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Use to separate manuscript-safe exemplars from provisional or limitations-only rows.	safe_only_after_normalized_record_key_or_lineage_key_collapse	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	evidence maturity and proof ceilings; not truth or legal finding
SLJ-038	results/dashboard/evidence-funnel.tsv	DRPS-038	medium	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	no_source_ledger_match						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Use to separate manuscript-safe exemplars from provisional or limitations-only rows.	safe_only_after_normalized_record_key_or_lineage_key_collapse	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	evidence maturity and proof ceilings; not truth or legal finding
SLJ-039	results/dashboard/evidence-funnel.tsv	DRPS-039	low	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	no_source_ledger_match						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Use to separate manuscript-safe exemplars from provisional or limitations-only rows.	safe_only_after_normalized_record_key_or_lineage_key_collapse	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	evidence maturity and proof ceilings; not truth or legal finding
SLJ-040	results/dashboard/evidence-funnel.tsv	DRPS-040	not_translation_dependent	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	no_source_ledger_match						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Translation-dependent rows need explicit caution in map/funnel prose and should not harden into comparative legal claims.	safe_only_after_normalized_record_key_or_lineage_key_collapse	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	evidence maturity and proof ceilings; not truth or legal finding
