as_of_utc	lane_id	record_ref	record_title	duplicate_control_states	state_count	cluster_refs	lineage_role	evidence_tier	jurisdictions	languages	interpretation_hook
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000001	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	identifier_collision_blocker	1	REVIEW-IDCOLLISION-LIMEN-000001:identifier_collision_blocker	single_state	T3_authoritative_source	Italy	it	single-state control only
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	identifier_collision_blocker	1	REVIEW-IDCOLLISION-LIMEN-000002:identifier_collision_blocker	single_state	T3_authoritative_source	United States	en	single-state control only
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	reviewed_not_duplicate|identifier_collision_blocker	2	REVIEW-IDCOLLISION-LIMEN-000003:identifier_collision_blocker|REVIEW-NOMERGE-ICO-001:reviewed_not_duplicate	multi_state	T3_authoritative_source	United Kingdom	en	non-merge reasoning plus join-safety burden travel together
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000004	UK ICO reprimands Essex school over facial-recognition canteen payments	reviewed_not_duplicate|identifier_collision_blocker	2	REVIEW-IDCOLLISION-LIMEN-000004:identifier_collision_blocker|REVIEW-NOMERGE-ICO-001:reviewed_not_duplicate	multi_state	T3_authoritative_source	United Kingdom	en	non-merge reasoning plus join-safety burden travel together
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000005	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	identifier_collision_blocker	1	REVIEW-IDCOLLISION-LIMEN-000005:identifier_collision_blocker	single_state	T3_authoritative_source	United States	en	single-state control only
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000006	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	stable_duplicate_cluster|reviewed_not_duplicate|identifier_collision_blocker	3	REVIEW-IDCOLLISION-LIMEN-000006:identifier_collision_blocker|CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318:stable_duplicate_cluster	multi_state	T3_authoritative_source	United States	en	lineage collapse plus join-safety burden travel together
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000007	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	stable_duplicate_cluster|reviewed_not_duplicate|identifier_collision_blocker	3	REVIEW-IDCOLLISION-LIMEN-000007:identifier_collision_blocker|CLUSTER-DERIVATIVE-SEC-GP-20260318:stable_duplicate_cluster	multi_state	T3_authoritative_source	United States	en	lineage collapse plus join-safety burden travel together
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000008	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing	stable_duplicate_cluster|reviewed_not_duplicate|identifier_collision_blocker|no_cluster_review_row	4	REVIEW-SINGLETON-LIMEN-000008:no_cluster_review_row|REVIEW-IDCOLLISION-LIMEN-000008:identifier_collision_blocker|CLUSTER-DERIVATIVE-LIMEN-007-CAND-003:stable_duplicate_cluster	multi_state	T3_authoritative_source	United States	en	lineage collapse plus join-safety burden travel together
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000009	Slovenian police ORION page describes AI-assisted border-management pilot with encrypted-biometric-processing language	stable_duplicate_cluster|reviewed_not_duplicate|identifier_collision_blocker	3	CLUSTER-DERIVATIVE-LMWCS-20260606-004:stable_duplicate_cluster|REVIEW-IDCOLLISION-LIMEN-000009:identifier_collision_blocker	multi_state	T3_authoritative_source	Slovenia	sl	lineage collapse plus join-safety burden travel together
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000010	FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims	reviewed_not_duplicate|no_cluster_review_row	2	REVIEW-SINGLETON-LIMEN-000010:no_cluster_review_row|REVIEW-NOMERGE-FTC-001:reviewed_not_duplicate	multi_state	T3_authoritative_source	United States	en	standalone lineage plus reviewer-safe recurrence overlay travel together
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000011	FTC final order and complaint package on Workado / Content at Scale AI detector accuracy claims	reviewed_not_duplicate|no_cluster_review_row	2	REVIEW-SINGLETON-LIMEN-000011:no_cluster_review_row|REVIEW-NOMERGE-FTC-001:reviewed_not_duplicate	multi_state	T3_authoritative_source	United States	en	standalone lineage plus reviewer-safe recurrence overlay travel together
