as_of_utc	audit_id	cluster_id	cluster_status	language_scope_before	language_scope_after	changed	normalization_note
2026-06-08T05:02:09Z	DLNR-001	REVIEW-IDCOLLISION-LIMEN-000001	identifier_collision_blocker	English;it;en	en;it	yes	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-002	REVIEW-IDCOLLISION-LIMEN-000002	identifier_collision_blocker	English;en	en	yes	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-003	REVIEW-IDCOLLISION-LIMEN-000003	identifier_collision_blocker	English;en	en	yes	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-004	REVIEW-IDCOLLISION-LIMEN-000004	identifier_collision_blocker	English;en	en	yes	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-005	REVIEW-IDCOLLISION-LIMEN-000005	identifier_collision_blocker	en	en	no	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-006	REVIEW-IDCOLLISION-LIMEN-000006	identifier_collision_blocker	en;English	en	yes	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-007	REVIEW-IDCOLLISION-LIMEN-000007	identifier_collision_blocker	en;English	en	yes	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-008	CLUSTER-DERIVATIVE-LMWCS-20260606-001	stable_duplicate_cluster	fi	fi	no	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-009	CLUSTER-DERIVATIVE-LMWCS-20260606-003	stable_duplicate_cluster	lt	lt	no	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-010	CLUSTER-DERIVATIVE-LMWCS-20260606-004	stable_duplicate_cluster	sl	sl	no	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-011	CLUSTER-DERIVATIVE-LMWCS-20260606-005	stable_duplicate_cluster	sl	sl	no	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
