generated_at_utc	category_code	dashboard_seed_case_count	live_core_seed_case_count	delta_seed_case_count	dashboard_authoritative_seed_count	live_core_authoritative_seed_count	delta_authoritative_seed_count	dashboard_live_denominator_contract	expected_live_denominator_contract	row_state	notes
2026-06-08T10:58:44Z	unlawful_or_allegedly_unlawful_use	5	6	1	3	4	1	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	stale	seed_count,authoritative_count,denominator_contract
2026-06-08T10:58:44Z	security_risk	10	11	1	9	10	1	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	stale	seed_count,authoritative_count,denominator_contract
2026-06-08T10:58:44Z	agentic_control_failure	10	11	1	9	10	1	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	stale	seed_count,authoritative_count,denominator_contract
2026-06-08T10:58:44Z	institutional_absurdity	3	3	0	0	0	0	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	stale	denominator_contract
2026-06-08T10:58:44Z	public_sector_misuse_or_gap	8	8	0	5	5	0	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	stale	denominator_contract
2026-06-08T10:58:44Z	deepfake_or_synthetic_identity	3	3	0	1	1	0	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	stale	denominator_contract
2026-06-08T10:58:44Z	legal_procedural_contamination	3	3	0	2	2	0	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	stale	denominator_contract
2026-06-08T10:58:44Z	health_medical_or_mental_health	0	0	0	0	0	0	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	stale	denominator_contract
2026-06-08T10:58:44Z	education_workplace_or_hr	6	6	0	5	5	0	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	stale	denominator_contract
2026-06-08T10:58:44Z	finance_insurance_or_market	2	2	0	2	2	0	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	stale	denominator_contract
2026-06-08T10:58:44Z	surveillance_biometrics_or_policing	3	4	1	3	4	1	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	stale	seed_count,authoritative_count,denominator_contract
2026-06-08T10:58:44Z	research_integrity	0	0	0	0	0	0	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	stale	denominator_contract
2026-06-08T10:58:44Z	ai_washing_or_false_ai_claim	6	6	0	5	5	0	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	stale	denominator_contract
2026-06-08T10:58:44Z	normative_or_moral_outlier	5	5	0	3	3	0	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	stale	denominator_contract
2026-06-08T10:58:44Z	residual_unclassified	0	0	0	0	0	0	35_visible_rows/27_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	stale	denominator_contract
