as_of_utc	cluster_id	check_id	status
2026-06-07T22:05:33Z	REVIEW-IDCOLLISION-LIMEN-000001	evidence_tier_format	pass
2026-06-07T22:05:33Z	REVIEW-IDCOLLISION-LIMEN-000001	jurisdiction_not_empty	pass
2026-06-07T22:05:33Z	REVIEW-IDCOLLISION-LIMEN-000001	language_not_empty	pass
2026-06-07T22:05:33Z	REVIEW-IDCOLLISION-LIMEN-000001	updated_at_present	pass
2026-06-07T22:05:33Z	REVIEW-IDCOLLISION-LIMEN-000001	member_case_ids_present	pass
2026-06-07T22:05:33Z	REVIEW-IDCOLLISION-LIMEN-000002	evidence_tier_format	pass
2026-06-07T22:05:33Z	REVIEW-IDCOLLISION-LIMEN-000002	jurisdiction_not_empty	pass
2026-06-07T22:05:33Z	REVIEW-IDCOLLISION-LIMEN-000002	language_not_empty	pass
2026-06-07T22:05:33Z	REVIEW-IDCOLLISION-LIMEN-000002	updated_at_present	pass
2026-06-07T22:05:33Z	REVIEW-IDCOLLISION-LIMEN-000002	member_case_ids_present	pass
2026-06-07T22:05:33Z	REVIEW-IDCOLLISION-LIMEN-000003	evidence_tier_format	pass
2026-06-07T22:05:33Z	REVIEW-IDCOLLISION-LIMEN-000003	jurisdiction_not_empty	pass
2026-06-07T22:05:33Z	REVIEW-IDCOLLISION-LIMEN-000003	language_not_empty	pass
2026-06-07T22:05:33Z	REVIEW-IDCOLLISION-LIMEN-000003	updated_at_present	pass
2026-06-07T22:05:33Z	REVIEW-IDCOLLISION-LIMEN-000003	member_case_ids_present	pass
2026-06-07T22:05:33Z	REVIEW-IDCOLLISION-LIMEN-000004	evidence_tier_format	pass
2026-06-07T22:05:33Z	REVIEW-IDCOLLISION-LIMEN-000004	jurisdiction_not_empty	pass
2026-06-07T22:05:33Z	REVIEW-IDCOLLISION-LIMEN-000004	language_not_empty	pass
2026-06-07T22:05:33Z	REVIEW-IDCOLLISION-LIMEN-000004	updated_at_present	pass
