as_of_utc	scope_id	scope_label	limen_category	unique_lineages	authoritative_or_direct_official_lineages	single_public_lineages	lineages_with_singleton_watch_state	lineages_with_identifier_collision_blocker	lineages_with_reviewed_not_duplicate_state	lineages_with_stable_duplicate_collapse	lineages_with_explicit_residual_frontier_extension	example_titles	visualization_hook	interpretation_ceiling
2026-06-07T19:45:12Z	core_seeded_duplicate_taxonomy_scope	Core seeded duplicate/taxonomy scope excluding residual frontier extension	agentic_control_failure	10	9	1	2	10	7	0	0	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename | Langflow custom_component endpoint allows public candidate record for remote code execution risk	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	core_seeded_duplicate_taxonomy_scope	Core seeded duplicate/taxonomy scope excluding residual frontier extension	ai_washing_or_false_ai_claim	6	5	1	2	3	2	3	0	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing | SEC settlement with Delphia over false and misleading statements about AI and machine learning use	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	core_seeded_duplicate_taxonomy_scope	Core seeded duplicate/taxonomy scope excluding residual frontier extension	deepfake_or_synthetic_identity	3	1	2	2	1	0	2	0	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing | Crime suspicion: a man used AI to falsify nude images of relatives and co-workers in a small northern Finnish town	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	core_seeded_duplicate_taxonomy_scope	Core seeded duplicate/taxonomy scope excluding residual frontier extension	education_workplace_or_hr	6	5	1	2	4	3	1	0	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software | UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	core_seeded_duplicate_taxonomy_scope	Core seeded duplicate/taxonomy scope excluding residual frontier extension	finance_insurance_or_market	2	2	0	0	2	0	2	0	SEC settlement with Delphia over false and misleading statements about AI and machine learning use | SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	core_seeded_duplicate_taxonomy_scope	Core seeded duplicate/taxonomy scope excluding residual frontier extension	institutional_absurdity	3	0	3	0	0	0	3	0	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist | In Sveta Trojica, artificial intelligence already stands in for a secretary	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	core_seeded_duplicate_taxonomy_scope	Core seeded duplicate/taxonomy scope excluding residual frontier extension	legal_procedural_contamination	3	2	1	1	1	1	1	0	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy | FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	core_seeded_duplicate_taxonomy_scope	Core seeded duplicate/taxonomy scope excluding residual frontier extension	normative_or_moral_outlier	5	3	2	1	3	1	2	0	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy | UK ICO reprimands Essex school over facial-recognition canteen payments	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	core_seeded_duplicate_taxonomy_scope	Core seeded duplicate/taxonomy scope excluding residual frontier extension	public_sector_misuse_or_gap	8	5	3	2	5	2	5	0	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring | UK ICO reprimands Essex school over facial-recognition canteen payments	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	core_seeded_duplicate_taxonomy_scope	Core seeded duplicate/taxonomy scope excluding residual frontier extension	security_risk	10	9	1	2	10	7	0	0	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename | Langflow custom_component endpoint allows public candidate record for remote code execution risk	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	core_seeded_duplicate_taxonomy_scope	Core seeded duplicate/taxonomy scope excluding residual frontier extension	surveillance_biometrics_or_policing	3	3	0	0	3	2	1	0	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring | UK ICO reprimands Essex school over facial-recognition canteen payments	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	core_seeded_duplicate_taxonomy_scope	Core seeded duplicate/taxonomy scope excluding residual frontier extension	unlawful_or_allegedly_unlawful_use	5	3	2	2	3	0	2	0	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software | DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	extended_reviewed_local_surface	Extended reviewed local surface including explicit residual frontier singleton	agentic_control_failure	10	9	1	2	10	7	0	0	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename | Langflow custom_component endpoint allows public candidate record for remote code execution risk	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	extended_reviewed_local_surface	Extended reviewed local surface including explicit residual frontier singleton	ai_washing_or_false_ai_claim	6	5	1	2	3	2	3	0	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing | SEC settlement with Delphia over false and misleading statements about AI and machine learning use	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	extended_reviewed_local_surface	Extended reviewed local surface including explicit residual frontier singleton	deepfake_or_synthetic_identity	3	1	2	2	1	0	2	0	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing | Crime suspicion: a man used AI to falsify nude images of relatives and co-workers in a small northern Finnish town	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	extended_reviewed_local_surface	Extended reviewed local surface including explicit residual frontier singleton	education_workplace_or_hr	6	5	1	2	4	3	1	0	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software | UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	extended_reviewed_local_surface	Extended reviewed local surface including explicit residual frontier singleton	finance_insurance_or_market	2	2	0	0	2	0	2	0	SEC settlement with Delphia over false and misleading statements about AI and machine learning use | SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	extended_reviewed_local_surface	Extended reviewed local surface including explicit residual frontier singleton	institutional_absurdity	3	0	3	0	0	0	3	0	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist | In Sveta Trojica, artificial intelligence already stands in for a secretary	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	extended_reviewed_local_surface	Extended reviewed local surface including explicit residual frontier singleton	legal_procedural_contamination	3	2	1	1	1	1	1	0	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy | FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	extended_reviewed_local_surface	Extended reviewed local surface including explicit residual frontier singleton	normative_or_moral_outlier	5	3	2	1	3	1	2	0	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy | UK ICO reprimands Essex school over facial-recognition canteen payments	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	extended_reviewed_local_surface	Extended reviewed local surface including explicit residual frontier singleton	public_sector_misuse_or_gap	8	5	3	2	5	2	5	0	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring | UK ICO reprimands Essex school over facial-recognition canteen payments	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	extended_reviewed_local_surface	Extended reviewed local surface including explicit residual frontier singleton	research_integrity	1	0	1	1	0	0	0	1	A citation alert led researchers to a network of fake articles. But who is benefiting?	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	extended_reviewed_local_surface	Extended reviewed local surface including explicit residual frontier singleton	residual_unclassified	1	0	1	1	0	0	0	1	A citation alert led researchers to a network of fake articles. But who is benefiting?	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	extended_reviewed_local_surface	Extended reviewed local surface including explicit residual frontier singleton	security_risk	10	9	1	2	10	7	0	0	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename | Langflow custom_component endpoint allows public candidate record for remote code execution risk	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	extended_reviewed_local_surface	Extended reviewed local surface including explicit residual frontier singleton	surveillance_biometrics_or_policing	3	3	0	0	3	2	1	0	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring | UK ICO reprimands Essex school over facial-recognition canteen payments	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
2026-06-07T19:45:12Z	extended_reviewed_local_surface	Extended reviewed local surface including explicit residual frontier singleton	unlawful_or_allegedly_unlawful_use	5	3	2	2	3	0	2	0	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software | DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	taxonomy heatmap / duplicate-control overlay	count-bearing only within scope-specific lineage denominator; do not narrate recurrence from duplicate-control state alone
