as_of_utc	audit_id	cluster_id	cluster_status	member_count	language_scope_raw	member_language_values_raw	normalized_scope_codes	normalized_member_codes	scope_member_alignment	mixed_code_name_surface	non_iso_scope_tokens	non_iso_member_tokens	missing_member_records	normalization_status	review_note
2026-06-07T22:05:33Z	DLNA-001	REVIEW-IDCOLLISION-LIMEN-000001	identifier_collision_blocker	3	English;it;en	it;English;en	en;it	en;it	aligned	yes	English	English	(none)	normalization_caution	Normalize to ISO language codes on dashboard/export surfaces while preserving original source values in provenance.
2026-06-07T22:05:33Z	DLNA-002	REVIEW-IDCOLLISION-LIMEN-000002	identifier_collision_blocker	3	English;en	en;English;en	en	en	aligned	yes	English	English	(none)	normalization_caution	Normalize to ISO language codes on dashboard/export surfaces while preserving original source values in provenance.
2026-06-07T22:05:33Z	DLNA-003	REVIEW-IDCOLLISION-LIMEN-000003	identifier_collision_blocker	2	English;en	en;English	en	en	aligned	yes	English	English	(none)	normalization_caution	Normalize to ISO language codes on dashboard/export surfaces while preserving original source values in provenance.
2026-06-07T22:05:33Z	DLNA-004	REVIEW-IDCOLLISION-LIMEN-000004	identifier_collision_blocker	2	English;en	en;English	en	en	aligned	yes	English	English	(none)	normalization_caution	Normalize to ISO language codes on dashboard/export surfaces while preserving original source values in provenance.
2026-06-07T22:05:33Z	DLNA-005	REVIEW-IDCOLLISION-LIMEN-000005	identifier_collision_blocker	2	en	en;English	en	en	aligned	no	(none)	English	(none)	normalization_caution	Normalize to ISO language codes on dashboard/export surfaces while preserving original source values in provenance.
2026-06-07T22:05:33Z	DLNA-006	REVIEW-IDCOLLISION-LIMEN-000006	identifier_collision_blocker	2	en;English	en;English	en	en	aligned	yes	English	English	(none)	normalization_caution	Normalize to ISO language codes on dashboard/export surfaces while preserving original source values in provenance.
2026-06-07T22:05:33Z	DLNA-007	REVIEW-IDCOLLISION-LIMEN-000007	identifier_collision_blocker	2	en;English	en;English	en	en	aligned	yes	English	English	(none)	normalization_caution	Normalize to ISO language codes on dashboard/export surfaces while preserving original source values in provenance.
2026-06-07T22:05:33Z	DLNA-008	CLUSTER-DERIVATIVE-LMWCS-20260606-001	stable_duplicate_cluster	2	fi	fi;fi	fi	fi	aligned	no	(none)	(none)	(none)	clean	No language-normalization issue detected in current cluster/member comparison.
2026-06-07T22:05:33Z	DLNA-009	CLUSTER-DERIVATIVE-LMWCS-20260606-003	stable_duplicate_cluster	2	lt	lt;lt	lt	lt	aligned	no	(none)	(none)	(none)	clean	No language-normalization issue detected in current cluster/member comparison.
2026-06-07T22:05:33Z	DLNA-010	CLUSTER-DERIVATIVE-LMWCS-20260606-004	stable_duplicate_cluster	3	sl	sl;sl;sl	sl	sl	aligned	no	(none)	(none)	(none)	clean	No language-normalization issue detected in current cluster/member comparison.
2026-06-07T22:05:33Z	DLNA-011	CLUSTER-DERIVATIVE-LMWCS-20260606-005	stable_duplicate_cluster	2	sl	sl;sl	sl	sl	aligned	no	(none)	(none)	(none)	clean	No language-normalization issue detected in current cluster/member comparison.
2026-06-07T22:05:33Z	DLNA-012	CLUSTER-DERIVATIVE-LMWCS-20260606-006	stable_duplicate_cluster	2	et	et;et	et	et	aligned	no	(none)	(none)	(none)	clean	No language-normalization issue detected in current cluster/member comparison.
2026-06-07T22:05:33Z	DLNA-013	CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318	stable_duplicate_cluster	2	en	en;en	en	en	aligned	no	(none)	(none)	(none)	clean	No language-normalization issue detected in current cluster/member comparison.
2026-06-07T22:05:33Z	DLNA-014	CLUSTER-DERIVATIVE-SEC-GP-20260318	stable_duplicate_cluster	2	en	en;en	en	en	aligned	no	(none)	(none)	(none)	clean	No language-normalization issue detected in current cluster/member comparison.
2026-06-07T22:05:33Z	DLNA-015	REVIEW-NOMERGE-CODEEXEC-001	reviewed_not_duplicate	2	English	English;English	en	en	aligned	no	English	English;English	(none)	normalization_caution	Normalize to ISO language codes on dashboard/export surfaces while preserving original source values in provenance.
2026-06-07T22:05:33Z	DLNA-016	REVIEW-NOMERGE-CODEEXEC-002	reviewed_not_duplicate	2	English	English;English	en	en	aligned	no	English	English;English	(none)	normalization_caution	Normalize to ISO language codes on dashboard/export surfaces while preserving original source values in provenance.
2026-06-07T22:05:33Z	DLNA-017	REVIEW-NOMERGE-CREWAI-001	reviewed_not_duplicate	2	English	English;English	en	en	aligned	no	English	English;English	(none)	normalization_caution	Normalize to ISO language codes on dashboard/export surfaces while preserving original source values in provenance.
