as_of_utc	lane_id	record_ref	record_title	record_status	evidence_tier	limen_categories	review_row_count	review_row_ids	review_state_bundle	coverage_status	paper_use_hook	next_move
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000001	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	authoritative	T3_authoritative_source	legal_procedural_contamination;normative_or_moral_outlier	1	REVIEW-IDCOLLISION-LIMEN-000001	identifier_collision_blocker	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	authoritative	T3_authoritative_source	education_workplace_or_hr;unlawful_or_allegedly_unlawful_use	1	REVIEW-IDCOLLISION-LIMEN-000002	identifier_collision_blocker	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	authoritative	T3_authoritative_source	education_workplace_or_hr;surveillance_biometrics_or_policing;public_sector_misuse_or_gap	2	REVIEW-IDCOLLISION-LIMEN-000003;REVIEW-NOMERGE-ICO-001	identifier_collision_blocker;reviewed_not_duplicate	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000004	UK ICO reprimands Essex school over facial-recognition canteen payments	authoritative	T3_authoritative_source	surveillance_biometrics_or_policing;public_sector_misuse_or_gap;education_workplace_or_hr;normative_or_moral_outlier	2	REVIEW-IDCOLLISION-LIMEN-000004;REVIEW-NOMERGE-ICO-001	identifier_collision_blocker;reviewed_not_duplicate	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000005	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	authoritative_charging_stage	T3_authoritative_source	ai_washing_or_false_ai_claim;unlawful_or_allegedly_unlawful_use	1	REVIEW-IDCOLLISION-LIMEN-000005	identifier_collision_blocker	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000006	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	authoritative	T3_authoritative_source	ai_washing_or_false_ai_claim;finance_insurance_or_market	2	REVIEW-IDCOLLISION-LIMEN-000006;CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318	identifier_collision_blocker;stable_duplicate_cluster	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000007	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	authoritative	T3_authoritative_source	ai_washing_or_false_ai_claim;finance_insurance_or_market	2	REVIEW-IDCOLLISION-LIMEN-000007;CLUSTER-DERIVATIVE-SEC-GP-20260318	identifier_collision_blocker;stable_duplicate_cluster	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000008	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing	authoritative	T3_authoritative_source	deepfake_or_synthetic_identity;unlawful_or_allegedly_unlawful_use;public_sector_misuse_or_gap	3	REVIEW-SINGLETON-LIMEN-000008;REVIEW-IDCOLLISION-LIMEN-000008;CLUSTER-DERIVATIVE-LIMEN-007-CAND-003	no_cluster_review_row;identifier_collision_blocker;stable_duplicate_cluster	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000009	Slovenian police ORION page describes AI-assisted border-management pilot with encrypted-biometric-processing language	authoritative_follow_through	T3_authoritative_source	surveillance_biometrics_or_policing;public_sector_misuse_or_gap;normative_or_moral_outlier	2	CLUSTER-DERIVATIVE-LMWCS-20260606-004;REVIEW-IDCOLLISION-LIMEN-000009	stable_duplicate_cluster;identifier_collision_blocker	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000010	FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims	authoritative_candidate	T3_authoritative_source	ai_washing_or_false_ai_claim;legal_procedural_contamination	2	REVIEW-SINGLETON-LIMEN-000010;REVIEW-NOMERGE-FTC-001	no_cluster_review_row;reviewed_not_duplicate	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
