source_file	line_number	record_id	record_key_kind	record_ref	covered_in_duplicate_ledger	covering_cluster_ids	evidence_tier	jurisdictions	languages	title
data/cases/authoritative-candidates.jsonl	1	LIMEN-000001	case_id	data/cases/authoritative-candidates.jsonl:LIMEN-000001	yes	REVIEW-IDCOLLISION-LIMEN-000001	T3_authoritative_source	Italy	it	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy
data/cases/authoritative-candidates.jsonl	2	LIMEN-000002	case_id	data/cases/authoritative-candidates.jsonl:LIMEN-000002	yes	REVIEW-IDCOLLISION-LIMEN-000002	T3_authoritative_source	United States	en	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software
data/cases/authoritative-candidates.jsonl	3	LIMEN-000003	case_id	data/cases/authoritative-candidates.jsonl:LIMEN-000003	yes	REVIEW-IDCOLLISION-LIMEN-000003;REVIEW-NOMERGE-ICO-001	T3_authoritative_source	United Kingdom	en	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring
data/cases/authoritative-candidates.jsonl	4	LIMEN-000004	case_id	data/cases/authoritative-candidates.jsonl:LIMEN-000004	yes	REVIEW-IDCOLLISION-LIMEN-000004;REVIEW-NOMERGE-ICO-001	T3_authoritative_source	United Kingdom	en	UK ICO reprimands Essex school over facial-recognition canteen payments
data/cases/authoritative-candidates.jsonl	5	LIMEN-000005	case_id	data/cases/authoritative-candidates.jsonl:LIMEN-000005	yes	REVIEW-IDCOLLISION-LIMEN-000005	T3_authoritative_source	United States	en	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing
data/cases/authoritative-candidates.jsonl	6	LIMEN-000006	case_id	data/cases/authoritative-candidates.jsonl:LIMEN-000006	yes	REVIEW-IDCOLLISION-LIMEN-000006;CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318	T3_authoritative_source	United States	en	SEC settlement with Delphia over false and misleading statements about AI and machine learning use
data/cases/authoritative-candidates.jsonl	7	LIMEN-000007	case_id	data/cases/authoritative-candidates.jsonl:LIMEN-000007	yes	REVIEW-IDCOLLISION-LIMEN-000007;CLUSTER-DERIVATIVE-SEC-GP-20260318	T3_authoritative_source	United States	en	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims
data/cases/authoritative-candidates.jsonl	8	LIMEN-000008	case_id	data/cases/authoritative-candidates.jsonl:LIMEN-000008	yes	REVIEW-SINGLETON-LIMEN-000008;REVIEW-IDCOLLISION-LIMEN-000008;CLUSTER-DERIVATIVE-LIMEN-007-CAND-003	T3_authoritative_source	United States	en	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing
data/cases/authoritative-candidates.jsonl	9	LIMEN-000009	case_id	data/cases/authoritative-candidates.jsonl:LIMEN-000009	yes	CLUSTER-DERIVATIVE-LMWCS-20260606-004;REVIEW-IDCOLLISION-LIMEN-000009	T3_authoritative_source	Slovenia	sl;en	Slovenian police ORION page describes AI-assisted border-management pilot with encrypted-biometric-processing language
data/cases/authoritative-candidates.jsonl	10	LIMEN-000010	case_id	data/cases/authoritative-candidates.jsonl:LIMEN-000010	yes	REVIEW-SINGLETON-LIMEN-000010;REVIEW-NOMERGE-FTC-001	T3_authoritative_source	United States	en	FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims
data/cases/authoritative-candidates.jsonl	11	LIMEN-000011	case_id	data/cases/authoritative-candidates.jsonl:LIMEN-000011	yes	REVIEW-SINGLETON-LIMEN-000011;REVIEW-NOMERGE-FTC-001	T3_authoritative_source	United States	en	FTC final order and complaint package on Workado / Content at Scale AI detector accuracy claims
data/cases/authoritative-candidates.jsonl	12	LIMEN-000012	case_id	data/cases/authoritative-candidates.jsonl:LIMEN-000012	yes	REVIEW-SINGLETON-AUTH-LIMEN-000012;REVIEW-IDCOLLISION-LIMEN-000012	T3_authoritative_source	Denmark	da	Datatilsynet development-and-drift opinions on AI-supported screening of disability-allowance documentation in Danish student-aid administration
data/cases/authoritative-candidates.jsonl	13	LIMEN-000013	case_id	data/cases/authoritative-candidates.jsonl:LIMEN-000013	yes	REVIEW-SIDECAR-LIMEN-000013	T3_authoritative_source	United States	en	FTC Rytr complaint-final-order-set-aside chronology on AI-generated reviews, retained as a complex-posture negative result
data/cases/authoritative-candidates.jsonl	14	LIMEN-000014	case_id	data/cases/authoritative-candidates.jsonl:LIMEN-000014	yes	REVIEW-SIDECAR-LIMEN-000014	T3_authoritative_source	United States	en	FTC Air AI complaint-TRO-stipulated-order package on conversational-AI business-opportunity marketing, now disposition-backed but kept non-core
data/cases/authoritative-candidates.jsonl	15	LIMEN-000015	case_id	data/cases/authoritative-candidates.jsonl:LIMEN-000015	yes	REVIEW-SINGLETON-LIMEN-000015	T3_authoritative_source	France	fr	CNIL warns sports club over proposed facial-recognition checks for commercial stadium bans
data/cases/multilingual-candidates.jsonl	1	LMWCS-20260606-004	candidate_id	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	yes	CLUSTER-DERIVATIVE-LMWCS-20260606-004	T3_authoritative_source_direct_url_resolved	Slovenia	sl	Projekt ORION: Umetna inteligenca za varno mejno kontrolo
data/cases/multilingual-candidates.jsonl	2	LMWCS-20260606-001	candidate_id	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	yes	CLUSTER-DERIVATIVE-LMWCS-20260606-001;CLUSTER-DERIVATIVE-LIMEN-008-LEAD-001	T1_single_public_source	Finland	fi	Tekoäly laatii nyt täysin järjettömiä valituksia – poliisilakimies turhautui: ”Viitataan tapauksiin, joita ei ole”
data/cases/multilingual-candidates.jsonl	3	LMWCS-20260606-005	candidate_id	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005	yes	CLUSTER-DERIVATIVE-LMWCS-20260606-005	T1_single_public_source	Slovenia	sl	Pri Sveti Trojici namesto tajnice (že) umetna inteligenca
data/cases/multilingual-candidates.jsonl	4	LMWCS-20260606-002	candidate_id	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	yes	REVIEW-SINGLETON-LMWCS-20260606-002	T1_single_public_source	Finland	fi	Rikosepäily: Mies väärensi tekoälyllä alastonkuvia läheisistä ja työkavereistaan – tekopaikkana pohjoissuomalainen pieni kaupunki
data/cases/multilingual-candidates.jsonl	5	LMWCS-20260606-003	candidate_id	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003	yes	CLUSTER-DERIVATIVE-LMWCS-20260606-003	T1_single_public_source	Lithuania	lt	Policija įspėja apie naujus sukčių metodus: siūloma prekyba auksu ir pasitelkiamas dirbtinis intelektas
data/cases/multilingual-candidates.jsonl	6	LMWCS-20260606-006	candidate_id	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006	yes	CLUSTER-DERIVATIVE-LMWCS-20260606-006	T1_single_public_source	Estonia	et	AI üle inimaju? Tehisintellekt kukutas Saaremaa gümnasisti eksklikult eksamil läbi
data/cases/security-agentic-candidates.jsonl	1	LIMEN-000001	case_id	data/cases/security-agentic-candidates.jsonl:LIMEN-000001	yes	REVIEW-IDCOLLISION-LIMEN-000001;REVIEW-NOMERGE-CODEEXEC-001	T3_authoritative_source	Global	English	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename
data/cases/security-agentic-candidates.jsonl	2	LIMEN-000002	case_id	data/cases/security-agentic-candidates.jsonl:LIMEN-000002	yes	REVIEW-IDCOLLISION-LIMEN-000002	T1_single_public_source	Global	English	Langflow custom_component endpoint allows public candidate record for remote code execution risk
data/cases/security-agentic-candidates.jsonl	3	LIMEN-000003	case_id	data/cases/security-agentic-candidates.jsonl:LIMEN-000003	yes	REVIEW-IDCOLLISION-LIMEN-000003;REVIEW-NOMERGE-FILEREAD-001	T3_authoritative_source	Global	English	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update
data/cases/security-agentic-candidates.jsonl	4	LIMEN-000004	case_id	data/cases/security-agentic-candidates.jsonl:LIMEN-000004	yes	REVIEW-IDCOLLISION-LIMEN-000004;REVIEW-NOMERGE-CREWAI-001;REVIEW-NOMERGE-FILEREAD-001	T3_authoritative_source	Global	English	CrewAI JSON loader allowed arbitrary local file read on the server
data/cases/security-agentic-candidates.jsonl	5	LIMEN-000005	case_id	data/cases/security-agentic-candidates.jsonl:LIMEN-000005	yes	REVIEW-IDCOLLISION-LIMEN-000005;REVIEW-NOMERGE-CREWAI-001	T3_authoritative_source	Global	English	CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition
data/cases/security-agentic-candidates.jsonl	6	LIMEN-000006	case_id	data/cases/security-agentic-candidates.jsonl:LIMEN-000006	yes	REVIEW-IDCOLLISION-LIMEN-000006;REVIEW-NOMERGE-CODEEXEC-001;REVIEW-NOMERGE-CODEEXEC-002;REVIEW-NOMERGE-LANGCHAIN-001	T3_authoritative_source	Global	English	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk
