as_of_utc	lane_id	cluster_id	cluster_status	member_case_count	graph_review_surface_status	expected_pairwise_graph_edges	materialized_graph_edges	missing_graph_edges	graph_counting_rule	graph_surface_note	member_case_keys	paper_thesis_use	visualization_dashboard_hook	next_smallest_publishability_move	evidence_basis
2026-06-08T09:58:59Z	limen-dedupe-cluster-taxonomy	REVIEW-IDCOLLISION-LIMEN-000001	identifier_collision_blocker	3	graph_expected_identifier_collision	3	3	0	block_bare_id_joins_use_file_qualified_or_global_id	Pairwise collision edges are part of the Figure 4 quality-control surface and must stay file-qualified to prevent bare-ID joins.	data/cases/authoritative-candidates.jsonl:LIMEN-000001;data/cases/security-agentic-candidates.jsonl:LIMEN-000001;results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001	Figure 4 duplicate-review graph; duplicate-control methods note; reviewer-safe graph-versus-ledger explanation.	duplicate-review graph completeness badge; ledger-versus-graph scope note; subtype overlay caution.	Keep the live graph edge aligned with the ledger and only revisit if a later shared consumer drifts or the Figure 4 contract changes.	results/clusters/duplicate-clusters-v0.1.tsv; results/dashboard/duplicate-review-graph.tsv
2026-06-08T09:58:59Z	limen-dedupe-cluster-taxonomy	REVIEW-IDCOLLISION-LIMEN-000002	identifier_collision_blocker	3	graph_expected_identifier_collision	3	3	0	block_bare_id_joins_use_file_qualified_or_global_id	Pairwise collision edges are part of the Figure 4 quality-control surface and must stay file-qualified to prevent bare-ID joins.	data/cases/authoritative-candidates.jsonl:LIMEN-000002;data/cases/security-agentic-candidates.jsonl:LIMEN-000002;results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000002	Figure 4 duplicate-review graph; duplicate-control methods note; reviewer-safe graph-versus-ledger explanation.	duplicate-review graph completeness badge; ledger-versus-graph scope note; subtype overlay caution.	Keep the live graph edge aligned with the ledger and only revisit if a later shared consumer drifts or the Figure 4 contract changes.	results/clusters/duplicate-clusters-v0.1.tsv; results/dashboard/duplicate-review-graph.tsv
2026-06-08T09:58:59Z	limen-dedupe-cluster-taxonomy	REVIEW-IDCOLLISION-LIMEN-000003	identifier_collision_blocker	2	graph_expected_identifier_collision	1	1	0	block_bare_id_joins_use_file_qualified_or_global_id	Pairwise collision edges are part of the Figure 4 quality-control surface and must stay file-qualified to prevent bare-ID joins.	data/cases/authoritative-candidates.jsonl:LIMEN-000003;data/cases/security-agentic-candidates.jsonl:LIMEN-000003	Figure 4 duplicate-review graph; duplicate-control methods note; reviewer-safe graph-versus-ledger explanation.	duplicate-review graph completeness badge; ledger-versus-graph scope note; subtype overlay caution.	Keep the live graph edge aligned with the ledger and only revisit if a later shared consumer drifts or the Figure 4 contract changes.	results/clusters/duplicate-clusters-v0.1.tsv; results/dashboard/duplicate-review-graph.tsv
2026-06-08T09:58:59Z	limen-dedupe-cluster-taxonomy	REVIEW-IDCOLLISION-LIMEN-000004	identifier_collision_blocker	2	graph_expected_identifier_collision	1	1	0	block_bare_id_joins_use_file_qualified_or_global_id	Pairwise collision edges are part of the Figure 4 quality-control surface and must stay file-qualified to prevent bare-ID joins.	data/cases/authoritative-candidates.jsonl:LIMEN-000004;data/cases/security-agentic-candidates.jsonl:LIMEN-000004	Figure 4 duplicate-review graph; duplicate-control methods note; reviewer-safe graph-versus-ledger explanation.	duplicate-review graph completeness badge; ledger-versus-graph scope note; subtype overlay caution.	Keep the live graph edge aligned with the ledger and only revisit if a later shared consumer drifts or the Figure 4 contract changes.	results/clusters/duplicate-clusters-v0.1.tsv; results/dashboard/duplicate-review-graph.tsv
2026-06-08T09:58:59Z	limen-dedupe-cluster-taxonomy	REVIEW-IDCOLLISION-LIMEN-000005	identifier_collision_blocker	2	graph_expected_identifier_collision	1	1	0	block_bare_id_joins_use_file_qualified_or_global_id	Pairwise collision edges are part of the Figure 4 quality-control surface and must stay file-qualified to prevent bare-ID joins.	data/cases/authoritative-candidates.jsonl:LIMEN-000005;data/cases/security-agentic-candidates.jsonl:LIMEN-000005	Figure 4 duplicate-review graph; duplicate-control methods note; reviewer-safe graph-versus-ledger explanation.	duplicate-review graph completeness badge; ledger-versus-graph scope note; subtype overlay caution.	Keep the live graph edge aligned with the ledger and only revisit if a later shared consumer drifts or the Figure 4 contract changes.	results/clusters/duplicate-clusters-v0.1.tsv; results/dashboard/duplicate-review-graph.tsv
2026-06-08T09:58:59Z	limen-dedupe-cluster-taxonomy	REVIEW-IDCOLLISION-LIMEN-000006	identifier_collision_blocker	2	graph_expected_identifier_collision	1	1	0	block_bare_id_joins_use_file_qualified_or_global_id	Pairwise collision edges are part of the Figure 4 quality-control surface and must stay file-qualified to prevent bare-ID joins.	data/cases/authoritative-candidates.jsonl:LIMEN-000006;data/cases/security-agentic-candidates.jsonl:LIMEN-000006	Figure 4 duplicate-review graph; duplicate-control methods note; reviewer-safe graph-versus-ledger explanation.	duplicate-review graph completeness badge; ledger-versus-graph scope note; subtype overlay caution.	Keep the live graph edge aligned with the ledger and only revisit if a later shared consumer drifts or the Figure 4 contract changes.	results/clusters/duplicate-clusters-v0.1.tsv; results/dashboard/duplicate-review-graph.tsv
2026-06-08T09:58:59Z	limen-dedupe-cluster-taxonomy	REVIEW-IDCOLLISION-LIMEN-000007	identifier_collision_blocker	2	graph_expected_identifier_collision	1	1	0	block_bare_id_joins_use_file_qualified_or_global_id	Pairwise collision edges are part of the Figure 4 quality-control surface and must stay file-qualified to prevent bare-ID joins.	data/cases/authoritative-candidates.jsonl:LIMEN-000007;data/cases/security-agentic-candidates.jsonl:LIMEN-000007	Figure 4 duplicate-review graph; duplicate-control methods note; reviewer-safe graph-versus-ledger explanation.	duplicate-review graph completeness badge; ledger-versus-graph scope note; subtype overlay caution.	Keep the live graph edge aligned with the ledger and only revisit if a later shared consumer drifts or the Figure 4 contract changes.	results/clusters/duplicate-clusters-v0.1.tsv; results/dashboard/duplicate-review-graph.tsv
2026-06-08T09:58:59Z	limen-dedupe-cluster-taxonomy	CLUSTER-DERIVATIVE-LMWCS-20260606-001	stable_duplicate_cluster	2	ledger_only_stable_collapse	0	0	0	collapse_to_canonical_lineage_for_counts_preserve_member_provenance	Stable duplicate clusters govern lineage collapse in the ledger; under the current Figure 4 contract they should travel as collapse metadata rather than as graph edges.	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001;results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-001	Figure 4 duplicate-review graph; duplicate-control methods note; reviewer-safe graph-versus-ledger explanation.	duplicate-review graph completeness badge; ledger-versus-graph scope note; subtype overlay caution.	Keep this row ledger-only unless the Figure 4 contract is intentionally widened to include this control type.	results/clusters/duplicate-clusters-v0.1.tsv; results/dashboard/duplicate-review-graph.tsv
2026-06-08T09:58:59Z	limen-dedupe-cluster-taxonomy	CLUSTER-DERIVATIVE-LMWCS-20260606-003	stable_duplicate_cluster	2	ledger_only_stable_collapse	0	0	0	collapse_to_canonical_lineage_for_counts_preserve_member_provenance	Stable duplicate clusters govern lineage collapse in the ledger; under the current Figure 4 contract they should travel as collapse metadata rather than as graph edges.	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003;results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-003	Figure 4 duplicate-review graph; duplicate-control methods note; reviewer-safe graph-versus-ledger explanation.	duplicate-review graph completeness badge; ledger-versus-graph scope note; subtype overlay caution.	Keep this row ledger-only unless the Figure 4 contract is intentionally widened to include this control type.	results/clusters/duplicate-clusters-v0.1.tsv; results/dashboard/duplicate-review-graph.tsv
2026-06-08T09:58:59Z	limen-dedupe-cluster-taxonomy	CLUSTER-DERIVATIVE-LMWCS-20260606-004	stable_duplicate_cluster	3	ledger_only_stable_collapse	0	0	0	collapse_to_canonical_lineage_for_counts_preserve_member_provenance	Stable duplicate clusters govern lineage collapse in the ledger; under the current Figure 4 contract they should travel as collapse metadata rather than as graph edges.	data/cases/authoritative-candidates.jsonl:LIMEN-000009;data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004;results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-004	Figure 4 duplicate-review graph; duplicate-control methods note; reviewer-safe graph-versus-ledger explanation.	duplicate-review graph completeness badge; ledger-versus-graph scope note; subtype overlay caution.	Keep this row ledger-only unless the Figure 4 contract is intentionally widened to include this control type.	results/clusters/duplicate-clusters-v0.1.tsv; results/dashboard/duplicate-review-graph.tsv
