queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BTR-00746	LIMEN-SIGNAL-1BEBC98A2F95B488	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	24653	Translation-sensitive local evidence at line 24653; plausible surface cannot be triaged safely without language review.	Translation-sensitive source-surface existence only; no substantive incident, compliance, legality, deployment, or prevalence claim.	route to translation-aware named-source extraction or reviewer before promotion
BTR-00747	LIMEN-SIGNAL-1EB315D4F9BB6C7D	translation_sensitive_surface	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle188-active-lanes-32-foreign-language-public-service-hardening/records.jsonl	370	Translation-sensitive local evidence at line 370; plausible surface cannot be triaged safely without language review.	Translation-sensitive source-surface existence only; no substantive incident, compliance, legality, deployment, or prevalence claim.	route to translation-aware named-source extraction or reviewer before promotion
BTR-00748	LIMEN-SIGNAL-213586F3810283AB	translation_sensitive_direct_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-record-accession-all-20260607.csv	656	Local row flags translation-sensitive public evidence; named surface may be direct but should not be promoted without language-aware review.	Only source-surface existence/translation posture; no substantive policy, deployment, compliance, legality, or prevalence claim.	Route to translation-aware source extraction/review before any promotion.
BTR-00749	LIMEN-SIGNAL-21437F615877B2D3	translation_sensitive_direct_surface	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	24653	Local row flags translation-sensitive public evidence; named surface may be direct but should not be promoted without language-aware review.	Only source-surface existence/translation posture; no substantive policy, deployment, compliance, legality, or prevalence claim.	Route to translation-aware source extraction/review before any promotion.
BTR-00750	LIMEN-SIGNAL-2408D3F27BF686A1	translation_sensitive_direct_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-record-accession-all-20260607.csv	437	Local row flags translation-sensitive public evidence; named surface may be direct but should not be promoted without language-aware review.	Only source-surface existence/translation posture; no substantive policy, deployment, compliance, legality, or prevalence claim.	Route to translation-aware source extraction/review before any promotion.
BTR-00751	LIMEN-SIGNAL-2757797E43BC3C90	translation_sensitive_vendor_surface	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-111-20260603T051321/records.jsonl	307	Atlas record exposes Chinese Alibaba Cloud source URLs; direct vendor surface is plausible but materially translation-sensitive.	Vendor source-surface/translation posture only; no deployment, compliance, legality, safety, prevalence, or ranking claim.	Route source URLs to translation-aware vendor-source review.
BTR-00752	LIMEN-SIGNAL-28F51A5262052ED9	translation_sensitive_vendor_surface	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-121-20260603T0419/records.jsonl	307	Atlas record exposes Chinese Alibaba Cloud source URLs; direct vendor surface is plausible but materially translation-sensitive.	Vendor source-surface/translation posture only; no deployment, compliance, legality, safety, prevalence, or ranking claim.	Route source URLs to translation-aware vendor-source review.
BTR-00753	LIMEN-SIGNAL-49B20D67EF7B92C7	translation_sensitive_surface	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/backups-cycle188-active-lanes-32-foreign-language-public-service-hardening/records.jsonl	324	Local metadata flags this plausible source surface as translation-sensitive; requires translation-aware review before promotion.	translation sensitivity only; no incident truth, legality, safety, deployment, prevalence, or compliance claim	route to translation-aware source review
BTR-00754	LIMEN-SIGNAL-53BA5086214022E8	translation_sensitive_surface	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/backups-cycle188-active-lanes-32-foreign-language-public-service-hardening/records.jsonl	374	Local metadata flags this plausible source surface as translation-sensitive; requires translation-aware review before promotion.	translation sensitivity only; no incident truth, legality, safety, deployment, prevalence, or compliance claim	route to translation-aware source review
BTR-00755	LIMEN-SIGNAL-59522B5C27DCA034	translation_sensitive_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/registry-deployed-record-accession-all-20260607.csv	437	Local metadata flags this plausible source surface as translation-sensitive; requires translation-aware review before promotion.	translation sensitivity only; no incident truth, legality, safety, deployment, prevalence, or compliance claim	route to translation-aware source review
