as_of_utc	matrix_row_id	surface_or_record_id	row_label	evidence_family	publication_role_now	source_role_now	reviewer_question_answered_now	default_view_status	evidence_depth_now	safe_claim_now	forbidden_overread	next_threshold_that_changes_use	paper_thesis_use	visualization_dashboard_hook	evidence_refs
2026-06-08T06:53:40Z	PQRM-007-001	LIMEN-C-001	Article 50 direct legal anchor	EU primary law	left_anchor	law_anchor	Which direct legal text exists for synthetic-output marking or deepfake disclosure duties?	visible_by_default_anchor	primary legal text	Article 50 directly provides a law-anchor surface for machine-readable marking and deployer disclosure language relevant to synthetic outputs and certain deepfakes.	Do not treat the legal anchor as proof that any current shard-007 row falls within scope, violates the rule, or triggered enforcement.	Case-linked authority, court, police, or platform record tying a concrete row to the anchor	Law-to-evidence matrix, methods framing, and thesis claim-support spine	Leftmost legal-anchor badge in Table 1F / provenance ladder	claims.md:LIMEN-C-001; results/boost/limen-boost-007/source-delta.tsv:LIMEN-007-SD-001; results/boost/limen-boost-007/claim-support.tsv:CS-007-001
2026-06-08T06:53:40Z	PQRM-007-002	LIMEN-C-002	C2PA provenance-standard surface	Public provenance standard	left_anchor	standards_anchor	Which public provenance standard exists even when case-level closure is weak?	visible_by_default_anchor	public standards surface plus local analytic boundary	C2PA is a live public provenance-standard surface relevant to shard 007, but it is narrower than the full governance problem.	Do not treat C2PA as authorship resolution, liability resolution, or proof for non-media synthetic action traces.	Direct deployment or contested-workflow record showing provenance-standard use or absence	Standards-to-evidence bridge, topology note, and thesis standards section	Standards node between law anchor and case workflow evidence	claims.md:LIMEN-C-002; results/boost/limen-boost-007/source-delta.tsv:LIMEN-007-SD-002; results/boost/limen-boost-007/claim-support.tsv:CS-007-002
2026-06-08T06:53:40Z	PQRM-007-003	LIMEN-C-004A	Multistate attorney-general warning bundle	Institutional response	governance_context	official summary plus warning letter	What shows that public authorities treated AI voice impersonation as a governance and enforcement problem before final closure?	context_only_not_main_results	official page plus document-grade warning letter	Public U.S. institutional-response sources support a bounded governance-response claim about AI voice impersonation, misinformation, and caller/issuer attribution concerns.	Do not convert warning posture into adjudicated wrongdoing, prevalence, or policy-effectiveness proof.	Court judgment, final order, election-authority record, or police/court event record	Governance-response panel, reviewer-safe context band, and thesis institutional-visibility note	Governance-context stripe behind the main FCC lifecycle row	claims.md:LIMEN-C-004A; results/boost/limen-boost-007/source-delta.tsv:LIMEN-007-SD-003; results/boost/limen-boost-007/source-delta.tsv:LIMEN-007-SD-004; results/boost/limen-boost-007/claim-support.tsv:CS-007-004
2026-06-08T06:53:40Z	PQRM-007-004	LIMEN-S-018	FTC AI impersonation rulemaking anchor	Institutional response	governance_context	federal rulemaking anchor	Which federal consumer-protection route publicly recognized AI impersonation risk as a rulemaking problem?	context_only_not_main_results	federal agency press release	FTC public rulemaking materials show explicit consumer-protection attention to AI impersonation of individuals.	Do not treat rulemaking posture as deterrence proof, event closure, or case-level harm attribution.	Final rule application example, enforcement action, or event-linked authority package	Governance-response ladder and policy-comparison note	Consumer-protection branch in provenance-confusion timeline	results/boost/limen-boost-007/source-delta.tsv:LIMEN-007-SD-005; results/boost/limen-boost-007/evidence-ladder.tsv:EL-007-004
2026-06-08T06:53:40Z	PQRM-007-005	DL-007-001	FCC Declaratory Ruling FCC 24-17	Telecom/regulatory anchor	left_anchor_to_results_bridge	direct regulator text	Which direct rule text operationalizes synthetic-voice ambiguity as a telecom compliance issue?	visible_supporting_anchor	direct federal regulatory text	The FCC declaratory ruling directly anchors a bounded claim that AI-generated human voices fall within existing robocall restrictions.	Do not turn rule text into event-specific liability, cross-jurisdiction election-law conclusions, or prevalence evidence.	Court review or exact event-linked process record	Methods/results bridge and legal-process note	Regulatory-anchor badge attached to the lifecycle cluster	results/boost/limen-boost-007/disposition-lifecycle.tsv:DL-007-001; results/boost/limen-boost-007/source-delta.tsv:LIMEN-007-SD-006
2026-06-08T06:53:40Z	PQRM-007-006	DL-007-002	FCC Notice of Apparent Liability FCC 24-60	Enforcement-stage event process	main_results_support	enforcement-stage public document	What direct event-linked enforcement text exists before final disposition?	visible_supporting_results_step	federal enforcement-stage document	The FCC NAL supports bounded claims about spoofed robocalls, STIR/SHAKEN attestation posture, and allegation-stage election-interference concern in a named synthetic-voice episode.	Do not present allegation-stage findings as final adjudication or generic deepfake prevalence evidence.	Final adjudication, settlement, or connected technical-forensic record	Lifecycle table, results narrative, and thesis process-stage comparison	Mid-lifecycle enforcement node in the default FCC pathway	results/boost/limen-boost-007/disposition-lifecycle.tsv:DL-007-002; results/boost/limen-boost-007/source-delta.tsv:LIMEN-007-SD-007
2026-06-08T06:53:40Z	PQRM-007-007	DL-007-003..004	FCC consent decree and release closure bundle	Disposition-stage closure	main_results	public disposition order plus release annotation	What is the strongest default-visible shard-007 substantive result now?	visible_by_default_main_results	disposition-stage order plus release-level annotation	Shard 007 has one direct disposition-stage closure cluster: FCC public texts support a bounded lifecycle claim from rule anchor through NAL to consent-decree closure with a USD 1000000 civil penalty and explicit compliance-plan terms.	Do not rewrite this as criminal guilt, broad deterrence, or deepfake prevalence evidence.	Direct state-origin release text, court merits materials, or independent technical forensics	Main Table 1F results row, dashboard hero cell, and thesis exemplar	Default-visible lifecycle closure row	claims.md:LIMEN-C-004B; results/boost/limen-boost-007/disposition-lifecycle.tsv:DL-007-003..005; results/boost/limen-boost-007/claim-support.tsv:CS-007-006
2026-06-08T06:53:40Z	PQRM-007-008	LIMEN-007-CAND-001;LIMEN-007-CAND-002	New Hampshire archive-recovered origin-side release family	Origin-side authority friction	blocked_origin_limitations	archive-recovered official text plus live-host block	What evidence shows that official state-origin text exists but still cannot be treated as fully open live-canonical support on this host?	hidden_from_default_results	archive-recovered official page text; live canonical blocked	Archive-recovered official New Hampshire DOJ text supports bounded origin-side chronology and authority-friction explanation without promoting the branch into a second default-visible result.	Do not treat archive recovery as live-canonical access, adjudication, or later-stage authority closure.	Court-facing filing, live official mirror, election-law order, or other later-stage public-authority text	Methods/limitations paragraph, multi-authority reconstruction note, and hostile-reviewer appendix	Blocked-origin badge and archive-recovery sidecar	results/boost/limen-boost-007/disposition-lifecycle.tsv:DL-007-005; results/boost/limen-boost-007/candidate-cases.jsonl:LIMEN-007-CAND-001; results/boost/limen-boost-007/candidate-cases.jsonl:LIMEN-007-CAND-002; results/boost/limen-boost-007/state-origin-access-barrier.tsv:LIMEN-007-BAR-001..003
2026-06-08T06:53:40Z	PQRM-007-009	LMWCS-20260606-002	Finland rare-language deepfake/synthetic-image lead	Rare-language upgrade target	limitations_only	preview-text-visible direct article shell candidate	Which under-covered non-English row is the best next non-telecom upgrade candidate?	hidden_in_default_views	shell-visible media route below authority threshold	Finland is the best next non-telecom upgrade candidate because a direct article shell exposes title, date, and bounded preview text, but the row remains below publication-safe factual narration without readable body or police companion support.	Do not promote shell-visible preview text or machine translation into event facts, legal conclusions, or a second substantive result.	Readable direct article body, public police companion source, or another clearly compliant public document	Rare-language methods note, blocker panel, and thesis coverage-gap discussion	Best-next-candidate badge in queue/limitations mode	results/boost/limen-boost-007/provenance-confusion-manuscript-bundle.tsv:PCMB-007-006; results/boost/limen-boost-007/route-priority-register.tsv:RP-007-003; results/boost/limen-boost-007/provenance-threshold-propagation-register.tsv:ptpr-007-001
2026-06-08T06:53:40Z	PQRM-007-010	LMWCS-20260606-003	Lithuania rights-sensitive police-warning lead	Rare-language barrier row	limitations_only	queue-only mediated warning lead	Which under-covered row remains barrier-dominated rather than upgrade-ready?	hidden_in_default_views	title-gloss with mixed rights/access barrier	Lithuania remains a bounded limitations row that illustrates rights/access and modality-resolution barriers in multilingual synthetic-identity discovery.	Do not treat the mediated warning lead as direct police wording, verified modality, or substantive results-grade evidence.	Clearly compliant official warning surface or direct-source text separating media framing from official wording	Methods/limitations matrix and rare-language barrier note	Barrier-dominated queue row in hidden views	results/boost/limen-boost-007/route-priority-register.tsv:RP-007-003; results/boost/limen-boost-007/provenance-threshold-propagation-register.tsv:ptpr-007-004; results/boost/limen-boost-007/evidence-ladder.tsv:EL-007-008
