as_of_utc	view_id	view_label	row_key	col_key	count_rows	cell_record_refs	interpretation	forbidden_overread	visualization_hook	evidence_refs
2026-06-07T15:08:47Z	PCOC-007-01-01	publication_role_x_readiness_band	blocked_origin_limitations	blocked_origin_gap	1	CELL-055-005	How shard-007 rows split across anchor/context/results/gap/queue sensitivity states by publication role.	Do not treat anchor, context, blocked, queue, and metadata-only rows as one substantive event denominator.	Table 1F support matrix; reviewer-safe readiness ladder; dashboard filter presets	results/boost/limen-boost-055/provenance-visual-encoding-contract.tsv:PVC-055-005; results/boost/limen-boost-055/provenance-publication-cell-matrix.tsv:CELL-055-005
2026-06-07T15:08:47Z	PCOC-007-01-02	publication_role_x_readiness_band	governance_context	context_only	1	CELL-055-003	How shard-007 rows split across anchor/context/results/gap/queue sensitivity states by publication role.	Do not treat anchor, context, blocked, queue, and metadata-only rows as one substantive event denominator.	Table 1F support matrix; reviewer-safe readiness ladder; dashboard filter presets	results/boost/limen-boost-055/provenance-visual-encoding-contract.tsv:PVC-055-003; results/boost/limen-boost-055/provenance-publication-cell-matrix.tsv:CELL-055-003
2026-06-07T15:08:47Z	PCOC-007-01-03	publication_role_x_readiness_band	left_anchor	anchor_only	2	CELL-055-001; CELL-055-002	How shard-007 rows split across anchor/context/results/gap/queue sensitivity states by publication role.	Do not treat anchor, context, blocked, queue, and metadata-only rows as one substantive event denominator.	Table 1F support matrix; reviewer-safe readiness ladder; dashboard filter presets	results/boost/limen-boost-055/provenance-visual-encoding-contract.tsv:PVC-055-001; PVC-055-002; results/boost/limen-boost-055/provenance-publication-cell-matrix.tsv:CELL-055-001; CELL-055-002
2026-06-07T15:08:47Z	PCOC-007-01-04	publication_role_x_readiness_band	limitations_only	queue_only_limitations	2	CELL-055-006; CELL-055-007	How shard-007 rows split across anchor/context/results/gap/queue sensitivity states by publication role.	Do not treat anchor, context, blocked, queue, and metadata-only rows as one substantive event denominator.	Table 1F support matrix; reviewer-safe readiness ladder; dashboard filter presets	results/boost/limen-boost-055/provenance-visual-encoding-contract.tsv:PVC-055-006; PVC-055-007; results/boost/limen-boost-055/provenance-publication-cell-matrix.tsv:CELL-055-006; CELL-055-007
2026-06-07T15:08:47Z	PCOC-007-01-05	publication_role_x_readiness_band	main_results	default_results_ready	1	CELL-055-004	How shard-007 rows split across anchor/context/results/gap/queue sensitivity states by publication role.	Do not treat anchor, context, blocked, queue, and metadata-only rows as one substantive event denominator.	Table 1F support matrix; reviewer-safe readiness ladder; dashboard filter presets	results/boost/limen-boost-055/provenance-visual-encoding-contract.tsv:PVC-055-004; results/boost/limen-boost-055/provenance-publication-cell-matrix.tsv:CELL-055-004
2026-06-07T15:08:47Z	PCOC-007-01-06	publication_role_x_readiness_band	metadata_only_sensitive	metadata_only_sensitive	1	CELL-055-008	How shard-007 rows split across anchor/context/results/gap/queue sensitivity states by publication role.	Do not treat anchor, context, blocked, queue, and metadata-only rows as one substantive event denominator.	Table 1F support matrix; reviewer-safe readiness ladder; dashboard filter presets	results/boost/limen-boost-055/provenance-visual-encoding-contract.tsv:PVC-055-008; results/boost/limen-boost-055/provenance-publication-cell-matrix.tsv:CELL-055-008
2026-06-07T15:08:47Z	PCOC-007-02-01	publication_role_x_language_band	blocked_origin_limitations	english	1	CELL-055-005	Separates English-visible rows from non-English undercovered rows so rare-language coverage is not flattened into the default panel.	Do not narrate non-English queue rows as equivalent to the direct FCC lifecycle exemplar or as balanced cross-jurisdiction coverage.	Jurisdiction/language overlay; rare-language caution legend; map toggle defaults	results/boost/limen-boost-055/provenance-visual-encoding-contract.tsv:PVC-055-005; results/boost/limen-boost-055/provenance-publication-cell-matrix.tsv:CELL-055-005
2026-06-07T15:08:47Z	PCOC-007-02-02	publication_role_x_language_band	governance_context	english	1	CELL-055-003	Separates English-visible rows from non-English undercovered rows so rare-language coverage is not flattened into the default panel.	Do not narrate non-English queue rows as equivalent to the direct FCC lifecycle exemplar or as balanced cross-jurisdiction coverage.	Jurisdiction/language overlay; rare-language caution legend; map toggle defaults	results/boost/limen-boost-055/provenance-visual-encoding-contract.tsv:PVC-055-003; results/boost/limen-boost-055/provenance-publication-cell-matrix.tsv:CELL-055-003
2026-06-07T15:08:47Z	PCOC-007-02-03	publication_role_x_language_band	left_anchor	english	2	CELL-055-001; CELL-055-002	Separates English-visible rows from non-English undercovered rows so rare-language coverage is not flattened into the default panel.	Do not narrate non-English queue rows as equivalent to the direct FCC lifecycle exemplar or as balanced cross-jurisdiction coverage.	Jurisdiction/language overlay; rare-language caution legend; map toggle defaults	results/boost/limen-boost-055/provenance-visual-encoding-contract.tsv:PVC-055-001; PVC-055-002; results/boost/limen-boost-055/provenance-publication-cell-matrix.tsv:CELL-055-001; CELL-055-002
2026-06-07T15:08:47Z	PCOC-007-02-04	publication_role_x_language_band	limitations_only	non_english_undercovered	2	CELL-055-006; CELL-055-007	Separates English-visible rows from non-English undercovered rows so rare-language coverage is not flattened into the default panel.	Do not narrate non-English queue rows as equivalent to the direct FCC lifecycle exemplar or as balanced cross-jurisdiction coverage.	Jurisdiction/language overlay; rare-language caution legend; map toggle defaults	results/boost/limen-boost-055/provenance-visual-encoding-contract.tsv:PVC-055-006; PVC-055-007; results/boost/limen-boost-055/provenance-publication-cell-matrix.tsv:CELL-055-006; CELL-055-007
2026-06-07T15:08:47Z	PCOC-007-02-05	publication_role_x_language_band	main_results	english	1	CELL-055-004	Separates English-visible rows from non-English undercovered rows so rare-language coverage is not flattened into the default panel.	Do not narrate non-English queue rows as equivalent to the direct FCC lifecycle exemplar or as balanced cross-jurisdiction coverage.	Jurisdiction/language overlay; rare-language caution legend; map toggle defaults	results/boost/limen-boost-055/provenance-visual-encoding-contract.tsv:PVC-055-004; results/boost/limen-boost-055/provenance-publication-cell-matrix.tsv:CELL-055-004
2026-06-07T15:08:47Z	PCOC-007-02-06	publication_role_x_language_band	metadata_only_sensitive	english	1	CELL-055-008	Separates English-visible rows from non-English undercovered rows so rare-language coverage is not flattened into the default panel.	Do not narrate non-English queue rows as equivalent to the direct FCC lifecycle exemplar or as balanced cross-jurisdiction coverage.	Jurisdiction/language overlay; rare-language caution legend; map toggle defaults	results/boost/limen-boost-055/provenance-visual-encoding-contract.tsv:PVC-055-008; results/boost/limen-boost-055/provenance-publication-cell-matrix.tsv:CELL-055-008
2026-06-07T15:08:47Z	PCOC-007-03-01	authority_band_x_publication_role	anchor_surface	left_anchor	2	CELL-055-001; CELL-055-002	Shows which publication roles are backed by direct disposition-grade authority, mixed governance context, blocked official titles, or queue-only mediated evidence.	Do not collapse mixed authority states into one uniform evidentiary class or imply that title-only/queue rows have document-grade support.	Authority-state heatmap; provenance-confusion methods appendix; claim-ceiling tooltip layer	results/boost/limen-boost-055/provenance-visual-encoding-contract.tsv:PVC-055-001; PVC-055-002; results/boost/limen-boost-055/provenance-publication-cell-matrix.tsv:CELL-055-001; CELL-055-002
2026-06-07T15:08:47Z	PCOC-007-03-02	authority_band_x_publication_role	direct_disposition_grade	main_results	1	CELL-055-004	Shows which publication roles are backed by direct disposition-grade authority, mixed governance context, blocked official titles, or queue-only mediated evidence.	Do not collapse mixed authority states into one uniform evidentiary class or imply that title-only/queue rows have document-grade support.	Authority-state heatmap; provenance-confusion methods appendix; claim-ceiling tooltip layer	results/boost/limen-boost-055/provenance-visual-encoding-contract.tsv:PVC-055-004; results/boost/limen-boost-055/provenance-publication-cell-matrix.tsv:CELL-055-004
2026-06-07T15:08:47Z	PCOC-007-03-03	authority_band_x_publication_role	governance_context_mixed_official	governance_context	1	CELL-055-003	Shows which publication roles are backed by direct disposition-grade authority, mixed governance context, blocked official titles, or queue-only mediated evidence.	Do not collapse mixed authority states into one uniform evidentiary class or imply that title-only/queue rows have document-grade support.	Authority-state heatmap; provenance-confusion methods appendix; claim-ceiling tooltip layer	results/boost/limen-boost-055/provenance-visual-encoding-contract.tsv:PVC-055-003; results/boost/limen-boost-055/provenance-publication-cell-matrix.tsv:CELL-055-003
2026-06-07T20:03:12Z	PCOC-007-03-04	authority_band_x_publication_role	archive_recovered_official_text_live_host_blocked	blocked_origin_limitations	1	CELL-055-005	Shows which publication roles are backed by direct disposition-grade authority, mixed governance context, archive-recovered official text plus live-host blockage, or queue-only mediated evidence.	Do not collapse mixed authority states into one uniform evidentiary class or imply that archive-recovered blocked rows have document-grade closure support.	Authority-state heatmap; provenance-confusion methods appendix; claim-ceiling tooltip layer	results/boost/limen-boost-055/provenance-visual-encoding-contract.tsv:PVC-055-005; results/boost/limen-boost-055/provenance-publication-cell-matrix.tsv:CELL-055-005
2026-06-07T15:08:47Z	PCOC-007-03-05	authority_band_x_publication_role	official_title_sensitive_metadata	metadata_only_sensitive	1	CELL-055-008	Shows which publication roles are backed by direct disposition-grade authority, mixed governance context, blocked official titles, or queue-only mediated evidence.	Do not collapse mixed authority states into one uniform evidentiary class or imply that title-only/queue rows have document-grade support.	Authority-state heatmap; provenance-confusion methods appendix; claim-ceiling tooltip layer	results/boost/limen-boost-055/provenance-visual-encoding-contract.tsv:PVC-055-008; results/boost/limen-boost-055/provenance-publication-cell-matrix.tsv:CELL-055-008
