signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-37C4151364A7AB43	merge_existing_surface	existing_modeled_surface	Known Helsinki AI Register surface already modeled locally.	dedupe only; no new surface claim	link to existing modeled surface	/srv/tyche/projects/public-ai-registry/data/record-level-depth-audit-v0.11.csv
LIMEN-SIGNAL-37C4FAA571B799AB	reject_noise	internal_or_derived_artifact	Seed config note, not a reviewable source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-gaia-gaps-20260604T051859Z
LIMEN-SIGNAL-37CDB77DD7BC0A2F	reject_noise	internal_or_derived_artifact	Patent-landscape record, not a direct source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/patent-power-history.jsonl
LIMEN-SIGNAL-37CE1C51117B1CDC	reject_noise	internal_or_derived_artifact	Backup shell script, not a source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/bin/start_tyche_hermes_factory.sh.bak-20260604T095014Z
LIMEN-SIGNAL-37CF6DE4ACC096E9	reject_noise	internal_or_derived_artifact	Scholarly index row, not a direct official source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/french-german-language-latest.jsonl
LIMEN-SIGNAL-37D7A4849C0E30DC	needs_named_source_extraction	source_pack_wrapper	Action-board wrapper cites Estonia register context but no clean named source row.	named surface not yet extracted	extract exact named source from local wrapper	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/preprint-action-board-20260605T193902Z/preprint-action-board.csv
LIMEN-SIGNAL-37D9484F8CF146AC	merge_existing_surface	existing_modeled_surface	Helsinki AI Register description already points to a modeled local register surface.	dedupe only; no new surface claim	link to existing modeled surface	/srv/tyche/gaia/tyche-research-vault/submissions/eu-agent-atlas-release-2026-06-01/02-zenodo-artifact/artifact/data/eu-agent-atlas-v0.1/exports/eu-agent-atlas-facts-v0.1.csv
LIMEN-SIGNAL-37ED4DB6379C6705	reject_noise	internal_or_derived_artifact	Seed config note, not a reviewable source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-international-20260603T133212Z
LIMEN-SIGNAL-37EF81060B5E87A4	negative_evidence_candidate	negative_evidence_surface	Local row records absence of a public algorithm register.	absence finding only	queue bounded negative-source review	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-h2-lifecycle-infra-contrast-v0.1.csv
LIMEN-SIGNAL-37F6529E5925A023	negative_evidence_candidate	negative_evidence_surface	Local row states no official public algorithm register found.	absence finding only	queue bounded negative-source review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv
