queue_id	signal_id	bulk_translation_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
BTR-00561	LIMEN-SIGNAL-7D9024278AD9EB27	source_surface_only_no_case	it	https://www.consigliograndeegenerale.sm/on-line/home/archivio-leggi-decreti-e-regolamenti/documento17074653.html	Consiglio Grande e Generale - Regolamento 29 aprile 2015 n.5	Official San Marino legal archive source is procurement-governance surface, but local notes say beneficial-owner/public-procurement governance and not AI procurement governance.	source-surface/context only; no AI procurement or case claim	Keep only as non-AI procurement context or drop from AI edge-case queue.
BTR-00562	LIMEN-SIGNAL-7EE88A42A3AC00C2	translation_source_reviewed	th	https://www.etda.or.th/th/pr-news/AI_Gov_Anual.aspx	ETDA Generative AI Governance Guideline for Organizations	Thai official ETDA page is locally reachable and explicitly named as generative AI governance guidance; source supports only guidance/posture context.	official guidance source-surface; no incident/legal/safety finding	Use as translation-aware vocabulary/context source; require direct original-language extraction before any stronger claim.
BTR-00563	LIMEN-SIGNAL-7F9ACF68F4EFBE4A	candidate_for_parent_source_extraction	es	https://indotel.gob.do/sandbox-regulatorio/	INDOTEL Sandbox Regulatorio	Spanish official regulator page is concrete sandbox evidence, but local notes limit it to telecom/digital-certification services and not AI-wide.	sectoral sandbox source-surface only; not AI-wide or case-level	Extract bounded parent-source fields for sectoral sandbox only, preserving not-AI-wide warning.
BTR-00564	LIMEN-SIGNAL-80A51BC2A243EF70	source_surface_only_no_case	fr	https://bosa.belgium.be/fr/themes/administration-numerique/intelligence-artificielle-et-nouvelles-technologies/ethique-et	BOSA AI Act page	French official BOSA page is retained locally as contextual future-obligation source; metadata explicitly says no Belgium AI sandbox source found in first pass.	context/absence-check only; no sandbox existence claim	Keep as contextual AI Act surface or route to original-language check if a Belgium sandbox lead appears.
BTR-00565	LIMEN-SIGNAL-80D21C61AE733B7E	needs_original_language_source	fa	https://www.mehrnews.com/news/6141439/%D8%AA%D8%B5%D9%88%DB%8C%D8%A8-%DA%A9%D9%84%DB%8C%D8%A7%D8%AA-%D8%B3%D9%86%D8%AF-%D8%AA%D8%A3%D8%B3%DB%8C%D8%B3-%D8%B3%D8%A7%D8%B2%D9%85%D8%A7%D9%86-%D9%85%D9%84%DB%8C-%D9%88-%D8%AA%D8%B4%DA%A9%DB%8C%D9%84-%D8%B4%D9%88%D8%B1%D8%A7%DB%8C-%D8%B1%D8%A7%D9%87%D8%A8%D8%B1%DB%8C-%D9%87%D9%88%D8%B4-%D9%85%D8%B5%D9%86%D9%88%D8%B9%DB%8C	Mehr News report on national AI document/organization	Persian source is state-media policy report, not an official primary legal/policy source; local metadata itself says route to primary verification.	secondary report/source-surface only; no official-policy claim	Find local primary original-language government/legal source before extraction or promotion.
BTR-00566	LIMEN-SIGNAL-81BDD0BF49A56516	candidate_for_parent_source_extraction	fr	https://www.cnil.fr/fr/bac-sable-intelligence-artificielle-et-services-publics-la-cnil-accompagne-8-projets-innovants	CNIL AI and public-services sandbox notice	Official French CNIL notice is concrete AI sandbox surface; local notes limit it to national CNIL activity, not French Guiana territorial sandbox.	official sandbox source-surface; no territorial GF claim	Extract bounded CNIL national sandbox source fields with territorial caveat.
BTR-00567	LIMEN-SIGNAL-82514ABC943FEE34	source_surface_only_no_case	nl	https://www.rdi.nl/onderwerpen/technologische-ontwikkelingen/kunstmatige-intelligentie	RDI Kunstmatige intelligentie page	Dutch RDI page is nearest official AI-supervision surface; local notes say no Caribbean Netherlands regulatory-sandbox evidence found.	context/absence-check only; no sandbox existence claim	Keep as regulator-context surface; do not promote as BQ sandbox evidence.
BTR-00568	LIMEN-SIGNAL-828895E1F917693C	source_surface_only_no_case	sv	https://www.regeringen.ax/alandsk-lagstiftning/alex/202179	Åland Offentlighetslag 2021:79	Official Swedish legal text supports general transparency/public-records context; local notes explicitly say it does not establish a public algorithm register.	general transparency source-surface only; no algorithm-register claim	Retain only for general transparency context; seek direct algorithm-register source if needed.
BTR-00569	LIMEN-SIGNAL-8396C57B46B147E5	candidate_for_parent_source_extraction	es	https://www.gub.uy/agencia-gobierno-electronico-sociedad-informacion-conocimiento/comunicacion/publicaciones/guia-para-evaluacion-del-estudio-impacto-algoritmico-eia/guia-para	Agesic Guia para evaluacion del Estudio de Impacto Algoritmico	Spanish official Agesic guidance is strong adjacent AI evidence-maturity surface; local notes do not confirm post-market/revocation regime.	algorithmic-impact guidance surface only; no enforcement or regime claim	Extract bounded guidance/source fields; preserve warning against post-market/revocation claims.
BTR-00570	LIMEN-SIGNAL-83D67318DEDC7C36	cross_project_duplicate	th	https://www.etda.or.th/th/pr-news/AI_Gov_Anual.aspx	ETDA Generative AI Governance Guideline for Organizations	Duplicate of BTR-00562 same local ETDA Thai guidance URL and source role in this batch.	duplicate source-surface; inherit BTR-00562 ceiling	Deduplicate to BTR-00562 before any extraction.
BTR-00571	LIMEN-SIGNAL-841385562BC5BD98	translation_source_reviewed	ms	https://www.malaysia.gov.my/en/my-initiative/whole-government-digital-services/tadbir-urus/national-guidelines-on-artificial-intelligence-governance-and-ethics-aige	Malaysia National Guidelines on AI Governance and Ethics AIGE	Malaysia government page is locally reachable and named as AI governance/ethics guideline; content remains translation-sensitive and contextual.	official guidance source-surface; no incident/legal/safety finding	Use as translation-aware policy context; require original-language extraction before stronger claims.
BTR-00572	LIMEN-SIGNAL-856CCD53A1251956	translation_source_reviewed	el	https://ai.gov.gr/artificial-intelligence/	Greek Special Secretariat of Artificial Intelligence and Data Governance	Greek official AI page is locally reachable and names AI governance/AI Act/public-administration hooks; supports only source posture/context.	official government AI-policy surface; no implementation or case claim	Use as translation-aware context source; extract only bounded source-surface facts.
BTR-00573	LIMEN-SIGNAL-8614D2753813272A	translation_source_reviewed	nl	https://algoritmes.overheid.nl/en	Netherlands Algorithm Register	Official Netherlands Algorithm Register page is concrete public algorithm-register surface; local snippet warns English descriptions are machine translated and Dutch originals control.	algorithm-register source-surface; no case-level correctness claim from machine translation	Use for registry existence/schema context; consult Dutch originals for any individual algorithm record claim.
BTR-00574	LIMEN-SIGNAL-8615EEE63EC71DCB	candidate_for_parent_source_extraction	es	https://www.argentina.gob.ar/sites/default/files/guia_ai-final-2025.pdf	Argentina AAIP responsible AI transparency/data-protection guide	Spanish official PDF guidance is AI procurement-adjacent; local notes say it discusses traceability/auditability before contracting but is not mandatory procurement control.	AI guidance/procurement-adjacent surface only; no mandatory-control claim	Extract bounded guide fields with explicit non-mandatory procurement warning.
