queue_id	signal_id	bulk_translation_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
BTR-00305	LIMEN-SIGNAL-D2E99AEB045199DB	source_surface_only_no_case	Spanish official-source metadata	https://gobiernodigital.mintic.gov.co/portal/Manual-de-Gobierno-Digital/	Ministerio TIC - Manual de Gobierno Digital	Official Colombian digital-government manual is local transparency-practice context; row explicitly says not an algorithm register.	source-surface digital-governance context only	Retain as context/parent source only; do not code as algorithm-register case.
BTR-00306	LIMEN-SIGNAL-D3083619A449955C	translation_source_reviewed	Vietnamese official-decree locator	https://vanban.chinhphu.vn/	Government of Viet Nam / State Bank of Viet Nam - Decree No. 94/2025/ND-CP	Local official portal row identifies a banking sandbox decree, but only sectoral fintech sandbox maturity is explicit.	source-surface sectoral sandbox context only; no AI sandbox claim	Use original Vietnamese decree text before field extraction or AI-governance claims.
BTR-00307	LIMEN-SIGNAL-D524E3A19FC90DD6	translation_source_reviewed	Portuguese	https://www.gov.br/cvm/pt-br/assuntos/regulados/sandbox-regulatorio	Comissão de Valores Mobiliários - Sandbox Regulatório CVM	Official CVM page supports securities-sector sandbox surface; local note excludes general AI-specific sandbox.	source-surface sectoral sandbox context only	Retain as sectoral maturity evidence; do not promote as AI regulatory-sandbox case.
BTR-00308	LIMEN-SIGNAL-D5DD33C14591E47A	needs_original_language_source	Turkish	https://tubitak.gov.tr/en/kurumsal/yapay-zeka/yapay-zeka-politika-belgesi	TÜBİTAK Artificial Intelligence Policy	Curated Turkish official-source row timed out and has no snippet/content hash; translation-sensitive surface only.	existence/provenance locator only pending source retrieval	Retrieve/review original Turkish source before extracting policy content.
BTR-00309	LIMEN-SIGNAL-D60D1D85DE659D86	translation_source_reviewed	Chinese	https://www.cac.gov.cn/2022-12/11/c_1672221949318230.htm	CAC - Provisions on the Administration of Deep Synthesis Internet Information Services	Local Chinese-source metadata states deep-synthesis/deepfake governance surface, but legal effect should not rest on paraphrase alone.	translation-safe source-surface governance context only	Review original Chinese provisions before any legal or compliance claim.
BTR-00310	LIMEN-SIGNAL-D613432BC28E0685	cross_project_duplicate	Chinese	https://www.cac.gov.cn/2022-12/11/c_1672221949318230.htm	CAC - Provisions on the Administration of Deep Synthesis Internet Information Services	Same Chinese deep-synthesis source and paraphrase as BTR-00309 from a parallel GAIA package path.	duplicate translation-safe source-surface context only	Deduplicate against BTR-00309; review original Chinese source if retained.
BTR-00311	LIMEN-SIGNAL-D6BC532157DABE35	source_surface_only_no_case	Slovak	https://mirri.gov.sk/sekcie/informatizacia/jednotny-digitalny-trh/akt-o-umelej-inteligencii-aia/	MIRRI SR - Akt o umelej inteligencii (AIA)	Official Slovak AIA landing page was used for negative sandbox check; no active sandbox entry visible locally.	source-surface negative/context evidence only	Keep conservative; use further Slovak regulator sources before sandbox conclusions.
BTR-00312	LIMEN-SIGNAL-D819EB2E9416E1EE	source_surface_only_no_case	Spanish/English matrix metadata	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-readiness-overview/algorithm-register-scarcity-map.csv:97	PALLAS algorithm-register scarcity map - Guatemala	Local matrix row is a low-confidence absence/scarcity signal, not a direct original-language source.	processing-state scarcity context only; no absence finding	Run second-pass official-source verification before any Guatemala register claim.
BTR-00313	LIMEN-SIGNAL-D8BDF278CB528A40	translation_source_reviewed	Swedish	https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2025/10/sou-2025101/	Government Offices of Sweden - SOU 2025:101	Official Swedish legal-document page supports a narrow high-risk AI registration proposal, not a comprehensive public algorithm register.	source-surface proposal context only; no enacted/register finding	Extract parent source only with original Swedish document and proposal/enactment caveat.
BTR-00314	LIMEN-SIGNAL-D9018138A2F622DA	source_surface_only_no_case	Dutch/Papiamentu official catalogue surface	https://www.gobierno.aw/nl/0206-openbaarheid-van-bestuur	Government of Aruba - Landsverordening openbaarheid van bestuur	Official Aruba legal catalogue supports public-access/transparency statute context; row says not an algorithm register.	source-surface transparency-law context only	Retain as transparency baseline only; do not code as algorithm-register evidence.
BTR-00315	LIMEN-SIGNAL-D994420B317BD6B0	translation_source_reviewed	Czech	https://www.mpo.gov.cz/assets/cz/podnikani/digitalni-ekonomika/umela-inteligence/2024/8/Narodni-strategie-umele-intelience-CR-2030.pdf	Czech Ministry of Industry and Trade - Národní strategie umělé inteligence ČR 2030	Official Czech strategy references AI regulatory-sandbox support, but local row found no operational sandbox.	source-surface strategy/policy-intent context only	Use original Czech strategy and later implementation sources before sandbox extraction.
