query	path	line	snippet_hash	snippet
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/journal.md	456	sha256:17dcc4f51f9f447ccc4d3665c9763b1bb5b14223a71fa26445d465fb946f5c8a	- Paper-readiness delta: - Duplicate review is now explicitly tied to the lane-011 normalized-join contract. - Taxonomy pressure is now described with a second filter: recurrence in weak multilingual or single-source rows can justify queueing but not label pro
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/journal.md	523	sha256:9242aeb4b211ad5e0e53faf528e500257758501b0f4f9231837516e4be20cd4e	- Paper-readiness delta: - Upgraded the duplicate/taxonomy package from an early zero-positive baseline to a de-duplicated 22-row / 17-lineage review ledger. - Distinguished workflow-derivative duplicates from true event-level non-merges, which makes dashboard
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/results/crosswalks/framework-anchor-coverage-v0.1.tsv	14	sha256:513d9c3eb8ce0bd17d687c67811764809bf3ae45d8161ce6cd59bef649fc167a	ai_washing_or_false_ai_claim AI washing or false AI claim 3 mixed_tier_authority_led 2 1 no direct local AI Act primary-text anchor verified for this subtype; current support is enforcement-source-led and analogy-limited govern; map; manage documentation of ca
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/results/crosswalks/legal-normative-crosswalk-v0.1.tsv	14	sha256:9ce079822a238b21f73a08104d7462f9551639f26ad31fdca4d8cdc75be5c792	limen-legal-normative-crosswalk ai_washing_or_false_ai_claim AI washing or false AI claim 3 data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005, results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001, results/boost/limen-boost-009/candidate-c
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/results/crosswalks/legal-uncertainty-queue.md	54	sha256:8b560c12eb953c82d89c39e8482fd5c0f5436ae19cdf9792171ea2077f8625af	| LQ-008 | AI washing or false-AI procurement/marketing claim | `ai_washing_or_false_ai_claim`; `finance_insurance_or_market` | authority-led with narrow sector scope and no direct framework anchor | Two SEC settlement/order packages directly support regulated
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-009/candidate-cases.jsonl	2	sha256:b904e96f553b7c3204c1b179ea40f597b52f8635a1aea63c71fd432130e68594	{"case_id":"LIMEN-000002","title":"SEC settlement with Global Predictions over false and misleading AI financial-adviser claims","summary":"The SEC found that Global Predictions made false and misleading claims about its use of AI, including describing itself 
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-009/status.md	6	sha256:d4a255f3e827eed2dbb058ca7f3915cc6921e4ccf30cfab90c2dd7d12e5547e1	Shard theme: AI washing, false AI claims, and human-as-AI cases
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-010/proposal-priority-matrix.tsv	4	sha256:eeb1c79d11d53b143af606e2d74a1a6a23d23a7799fc18425e20bf165bc6706b	LIMEN-TP-010-002 simulated_autonomy_or_hidden_human_labor 3 keep_as_queue_not_paper_category_yet The local corpus now has two settled SEC AI-washing exemplars and one charge-stage DOJ hidden-human-behind-AI case, so the pattern is visible. But the strongest fi
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-010/category-pressure.tsv	14	sha256:082095ab50f555d6633a4dab671019f1245bae12bb76f132dd49d252c307ff5f	ai_washing_or_false_ai_claim AI washing or false AI claim 3 2 1 0 3 T1_single_public_source:1; T3_authoritative_source:2 en;sl CA;Slovenia;US multilingual-candidates.jsonl:LMWCS-20260606-005, candidate-cases.jsonl:LIMEN-000001, candidate-cases.jsonl:LIMEN-0000
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-010/proposal-copydeck.tsv	4	sha256:26011a6ca0e1e91a7f3706ca487e491844d40042cc54c2f4c41ad4650b28742d	LIMEN-TP-010-002 simulated_autonomy_or_hidden_human_labor 3 authoritative_singleton_queue_only simulated_autonomy_or_hidden_human_labor is currently best treated as an authoritative-singleton queue: the corpus can distinguish generic AI washing from a narrower
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-010/residual-wording-alignment.tsv	4	sha256:90fcff2df2ddccf01b1362f7d8a6022e4e19f6e1e85115292833f2a617c4bbd2	LIMEN-TP-010-002 simulated_autonomy_or_hidden_human_labor results/taxonomy/taxonomy-delta-v0.1.md:95-103 Stronger than before because the Nate row is an authoritative charging-stage anchor, but still under-threshold as a single procedurally bounded exemplar. a
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dedupe-cluster-taxonomy/cycle-2026-06-07T00-37-48Z.md	20	sha256:a1cfbb122ea54a54c4ff0c396927c78191d7842f6b268edd65d33454fee328da	- Added a bounded subtype-ready finding for enforcement-backed AI washing in regulated finance without claiming a new top-level category.
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dedupe-cluster-taxonomy/cycle-2026-06-07T01-47-56Z.md	35	sha256:99d81de477cfda5d73f6a8fc8b7fd6d91b4f2728b180a6c0ebc18dfe34c17767	- Best-supported subtype candidates remain biometric governance, agent-tool boundary failure, and regulated-finance AI washing.
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/results/taxonomy/taxonomy-delta-v0.1.md	93	sha256:a00711f7255ca3e80b62e7358acfa7c723b9aff7909ae5769a84a6df716db53b	| Enforcement-backed AI washing / AI capability misstatement | `ai_washing_or_false_ai_claim` + `finance_insurance_or_market` and adjacent misstatement rows | Repeated in the two SEC-backed rows for Delphia and Global Predictions, with a third authoritative ch
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/data/cases/authoritative-candidates.jsonl	7	sha256:fcef1ee4bf3b785d1261f93e460fd44f06f0906392e1f15581929a8ee4b41425	{"case_id": "LIMEN-000007", "title": "SEC settlement with Global Predictions over false and misleading AI financial-adviser claims", "summary": "The SEC found that Global Predictions made false and misleading claims about its use of AI, including describing it
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/taxonomy/taxonomy-v0.1.md	35	sha256:1af1a1550ce06093d087dde41a6ee4ebe91f95b4e62112fdf9533b9aa9a15880	| `ai_washing_or_false_ai_claim` | AI washing or false AI claim | Case involves exaggerating AI capability, hiding human labor as AI, or falsely claiming AI provenance. |
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-009/tmp/sec-2024-36.html	1078	sha256:b8f5d21a1642b483ad05fff9f57589a657a1495bd1bfdcac0a9f7f13aae11ae0	<p>“We find that Delphia and Global Predictions marketed to their clients and prospective clients that they were using AI in certain ways when, in fact, they were not,” said SEC Chair Gary Gensler. “We’ve seen time and again that when new technologies come alo
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-009/tmp/sec-2024-36.html	1080	sha256:ac4a8cc3fca6aa8fee6ce66694da89d1629b989c66faa865da42e1806fbe7e52	<p>“As more and more investors consider using AI tools in making their investment decisions or deciding to invest in companies claiming to harness its transformational power, we are committed to protecting them against those engaged in ‘AI washing,’” said Gurb
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-009/ocr-experiment-request.json	8	sha256:9910a8fbd722c491fb0775057f56300ba0399e501e84fa5144e2000328321f56	"theme": "AI washing, false AI claims, and human-as-AI cases",
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv	14	sha256:5274b5097a52cc4500b9ad4e3a1259718bd5d753db1895ea1b15a18b0be892c3	ai_washing_or_false_ai_claim AI washing or false AI claim 3 2 3 authoritatively_seeded T1_single_public_source:1; T3_authoritative_source:2 Medium 2 LQ-008; LQ-009 no direct local AI Act primary-text anchor verified for this subtype; current support is enforce
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dashboard-paper-forge/legal-uncertainty-matrix.tsv	2	sha256:a164ea0769cbdd8ab15db91313a99159dcaffb4f931a8e548af5b97df6fe61e9	unlawful_or_allegedly_unlawful_use Unlawful or allegedly unlawful use 3 T1_single_public_source:2; T3_authoritative_source:1 High LQ-005; LQ-008 LQ-005: Synthetic identity, deepfake, fraud, or market-manipulation case with alleged harm || LQ-008: AI washing or
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dashboard-paper-forge/legal-uncertainty-matrix.tsv	11	sha256:579daa173ebbb5ad8a340f091c3ef7670958cc3ce18ee698338bc0ec9d85e62f	finance_insurance_or_market Finance, insurance, or market 2 T3_authoritative_source:2 Medium LQ-005; LQ-008 LQ-005: Synthetic identity, deepfake, fraud, or market-manipulation case with alleged harm || LQ-008: AI washing or false-AI procurement/marketing claim
AI washing	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dashboard-paper-forge/legal-uncertainty-matrix.tsv	14	sha256:580a9c4b774d5b4e529413c37cbb6dd12ec08a6c780392f37282ffd6f92dd5c0	ai_washing_or_false_ai_claim AI washing or false AI claim 3 T1_single_public_source:1; T3_authoritative_source:2 Medium LQ-008; LQ-009 LQ-008: AI washing or false-AI procurement/marketing claim || LQ-009: Residual/unclassified or normatively salient case with 
fake AI	/srv/tyche/projects/limen-ai-edge-case-atlas/sources/public-source-families-v0.1.tsv	13	sha256:a9091dcb9aa73c8601b833ed50335573d056f03d1e5f432a8aa064cc240b870b	Creative/absurd edge sources P2 weird deployments; contests; AI-as-persona; fake AI claims residual and normative outlier discovery avoid harassment and individual pile-ons limen-continuous-experiments
AI scandal	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/trace-x/cases/eu-cjeu-pnr/case-study.md	9	sha256:5eb1e95bca40410bff9eebaa5b3fabc55153e1f61caddcdb57e8af0312098c2a	The CJEU PNR judgment is useful for TRACE-X not because it is a conventional deployed-AI scandal, but because it gives unusually explicit public-record guidance on automated risk assessment, pre-determined criteria, machine-learning opacity, human review, fals
AI scandal	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/trace-x/cases/eu-cjeu-pnr/case-study.md.bundle/case-study.md	9	sha256:5eb1e95bca40410bff9eebaa5b3fabc55153e1f61caddcdb57e8af0312098c2a	The CJEU PNR judgment is useful for TRACE-X not because it is a conventional deployed-AI scandal, but because it gives unusually explicit public-record guidance on automated risk assessment, pre-determined criteria, machine-learning opacity, human review, fals
AI misuse	/srv/tyche/pallas/pallas-ai-agent-observatory/prompts/waves/pallas-hardening-sprint-10/kw-source-hardening.md	53	sha256:4def14e5a4dce64ba66547e67a80de0365f6f832a534dba1cc026107a59efbb2	| I01 | Kuwait Targets AI Misuse with New Regulations | Arab Times | L | secondary media | https://www.arabtimesonline.com/news/kuwait-targets-ai-misuse-with-new-regulations/ |
AI misuse	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	3041	sha256:d8a7ef66a972bf9c3856fd8a63ca91f84c1d65c39e90926849e1d453ac09f2b9	pallas-readiness-sprint-4,KW,Kuwait,I01,Kuwait Targets AI Misuse with New Regulations,Arab Times,https://www.arabtimesonline.com/news/kuwait-targets-ai-misuse-with-new-regulations/,2026-05-30,secondary media,weak signal for emerging AI-policy discussion,L,Reta
AI misuse	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_4_SOURCE_PACK.csv	308	sha256:fbafcb1f8e89c7592a9aa4c757d710a184f728cbd1ffde78b3ca5265001b6f72	KW,Kuwait,I01,Kuwait Targets AI Misuse with New Regulations,Arab Times,https://www.arabtimesonline.com/news/kuwait-targets-ai-misuse-with-new-regulations/,2026-05-30,secondary media,weak signal for emerging AI-policy discussion,L,Retained only as weak-source l
AI misuse	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/snapshots/factory.ai-9cb5d01239e08ecb.bin	16	sha256:6f24cc8378d13ec683b5ee02990d3b03cfafc2ef28aeff06fb555a0798d8cdaf	</script><header class="group/header fixed inset-x-0 top-0 z-60 px-4 lg:px-9"><div aria-hidden="true" class="pointer-events-none absolute inset-x-0 -top-6 z-0 h-40 backdrop-blur-3xl backdrop-saturate-150" style="-webkit-mask-image:linear-gradient(to bottom, bl
AI misuse	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/snapshots/factory.ai-9cb5d01239e08ecb.bin	17	sha256:b4ae97222c4a79fabda33a1951e203d517911ceb9a59002916f82671c4d71c20	Our auton<!-- -->...</p><span class="text-foreground text-pretty font-mono text-[12px] leading-[100%] tracking-[-0.015rem] uppercase group-hover:text-accent-100 relative mt-1 flex w-fit items-center transition-colors duration-200 after:absolute after:-bottom-p
AI misuse	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/factory.ai-9cb5d01239e08ecb.bin	16	sha256:6f24cc8378d13ec683b5ee02990d3b03cfafc2ef28aeff06fb555a0798d8cdaf	</script><header class="group/header fixed inset-x-0 top-0 z-60 px-4 lg:px-9"><div aria-hidden="true" class="pointer-events-none absolute inset-x-0 -top-6 z-0 h-40 backdrop-blur-3xl backdrop-saturate-150" style="-webkit-mask-image:linear-gradient(to bottom, bl
AI misuse	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/factory.ai-9cb5d01239e08ecb.bin	17	sha256:b4ae97222c4a79fabda33a1951e203d517911ceb9a59002916f82671c4d71c20	Our auton<!-- -->...</p><span class="text-foreground text-pretty font-mono text-[12px] leading-[100%] tracking-[-0.015rem] uppercase group-hover:text-accent-100 relative mt-1 flex w-fit items-center transition-colors duration-200 after:absolute after:-bottom-p
AI incident	/srv/tyche/projects/limen-ai-edge-case-atlas/methods/crosswalk-method-note-v0.1.md	10	sha256:043921aeb4aea055669e531a87b93ade125e5dbe45d7000cb9d64f9f4b1aeb77	This note records the first bounded crosswalk pass between LIMEN and six public AI incident/risk/security sources named in the lane brief:
AI incident	/srv/tyche/projects/limen-ai-edge-case-atlas/methods/crosswalk-method-note-v0.1.md	12	sha256:7080ae3472be87d2b81395a16da003b12901a1b1fd38818f15fdb34f42ea3c63	- AI Incident Database (AIID)
AI incident	/srv/tyche/projects/limen-ai-edge-case-atlas/methods/crosswalk-method-note-v0.1.md	13	sha256:a5fe7fcf9b1abafdeff7e355ca6d945c55c92e847291ce8c4e4dbd884cff858a	- OECD AI Incidents Monitor
AI incident	/srv/tyche/projects/limen-ai-edge-case-atlas/methods/crosswalk-method-note-v0.1.md	89	sha256:907645907b4badc8b4788a5e13e40a5e252dcb73d00d4ec48827b1b51036408c	### OECD AI Incidents Monitor
AI incident	/srv/tyche/projects/limen-ai-edge-case-atlas/methods/crosswalk-method-note-v0.1.md	149	sha256:3f7bc59f8bd6ac639243293083fe69212e1350c90e0f5e504640a6d9abd7aa02	### 2. OECD AI Incidents Monitor
AI incident	/srv/tyche/projects/limen-ai-edge-case-atlas/sources/public-source-families-v0.1.tsv	2	sha256:ab373fa12d0241e9879027831453dad01ca1fc3031ee14b176520e6c9d81e3dc	AI incident databases P0 AIID; OECD AIM crosswalk existing incident/hazard records check API/download/reuse terms before mirroring limen-aiid-oecd-avid-crosswalk
AI incident	/srv/tyche/projects/limen-ai-edge-case-atlas/sources/source-family-ledger.tsv	2	sha256:f30daa0fafe6834092dd07e4097f542a6f44275050a6adfef4c158877cfba5e9	sf01 AI Incident Database (AIID) P0 Curated incident database with strong discovery/comparison value, but not a final authority for legal status or incident truth Public cite pages, public snapshots page, and bounded public route inspection; GraphQL/API behavi
AI incident	/srv/tyche/projects/limen-ai-edge-case-atlas/sources/source-family-ledger.tsv	3	sha256:d33fd77f7aad4a2dc69520b5376f8e151fd49c9a571e173a9adb8a38c5f6f486	sf02 OECD AI Incidents Monitor (OECD AIM) P0 Official institutional monitor with strong policy-facing authority for public incident indexing and controlled vocabularies, but not itself a final authority on underlying allegations Public incident pages and unaut
AI incident	/srv/tyche/projects/limen-ai-edge-case-atlas/results/source-map/source-family-coverage-map-v0.1.tsv	2	sha256:2d12177abd7dee510a2dd725a7407aa64ea0a53cf3f4e2e3d962e62615675cac	2026-06-07T06:28:33Z sf01 AI Incident Database (AIID) P0 seeded grounded_now 13 Curated incident database with strong discovery/comparison value English-facing interface with global incident coverage Global, multi-jurisdiction Rolling/continuous Public inciden
AI incident	/srv/tyche/projects/limen-ai-edge-case-atlas/results/source-map/source-family-coverage-map-v0.1.tsv	3	sha256:f368ff967ec3a343b4c15ae21cd2db11d7b86dd386e482bd409ad1a4084cfdc8	2026-06-07T06:28:33Z sf02 OECD AI Incidents Monitor (OECD AIM) P0 seeded grounded_now 12 Official institutional monitor with strong policy-facing authority for public incident indexing and controlled vocabularies English-facing interface with international art
AI incident	/srv/tyche/projects/limen-ai-edge-case-atlas/results/source-map/source-family-hardening-priority-v0.1.tsv	13	sha256:4885feab458fb0acda12ddc64d0f88878c73b593b5ed3570b55dcbe10d0a1385	12 sf02 OECD AI Incidents Monitor (OECD AIM) P0 seeded grounded_now bounded_comparator_use_now Strong for comparator metadata, vocabulary bridges, and country/language context; still insufficient alone for strong factual or legal claims stable_list_to_detail_d
AI incident	/srv/tyche/projects/limen-ai-edge-case-atlas/results/source-map/source-family-hardening-priority-v0.1.tsv	14	sha256:753ac6eb585ac2eb934878982b9ebd43f979ab0245ffd845c49a522080401c68	13 sf01 AI Incident Database (AIID) P0 seeded grounded_now bounded_comparator_use_now Strong for overlap, residual-gap detection, and source-baseline discussion; weak alone for legal/compliance or incident-truth claims one_snapshot_or_field-manifest_appendix_v
AI incident	/srv/tyche/projects/limen-ai-edge-case-atlas/results/crosswalks/source-crosswalk-v0.1.tsv	2	sha256:05c65a60eaad0ea03e9acc8fa85f624b2c2bea49e447f99a568575e2f543633b	aiid AI Incident Database (AIID) https://incidentdatabase.ai/ incident database yes partial no yes no no Public homepage, public cite pages such as `/cite/1515/`, and public snapshots page with dated direct backup links on public object storage; this cycle kep
AI incident	/srv/tyche/projects/limen-ai-edge-case-atlas/results/crosswalks/source-crosswalk-v0.1.tsv	3	sha256:41bac41eb2690776b92597b8a557a123d3c7c7a87b9bb83471d4532809171874	oecd_aim_incidents OECD AI Incidents Monitor https://oecd.ai/en/incidents official incident monitor yes partial no yes yes no Public incidents index, public detail pages such as `/en/incidents/2026-06-05-f373`, exact unauthenticated detail JSON at `https://inc
AI incident	/srv/tyche/projects/limen-ai-edge-case-atlas/results/crosswalks/seed-import-join-prototype-v0.1.tsv	2	sha256:3d653f6316ff4e7b54655e86dd9ff6a58b7c5a4765bf1c733aa025c3ac653bae	aiid AI Incident Database (AIID) authoritative-candidates + security-agentic-candidates crosswalks.aiid_ids 15 0 0 0 not_applicable not_applicable bounded_public_comparator_only No current LIMEN row carries a populated AIID join slot; AIID remains a source-lev
AI incident	/srv/tyche/projects/limen-ai-edge-case-atlas/results/crosswalks/seed-import-join-prototype-v0.1.tsv	3	sha256:e4cc15750ee4b2ff4026093efd28887d99dbabbe13ef93ec081225cb14590a9f	oecd_aim_incidents OECD AI Incidents Monitor authoritative-candidates + security-agentic-candidates crosswalks.oecd_aim_ids 15 0 0 0 not_applicable not_applicable bounded_public_comparator_only No current LIMEN row carries a populated OECD incident join slot; 
AI incident	/srv/tyche/projects/limen-ai-edge-case-atlas/results/crosswalks/field-map-appendix-v0.1.tsv	2	sha256:bf24285b8b89a75988b0c6ba45f24ba4c632f40832d4b1ebc88ad70d174be1ce	aiid AI Incident Database (AIID) incident comparator https://incidentdatabase.ai/cite/1515/ public cite page page label `Incident ID` 1515 "`data-testid=""incident-title""`" Incident 1515: Purportedly AI-Generated Airport Videos Reportedly Showed Diaspora Vote
AI incident	/srv/tyche/projects/limen-ai-edge-case-atlas/results/crosswalks/field-map-appendix-v0.1.tsv	3	sha256:13a4853553c610cf34c73ca33d670ff9d2387ec1dee4067057e4191d7115c00d	oecd_aim_incidents OECD AI Incidents Monitor official incident comparator https://oecd.ai/en/incidents/2026-06-05-f373 public detail page plus exact public JSON endpoint public API `id` and embedded `ng-state` detail ID 2026-06-05-f373 `ng-state.b.title` Phili
