as_of_utc	lane_id	normalized_record_key	record_title	local_id	jurisdictions	languages	evidence_tier	current_confidence	duplicate_control_state_in_ledger	cluster_statuses_from_cluster_tsv	cluster_ids_from_cluster_tsv	cluster_count	state_flattening_flag	state_flattening_note	missing_graph_clusters	graph_gap_flag	publication_risk	recommended_export_fields	next_smallest_publishability_move	evidence_basis_paths
2026-06-07T11:11:08Z	limen-boost-059	data/cases/authoritative-candidates.jsonl:LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	LIMEN-000003	United Kingdom	en	T3_authoritative_source	high	reviewed_not_duplicate	identifier_collision_blocker|reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000003|REVIEW-NOMERGE-ICO-001	2	yes	Ledger currently foregrounds reviewed_not_duplicate, but cluster TSV also assigns identifier_collision_blocker; a one-badge export would hide join-safety risk.	none	no	shared prose, dashboard exports, or thesis tables may understate join-safety or lineage-collapse constraints if they consume only one duplicate_control_state field	duplicate_control_states[]; cluster_ids[]; namespace_collision_flag; lineage_collapse_flag; reviewed_nonmerge_flag; normalized_record_key	Build a shared export QA layer that asserts no multi-state row is reduced to one duplicate badge and that graph coverage gaps are explicitly labeled as partial.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-011/normalized-join-key-ledger.tsv; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv
2026-06-07T11:11:08Z	limen-boost-059	data/cases/authoritative-candidates.jsonl:LIMEN-000004	UK ICO reprimands Essex school over facial-recognition canteen payments	LIMEN-000004	United Kingdom	en	T3_authoritative_source	high	reviewed_not_duplicate	identifier_collision_blocker|reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000004|REVIEW-NOMERGE-ICO-001	2	yes	Ledger currently foregrounds reviewed_not_duplicate, but cluster TSV also assigns identifier_collision_blocker; a one-badge export would hide join-safety risk.	none	no	shared prose, dashboard exports, or thesis tables may understate join-safety or lineage-collapse constraints if they consume only one duplicate_control_state field	duplicate_control_states[]; cluster_ids[]; namespace_collision_flag; lineage_collapse_flag; reviewed_nonmerge_flag; normalized_record_key	Build a shared export QA layer that asserts no multi-state row is reduced to one duplicate badge and that graph coverage gaps are explicitly labeled as partial.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-011/normalized-join-key-ledger.tsv; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv
2026-06-07T11:11:08Z	limen-boost-059	data/cases/authoritative-candidates.jsonl:LIMEN-000006	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	LIMEN-000006	United States	en	T3_authoritative_source	high	stable_duplicate_cluster	identifier_collision_blocker|stable_duplicate_cluster	CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318|REVIEW-IDCOLLISION-LIMEN-000006	2	yes	Ledger currently shows only stable_duplicate_cluster, but cluster TSV also assigns identifier_collision_blocker; a one-badge export would hide namespace-collision risk.	CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318|REVIEW-IDCOLLISION-LIMEN-000006	yes	shared prose, dashboard exports, or thesis tables may understate join-safety or lineage-collapse constraints if they consume only one duplicate_control_state field	duplicate_control_states[]; cluster_ids[]; namespace_collision_flag; lineage_collapse_flag; reviewed_nonmerge_flag; normalized_record_key	Build a shared export QA layer that asserts no multi-state row is reduced to one duplicate badge and that graph coverage gaps are explicitly labeled as partial.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-011/normalized-join-key-ledger.tsv; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv
2026-06-07T11:11:08Z	limen-boost-059	data/cases/authoritative-candidates.jsonl:LIMEN-000007	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	LIMEN-000007	United States	en	T3_authoritative_source	high	stable_duplicate_cluster	identifier_collision_blocker|stable_duplicate_cluster	CLUSTER-DERIVATIVE-SEC-GP-20260318|REVIEW-IDCOLLISION-LIMEN-000007	2	yes	Ledger currently shows only stable_duplicate_cluster, but cluster TSV also assigns identifier_collision_blocker; a one-badge export would hide namespace-collision risk.	CLUSTER-DERIVATIVE-SEC-GP-20260318|REVIEW-IDCOLLISION-LIMEN-000007	yes	shared prose, dashboard exports, or thesis tables may understate join-safety or lineage-collapse constraints if they consume only one duplicate_control_state field	duplicate_control_states[]; cluster_ids[]; namespace_collision_flag; lineage_collapse_flag; reviewed_nonmerge_flag; normalized_record_key	Build a shared export QA layer that asserts no multi-state row is reduced to one duplicate badge and that graph coverage gaps are explicitly labeled as partial.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-011/normalized-join-key-ledger.tsv; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv
2026-06-07T11:11:08Z	limen-boost-059	data/cases/security-agentic-candidates.jsonl:LIMEN-000001	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	LIMEN-000001	Global	English	T3_authoritative_source	high	reviewed_not_duplicate	identifier_collision_blocker|reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000001|REVIEW-NOMERGE-CODEEXEC-001	2	yes	Ledger currently foregrounds reviewed_not_duplicate, but cluster TSV also assigns identifier_collision_blocker; a one-badge export would hide join-safety risk.	none	no	shared prose, dashboard exports, or thesis tables may understate join-safety or lineage-collapse constraints if they consume only one duplicate_control_state field	duplicate_control_states[]; cluster_ids[]; namespace_collision_flag; lineage_collapse_flag; reviewed_nonmerge_flag; normalized_record_key	Build a shared export QA layer that asserts no multi-state row is reduced to one duplicate badge and that graph coverage gaps are explicitly labeled as partial.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-011/normalized-join-key-ledger.tsv; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv
2026-06-07T11:11:08Z	limen-boost-059	data/cases/security-agentic-candidates.jsonl:LIMEN-000003	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	LIMEN-000003	Global	English	T3_authoritative_source	high	identifier_collision_blocker	identifier_collision_blocker|reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000003|REVIEW-NOMERGE-FILEREAD-001	2	yes	Ledger currently foregrounds identifier_collision_blocker, but cluster TSV also assigns reviewed_not_duplicate recurrence logic; a one-badge export would hide subtype-pattern review state.	REVIEW-NOMERGE-FILEREAD-001	yes	shared prose, dashboard exports, or thesis tables may understate join-safety or lineage-collapse constraints if they consume only one duplicate_control_state field	duplicate_control_states[]; cluster_ids[]; namespace_collision_flag; lineage_collapse_flag; reviewed_nonmerge_flag; normalized_record_key	Build a shared export QA layer that asserts no multi-state row is reduced to one duplicate badge and that graph coverage gaps are explicitly labeled as partial.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-011/normalized-join-key-ledger.tsv; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv
2026-06-07T11:11:08Z	limen-boost-059	data/cases/security-agentic-candidates.jsonl:LIMEN-000004	CrewAI JSON loader allowed arbitrary local file read on the server	LIMEN-000004	Global	English	T3_authoritative_source	high	reviewed_not_duplicate	identifier_collision_blocker|reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000004|REVIEW-NOMERGE-CREWAI-001|REVIEW-NOMERGE-FILEREAD-001	3	yes	Ledger currently foregrounds reviewed_not_duplicate, but cluster TSV also assigns identifier_collision_blocker; a one-badge export would hide join-safety risk.	REVIEW-NOMERGE-FILEREAD-001	yes	shared prose, dashboard exports, or thesis tables may understate join-safety or lineage-collapse constraints if they consume only one duplicate_control_state field	duplicate_control_states[]; cluster_ids[]; namespace_collision_flag; lineage_collapse_flag; reviewed_nonmerge_flag; normalized_record_key	Build a shared export QA layer that asserts no multi-state row is reduced to one duplicate badge and that graph coverage gaps are explicitly labeled as partial.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-011/normalized-join-key-ledger.tsv; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv
2026-06-07T11:11:08Z	limen-boost-059	data/cases/security-agentic-candidates.jsonl:LIMEN-000005	CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition	LIMEN-000005	Global	English	T3_authoritative_source	high	reviewed_not_duplicate	identifier_collision_blocker|reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000005|REVIEW-NOMERGE-CREWAI-001	2	yes	Ledger currently foregrounds reviewed_not_duplicate, but cluster TSV also assigns identifier_collision_blocker; a one-badge export would hide join-safety risk.	none	no	shared prose, dashboard exports, or thesis tables may understate join-safety or lineage-collapse constraints if they consume only one duplicate_control_state field	duplicate_control_states[]; cluster_ids[]; namespace_collision_flag; lineage_collapse_flag; reviewed_nonmerge_flag; normalized_record_key	Build a shared export QA layer that asserts no multi-state row is reduced to one duplicate badge and that graph coverage gaps are explicitly labeled as partial.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-011/normalized-join-key-ledger.tsv; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv
2026-06-07T11:11:08Z	limen-boost-059	data/cases/security-agentic-candidates.jsonl:LIMEN-000006	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk	LIMEN-000006	Global	English	T3_authoritative_source	high	reviewed_not_duplicate	identifier_collision_blocker|reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000006|REVIEW-NOMERGE-CODEEXEC-001|REVIEW-NOMERGE-CODEEXEC-002|REVIEW-NOMERGE-LANGCHAIN-001	4	yes	Ledger currently foregrounds reviewed_not_duplicate, but cluster TSV also assigns identifier_collision_blocker; a one-badge export would hide join-safety risk.	REVIEW-IDCOLLISION-LIMEN-000006|REVIEW-NOMERGE-LANGCHAIN-001	yes	shared prose, dashboard exports, or thesis tables may understate join-safety or lineage-collapse constraints if they consume only one duplicate_control_state field	duplicate_control_states[]; cluster_ids[]; namespace_collision_flag; lineage_collapse_flag; reviewed_nonmerge_flag; normalized_record_key	Build a shared export QA layer that asserts no multi-state row is reduced to one duplicate badge and that graph coverage gaps are explicitly labeled as partial.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-011/normalized-join-key-ledger.tsv; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv
2026-06-07T11:11:08Z	limen-boost-059	data/cases/security-agentic-candidates.jsonl:LIMEN-000007	LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host	LIMEN-000007	Global	English	T3_authoritative_source	high	reviewed_not_duplicate	identifier_collision_blocker|reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000007|REVIEW-NOMERGE-CODEEXEC-002	2	yes	Ledger currently foregrounds reviewed_not_duplicate, but cluster TSV also assigns identifier_collision_blocker; a one-badge export would hide join-safety risk.	REVIEW-IDCOLLISION-LIMEN-000007	yes	shared prose, dashboard exports, or thesis tables may understate join-safety or lineage-collapse constraints if they consume only one duplicate_control_state field	duplicate_control_states[]; cluster_ids[]; namespace_collision_flag; lineage_collapse_flag; reviewed_nonmerge_flag; normalized_record_key	Build a shared export QA layer that asserts no multi-state row is reduced to one duplicate badge and that graph coverage gaps are explicitly labeled as partial.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-011/normalized-join-key-ledger.tsv; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv
