as_of_utc	lane_id	surface_kind	row_id	row_kind	count_contract_state	evidence_tier_ceiling	member_case_count	graph_surface_state	translation_dependency	authority_risk	publication_role_now	current_claim_ceiling	blocker_class	priority_now	threshold_change_needed	next_smallest_publishability_move	evidence_basis
2026-06-07T22:03:57Z	limen-boost-059	authoritative_inventory_gap	LIMEN-000013	held_authoritative_row	outside_current_duplicate_governed_surface	T3_authoritative_source	1	not_in_duplicate_ledger_yet	no	document_read_or_posture_stability_gap	inventory-visible but denominator-excluded authoritative hold	Use only as held authoritative inventory note; do not absorb into duplicate-governed denominator until posture is stabilized (authoritative_candidate_hold_complex_posture).	inventory_governance_gap	high	bounded admission rule after complaint/order/disposition posture is stabilized enough for duplicate governance	Keep the row visible in authoritative inventory drift notes and decide explicit admission/exclusion criteria before any denominator change.	FTC Rytr complaint-plus-final-order package on AI-generated reviews, kept on complex-posture hold
2026-06-07T22:03:57Z	limen-boost-059	authoritative_inventory_gap	LIMEN-000014	held_authoritative_row	outside_current_duplicate_governed_surface	T3_authoritative_source	1	not_in_duplicate_ledger_yet	no	document_read_or_posture_stability_gap	inventory-visible but denominator-excluded authoritative hold	Use only as held authoritative inventory note; do not absorb into duplicate-governed denominator until posture is stabilized (authoritative_candidate_hold_document_read).	inventory_governance_gap	high	bounded admission rule after complaint/order/disposition posture is stabilized enough for duplicate governance	Keep the row visible in authoritative inventory drift notes and decide explicit admission/exclusion criteria before any denominator change.	FTC Air AI complaint-plus-TRO filing package on conversational-AI business-opportunity marketing, kept on document-read hold
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	CLUSTER-DERIVATIVE-LIMEN-008-LEAD-001	stable_duplicate_cluster	inside_extended_reviewed_surface	T1_single_public_source	2	ledger_only_stable_collapse	yes	single_public_plus_translation	count_safe_duplicate_collapse	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	single_public_translation_gap	high	one direct official or document-grade corroboration source, or a second independent public source after human review	Route this lineage to direct-source or second-source corroboration; keep translation-confidence and legal caution explicit until then.	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001;results/boost/limen-boost-008/candidate-cases.jsonl:LIMEN-008-LEAD-001
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	CLUSTER-DERIVATIVE-LMWCS-20260606-003	stable_duplicate_cluster	inside_extended_reviewed_surface	T1_single_public_source	2	ledger_only_stable_collapse	yes	single_public_plus_translation	count_safe_duplicate_collapse	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	single_public_translation_gap	high	one direct official or document-grade corroboration source, or a second independent public source after human review	Route this lineage to direct-source or second-source corroboration; keep translation-confidence and legal caution explicit until then.	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003;results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-003
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	CLUSTER-DERIVATIVE-LMWCS-20260606-005	stable_duplicate_cluster	inside_extended_reviewed_surface	T1_single_public_source	2	ledger_only_stable_collapse	yes	single_public_plus_translation	count_safe_duplicate_collapse	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	single_public_translation_gap	high	one direct official or document-grade corroboration source, or a second independent public source after human review	Route this lineage to direct-source or second-source corroboration; keep translation-confidence and legal caution explicit until then.	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005;results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-005
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	CLUSTER-DERIVATIVE-LMWCS-20260606-006	stable_duplicate_cluster	inside_extended_reviewed_surface	T1_single_public_source	2	ledger_only_stable_collapse	yes	single_public_plus_translation	count_safe_duplicate_collapse	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	single_public_translation_gap	high	one direct official or document-grade corroboration source, or a second independent public source after human review	Route this lineage to direct-source or second-source corroboration; keep translation-confidence and legal caution explicit until then.	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006;results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-006
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-SINGLETON-LIMEN-008-LEAD-007	no_cluster_review_row	inside_extended_reviewed_surface	T1_single_public_source	1	singleton_ledger_only	no	frontier_authority_gap	residual_frontier_queue	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	frontier_authority_gap	high	direct platform/publisher/institutional action or second independently sourced overlap row	Keep this row count-silent and queue one bounded authority-upgrade search before any taxonomy or prevalence rhetoric.	results/boost/limen-boost-008/candidate-cases.jsonl:LIMEN-008-LEAD-007
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-SINGLETON-LMWCS-20260606-002	no_cluster_review_row	inside_extended_reviewed_surface	T1_single_public_source	1	singleton_ledger_only	yes	single_public_plus_translation	singleton_watch_or_limitation_note	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	single_public_translation_gap	high	one direct official or document-grade corroboration source, or a second independent public source after human review	Route this lineage to direct-source or second-source corroboration; keep translation-confidence and legal caution explicit until then.	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-IDCOLLISION-LIMEN-000001	identifier_collision_blocker	inside_extended_reviewed_surface	T3_authoritative_source	3	graph_expected_identifier_collision	no	join_safety_not_authority	methods_schema_control	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	bare_id_join_hazard	medium	global_normalized_id adoption in downstream exports, figures, and dashboards	Patch any downstream count-bearing table/graph/export to use file-qualified or globally normalized identifiers only.	data/cases/authoritative-candidates.jsonl:LIMEN-000001;data/cases/security-agentic-candidates.jsonl:LIMEN-000001;results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-IDCOLLISION-LIMEN-000002	identifier_collision_blocker	inside_extended_reviewed_surface	T3_authoritative_source	3	graph_expected_identifier_collision	no	join_safety_not_authority	methods_schema_control	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	bare_id_join_hazard	medium	global_normalized_id adoption in downstream exports, figures, and dashboards	Patch any downstream count-bearing table/graph/export to use file-qualified or globally normalized identifiers only.	data/cases/authoritative-candidates.jsonl:LIMEN-000002;data/cases/security-agentic-candidates.jsonl:LIMEN-000002;results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000002
