cluster_id	cluster_status	authority_band	evidence_tier_ceiling	claim_use_class	hostile_reviewer_confidence	graph_contract_state	graph_review_surface_status	materialized_vs_expected_edges	graph_edge_rows_present	canonical_case_id	jurisdiction_scope	language_scope	cluster_kind_tags	safe_reuse_sentence	forbidden_overread	visualization_role	next_publishability_move	provenance_inputs
REVIEW-IDCOLLISION-LIMEN-000001	identifier_collision_blocker	high_document_or_authoritative_bundle	T3_authoritative_source	join_safety_schema_guardrail	high	complete_for_current_contract	graph_expected_identifier_collision	3/3	3		Global;Italy;US;CA	en;it	join_safety;stable_collapse;reviewed_overlay	Safe for schema/join-safety claims that bare IDs collide across unrelated lineages.	Do not present as same-event duplication or empirical recurrence.	Figure 4 join-safety edge	Pairwise collision edges are part of the Figure 4 quality-control surface and must stay file-qualified to prevent bare-ID joins.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl
REVIEW-IDCOLLISION-LIMEN-000002	identifier_collision_blocker	high_document_or_authoritative_bundle	T3_authoritative_source	join_safety_schema_guardrail	high	complete_for_current_contract	graph_expected_identifier_collision	3/3	3		Global;United States	en	join_safety;stable_collapse;reviewed_overlay	Safe for schema/join-safety claims that bare IDs collide across unrelated lineages.	Do not present as same-event duplication or empirical recurrence.	Figure 4 join-safety edge	Pairwise collision edges are part of the Figure 4 quality-control surface and must stay file-qualified to prevent bare-ID joins.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl
REVIEW-IDCOLLISION-LIMEN-000003	identifier_collision_blocker	high_document_or_authoritative_bundle	T3_authoritative_source	join_safety_schema_guardrail	high	complete_for_current_contract	graph_expected_identifier_collision	1/1	1		Global;United Kingdom	en	join_safety;reviewed_overlay	Safe for schema/join-safety claims that bare IDs collide across unrelated lineages.	Do not present as same-event duplication or empirical recurrence.	Figure 4 join-safety edge	Pairwise collision edges are part of the Figure 4 quality-control surface and must stay file-qualified to prevent bare-ID joins.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
REVIEW-IDCOLLISION-LIMEN-000004	identifier_collision_blocker	high_document_or_authoritative_bundle	T3_authoritative_source	join_safety_schema_guardrail	high	complete_for_current_contract	graph_expected_identifier_collision	1/1	1		Global;United Kingdom	en	join_safety;reviewed_overlay	Safe for schema/join-safety claims that bare IDs collide across unrelated lineages.	Do not present as same-event duplication or empirical recurrence.	Figure 4 join-safety edge	Pairwise collision edges are part of the Figure 4 quality-control surface and must stay file-qualified to prevent bare-ID joins.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
REVIEW-IDCOLLISION-LIMEN-000005	identifier_collision_blocker	high_document_or_authoritative_bundle	T3_authoritative_source	join_safety_schema_guardrail	high	complete_for_current_contract	graph_expected_identifier_collision	1/1	1		United States;Global	en	join_safety;reviewed_overlay	Safe for schema/join-safety claims that bare IDs collide across unrelated lineages.	Do not present as same-event duplication or empirical recurrence.	Figure 4 join-safety edge	Pairwise collision edges are part of the Figure 4 quality-control surface and must stay file-qualified to prevent bare-ID joins.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
REVIEW-IDCOLLISION-LIMEN-000006	identifier_collision_blocker	high_document_or_authoritative_bundle	T3_authoritative_source	join_safety_schema_guardrail	high	complete_for_current_contract	graph_expected_identifier_collision	1/1	1		United States;Global	en	join_safety;stable_collapse;reviewed_overlay	Safe for schema/join-safety claims that bare IDs collide across unrelated lineages.	Do not present as same-event duplication or empirical recurrence.	Figure 4 join-safety edge	Pairwise collision edges are part of the Figure 4 quality-control surface and must stay file-qualified to prevent bare-ID joins.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
REVIEW-IDCOLLISION-LIMEN-000007	identifier_collision_blocker	high_document_or_authoritative_bundle	T3_authoritative_source	join_safety_schema_guardrail	high	complete_for_current_contract	graph_expected_identifier_collision	1/1	1		United States;Global	en	join_safety;stable_collapse;reviewed_overlay	Safe for schema/join-safety claims that bare IDs collide across unrelated lineages.	Do not present as same-event duplication or empirical recurrence.	Figure 4 join-safety edge	Pairwise collision edges are part of the Figure 4 quality-control surface and must stay file-qualified to prevent bare-ID joins.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
CLUSTER-DERIVATIVE-LMWCS-20260606-001	stable_duplicate_cluster	low_single_source_public	T1_single_public_source	lineage_count_collapse_only	medium	ledger_only_by_design	ledger_only_stable_collapse	0/0	0	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	Finland	fi	stable_collapse	Safe for deduplicated lineage counts and provenance-preserving collapse only.	Do not present as repeated-event prevalence, new incident evidence, or graph-visible recurrence unless separately reviewed.	ledger collapse note / appendix table, not primary graph edge	Stable duplicate clusters govern lineage collapse in the ledger; under the current Figure 4 contract they should travel as collapse metadata rather than as graph edges.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl
CLUSTER-DERIVATIVE-LMWCS-20260606-003	stable_duplicate_cluster	low_single_source_public	T1_single_public_source	lineage_count_collapse_only	medium	ledger_only_by_design	ledger_only_stable_collapse	0/0	0	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003	Lithuania	lt	stable_collapse	Safe for deduplicated lineage counts and provenance-preserving collapse only.	Do not present as repeated-event prevalence, new incident evidence, or graph-visible recurrence unless separately reviewed.	ledger collapse note / appendix table, not primary graph edge	Stable duplicate clusters govern lineage collapse in the ledger; under the current Figure 4 contract they should travel as collapse metadata rather than as graph edges.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl
CLUSTER-DERIVATIVE-LMWCS-20260606-004	stable_duplicate_cluster	high_document_or_authoritative_bundle	T3_authoritative_source	lineage_count_collapse_only	high	ledger_only_by_design	ledger_only_stable_collapse	0/0	0	data/cases/authoritative-candidates.jsonl:LIMEN-000009	Slovenia	sl	join_safety;stable_collapse	Safe for deduplicated lineage counts and provenance-preserving collapse only.	Do not present as repeated-event prevalence, new incident evidence, or graph-visible recurrence unless separately reviewed.	ledger collapse note / appendix table, not primary graph edge	Stable duplicate clusters govern lineage collapse in the ledger; under the current Figure 4 contract they should travel as collapse metadata rather than as graph edges.	data/cases/authoritative-candidates.jsonl; data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl
