review_row_id	representative_key	record_title	record_status	duplicate_control_state	evidence_tier_ceiling	jurisdiction_scope	language_scope	member_source_ids	in_publication_safe_aggregate	in_source_authority_balance	surface_gap_class	reviewer_safe_paper_use	next_publishability_move	cluster_note
CLUSTER-DERIVATIVE-LIMEN-007-CAND-003	data/cases/authoritative-candidates.jsonl:LIMEN-000008	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing	authoritative	stable_duplicate_cluster	T3_authoritative_source	United States	en	SRC-AUTH-0016;SRC-AUTH-0017;SRC-AUTH-0018;LIMEN-S-028;LIMEN-S-029;LIMEN-S-046;LIMEN-S-047	no	no	canonical_representative_not_yet_used_by_dashboard_safe_surface	authority_diversification	decide_whether_dashboard_should_switch_from_older_member_key_to_canonical_representative_key	Collapse for lineage counts, but preserve both provenance trails. The authoritative row is the canonical shared-project record, while the boost-007 row remains useful as workflow-history evidence showing how the shard-local FCC settlement package was absorbed into the atlas baseline. Do not count both rows as separate events or re-open the already-captured FCC closure as a second substantive result.
CLUSTER-DERIVATIVE-LMWCS-20260606-004	data/cases/authoritative-candidates.jsonl:LIMEN-000009	Slovenian police ORION page describes AI-assisted border-management pilot with encrypted-biometric-processing language	authoritative_follow_through	stable_duplicate_cluster	T3_authoritative_source	Slovenia	sl	SRC-AUTH-0019;official-police-source / ORION	no	no	canonical_representative_not_yet_used_by_dashboard_safe_surface	authority_diversification;language_map	decide_whether_dashboard_should_switch_from_older_member_key_to_canonical_representative_key	Collapse for lineage counts, but preserve all three provenance trails. The authoritative row is the richer representative for dashboard/manuscript reuse, while the multilingual base row and lane-005 queue copy remain useful for translation-caution and workflow-history audit. This canonical ORION row also sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000009`, so lineage collapse and join-safety must travel together.
REVIEW-SIDECAR-LIMEN-000013	data/cases/authoritative-candidates.jsonl:LIMEN-000013	FTC Rytr complaint-final-order-set-aside chronology on AI-generated reviews, retained as a complex-posture negative result	authoritative_candidate_hold_complex_posture	no_cluster_review_row	T3_authoritative_source	United States	en	SRC-AUTH-0025;SRC-AUTH-0026;SRC-AUTH-0029	no	no	extended_surface_only_sidecar	authority_diversification;singleton_governance;appendix_or_limitations	keep_out_of_seeded_dashboard_counts_use_in_methods_limitations_or_appendix_only	Admit only on the extended reviewed local surface as a count-silent complex-posture sidecar. Keep outside the seeded 34/37/27 headline package and use for methods/reviewer/thesis discussion of regulatory reversibility rather than as a stable current-order exemplar or prevalence support.
REVIEW-SIDECAR-LIMEN-000014	data/cases/authoritative-candidates.jsonl:LIMEN-000014	FTC Air AI complaint-TRO-stipulated-order package on conversational-AI business-opportunity marketing, now disposition-backed but kept non-core	authoritative_candidate_settled_noncore	no_cluster_review_row	T3_authoritative_source	United States	en	SRC-AUTH-0027;SRC-AUTH-0028;SRC-AUTH-0030	no	no	extended_surface_only_sidecar	authority_diversification;singleton_governance;appendix_or_limitations	keep_out_of_seeded_dashboard_counts_use_in_methods_limitations_or_appendix_only	Admit only on the extended reviewed local surface as a count-silent bounded settlement sidecar. Keep outside the seeded 34/37/27 headline package and do not reuse as hidden-human closure, generic AI-washing prevalence, or default authoritative core support.
REVIEW-SINGLETON-AUTH-LIMEN-000012	data/cases/authoritative-candidates.jsonl:LIMEN-000012	Datatilsynet opinion on AI-supported screening of disability-allowance documentation in Danish student-aid administration	authoritative_candidate	no_cluster_review_row	T3_authoritative_source	Denmark	da	SRC-AUTH-0024	no	no	reviewed_singleton_missing_from_dashboard_safe_surfaces	authority_diversification;language_map;singleton_governance	decide_whether_to_admit_as_bounded_singleton_or_keep_explicitly_out_of_seeded_dashboard_counts	Keep as a standalone lineage counted by normalized_record_key. The row widens rare-language public-sector governance coverage and adds a second education/public-sector pairing, but it is still a bounded legal-basis opinion package rather than a harm finding or duplicate event. At the same time it now sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000012` against the unrelated Playwright MCP security row, so singleton handling and join-safety both apply.
REVIEW-SINGLETON-LIMEN-000008	data/cases/authoritative-candidates.jsonl:LIMEN-000008	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing	authoritative	no_cluster_review_row	T3_authoritative_source	United States	en	SRC-AUTH-0016;SRC-AUTH-0017;SRC-AUTH-0018	no	no	reviewed_singleton_missing_from_dashboard_safe_surfaces	authority_diversification;singleton_governance	decide_whether_to_admit_as_bounded_singleton_or_keep_explicitly_out_of_seeded_dashboard_counts	Keep as a standalone lineage counted by normalized_record_key. This row materially changes taxonomy counts and still lacks a reviewed same-event duplicate or actor-family recurrence package, but it now also sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000008` against the unrelated LangChain state-revival record; singleton handling and join-safety therefore both apply.
REVIEW-SINGLETON-LIMEN-000009	data/cases/security-agentic-candidates.jsonl:LIMEN-000009	PraisonAI Platform workspace member could add arbitrary user as owner, enabling agent-workspace identity abuse	authoritative	no_cluster_review_row	T3_authoritative_source	Global	en	LIMEN-S-045	no	no	reviewed_singleton_missing_from_dashboard_safe_surfaces	singleton_governance	decide_whether_to_admit_as_bounded_singleton_or_keep_explicitly_out_of_seeded_dashboard_counts	Keep as a standalone lineage counted by normalized_record_key. The mechanism is reviewer-legible but still singleton-strength locally, so this row should remain a bounded watch state rather than a promoted subtype or duplicate cluster. At the same time it now sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000009` against the unrelated ORION public-sector row, so singleton handling and join-safety both apply.
REVIEW-SINGLETON-LIMEN-000010	data/cases/authoritative-candidates.jsonl:LIMEN-000010	FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims	authoritative	no_cluster_review_row	T3_authoritative_source	United States	en	SRC-AUTH-0020;SRC-AUTH-0021	no	no	reviewed_singleton_missing_from_dashboard_safe_surfaces	authority_diversification;singleton_governance	decide_whether_to_admit_as_bounded_singleton_or_keep_explicitly_out_of_seeded_dashboard_counts	Keep as a standalone lineage counted by normalized_record_key. The row materially widens non-finance authoritative AI-claim coverage, but there is still no reviewed same-event duplicate or event-merge candidate; preserve FTC complaint/final-order posture and do not infer unauthorized-practice adjudication.
REVIEW-SINGLETON-LIMEN-000011	data/cases/authoritative-candidates.jsonl:LIMEN-000011	FTC final order and complaint package on Workado / Content at Scale AI detector accuracy claims	authoritative	no_cluster_review_row	T3_authoritative_source	United States	en	SRC-AUTH-0022;SRC-AUTH-0023	no	no	reviewed_singleton_missing_from_dashboard_safe_surfaces	authority_diversification;singleton_governance	decide_whether_to_admit_as_bounded_singleton_or_keep_explicitly_out_of_seeded_dashboard_counts	Keep as a standalone lineage counted by normalized_record_key. The row strengthens non-finance AI-claim and detector-governance coverage, but there is still no same-event duplicate or reviewer-safe recurrence package; preserve FTC complaint/final-order posture and do not overread the order as a general scientific verdict on detectors.
REVIEW-SINGLETON-LIMEN-000012	data/cases/security-agentic-candidates.jsonl:LIMEN-000012	Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40	authoritative	no_cluster_review_row	T3_authoritative_source	Global	en	CVE-2025-9611;public_nvd_record;playwright_mcp_v0.0.40_release_note	no	no	reviewed_singleton_missing_from_dashboard_safe_surfaces	singleton_governance	decide_whether_to_admit_as_bounded_singleton_or_keep_explicitly_out_of_seeded_dashboard_counts	Keep as a standalone lineage counted by normalized_record_key. The row usefully seeds MCP/plugin-style trust-boundary coverage, but there is still no reviewed same-event duplicate, derivative queue copy, or bounded recurrence package; do not upgrade singleton-strength evidence into a broader prevalence claim.
