target_file	row_key	field	old_value	new_value	rationale
results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	publication_confidence_cap	medium	low	title-gloss-only unresolved multilingual lead should remain queue/limitations only
results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	funnel_status	include_with_caution	include_only_in_provisional_or_low_confidence_band	low-cap multilingual lead should stay outside stronger funnel slices
results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	map_status	include_with_caution	show_only_if_caution_overlay_present	map use should require caution overlay for unresolved multilingual lead
results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	taxonomy_status	include_with_caution	do_not_use_as_strong_category_exemplar	do not let weak multilingual lead harden a taxonomy exemplar
results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	manuscript_strength	include_with_caution	limitation_or_queue_only	paper-safe role is limitations/queue only until direct source or authority text is captured
results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	paper_claim_ceiling	Use for bounded exemplar or methods discussion; avoid prevalence or cross-country ranking rhetoric.	Use only for bounded methods/limitations discussion until stronger direct-source or corroborating support arrives.	claim ceiling lowered to match unresolved single-source status
results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv	data/cases/security-agentic-candidates.jsonl:LIMEN-000008	duplicate_control_state	no_cluster_review_row	reviewed_not_duplicate	sync aggregate contract with reviewed non-merge LangChain control already present in duplicate ledger
results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv	CLUSTER-DERIVATIVE-LMWCS-20260606-003	publication_confidence_cap	medium	low	title-gloss-only Lithuanian derivative should remain low-cap until direct authority text is captured
results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv	CLUSTER-DERIVATIVE-LMWCS-20260606-003	funnel_status	include_with_caution	include_only_in_provisional_or_low_confidence_band	queue derivative should stay in provisional funnel band
results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv	CLUSTER-DERIVATIVE-LMWCS-20260606-003	map_status	include_with_caution	show_only_if_caution_overlay_present	queue derivative map use needs caution overlay
results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv	CLUSTER-DERIVATIVE-LMWCS-20260606-003	taxonomy_status	include_with_caution	do_not_use_as_strong_category_exemplar	queue derivative should not strengthen fraud/deepfake taxonomy prose yet
results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv	CLUSTER-DERIVATIVE-LMWCS-20260606-003	manuscript_strength	include_with_caution	limitation_or_queue_only	paper-safe role is methods/limitations only
results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv	CLUSTER-DERIVATIVE-LMWCS-20260606-003	paper_claim_ceiling	Use for bounded exemplar or methods discussion; avoid prevalence or cross-country ranking rhetoric.	Use only for bounded methods/limitations discussion until stronger direct-source or corroborating support arrives.	claim ceiling lowered to match unresolved single-source status
results/boost/limen-boost-011/source-authority-balance.tsv	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	source_family_bucket	multilingual_public_authority_with_translation_caution	multilingual_news_or_lead_surface	unresolved local-news lead should not sit in authority bucket
results/boost/limen-boost-011/source-authority-balance.tsv	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	authority_class	authoritative_source_translation_capped	single_public_source_translation_capped	title-gloss-only lead remains single-source and translation-capped
results/boost/limen-boost-011/source-authority-balance.tsv	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	publication_confidence_cap	medium	low	downgrade unresolved multilingual lead to low cap
results/boost/limen-boost-011/source-authority-balance.tsv	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	reviewer_safe_paper_use	bounded_exemplar_with_translation_caution	limitations_or_queue_only	paper-safe use remains limitations/queue only
results/boost/limen-boost-011/source-authority-balance.tsv	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	visualization_band	translation_caution_authority	translation_caution_provisional	visual layer should show this row as provisional not authority-backed
results/boost/limen-boost-011/source-authority-balance.tsv	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	claim_ceiling_restatement	existence_and_narrow_scope_only	methods_only_until_corroborated	weak single-source lead should stay methods-only until corroborated
