signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-5356CFE0A20ABF6D	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv	576	sha256:1c84a56a51a86af8756998f3891764736a424d9a236095d384d19cc59685d930	"6,TO,Tonga,I05,,0,L,0,M,,TRUE,,""Official portal/Citizen Portal/AGO checks found no algorithm register or automated-decision transparency register; confidence improves for absence, not for capability."",,,,,,,,to-source-hardening,confidence_only"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-53570F673C4FF5BD	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-procurement-gap/results/boost/public-ai-procurement-gap-boost-004/article-a-table-source-provenance-matrix-v0.1.csv	22	sha256:ff48419d2efd683b0a85a466b782c718ee59210585a32b0923a10c9653c6bdb4	article-a-t1-05,T1-05,Catalonia / Spain,Catalonia official procurement-register pair candidate,Official-pair candidate blocked by terms/identifier/scope gates,red_blocked_official_pair,No exact procurement/register identifier bridge and no stronger dataset-spe	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-53579C1FEB7DD3BF	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	430	sha256:bbabc7e8c05e68e91374182e224d853960ec794b2cf9fd31bafd0afd1e556317	"4,SL,Sierra Leone,I05,,0,L,0,M,,,,""No public algorithm register, automated-decision register, or model/system inventory was found in checked MoCTI, DSTI, NatCA, NCRA, NPPA, BSL, and State House public sources."",,,sl-source-hardening,0.0,L->M,confidence_only,tr"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-535954AD70E02128	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-121-20260603T0419/source_documents.jsonl	491	sha256:0932d441e71c45ccb9f567a1086d39f09ea7520cf59513ee42202ea0a3d0a262	"{""agent_ids"": [""peregrine-public-safety-ai-assistant""], ""archive_status"": ""local_snapshot_saved"", ""author_or_org"": ""Peregrine Technologies, Inc."", ""collision_guard_targets"": [""world_agent_atlas"", ""agentic_supply_chain_atlas"", ""pallas"", ""brokered_trust"", ""nekro"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-535DCB3A16FCA7C7	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-h2-lifecycle-infra-contrast-v0.1.csv	68	sha256:241a1052c158c6469b90143179c90a120a47192bd0ae9bf0efbc205ea99219a7	LA,Laos,2.0,3,2,2,2,1,M,23,revocation / suspension|attestation / provenance|audit / assurance,3,no_dedicated_ai_law_found;no_ai_authority_found;no_named_regulatory_sandbox_found;no_algorithm_register_found;no_ai_procurement_rules_found;laosis_tls_issue;no_ai_a	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-5360AD791B8554A7	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_10_CANDIDATE_MATRIX_DELTA.csv	86	sha256:edf06994958b6ab821970fde3c52ffd328a22a75695914fa4983be1af99e45a8	jo-source-hardening,JO,Jordan,I05,0,L,0,L,none,Open-data portal is not a public algorithm register.,true	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-53646E7FF386EEE2	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.3-preprint-20260605T050732Z/corpus/v0.2-working/records/spanish-portuguese-language-history.jsonl	76	sha256:a5d81c08de2f1737dec782e180e2cc61839217f0037fcee4d34b82072fc70f47	"{""already_in_main_dataset"": false, ""authors"": [], ""category"": ""scholarly-index-result"", ""container_title"": ""Revista de Ciencias Sociales"", ""corpus_version"": ""v0.2-working"", ""doi"": ""10.31876/rcs.v30i1.41654"", ""domain"": ""doi.org"", ""factory_record_id"": ""eb26d25ce"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-536602F859FC1695	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/claim-support/claim-support-v0.2.csv	53	sha256:edd4c7fcc029610e7b59f14bb0e7ec5fc5bf1c7c9b1a2f19960bf5a1ed5ff09c	algorithm_registers_as_public_evidence_schemas,Public-Sector AI Evidence Packages,Public algorithm registers are early public-sector evidence schemas that can be transformed into verifier-readable AI evidence packages.,4,algorithm register; algorithmic transpa	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-536AA730FB67C389	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_16_CANDIDATE_MATRIX_DELTA.csv	106	sha256:17647923476895c10bb077559ce466853c25bb00020e64dcb986be008e696cb4	"mt-source-hardening,MT,Malta,I05,0,L,0,M,confidence_only,""No score increase. Accessible official checks did not find a public algorithm register; L.N. 226/2025 contains high-risk AI system registration with MDIA, not a public public-sector algorithm register."	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-536AECC2B442A4AF	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/russian-language-history.jsonl	137	sha256:c3ab306768bb1ea7a11c5e92b6355530f8c3d09f2090ac758ce174eeb48f0ca5	"{""already_in_main_dataset"": false, ""authors"": [""Ева Долженко""], ""category"": ""scholarly-index-result"", ""container_title"": ""Управление развитием персонала Personnel Development"", ""corpus_version"": ""v0.2-working"", ""doi"": ""10.36627/2619-144x-2023-3-3-170-178"", ""do"	needs direct source, source-pack resolution, or translation-aware review before example promotion
