signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-5356CFE0A20ABF6D	negative_evidence_candidate	bounded_negative_finding	Local row records a bounded not-found/gap result for a direct public source surface.	negative finding only; not proof of absence	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv
LIMEN-SIGNAL-53570F673C4FF5BD	needs_named_source_extraction	source_pack_or_wrapper	Proxy row points to an official pair candidate but lacks a named reviewable source.	metadata points toward source only	extract named source before promotion	/srv/tyche/projects/public-ai-procurement-gap/results/boost/public-ai-procurement-gap-boost-004/article-a-table-source-provenance-matrix-v0.1.csv
LIMEN-SIGNAL-53579C1FEB7DD3BF	negative_evidence_candidate	bounded_negative_finding	Local row records a bounded not-found/gap result for a direct public source surface.	negative finding only; not proof of absence	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-535954AD70E02128	reject_noise	derived_or_internal_artifact	Derived support/atlas artifact, not a direct source surface.	no direct-source claim	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-121-20260603T0419/source_documents.jsonl
LIMEN-SIGNAL-535DCB3A16FCA7C7	negative_evidence_candidate	bounded_negative_finding	Local row records a bounded not-found or non-AI sandbox result.	negative finding only; not proof of absence	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-h2-lifecycle-infra-contrast-v0.1.csv
LIMEN-SIGNAL-5360AD791B8554A7	negative_evidence_candidate	bounded_negative_finding	Local row records a bounded not-found/gap result for a direct public source surface.	negative finding only; not proof of absence	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_10_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-53646E7FF386EEE2	reject_noise	derived_or_internal_artifact	Scholarly/index literature artifact, not a direct source surface.	no direct-source claim	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.3-preprint-20260605T050732Z/corpus/v0.2-working/records/spanish-portuguese-language-history.jsonl
LIMEN-SIGNAL-536602F859FC1695	reject_noise	derived_or_internal_artifact	Derived support/atlas artifact, not a direct source surface.	no direct-source claim	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/claim-support/claim-support-v0.2.csv
LIMEN-SIGNAL-536AA730FB67C389	negative_evidence_candidate	bounded_negative_finding	Local row records a bounded not-found/gap result for a direct public source surface.	negative finding only; not proof of absence	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_16_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-536AECC2B442A4AF	reject_noise	derived_or_internal_artifact	Scholarly/index literature artifact, not a direct source surface.	no direct-source claim	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/russian-language-history.jsonl
LIMEN-SIGNAL-536CE0DA7C31CDAB	reject_noise	derived_or_internal_artifact	Derived internal artifact should not stay in the direct-source queue.	no direct-source claim	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/staged-preprint-packages/atlas-data-method-staged-package-20260607T080358Z/corpus/v0.2-working/reports/coverage.json
LIMEN-SIGNAL-53709BA09B35AE92	merge_existing_surface	existing_registry_surface	Amsterdam org page is nested inside the already-modeled Dutch national register.	dedupe to existing local surface only	merge into existing surface record	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/tables/registry-evidence-matrix-v0.1.csv
