as_of_utc	lane_id	view_id	dataset_path	field_name	field_type	required_or_optional	value_source	why_needed_now	safe_interpretation_supported	forbidden_overread_prevented
2026-06-07T18:56:53Z	limen-boost-037	LIMEN-VIS-001	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	family_id	string	required	current dataset spine	Stable join key across source-ledger, figure, caption, and blocker bundles.	One reviewer-safe row per declared source family.	Silent row drift or ambiguous family joins.
2026-06-07T18:56:53Z	limen-boost-037	LIMEN-VIS-001	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	source_family	string	required	current dataset spine	Human-readable family label for figure legend, dashboard cards, and appendix reuse.	Readable source-family map and tooltip labels.	Opaque family IDs without a reviewer-legible label.
2026-06-07T18:56:53Z	limen-boost-037	LIMEN-VIS-001	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	priority	string	required	current dataset spine	Preserves declared family priority band in the visual layer.	Bounded statement about declared project priority, not empirical prevalence.	Treating priority as incident count or authority depth.
2026-06-07T18:56:53Z	limen-boost-037	LIMEN-VIS-001	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	saturation_state	string	required	current dataset spine	Shows whether a family is seeded or planned without inferring maturity beyond the local package.	Observability-boundary reading of the atlas package.	Flattening seeded and planned families into one maturity bucket.
2026-06-07T18:56:53Z	limen-boost-037	LIMEN-VIS-001	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	dashboard_readiness	string	required	current dataset spine	Keeps grounded-now versus planned-not-seeded state visible for dashboard consumers.	Safe statement about what is already visualizable from current artifacts.	Implying shared-dashboard promotion or public completeness from boost-local readiness.
2026-06-07T18:56:53Z	limen-boost-037	LIMEN-VIS-001	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	figure1_role	string	required	results/source-map/source-family-figure1-register-v0.1.tsv:figure1_role	Separates route_b_blocker, route_a_guardrail, supporting_empirical_or_discovery_layer, and maintenance_comparator roles inside Figure 1.	Figure 1 as an observability-boundary and route-shape figure.	Collapsing claim-bearing, comparator, and guardrail families into one generic source list.
2026-06-07T18:56:53Z	limen-boost-037	LIMEN-VIS-001	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	route_rank	integer	required	results/source-map/source-family-figure1-register-v0.1.tsv:route_rank	Makes the blocker order machine-readable for sort, badge, and appendix use.	Exact Route-B blocker ordering: sf08 first, sf09 second, sf11 third.	Ad hoc reorderings that hide publication impact order.
2026-06-07T18:56:53Z	limen-boost-037	LIMEN-VIS-001	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	thin_family_flag	boolean	required	results/source-map/source-family-figure1-register-v0.1.tsv:thin_family_flag	Shows which families need thin-family caution overlays.	Safe thin-family highlighting for sf08, sf09, sf11, and sf13.	Reading the map as breadth or completeness rather than uneven evidence structure.
2026-06-07T18:56:53Z	limen-boost-037	LIMEN-VIS-001	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	claim_role_bucket	string	required	results/boost/limen-boost-037/source-family-claim-role-router.tsv:claim_role_bucket	Tells the dashboard whether a family can anchor shared claims, only support package explanation, remain methods/comparator-only, or stay planned frontier only.	Reviewer-safe tooltips on family claim role.	Using public accessibility alone as proof that a family can bear empirical claims.
2026-06-07T18:56:53Z	limen-boost-037	LIMEN-VIS-001	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	safe_claim_posture_now	string	required	results/boost/limen-boost-037/source-family-claim-role-router.tsv:safe_claim_posture_now	Provides a short prose-ready ceiling for each family.	Quick dashboard/help-text explanation of what each family can support now.	Freehand paraphrase that drifts above the current claim ceiling.
2026-06-07T18:56:53Z	limen-boost-037	LIMEN-VIS-001	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	unsafe_overread_to_avoid	string	required	results/boost/limen-boost-037/source-family-claim-role-router.tsv:unsafe_overread_to_avoid	Makes the main misuse warning visible next to each family.	Negative-capability tooltip for hostile-reviewer-safe reuse.	Silent inflation of legal, procurement, completeness, or prevalence rhetoric.
2026-06-07T18:56:53Z	limen-boost-037	LIMEN-VIS-001	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	exact_upgrade_trigger	string	required	results/source-map/source-family-figure1-register-v0.1.tsv:exact_upgrade_trigger	States the one threshold-changing event that would materially improve the family.	Threshold-aware route selection and blocker explanations.	Counting packaging-only churn as substantive progress.
2026-06-07T18:56:53Z	limen-boost-037	LIMEN-VIS-001	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	negative_evidence_class	string	optional	results/boost/limen-boost-037/source-family-negative-evidence-register.tsv:negative_evidence_class	Lets thin-family and top-depth caution surfaces distinguish access barriers, normalization barriers, companion-null states, scholarly zero states, and depth imbalance.	Blocked-source appendix and hover-state explanation.	Treating all negative results as one undifferentiated lack-of-evidence bucket.
2026-06-07T18:56:53Z	limen-boost-037	LIMEN-VIS-001	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	best_current_negative_artifact	string	optional	results/boost/limen-boost-037/source-family-negative-evidence-register.tsv:best_current_negative_artifact	Gives dashboard and manuscript users one reviewer-checkable local anchor for the active negative result.	Traceable blocked-source cards and appendix citations.	Unanchored statements that a route was tested or blocked.
2026-06-07T18:56:53Z	limen-boost-037	LIMEN-VIS-001	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	must_travel_with	string	required	results/boost/limen-boost-037/source-family-claim-role-router.tsv:must_travel_with	Encodes the mandatory companion bundle for safe family reuse.	Consistent dashboard/manuscript/thesis reuse discipline.	Reusing a family row without its ceiling, route, or evidence-policy controls.
2026-06-07T18:56:53Z	limen-boost-037	LIMEN-VIS-001	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	dashboard_hook	string	required	current dataset spine plus router alignment	Keeps each family tied to a bounded visualization purpose.	Explicit observatory hook for map, panel, ladder, or appendix placement.	Generic visualization claims without interpretation discipline.
2026-06-07T18:56:53Z	limen-boost-037	LIMEN-VIS-001	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	provenance_note	string	required	current dataset spine	Preserves source-family retrieval/grounding discipline in the exported view.	Reviewer-safe reminder that the field package is grounded in dated local verification.	Treating the dashboard export as timeless or self-authenticating.
