queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-03321	LIMEN-SIGNAL-9DDD8F887880FF4F	country_gap_no_parent_source		generated research queue query bundle (regulatory sandbox)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:235	Local row is a generated country/query prompt bundle and contains no explicit parent source URL.	Processing-state only: generated/derived lead lacks an extractable parent source URL; no source existence, incident, legal, safety, compliance, prevalence, or ranking claim.	Close this parent-source-extraction item unless a later local source-pack or evidence row names a concrete public source URL.
BPSE-03322	LIMEN-SIGNAL-9E210303463812E2	country_gap_no_parent_source		derived atlas indicator/profile row (algorithm register)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:33839	Local atlas score/profile row is derived metadata; no same-indicator parent source URL is explicit at the cited line/context.	Processing-state only: generated/derived lead lacks an extractable parent source URL; no source existence, incident, legal, safety, compliance, prevalence, or ranking claim.	Close this parent-source-extraction item unless a later local source-pack or evidence row names a concrete public source URL.
BPSE-03323	LIMEN-SIGNAL-9E3EE1467AAFAA20	country_gap_no_parent_source		generated research queue query bundle (public sector AI)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:223	Local row is a generated country/query prompt bundle and contains no explicit parent source URL.	Processing-state only: generated/derived lead lacks an extractable parent source URL; no source existence, incident, legal, safety, compliance, prevalence, or ranking claim.	Close this parent-source-extraction item unless a later local source-pack or evidence row names a concrete public source URL.
BPSE-03324	LIMEN-SIGNAL-9E42E623DC1D3867	country_gap_no_parent_source		generated research queue query bundle (AI procurement)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:205	Local row is a generated country/query prompt bundle and contains no explicit parent source URL.	Processing-state only: generated/derived lead lacks an extractable parent source URL; no source existence, incident, legal, safety, compliance, prevalence, or ranking claim.	Close this parent-source-extraction item unless a later local source-pack or evidence row names a concrete public source URL.
BPSE-03325	LIMEN-SIGNAL-9E761C6CFF561610	country_gap_no_parent_source		derived atlas indicator/profile row (algorithm register)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:24537	Local atlas score/profile row is derived metadata; no same-indicator parent source URL is explicit at the cited line/context.	Processing-state only: generated/derived lead lacks an extractable parent source URL; no source existence, incident, legal, safety, compliance, prevalence, or ranking claim.	Close this parent-source-extraction item unless a later local source-pack or evidence row names a concrete public source URL.
BPSE-03326	LIMEN-SIGNAL-9EE7F9DD924A1813	country_gap_no_parent_source		generated research queue query bundle (algorithm register)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:233	Local row is a generated country/query prompt bundle and contains no explicit parent source URL.	Processing-state only: generated/derived lead lacks an extractable parent source URL; no source existence, incident, legal, safety, compliance, prevalence, or ranking claim.	Close this parent-source-extraction item unless a later local source-pack or evidence row names a concrete public source URL.
BPSE-03327	LIMEN-SIGNAL-9F8CEF16063EE688	country_gap_no_parent_source		generated research queue query bundle (public sector AI)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:207	Local row is a generated country/query prompt bundle and contains no explicit parent source URL.	Processing-state only: generated/derived lead lacks an extractable parent source URL; no source existence, incident, legal, safety, compliance, prevalence, or ranking claim.	Close this parent-source-extraction item unless a later local source-pack or evidence row names a concrete public source URL.
BPSE-03328	LIMEN-SIGNAL-A08347E12180C997	country_gap_no_parent_source		generated research queue query bundle (regulatory sandbox)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:246	Local row is a generated country/query prompt bundle and contains no explicit parent source URL.	Processing-state only: generated/derived lead lacks an extractable parent source URL; no source existence, incident, legal, safety, compliance, prevalence, or ranking claim.	Close this parent-source-extraction item unless a later local source-pack or evidence row names a concrete public source URL.
BPSE-03329	LIMEN-SIGNAL-A09C98AFF255B352	country_gap_no_parent_source		generated research queue query bundle (AI procurement)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:201	Local row is a generated country/query prompt bundle and contains no explicit parent source URL.	Processing-state only: generated/derived lead lacks an extractable parent source URL; no source existence, incident, legal, safety, compliance, prevalence, or ranking claim.	Close this parent-source-extraction item unless a later local source-pack or evidence row names a concrete public source URL.
BPSE-03330	LIMEN-SIGNAL-A0CDB46FEFAB2087	country_gap_no_parent_source		derived atlas indicator/profile row (regulatory sandbox)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:31232	Local atlas score/profile row is derived metadata; no same-indicator parent source URL is explicit at the cited line/context.	Processing-state only: generated/derived lead lacks an extractable parent source URL; no source existence, incident, legal, safety, compliance, prevalence, or ranking claim.	Close this parent-source-extraction item unless a later local source-pack or evidence row names a concrete public source URL.
