as_of_utc	refresh_id	artifact_path	line_number	stale_excerpt	live_replacement	why_stale	paper_risk_if_unfixed	recommended_action
2026-06-07T12:01:17Z	TSRQ-046-000	results/clusters/status.md + results/taxonomy/taxonomy-delta-v0.1.md	22;20	Current local duplicate/taxonomy control authority for this pass.	Use 31 visible rows / 23 unique lineages as the current local duplicate-controlled denominator; keep support split at 11 authority-backed / 1 candidate-only / 3 zero-seed and frontier fractions at 7/23, 3/23, 2/23.	Earlier shard-046 materials froze the intermediate 30/23 state before ORION duplicate control was refreshed.	Shared manuscript/spec refresh can land with internally inconsistent denominator semantics.	Treat this as the top patch-order anchor for any future synchronized Figure 2 / Table 2 refresh.
2026-06-07T12:01:17Z	TSRQ-046-001	dashboard/limen-dashboard-spec-v0.1.md	29	- 15 taxonomy rows in `results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv` still encode the older staged `10 authoritatively_seeded / 2 candidate_only_seeded / 3 zero_seed_local_gap` package, but `results/taxonomy/taxonomy-delta-v0.1.md` and `results/boost/limen-boost-046/taxonomy-live-drift-audit.tsv` show the live duplicate-collapsed package is now `11 authoritatively_seeded / 1 candidate_only_seeded / 3 zero_seed_local_gap` on a `30 visible / 23 lineage` denominator, so the staged heatmap should not drive headline Figure 2 counts until regenerated;	- 15 taxonomy rows in `results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv` still encode the older staged `10 authoritatively_seeded / 2 candidate_only_seeded / 3 zero_seed_local_gap` package, but `results/taxonomy/taxonomy-delta-v0.1.md` and `results/boost/limen-boost-046/taxonomy-live-drift-audit.tsv` show the live duplicate-collapsed package is now `11 authoritatively_seeded / 1 candidate_only_seeded / 3 zero_seed_local_gap` on a `31 visible / 23 lineage` denominator, so the staged heatmap should not drive headline Figure 2 counts until regenerated;	Latest duplicate-control package and taxonomy delta now use 31 visible rows / 23 unique lineages after ORION control refresh.	Reviewer-facing denominator drift or inconsistent Figure 2/Table 2 regeneration instructions.	Update denominator wording to 31/23 while preserving already-correct 11/1/3 and 7/23, 3/23, 2/23 state logic.
2026-06-07T12:01:17Z	TSRQ-046-002	dashboard/limen-dashboard-spec-v0.1.md	416	- the staged taxonomy heatmap export still trails the live `30 visible / 23 lineage` package and still encodes the older `10 / 2 / 3` category-support split;	- the staged taxonomy heatmap export still trails the live `31 visible / 23 lineage` package and still encodes the older `10 / 2 / 3` category-support split;	Latest duplicate-control package and taxonomy delta now use 31 visible rows / 23 unique lineages after ORION control refresh.	Reviewer-facing denominator drift or inconsistent Figure 2/Table 2 regeneration instructions.	Update denominator wording to 31/23 while preserving already-correct 11/1/3 and 7/23, 3/23, 2/23 state logic.
2026-06-07T12:01:17Z	TSRQ-046-003	dashboard/limen-dashboard-spec-v0.1.md	422	- regenerate `results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv` from the live duplicate-collapsed `30 / 23` package so Figure 2 and Table 2 stop carrying the stale `10 / 2 / 3` category-support split and inherit the corrected `11 / 1 / 3` live state plus the `7/23`, `3/23`, and `2/23` overlay fractions;	- regenerate `results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv` from the live duplicate-collapsed `31 / 23` package so Figure 2 and Table 2 stop carrying the stale `10 / 2 / 3` category-support split and inherit the corrected `11 / 1 / 3` live state plus the `7/23`, `3/23`, and `2/23` overlay fractions;	Latest duplicate-control package and taxonomy delta now use 31 visible rows / 23 unique lineages after ORION control refresh.	Reviewer-facing denominator drift or inconsistent Figure 2/Table 2 regeneration instructions.	Update denominator wording to 31/23 while preserving already-correct 11/1/3 and 7/23, 3/23, 2/23 state logic.
2026-06-07T12:01:17Z	TSRQ-046-004	papers/article-architecture-v0.1.md	21	- staged taxonomy heatmap export still shows the older `10 authority-backed / 2 candidate-only / 3 zero-seed` package, but `results/taxonomy/taxonomy-delta-v0.1.md` and `results/boost/limen-boost-046/taxonomy-live-drift-audit.tsv` show the live duplicate-collapsed package is now `11 authority-backed / 1 candidate-only / 3 zero-seed` on a `30 visible / 23 lineage` denominator;	- staged taxonomy heatmap export still shows the older `10 authority-backed / 2 candidate-only / 3 zero-seed` package, but `results/taxonomy/taxonomy-delta-v0.1.md` and `results/boost/limen-boost-046/taxonomy-live-drift-audit.tsv` show the live duplicate-collapsed package is now `11 authority-backed / 1 candidate-only / 3 zero-seed` on a `31 visible / 23 lineage` denominator;	Latest duplicate-control package and taxonomy delta now use 31 visible rows / 23 unique lineages after ORION control refresh.	Reviewer-facing denominator drift or inconsistent Figure 2/Table 2 regeneration instructions.	Update denominator wording to 31/23 while preserving already-correct 11/1/3 and 7/23, 3/23, 2/23 state logic.
2026-06-07T12:01:17Z	TSRQ-046-005	papers/article-architecture-v0.1.md	43	- a regenerated shared taxonomy heatmap/export path built from the live `30 / 23` duplicate-collapsed package rather than the older staged `10 / 2 / 3` category-support layer;	- a regenerated shared taxonomy heatmap/export path built from the live `31 / 23` duplicate-collapsed package rather than the older staged `10 / 2 / 3` category-support layer;	Latest duplicate-control package and taxonomy delta now use 31 visible rows / 23 unique lineages after ORION control refresh.	Reviewer-facing denominator drift or inconsistent Figure 2/Table 2 regeneration instructions.	Update denominator wording to 31/23 while preserving already-correct 11/1/3 and 7/23, 3/23, 2/23 state logic.
2026-06-07T12:01:17Z	TSRQ-046-006	papers/article-architecture-v0.1.md	367	1. Regenerate the staged taxonomy heatmap/export layer from the live `30 / 23` duplicate-collapsed package, then propagate the corrected `11 / 1 / 3` category-support split and `7/23`, `3/23`, `2/23` frontier fractions into Figure 2 / Table 2 shared surfaces.	1. Regenerate the staged taxonomy heatmap/export layer from the live `31 / 23` duplicate-collapsed package, then propagate the corrected `11 / 1 / 3` category-support split and `7/23`, `3/23`, `2/23` frontier fractions into Figure 2 / Table 2 shared surfaces.	Latest duplicate-control package and taxonomy delta now use 31 visible rows / 23 unique lineages after ORION control refresh.	Reviewer-facing denominator drift or inconsistent Figure 2/Table 2 regeneration instructions.	Update denominator wording to 31/23 while preserving already-correct 11/1/3 and 7/23, 3/23, 2/23 state logic.
2026-06-07T12:01:17Z	TSRQ-046-007	results/boost/limen-boost-046/status.md	19	`taxonomy-live-drift-audit.tsv` shows that the live duplicate-collapsed LIMEN package is no longer the `29 / 22` package assumed by the current taxonomy source-of-truth and Figure 2 control surfaces. The package is now `30 visible rows / 23 unique lineages`, and the most publication-relevant category shift is that `deepfake_or_synthetic_identity` is no longer only candidate-seeded: it now has one authoritative FCC lineage.	`taxonomy-live-drift-audit.tsv` shows that the live duplicate-collapsed LIMEN package is no longer the `29 / 22` package assumed by the current taxonomy source-of-truth and Figure 2 control surfaces. The package is now `31 visible rows / 23 unique lineages`, and the most publication-relevant category shift is that `deepfake_or_synthetic_identity` is no longer only candidate-seeded: it now has one authoritative FCC lineage.	Latest duplicate-control package and taxonomy delta now use 31 visible rows / 23 unique lineages after ORION control refresh.	Reviewer-facing denominator drift or inconsistent Figure 2/Table 2 regeneration instructions.	Update denominator wording to 31/23 while preserving already-correct 11/1/3 and 7/23, 3/23, 2/23 state logic.
2026-06-07T12:01:17Z	TSRQ-046-008	results/boost/limen-boost-046/status.md	82	- Overall uncertainty: low for the `30 / 23` denominator and the deepfake support-state shift; low for the continued validity of the overlay-family choice; medium for any downstream surface not yet regenerated from the live package.	- Overall uncertainty: low for the `31 / 23` denominator and the deepfake support-state shift; low for the continued validity of the overlay-family choice; medium for any downstream surface not yet regenerated from the live package.	Latest duplicate-control package and taxonomy delta now use 31 visible rows / 23 unique lineages after ORION control refresh.	Reviewer-facing denominator drift or inconsistent Figure 2/Table 2 regeneration instructions.	Update denominator wording to 31/23 while preserving already-correct 11/1/3 and 7/23, 3/23, 2/23 state logic.
2026-06-07T12:01:17Z	TSRQ-046-009	results/boost/limen-boost-046/journal.md	20	- Recomputed the live duplicate-collapsed taxonomy package from `authoritative-candidates.jsonl`, `security-agentic-candidates.jsonl`, `multilingual-candidates.jsonl`, plus the two derivative queue files and confirmed the current local base is now `30 visible rows / 23 unique lineages`.	- Recomputed the live duplicate-collapsed taxonomy package from `authoritative-candidates.jsonl`, `security-agentic-candidates.jsonl`, `multilingual-candidates.jsonl`, plus the two derivative queue files and confirmed the current local base is now `31 visible rows / 23 unique lineages`.	Latest duplicate-control package and taxonomy delta now use 31 visible rows / 23 unique lineages after ORION control refresh.	Reviewer-facing denominator drift or inconsistent Figure 2/Table 2 regeneration instructions.	Update denominator wording to 31/23 while preserving already-correct 11/1/3 and 7/23, 3/23, 2/23 state logic.
