as_of_utc	audit_id	category_code	old_seed_case_count	new_seed_case_count	old_authoritative_seed_count	new_authoritative_seed_count	old_support_state	new_support_state	frontier_route_state	translation_caution_count	fragility_flags	field_extension_decision	source_basis
2026-06-07T13:52:05Z	THRA-046-001	unlawful_or_allegedly_unlawful_use	3	5	1	3	authoritatively_seeded	authoritatively_seeded	seeded_but_not_overlay_promoted	2	mixed_authority_with_single_public_dependence; translation_caution_exposed; procedure_posture_mixed	kept legacy columns and added frontier/overlay/translation/fragility/live_denominator/paper_safe_role columns	results/boost/limen-boost-046/taxonomy-live-refresh-bundle.tsv
2026-06-07T13:52:05Z	THRA-046-002	security_risk	5	9	4	8	authoritatively_seeded	authoritatively_seeded	overlay_ready_security_7_of_23	0	single_jurisdiction_concentrated; single_language_concentrated; mixed_authority_with_single_public_dependence; framework_security_slice_global_english_skew	kept legacy columns and added frontier/overlay/translation/fragility/live_denominator/paper_safe_role columns	results/boost/limen-boost-046/taxonomy-live-refresh-bundle.tsv
2026-06-07T13:52:05Z	THRA-046-003	agentic_control_failure	5	9	4	8	authoritatively_seeded	authoritatively_seeded	overlay_ready_security_7_of_23	0	single_jurisdiction_concentrated; single_language_concentrated; mixed_authority_with_single_public_dependence; framework_security_slice_global_english_skew	kept legacy columns and added frontier/overlay/translation/fragility/live_denominator/paper_safe_role columns	results/boost/limen-boost-046/taxonomy-live-refresh-bundle.tsv
2026-06-07T13:52:05Z	THRA-046-004	institutional_absurdity	3	3	0	0	candidate_only_seeded	candidate_only_seeded	queue_or_methods_guardrail	3	all_single_public_source; translation_caution_exposed; media_heavy_authority_thin	kept legacy columns and added frontier/overlay/translation/fragility/live_denominator/paper_safe_role columns	results/boost/limen-boost-046/taxonomy-live-refresh-bundle.tsv
2026-06-07T13:52:05Z	THRA-046-005	public_sector_misuse_or_gap	6	7	3	4	authoritatively_seeded	authoritatively_seeded	seeded_but_not_overlay_promoted	4	mixed_authority_with_single_public_dependence; translation_caution_exposed; heterogeneous_surface_not_one_proof_class	kept legacy columns and added frontier/overlay/translation/fragility/live_denominator/paper_safe_role columns	results/boost/limen-boost-046/taxonomy-live-refresh-bundle.tsv
2026-06-07T13:52:05Z	THRA-046-006	deepfake_or_synthetic_identity	2	3	0	1	candidate_only_seeded	authoritatively_seeded	seeded_but_not_overlay_promoted	2	mixed_authority_with_single_public_dependence; translation_caution_exposed; direct_authority_gap	kept legacy columns and added frontier/overlay/translation/fragility/live_denominator/paper_safe_role columns	results/boost/limen-boost-046/taxonomy-live-refresh-bundle.tsv
2026-06-07T13:52:05Z	THRA-046-007	legal_procedural_contamination	2	2	1	1	authoritatively_seeded	authoritatively_seeded	seeded_but_not_overlay_promoted	2	pair_only; mixed_authority_with_single_public_dependence; translation_caution_exposed; one_document_anchor_one_broadcaster_anchor	kept legacy columns and added frontier/overlay/translation/fragility/live_denominator/paper_safe_role columns	results/boost/limen-boost-046/taxonomy-live-refresh-bundle.tsv
2026-06-07T13:52:05Z	THRA-046-008	health_medical_or_mental_health	0	0	0	0	zero_seed_local_gap	zero_seed_local_gap	queue_or_methods_guardrail	0	zero_seed_methods_guardrail	kept legacy columns and added frontier/overlay/translation/fragility/live_denominator/paper_safe_role columns	results/boost/limen-boost-046/taxonomy-live-refresh-bundle.tsv
2026-06-07T13:52:05Z	THRA-046-009	education_workplace_or_hr	4	4	3	3	authoritatively_seeded	authoritatively_seeded	seeded_but_not_overlay_promoted	1	mixed_authority_with_single_public_dependence; translation_caution_exposed	kept legacy columns and added frontier/overlay/translation/fragility/live_denominator/paper_safe_role columns	results/boost/limen-boost-046/taxonomy-live-refresh-bundle.tsv
2026-06-07T13:52:05Z	THRA-046-010	finance_insurance_or_market	2	2	2	2	authoritatively_seeded	authoritatively_seeded	seeded_but_not_overlay_promoted	0	pair_only; single_jurisdiction_concentrated; single_language_concentrated; authority_anchor_heavy; sector_concentrated_finance_heavy	kept legacy columns and added frontier/overlay/translation/fragility/live_denominator/paper_safe_role columns	results/boost/limen-boost-046/taxonomy-live-refresh-bundle.tsv
2026-06-07T13:52:05Z	THRA-046-011	surveillance_biometrics_or_policing	3	3	3	3	authoritatively_seeded	authoritatively_seeded	boxed_biometric_comparator_2_of_23	1	translation_caution_exposed; authority_anchor_heavy; uk_ico_plus_slovenia_triangle	kept legacy columns and added frontier/overlay/translation/fragility/live_denominator/paper_safe_role columns	results/boost/limen-boost-046/taxonomy-live-refresh-bundle.tsv
2026-06-07T13:52:05Z	THRA-046-012	research_integrity	0	0	0	0	zero_seed_local_gap	zero_seed_local_gap	queue_or_methods_guardrail	0	zero_seed_methods_guardrail	kept legacy columns and added frontier/overlay/translation/fragility/live_denominator/paper_safe_role columns	results/boost/limen-boost-046/taxonomy-live-refresh-bundle.tsv
2026-06-07T13:52:05Z	THRA-046-013	ai_washing_or_false_ai_claim	3	4	2	3	authoritatively_seeded	authoritatively_seeded	overlay_ready_ai_misstatement_3_of_23	1	mixed_authority_with_single_public_dependence; translation_caution_exposed; sector_concentrated_finance_heavy	kept legacy columns and added frontier/overlay/translation/fragility/live_denominator/paper_safe_role columns	results/boost/limen-boost-046/taxonomy-live-refresh-bundle.tsv
2026-06-07T13:52:05Z	THRA-046-014	normative_or_moral_outlier	5	5	3	3	authoritatively_seeded	authoritatively_seeded	seeded_but_not_overlay_promoted	4	mixed_authority_with_single_public_dependence; translation_caution_exposed; interpretive_ceiling_high	kept legacy columns and added frontier/overlay/translation/fragility/live_denominator/paper_safe_role columns	results/boost/limen-boost-046/taxonomy-live-refresh-bundle.tsv
2026-06-07T13:52:05Z	THRA-046-015	residual_unclassified	0	0	0	0	zero_seed_local_gap	zero_seed_local_gap	queue_or_methods_guardrail	0	zero_seed_methods_guardrail	kept legacy columns and added frontier/overlay/translation/fragility/live_denominator/paper_safe_role columns	results/boost/limen-boost-046/taxonomy-live-refresh-bundle.tsv
