as_of_utc	cell_id	view_id	view_name	x_dimension	x_value	y_dimension	y_value	row_count	comparison_row_ids	jurisdictions	scope	interpretation	blocking_note	reviewer_safe_use	visualization_hook	example_safe_claims	evidence_paths
2026-06-07T14:29:19Z	psoc-042-view-001-cell-001	psoc-042-view-001	surface_class_x_traceability_rung	surface_class	official_project_page	current_traceability_rung	L1_project_disclosure_only	1	psdc-001	Slovenia	bounded_five_row_public_sector_panel	Shows the four disclosure/reconstruction states currently represented by the five-row panel and preserves that regulator depth and register richness are different source classes.	The current official page establishes public-body involvement and stated project framing, but no procurement identifier, supplier trace, register companion, or public technical/assessment document is locally attached.	Counts describe the bounded five-row panel only, not project-level prevalence.	Stacked bar or heatmap for Table 1B companion graphic and dashboard legend.	The ORION row supports bounded public-body-existence and project-purpose claims only; it remains below register or buyer-side traceability states.	psdc-001=>results/boost/limen-boost-006/procurement-companion-state-matrix.tsv; results/boost/limen-boost-030/public-sector-upgrade-queue.tsv; results/boost/limen-boost-042/public-sector-traceability-ladder.tsv
2026-06-07T14:29:19Z	psoc-042-view-001-cell-002	psoc-042-view-001	surface_class_x_traceability_rung	surface_class	public_ai_register_entry	current_traceability_rung	L3_register_disclosure_with_governance_fields	1	psdc-004	Netherlands	bounded_five_row_public_sector_panel	Shows the four disclosure/reconstruction states currently represented by the five-row panel and preserves that regulator depth and register richness are different source classes.	No public buyer-side tender/award/contract or downloadable DPIA/ethical-review companion is locally exposed for the named ChatAmsterdam row.	Counts describe the bounded five-row panel only, not project-level prevalence.	Stacked bar or heatmap for Table 1B companion graphic and dashboard legend.	The Amsterdam row is still the richest current LIMEN register-style disclosure surface because the public register names supplier and governance/assessment fields, but the captured route set does not yet expose buyer-side or publicly inspectable companion-document support.	psdc-004=>results/boost/limen-boost-006/amsterdam-buyer-side-trace-probe-v0.1.tsv; results/boost/limen-boost-006/companion-document-audit.tsv; results/boost/limen-boost-006/procurement-companion-state-matrix.tsv
2026-06-07T14:29:19Z	psoc-042-view-001-cell-003	psoc-042-view-001	surface_class_x_traceability_rung	surface_class	public_ai_register_entry	current_traceability_rung	L4_register_plus_same_buyer_supplier_consistent_award	1	psdc-005	Finland	bounded_five_row_public_sector_panel	Shows the four disclosure/reconstruction states currently represented by the five-row panel and preserves that regulator depth and register richness are different source classes.	The public procurement package is same-buyer and supplier-consistent, but it still does not identify the parking-chatbot page itself or attach a page-specific DPIA/impact-assessment document.	Counts describe the bounded five-row panel only, not project-level prevalence.	Stacked bar or heatmap for Table 1B companion graphic and dashboard legend.	The Helsinki row sits above register-only disclosure because an official buyer-side procurement package and IBM-consistent award metadata are public, but the linkage remains family-level rather than exact row-specific proof.	psdc-005=>results/boost/limen-continuous-experiments/sf09-helsinki-procurement-detail-probe-v0.1.tsv; results/boost/limen-boost-006/buyer-side-trace-audit.tsv; results/boost/limen-boost-006/companion-document-audit.tsv; results/boost/limen-boost-006/procurement-companion-state-matrix.tsv
2026-06-07T14:29:19Z	psoc-042-view-001-cell-004	psoc-042-view-001	surface_class_x_traceability_rung	surface_class	regulator_enforcement_package	current_traceability_rung	L2_regulator_document_without_buyer_trace	2	psdc-002,psdc-003	United Kingdom, United Kingdom	bounded_five_row_public_sector_panel	Shows the four disclosure/reconstruction states currently represented by the five-row panel and preserves that regulator depth and register richness are different source classes.	The notice gives legal-basis and remedy text, but no public buyer-side procurement, supplier contract, or public impact-assessment companion is locally exposed. / The reprimand confirms DPIA/process-failure and deployment timing, but no public buyer-side procurement record, supplier contract, or downloadable DPIA/impact-assessment companion is locally attached.	Counts describe the bounded five-row panel only, not project-level prevalence.	Stacked bar or heatmap for Table 1B companion graphic and dashboard legend.	The Chelmer row supports narrow governance/process-failure claims from direct regulator text, not acquisition-route or publicly inspectable assessment claims. / The Serco row is strong for direct regulator governance text but still weak for buyer-side traceability and procurement reconstruction.	psdc-002=>results/boost/limen-boost-006/procurement-companion-state-matrix.tsv; results/boost/limen-boost-030/public-sector-upgrade-queue.tsv; results/boost/limen-boost-042/public-sector-traceability-ladder.tsv; psdc-003=>results/boost/limen-boost-006/procurement-companion-state-matrix.tsv; results/boost/limen-boost-030/public-sector-upgrade-queue.tsv; results/boost/limen-boost-042/public-sector-traceability-ladder.tsv
2026-06-07T14:29:19Z	psoc-042-view-002-cell-001	psoc-042-view-002	surface_class_x_buyer_side_trace_state	surface_class	official_project_page	buyer_side_trace_state	no_local_buyer_side_trace	1	psdc-001	Slovenia	bounded_five_row_public_sector_panel	Separates official-project-page, regulator-document, and register rows by what kind of buyer-side trace is currently public, making the Amsterdam/Helsinki distinction chart-ready.	The current official page establishes public-body involvement and stated project framing, but no procurement identifier, supplier trace, register companion, or public technical/assessment document is locally attached.	Helsinki is family-level linkage only; Amsterdam remains unresolved on captured public routes.	Sankey or grouped bars for buyer-side reconstruction ceiling.	The ORION row supports bounded public-body-existence and project-purpose claims only; it remains below register or buyer-side traceability states.	psdc-001=>results/boost/limen-boost-006/procurement-companion-state-matrix.tsv; results/boost/limen-boost-030/public-sector-upgrade-queue.tsv; results/boost/limen-boost-042/public-sector-traceability-ladder.tsv
2026-06-07T14:29:19Z	psoc-042-view-002-cell-002	psoc-042-view-002	surface_class_x_buyer_side_trace_state	surface_class	public_ai_register_entry	buyer_side_trace_state	family_level_same_buyer_procurement_trace_with_supplier_consistent_award	1	psdc-005	Finland	bounded_five_row_public_sector_panel	Separates official-project-page, regulator-document, and register rows by what kind of buyer-side trace is currently public, making the Amsterdam/Helsinki distinction chart-ready.	The public procurement package is same-buyer and supplier-consistent, but it still does not identify the parking-chatbot page itself or attach a page-specific DPIA/impact-assessment document.	Helsinki is family-level linkage only; Amsterdam remains unresolved on captured public routes.	Sankey or grouped bars for buyer-side reconstruction ceiling.	The Helsinki row sits above register-only disclosure because an official buyer-side procurement package and IBM-consistent award metadata are public, but the linkage remains family-level rather than exact row-specific proof.	psdc-005=>results/boost/limen-continuous-experiments/sf09-helsinki-procurement-detail-probe-v0.1.tsv; results/boost/limen-boost-006/buyer-side-trace-audit.tsv; results/boost/limen-boost-006/companion-document-audit.tsv; results/boost/limen-boost-006/procurement-companion-state-matrix.tsv
2026-06-07T14:29:19Z	psoc-042-view-002-cell-003	psoc-042-view-002	surface_class_x_buyer_side_trace_state	surface_class	public_ai_register_entry	buyer_side_trace_state	no_public_buyer_side_trace_on_captured_page	1	psdc-004	Netherlands	bounded_five_row_public_sector_panel	Separates official-project-page, regulator-document, and register rows by what kind of buyer-side trace is currently public, making the Amsterdam/Helsinki distinction chart-ready.	No public buyer-side tender/award/contract or downloadable DPIA/ethical-review companion is locally exposed for the named ChatAmsterdam row.	Helsinki is family-level linkage only; Amsterdam remains unresolved on captured public routes.	Sankey or grouped bars for buyer-side reconstruction ceiling.	The Amsterdam row is still the richest current LIMEN register-style disclosure surface because the public register names supplier and governance/assessment fields, but the captured route set does not yet expose buyer-side or publicly inspectable companion-document support.	psdc-004=>results/boost/limen-boost-006/amsterdam-buyer-side-trace-probe-v0.1.tsv; results/boost/limen-boost-006/companion-document-audit.tsv; results/boost/limen-boost-006/procurement-companion-state-matrix.tsv
2026-06-07T14:29:19Z	psoc-042-view-002-cell-004	psoc-042-view-002	surface_class_x_buyer_side_trace_state	surface_class	regulator_enforcement_package	buyer_side_trace_state	no_local_buyer_side_trace	2	psdc-002,psdc-003	United Kingdom, United Kingdom	bounded_five_row_public_sector_panel	Separates official-project-page, regulator-document, and register rows by what kind of buyer-side trace is currently public, making the Amsterdam/Helsinki distinction chart-ready.	The notice gives legal-basis and remedy text, but no public buyer-side procurement, supplier contract, or public impact-assessment companion is locally exposed. / The reprimand confirms DPIA/process-failure and deployment timing, but no public buyer-side procurement record, supplier contract, or downloadable DPIA/impact-assessment companion is locally attached.	Helsinki is family-level linkage only; Amsterdam remains unresolved on captured public routes.	Sankey or grouped bars for buyer-side reconstruction ceiling.	The Chelmer row supports narrow governance/process-failure claims from direct regulator text, not acquisition-route or publicly inspectable assessment claims. / The Serco row is strong for direct regulator governance text but still weak for buyer-side traceability and procurement reconstruction.	psdc-002=>results/boost/limen-boost-006/procurement-companion-state-matrix.tsv; results/boost/limen-boost-030/public-sector-upgrade-queue.tsv; results/boost/limen-boost-042/public-sector-traceability-ladder.tsv; psdc-003=>results/boost/limen-boost-006/procurement-companion-state-matrix.tsv; results/boost/limen-boost-030/public-sector-upgrade-queue.tsv; results/boost/limen-boost-042/public-sector-traceability-ladder.tsv
2026-06-07T14:29:19Z	psoc-042-view-003-cell-001	psoc-042-view-003	publication_role_x_default_view_state	default_publication_role	appendix_or_control_only	default_view_state	visible_as_low_trace_floor_not_default_hero	1	psdc-001	Slovenia	bounded_five_row_public_sector_panel	Turns the package into default-visible versus caution/control publication cells so manuscript and dashboard consumers do not flatten all five rows into one narrative role.	The current official page establishes public-body involvement and stated project framing, but no procurement identifier, supplier trace, register companion, or public technical/assessment document is locally attached.	This is a routing/control surface, not a substantive evidence upgrade.	Figure legend inventory and reviewer-safe visibility matrix.	The ORION row supports bounded public-body-existence and project-purpose claims only; it remains below register or buyer-side traceability states.	psdc-001=>results/boost/limen-boost-006/procurement-companion-state-matrix.tsv; results/boost/limen-boost-030/public-sector-upgrade-queue.tsv; results/boost/limen-boost-042/public-sector-traceability-ladder.tsv
2026-06-07T14:29:19Z	psoc-042-view-003-cell-002	psoc-042-view-003	publication_role_x_default_view_state	default_publication_role	core_table_middle_state_with_linkage_badge	default_view_state	default_core_table_row_with_linkage_badge	1	psdc-005	Finland	bounded_five_row_public_sector_panel	Turns the package into default-visible versus caution/control publication cells so manuscript and dashboard consumers do not flatten all five rows into one narrative role.	The public procurement package is same-buyer and supplier-consistent, but it still does not identify the parking-chatbot page itself or attach a page-specific DPIA/impact-assessment document.	This is a routing/control surface, not a substantive evidence upgrade.	Figure legend inventory and reviewer-safe visibility matrix.	The Helsinki row sits above register-only disclosure because an official buyer-side procurement package and IBM-consistent award metadata are public, but the linkage remains family-level rather than exact row-specific proof.	psdc-005=>results/boost/limen-continuous-experiments/sf09-helsinki-procurement-detail-probe-v0.1.tsv; results/boost/limen-boost-006/buyer-side-trace-audit.tsv; results/boost/limen-boost-006/companion-document-audit.tsv; results/boost/limen-boost-006/procurement-companion-state-matrix.tsv
