as_of_utc	travel_id	surface_path	surface_id_or_slot	role_in_package	confirmed_live_state	must_travel_with	paper_thesis_use	dashboard_hook	caution_or_remaining_gate
2026-06-07T13:03:30Z	T6A-TK-014-001	draft/preprint.md	Comparator layer framing fragment	main manuscript prose bridge	already aligned to the six-source / five-cell Table 6A package and its non-flattening comparator language	results/boost/limen-boost-026/table6a-publication-cells.tsv ; results/boost/limen-boost-050/comparator-shared-promotion-register.tsv ; results/boost/limen-boost-014/table6a-control-travel-kit.tsv:T6A-TK-014-001..T6A-TK-014-010	Supports one reviewer-safe comparator narrative for the preprint and thesis methods/results sections without collapsing AIID, OECD, AVID, MITRE ATLAS, MIT AI Risk, and CSET into one validation class.	Table 6A manuscript paragraph, comparator legend prose, and thesis methods note.	Keep explicit that heterogeneous comparator roles do not raise LIMEN evidence tier by themselves or prove same-event identity.
2026-06-07T13:03:30Z	T6A-TK-014-002	results/boost/limen-boost-026/table6a-publication-cells.tsv	Table 6A shared table source	active source-of-truth TSV	6 source rows and 5 publication-cell types remain the current reusable comparator package surface	results/boost/limen-boost-002/comparator-claim-ceiling-matrix.tsv ; results/boost/limen-boost-014/crosswalk-join-guardrails.tsv ; results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-015	Gives one machine-readable comparator role ladder for main text, appendix, dashboard planning, and thesis reuse.	Comparator role ladder, tooltip inset, and Table 6A source panel.	Preserve the distinction between six source families and five publication-cell types; do not let later prose restate one count as the other.
2026-06-07T13:03:30Z	T6A-TK-014-003	results/boost/limen-boost-002/comparator-claim-ceiling-matrix.tsv	6 comparator rows	claim-ceiling sidecar	live and still canonical for safe source-by-source manuscript language	results/boost/limen-boost-026/table6a-publication-cells.tsv ; results/boost/limen-boost-014/crosswalk-join-guardrails.tsv	Lets article/thesis prose map each source family to its current interoperability class, safe claim, forbidden overread, and next threshold event.	Claim-support map, methods appendix ladder, and reviewer-response trace bundle.	Do not reuse the matrix as if it proved row-level joins for AIID, OECD, MIT AI Risk, or CSET; only AVID currently carries one canonical direct local join.
2026-06-07T13:03:30Z	T6A-TK-014-004	results/boost/limen-boost-002/aiid-oecd-comparator-ceiling-contrast.tsv	LIMEN-002-AOC-001..003	middle-tier comparator subclass contrast	live and already linked to shared export stub exp-016	results/boost/limen-boost-050/comparator-shared-promotion-register.tsv ; results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-016 ; results/boost/limen-boost-050/crosswalk-reviewer-drift-audit.tsv	Preserves the reviewer-safe AIID-versus-OECD asymmetry: AIID is payload-stronger but archive-lag bounded, while OECD is discovery-stronger but rights/reuse bounded.	Comparator subclass contrast inset, tooltip copy, and middle-tier legend row.	Do not flatten AIID and OECD into one generic public incident database readiness bucket.
2026-06-07T13:03:30Z	T6A-TK-014-005	results/boost/limen-boost-014/crosswalk-join-guardrails.tsv	aiid..cset_ai_harm	join-threshold sidecar	live and still canonical for minimum positive-match rules and forbidden weak bases	results/boost/limen-boost-002/comparator-claim-ceiling-matrix.tsv ; results/boost/limen-boost-014/table6a-control-travel-kit.tsv	Keeps later comparator prose tied to explicit same-event, direct-join, technique-context, concept-overlay, and manual-overlay thresholds rather than topic resemblance.	Join-gate legend, reviewer FAQ row, and thesis methods caution layer.	No future overlap claim should bypass these rules by relying on keywords, taxonomy visibility, product-name overlap, or one analyst reading alone.
2026-06-07T13:03:30Z	T6A-TK-014-006	results/boost/limen-boost-002/security-crosswalk-threshold-recheck.tsv	SCR-002-001..008	security-side analogue guardrail	live and still canonical for AVID/ATLAS same-platform-but-different-case negatives	results/boost/limen-boost-014/crosswalk-join-guardrails.tsv ; results/boost/limen-boost-002/comparator-claim-ceiling-matrix.tsv	Lets Table 6A and shard-002 prose explain why live AVID or ATLAS product-name hits beyond AVID-2026-R1495 remain analogue-only rather than second exact joins.	Security-side comparator caution inset and same-platform analogue badge logic.	Do not narrate Langflow, LangChain, LlamaIndex, or Claude Code repo hits beyond the exact Langflow AVID row as direct same-case interoperability.
2026-06-07T13:03:30Z	T6A-TK-014-007	results/boost/limen-boost-050/crosswalk-reviewer-drift-audit.tsv	LIMEN-050-DA-001..005	denominator and field-ceiling QA sidecar	live and still canonical for the repaired 18-row denominator, but its older AIID field-ceiling caution is now superseded in part by `aiid-taxonomy-threshold-recheck.tsv`, which restored AIID taxonomy metadata to the current exact-field ceiling at the field-family level	results/boost/limen-boost-026/table6a-publication-cells.tsv ; results/boost/limen-boost-002/aiid-oecd-comparator-ceiling-contrast.tsv ; results/boost/limen-boost-002/aiid-taxonomy-threshold-recheck.tsv	Prevents later manuscript/dashboard/thesis reuse from drifting back to stale 16-row comparator denominators while also keeping the newer AIID taxonomy-restoration note attached to Table 6A reuse.	Reviewer-audit appendix, denominator badge, taxonomy-metadata tooltip, and field-ceiling caution note.	Keep the shared comparator denominator at 18 rows, use AIID taxonomy only at field-family level, and do not imply populated page-level classifications, same-event joins, or stable bulk/API semantics.
2026-06-07T13:03:30Z	T6A-TK-014-008	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv	exp-015 and exp-016	intended shared dashboard export stubs	ready_but_not_promoted because results/dashboard writes remain blocked on this host	results/boost/limen-boost-026/table6a-publication-cells.tsv ; results/boost/limen-boost-002/aiid-oecd-comparator-ceiling-contrast.tsv ; dashboard/limen-dashboard-spec-v0.1.md	Makes dashboard-path references reviewer-safe by pointing them to the intended shared comparator-role and comparator-subclass targets plus the live boost-local sources.	Dashboard export stub, promotion-governance note, and comparator inset routing.	Do not imply that results/dashboard/comparator-role-ladder.tsv or results/dashboard/comparator-subclass-contrast.tsv already exist as materialized shared files.
2026-06-07T13:03:30Z	T6A-TK-014-009	dashboard/limen-dashboard-spec-v0.1.md	Section 7.6A comparator role ladder	dashboard placement prose	already aligned to six-source / five-cell wording and blocked-export reality via the shared promotion register	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-015 ; results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-016 ; results/boost/limen-boost-050/comparator-shared-promotion-register.tsv	Preserves manuscript-dashboard symmetry for comparator legend, ladder, and inset text without inventing a materialized shared file.	Dashboard table-plan line, legend/tooltip routing, and comparator-role display contract.	Dashboard prose must keep the blocked-export state explicit until filesystem promotion is truly available.
2026-06-07T13:03:30Z	T6A-TK-014-010	papers/article-architecture-v0.1.md	Result block 7A and Table 6A blocks	paper-architecture spine	already aligned to comparator asymmetry and source-specific claim ceilings	results/boost/limen-boost-050/comparator-shared-promotion-register.tsv ; results/boost/limen-boost-014/table6a-control-travel-kit.tsv ; results/boost/limen-boost-014/crosswalk-join-guardrails.tsv	Connects the shared comparator package to article/thesis figure-table order and hostile-reviewer controls without re-deriving shard-002 logic from scattered notes.	Article-architecture spine, thesis exhibit routing, and reviewer-response memo support.	The substantive blocker stays external to architecture: a real threshold event is still needed before stronger shard-002 rhetoric is safe.
