as_of_utc	lane_id	route_id	target_case_ids	probe_surface	query_id	query_string	query_purpose	result_count_or_state	top_public_hit	open_url	exact_row_match_state	evidence_decision	why_not_counted_for_promotion
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	arXiv	Q1	CVE-2023-29374	langchain_exact_cve	0	(no entry returned)	https://export.arxiv.org/api/query	zero_hit	negative_result_keep_gap_open	No candidate work returned on this bounded surface.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	OpenAlex	Q1	CVE-2023-29374	langchain_exact_cve	5	Coordinated Flaw Disclosure for AI: Beyond Security Vulnerabilities	https://doi.org/10.1609/aies.v7i1.31635	topical_or_numeric_near_miss	near_miss_do_not_count	Top hit is topical, framework-level, or numeric-collision noise rather than an incident-specific scholarly match.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	DBLP	Q1	CVE-2023-29374	langchain_exact_cve	0	(no hit returned)	https://dblp.org/search/publ/api	zero_hit	negative_result_keep_gap_open	No candidate work returned on this bounded surface.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	Crossref	Q1	CVE-2023-29374	langchain_exact_cve	1+	29374, 1866-12-10, WORMS de ROMILLY (Felix) †	https://doi.org/10.1163/2210-7886_asc-29374	topical_or_numeric_near_miss	near_miss_do_not_count	Top hit is topical, framework-level, or numeric-collision noise rather than an incident-specific scholarly match.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	arXiv	Q2	CVE-2024-3271	llamaindex_exact_cve	0	(no entry returned)	https://export.arxiv.org/api/query	zero_hit	negative_result_keep_gap_open	No candidate work returned on this bounded surface.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	OpenAlex	Q2	CVE-2024-3271	llamaindex_exact_cve	7	A Comprehensive Review on the Role of Artificial Intelligence in Power System Stability, Control, and Protection: Insights and Future Directions	https://doi.org/10.3390/app14146214	topical_or_numeric_near_miss	near_miss_do_not_count	Top hit is topical, framework-level, or numeric-collision noise rather than an incident-specific scholarly match.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	DBLP	Q2	CVE-2024-3271	llamaindex_exact_cve	0	(no hit returned)	https://dblp.org/search/publ/api	zero_hit	negative_result_keep_gap_open	No candidate work returned on this bounded surface.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	Crossref	Q2	CVE-2024-3271	llamaindex_exact_cve	1+	Charliecloud is not affected by CVE-2024-21626 or related vulnerabilities	https://doi.org/10.2172/2290297	topical_or_numeric_near_miss	near_miss_do_not_count	Top hit is topical, framework-level, or numeric-collision noise rather than an incident-specific scholarly match.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	arXiv	Q3	LangChain CVE-2023-29374	langchain_framework_plus_cve	139	Breast Ultrasound Report Generation using LangChain	http://arxiv.org/abs/2312.03013v1	topical_or_numeric_near_miss	near_miss_do_not_count	Top hit is topical, framework-level, or numeric-collision noise rather than an incident-specific scholarly match.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	OpenAlex	Q3	LangChain CVE-2023-29374	langchain_framework_plus_cve	4	Coordinated Flaw Disclosure for AI: Beyond Security Vulnerabilities	https://doi.org/10.1609/aies.v7i1.31635	topical_or_numeric_near_miss	near_miss_do_not_count	Top hit is topical, framework-level, or numeric-collision noise rather than an incident-specific scholarly match.
