panel_rank	panel_section	panel_subject_id	route_id	platform_or_gap	cve_or_gap	mechanism_family	authority_or_source_shape	threshold_state_now	why_in_demonstrator	next_threshold_crossing_evidence	reviewer_safe_role_now	forbidden_overread_or_guardrail	figure_or_dashboard_hook	evidence_basis_paths
1	seeded_core	LIMEN-000001	maintain_only	Auto-GPT	CVE-2023-37274	unsafe_code_execution	vendor_advisory_exact_fix_visible	1_core_results	Primary CVE text plus vendor advisory support a bounded remediation-visibility exemplar with indirect ATLAS context only.	Add one exact external framework join only if a canonical AVID or exact ATLAS case later appears.	Supports a bounded technical-security observation and a hostile-reviewer-safe crosswalk row showing technique support without a canonical AVID incident ID.	keep AVID linkage negative/indirect unless a canonical AVID report appears; do not narrate AML.CS0052 as a CVE-specific match	unsafe_code_execution__vendor_advisory_exact_fix_visible__1_core_results	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/security/security-agentic-watch-v0.1.tsv
2	seeded_core	LIMEN-000003	maintain_only	Claude Code	CVE-2025-55284	exfiltration_or_credential_exposure	vendor_advisory_exact_fix_visible	1_core_results	Public CVE text plus vendor advisory support an approval-model failure exemplar with exact fix-version visibility.	Add direct AVID or exact ATLAS case linkage only if a canonical external incident record appears.	Supports a bounded approval-model failure argument plus a reviewer-safe crosswalk row where technique taxonomy is stronger than exact cross-framework incident IDs.	keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists	exfiltration_or_credential_exposure__vendor_advisory_exact_fix_visible__1_core_results	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/security/security-agentic-watch-v0.1.tsv
3	seeded_core	LIMEN-000008	SEC-ROUTE-040-006	LangChain	CVE-2026-44843	memory_state_contamination	vendor_advisory_exact_fix_visible	1_core_results	Public CVE text plus a vendor GitHub advisory support a bounded memory/state contamination exemplar with exact fix-version visibility and defensive guidance about trusted-only deserialization.	A second bounded memory/state contamination or deserialization-trust-boundary row with different platform or authority shape.	Adds a vendor-authored public-security exemplar for memory and state contamination rather than another code-execution row, which broadens the package's reviewer-safe security taxonomy without implying prevalence or incident realization.	Reduces the risk that one deserialization row is narrated as broader state-contamination coverage.	Mechanism-family heatmap; singleton-to-pair upgrade ladder.	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/security/security-agentic-watch-v0.1.tsv; results/boost/limen-boost-040/security-route-decision-register.tsv
4	seeded_appendix	LIMEN-000004	SEC-ROUTE-040-004	CrewAI	CVE-2026-2285	exfiltration_or_credential_exposure	coordination_plus_vendor_release_note	2_appendix_supporting_results	Primary CVE text plus CERT or CC coordination and vendor release-note signals support partial remediation visibility without CVE-specific vendor-bulletin certainty.	Vendor-authored advisory, changelog, release text, or repository notice explicitly naming CVE-2026-2285 or CVE-2026-2286 and tying it to remediation/version language.	Supports a bounded file-exposure/tool-misuse row with stronger remediation visibility than before because a public vendor release note now signals relevant fixes, while stronger comparative manuscript use still requires caution.	Reduces the risk that relevant but non-CVE-specific release-note language is overread as exact fixed-version proof.	Notice-depth progression chart; middle-layer remediation panel.	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/security/security-agentic-watch-v0.1.tsv; results/boost/limen-boost-040/security-route-decision-register.tsv
5	seeded_appendix	LIMEN-000005	SEC-ROUTE-040-004	CrewAI	CVE-2026-2286	exfiltration_or_credential_exposure	coordination_plus_vendor_release_note	2_appendix_supporting_results	Primary CVE text plus CERT or CC coordination and vendor release-note signals support partial remediation visibility without CVE-specific vendor-bulletin certainty.	Vendor-authored advisory, changelog, release text, or repository notice explicitly naming CVE-2026-2285 or CVE-2026-2286 and tying it to remediation/version language.	Supports a bounded retrieval/network-surface risk row with stronger remediation visibility than before because a public vendor release note now signals relevant fixes, while stronger comparative manuscript use still requires caution.	Reduces the risk that relevant but non-CVE-specific release-note language is overread as exact fixed-version proof.	Notice-depth progression chart; middle-layer remediation panel.	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/security/security-agentic-watch-v0.1.tsv; results/boost/limen-boost-040/security-route-decision-register.tsv
6	seeded_appendix	LIMEN-000006	maintain_only	LangChain	CVE-2023-29374	unsafe_code_execution	independent_lab_source_qualified_fix	2_appendix_supporting_results	Public CVE text plus a public Snyk advisory support a bounded prompt-injection/code-execution exemplar and add one independent-lab layer to the package.	Find a direct vendor-authored remediation statement or keep as source-qualified independent-lab support.	Adds the package's first independent-lab public-security exemplar: primary CVE record plus third-party Snyk advisory, which strengthens source-independence discussion without implying prevalence or complete remediation certainty.	no direct vendor-authored advisory was verified in the bounded pass; keep fixed-version language source-qualified because the public CVE scope text and Snyk upgrade guidance are not phrased identically; keep ATLAS linkage at technique level only	unsafe_code_execution__independent_lab_source_qualified_fix__2_appendix_supporting_results	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/security/security-agentic-watch-v0.1.tsv
7	seeded_appendix	LIMEN-000007	maintain_only	LlamaIndex	CVE-2024-3271	unsafe_code_execution	independent_lab_source_qualified_fix	2_appendix_supporting_results	Public CVE text plus a public Snyk advisory support a bounded command-injection / unsafe-code-execution exemplar and add a second independent-lab layer to the package.	Find a direct vendor-authored remediation statement or keep remediation wording source-qualified.	Adds a second independent-lab public-security exemplar: primary CVE record plus public Snyk advisory for a framework-level unsafe-code-execution path, which strengthens source-independence discussion without implying clean vendor remediation visibility or prevalence.	no direct vendor-authored advisory was verified in the bounded pass; keep fixed-version language source-qualified because the CVE affected-version notation and Snyk upgrade guidance are not phrased identically; keep ATLAS linkage at technique level only	unsafe_code_execution__independent_lab_source_qualified_fix__2_appendix_supporting_results	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/security/security-agentic-watch-v0.1.tsv
8	seeded_appendix	LIMEN-000009	SEC-ROUTE-040-005	PraisonAI	CVE-2026-47413	identity_boundary_abuse	vendor_advisory_exact_fix_visible	2_appendix_supporting_results	Upstream GitHub advisory supports a bounded identity-boundary / privilege-escalation exemplar with exact patched-version visibility, but current local support is still vendor-advisory-centric and lacks direct AVID or ATLAS case interoperability.	A second bounded identity-boundary or authorization-abuse row, preferably with a different source family or stronger independent support.	Adds the package's first public agent-identity / authorization-boundary exemplar, reducing a previously explicit zero state in the security balance matrix without implying prevalence or realized compromise.	Reduces the risk that one row is mistaken for balanced identity-abuse coverage.	Mechanism singleton watchlist; security-governance bridge appendix.	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/security/security-agentic-watch-v0.1.tsv; results/boost/limen-boost-040/security-route-decision-register.tsv
9	seeded_limitations	LIMEN-000002	SEC-ROUTE-040-003	Langflow	CVE-2024-37014	unsafe_code_execution	candidate_exact_join_notice_gap	3_limitations_queue_only	Exact AVID incident-ID interoperability is present, but vendor remediation visibility remains below advisory or release-note grade.	Vendor-authored advisory or release-note-grade statement explicitly tied to CVE-2024-37014, ideally with exact fixed-version language.	Candidate/T1 record remains held down for remediation certainty, but now carries exact local AVID support plus a broader bounded negative vendor-notice trace for reviewer-safe interoperability and notice-depth discussion.	Reduces the risk that exact AVID interoperability is read as stronger evidence than the row actually has.	Interoperability asymmetry inset; notice-depth repair ladder; exact-join caution panel.	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/security/security-agentic-watch-v0.1.tsv; results/boost/limen-boost-040/security-route-decision-register.tsv
10	explicit_zero_gap	GAP-peer_reviewed_security_case_support	SEC-ROUTE-040-002	none	none	cross_family_gap	peer_reviewed_security_case_support	0_gap_only	No row in the current local security package is backed by peer-reviewed security case support.	Peer-reviewed paper, workshop paper, conference proceedings, or similarly citable public technical case analysis with enough incident specificity to map cleanly to a live row.	No row in the current local security package is backed by peer-reviewed security case support.	Reduces the risk that the security package is dismissed as vendor/CVE/advisory shaped only.	Authority-balance panel; evidence-layer Sankey; limitations-to-upgrade ladder.	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/boost/limen-boost-040/security-route-decision-register.tsv
11	explicit_zero_gap	GAP-supply_chain_or_plugin_extension	SEC-ROUTE-040-001	none	none	supply_chain_or_plugin_extension	gap_no_current_case	0_gap_only	No current row is a clean supply-chain or dependency-trust exemplar in the shared package.	Primary CVE/advisory text plus at least one direct vendor or upstream remediation surface; if only independent-lab support exists, version language must stay source-qualified.	No current row is a clean supply-chain or dependency-trust exemplar in the shared package.	Reduces the risk that reviewers read the package as lacking any supply-chain or plugin-trust relevance.	Gap-to-first-row funnel; mechanism-diversity heatmap; appendix gap panel.	results/security/security-agentic-publication-cell-matrix-v0.1.tsv; results/boost/limen-boost-040/security-route-decision-register.tsv
