as_of_utc	artifact_path	artifact_role	post_playwright_state	safe_reuse_class	why_this_state_now	must_travel_with_or_replacement	paper_thesis_use	dashboard_hook	mandatory_caution
2026-06-07T19:14:55Z	results/boost/limen-boost-040/security-route-decision-register.tsv	route_order_register	current_live_route_order	current_live	Already states supply-chain zero-state closure as historical and keeps peer-reviewed gap first, Langflow second, CrewAI third.	Pair with results/security/security-agentic-next-route-board-v0.1.tsv for current shared route order.	Safe source for route-order prose and route-governance notes.	security_route_board	Do not restate row counts from this file; it is route logic, not the canonical package denominator.
2026-06-07T19:14:55Z	results/boost/limen-boost-040/peer-review-gap-closure-surface-map.tsv	peer_review_gap_patch_map	current_live_single_gap	current_live	Only addresses the still-live peer-reviewed gap and does not depend on the retired supply-chain zero state.	Pair with results/security/security-agentic-gap-closure-register-v0.1.tsv and results/security/security-agentic-next-route-board-v0.1.tsv.	Safe source for reviewer-response and manuscript patch-governance around the last zero state.	authority_gap_closure_ladder	Do not treat this as evidence that the gap is closed; it is a closure-if-then map only.
2026-06-07T19:14:55Z	results/boost/limen-boost-040/security-hostile-reviewer-objections.tsv	reviewer_objection_layer	current_live_post_playwright	current_live	This file has now been refreshed to the live `3 / 6 / 1 / 1` package, the retired supply-chain zero state, and the remaining peer-reviewed gap.	Pair with results/security/security-agentic-case-support-register-v0.1.tsv and results/security/security-agentic-next-route-board-v0.1.tsv.	Safe source for reviewer-question inventory and compact rebuttal reuse.	reviewer_objection_cards	Keep singleton-family caution explicit; do not convert one Playwright MCP row into broad supply-chain prevalence rhetoric.
2026-06-07T19:14:55Z	results/boost/limen-boost-040/security-promotion-threshold-matrix.tsv	historical_threshold_matrix	stale_pre_playwright	stale_historical_only	Still models GAP-supply_chain_or_plugin_extension as an open zero state and therefore no longer matches the ten-row shared package.	Prefer results/security/security-agentic-next-route-board-v0.1.tsv plus results/security/security-agentic-case-support-register-v0.1.tsv.	Historical route-evolution evidence only.	threshold_history	Do not use for current Table 6, dashboard, or thesis denominator language.
2026-06-07T19:14:55Z	results/boost/limen-boost-040/security-publication-threshold-demonstrator.tsv	historical_panel_surface	stale_pre_playwright	stale_historical_only	Still shows the old 3 core / 5 appendix / 1 limitations / 2 gap package and below-threshold Playwright frontier rows.	Replace with results/security/security-agentic-publication-cell-matrix-v0.1.tsv and results/security/security-agentic-reviewer-panels-v0.1.tsv.	Historical pre-promotion control panel only.	legacy_threshold_panel	Do not reuse its counts or supply-chain-gap wording.
2026-06-07T19:14:55Z	results/boost/limen-boost-040/security-shared-surface-sync-audit.tsv	local_sync_audit	stale_pre_playwright	stale_historical_only	Audit was correct at creation time but its asserted live contract is now superseded by the post-Playwright 3 / 6 / 1 / 1 package.	Prefer shared post-Playwright controls under results/security/ and this router.	Historical audit trail showing what drift existed before Playwright promotion.	local_vs_shared_drift_history	Do not cite its 3 / 5 / 1 / 2 statements as current.
2026-06-07T19:14:55Z	results/boost/limen-boost-040/security-threshold-propagation-register.tsv	threshold_patch_governance	stale_pre_playwright	stale_historical_only	Contains a propagation row for the retired supply-chain zero state and therefore no longer represents current trigger logic.	Prefer results/security/security-agentic-next-route-board-v0.1.tsv plus results/security/security-agentic-case-support-register-v0.1.tsv.	Historical patch-governance evidence only.	patch_bundle_history	Do not route live security updates through the retired supply-chain-gap row.
2026-06-07T19:14:55Z	results/boost/limen-boost-040/table6-control-travel-kit.tsv	table6_bundle	current_live_post_playwright	current_live	This file has now been refreshed to the live `3 / 6 / 1 / 1` split, the seeded Playwright trust-boundary row, and the single remaining peer-reviewed gap.	Use with results/security/security-agentic-case-support-register-v0.1.tsv and results/security/security-agentic-next-route-board-v0.1.tsv.	Safe file-link bundle for current Table 6, reviewer-response, and thesis reuse.	table6_travel_bundle	Do not reuse it as empirical proof by itself; it is a routing bundle anchored to shared evidence surfaces.
2026-06-07T19:14:55Z	results/boost/limen-boost-040/paper-fragment.md	lane_local_prose_fragment	current_live_post_playwright	current_live	This file has now been rewritten to the live `3 / 6 / 1 / 1` package, the seeded Playwright trust-boundary row, and the single remaining peer-reviewed gap.	Use with results/security/security-agentic-manuscript-bundle-v0.1.tsv, results/security/security-agentic-case-support-register-v0.1.tsv, and results/boost/limen-boost-040/table6-control-travel-kit.tsv.	Safe lane-local prose bridge for current manuscript, reviewer-response, and thesis reuse.	manuscript_paragraph_router	Keep infrastructure-not-prevalence framing explicit; do not generalize one seeded trust-boundary row into balanced-family rhetoric.
2026-06-07T19:14:55Z	results/boost/limen-boost-040/status.md	lane_status_note	superseded_by_current_cycle	replaced_now	Older status is preserved in git/history but is superseded by the current cycle note.	Use the refreshed status.md written in this cycle.	Current lane status after live prose-bridge refresh.	status_panel	None beyond normal claim-boundary caution.
2026-06-07T19:14:55Z	results/security/security-agentic-case-support-register-v0.1.tsv	shared_row_level_spine	current_live_ten_row_package	canonical_current	Carries the current 10-row post-Playwright package plus the single remaining peer-reviewed gap with row-safe prose.	Primary current companion for any limen-boost-040 reuse.	Canonical row-level source for Table 6, thesis prose, and dashboard hover logic.	row_level_support_register	Keep row-level claims bounded; this is still a claim-ceiling package, not prevalence evidence.
2026-06-07T19:14:55Z	results/security/security-agentic-next-route-board-v0.1.tsv	shared_route_selector	current_live_post_playwright	canonical_current	Carries the current route order after Playwright promotion: peer-reviewed gap, Langflow notice depth, CrewAI notice depth, then supply-chain diversification.	Primary current route companion for any limen-boost-040 reuse.	Canonical route selector for next shard-004 security move.	route_priority_board	Do not convert backlog order into stronger empirical security claims.
