as_of_utc	audit_id	surface_path	surface_focus	frontier_state	current_action	evidence_bundle	paper_readiness_delta	caution_or_next_gate
2026-06-08T07:53:45Z	TLCFA-030-001	results/dashboard-paper/publication-route-visual-bridge-v0.1.tsv	LIMEN-VIS-008 shared route bridge	clean_live_consumer	verified_no_patch_needed	results/dashboard/public-sector-disclosure-comparison.tsv ; results/dashboard/public-sector-proof-ceilings.tsv ; CCR-015 ; exp-013	Final audit confirms this live consumer is clean of the retired comparison-path and export-state wording that previously justified shard-030 currentness repair.	Clean packaging does not change the five-row claim core, does not promote Denmark, and does not close Amsterdam/Helsinki exact-companion gaps.
2026-06-08T07:53:45Z	TLCFA-030-002	results/dashboard-paper/dashboard-view-claim-route-matrix-v0.1.tsv	LIMEN-VIS-008 claim-route matrix	clean_live_consumer	verified_no_patch_needed	results/dashboard/public-sector-disclosure-comparison.tsv ; results/dashboard/public-sector-proof-ceilings.tsv ; CCR-015 ; exp-013	Final audit confirms this live consumer is clean of the retired comparison-path and export-state wording that previously justified shard-030 currentness repair.	Clean packaging does not change the five-row claim core, does not promote Denmark, and does not close Amsterdam/Helsinki exact-companion gaps.
2026-06-08T07:53:45Z	TLCFA-030-003	results/dashboard-paper/public-sector-disclosure-asymmetry-v0.1.md	shared public-sector note	clean_live_consumer	verified_no_patch_needed	results/dashboard/public-sector-disclosure-comparison.tsv ; results/dashboard/public-sector-proof-ceilings.tsv ; CCR-015 ; exp-013	Final audit confirms this live consumer is clean of the retired comparison-path and export-state wording that previously justified shard-030 currentness repair.	Clean packaging does not change the five-row claim core, does not promote Denmark, and does not close Amsterdam/Helsinki exact-companion gaps.
2026-06-08T07:53:45Z	TLCFA-030-004	dashboard/limen-dashboard-spec-v0.1.md	dashboard spec public-sector contract	clean_live_consumer	verified_no_patch_needed	results/dashboard/public-sector-disclosure-comparison.tsv ; results/dashboard/public-sector-proof-ceilings.tsv ; CCR-015 ; exp-013	Final audit confirms this live consumer is clean of the retired comparison-path and export-state wording that previously justified shard-030 currentness repair.	Clean packaging does not change the five-row claim core, does not promote Denmark, and does not close Amsterdam/Helsinki exact-companion gaps.
2026-06-08T07:53:45Z	TLCFA-030-005	results/boost/limen-boost-030/table1b-dashboard-view-contract.tsv	lane-local dashboard view contract	clean_live_consumer	verified_no_patch_needed	results/dashboard/public-sector-disclosure-comparison.tsv ; results/dashboard/public-sector-proof-ceilings.tsv ; CCR-015 ; exp-013	Final audit confirms this live consumer is clean of the retired comparison-path and export-state wording that previously justified shard-030 currentness repair.	Clean packaging does not change the five-row claim core, does not promote Denmark, and does not close Amsterdam/Helsinki exact-companion gaps.
2026-06-08T07:53:45Z	TLCFA-030-006	results/boost/limen-boost-030/table1b-thesis-routing-matrix.tsv	lane-local thesis routing matrix	clean_live_consumer	verified_no_patch_needed	results/dashboard/public-sector-disclosure-comparison.tsv ; results/dashboard/public-sector-proof-ceilings.tsv ; CCR-015 ; exp-013	Final audit confirms this live consumer is clean of the retired comparison-path and export-state wording that previously justified shard-030 currentness repair.	Clean packaging does not change the five-row claim core, does not promote Denmark, and does not close Amsterdam/Helsinki exact-companion gaps.
2026-06-08T07:53:45Z	TLCFA-030-007	results/boost/limen-boost-030/table1b-control-travel-kit.tsv	lane-local travel kit	clean_live_consumer	verified_no_patch_needed	results/dashboard/public-sector-disclosure-comparison.tsv ; results/dashboard/public-sector-proof-ceilings.tsv ; CCR-015 ; exp-013	Final audit confirms this live consumer is clean of the retired comparison-path and export-state wording that previously justified shard-030 currentness repair.	Clean packaging does not change the five-row claim core, does not promote Denmark, and does not close Amsterdam/Helsinki exact-companion gaps.
2026-06-08T07:53:45Z	TLCFA-030-008	results/boost/limen-boost-030/table1b-shared-visual-sync-audit.tsv	lane-local shared-visual sync audit	clean_live_consumer	verified_no_patch_needed	results/dashboard/public-sector-disclosure-comparison.tsv ; results/dashboard/public-sector-proof-ceilings.tsv ; CCR-015 ; exp-013	Final audit confirms this live consumer is clean of the retired comparison-path and export-state wording that previously justified shard-030 currentness repair.	Clean packaging does not change the five-row claim core, does not promote Denmark, and does not close Amsterdam/Helsinki exact-companion gaps.
2026-06-08T07:53:45Z	TLCFA-030-009	results/boost/limen-boost-030/publication-routing-bridge.tsv	lane-local publication routing bridge	clean_live_consumer	verified_no_patch_needed	results/dashboard/public-sector-disclosure-comparison.tsv ; results/dashboard/public-sector-proof-ceilings.tsv ; CCR-015 ; exp-013	Final audit confirms this live consumer is clean of the retired comparison-path and export-state wording that previously justified shard-030 currentness repair.	Clean packaging does not change the five-row claim core, does not promote Denmark, and does not close Amsterdam/Helsinki exact-companion gaps.
2026-06-08T07:53:45Z	TLCFA-030-010	results/boost/limen-boost-030/public-sector-core-sidecar-governor.tsv	lane-local core-sidecar governor	clean_live_consumer	verified_no_patch_needed	results/dashboard/public-sector-disclosure-comparison.tsv ; results/dashboard/public-sector-proof-ceilings.tsv ; CCR-015 ; exp-013	Final audit confirms this live consumer is clean of the retired comparison-path and export-state wording that previously justified shard-030 currentness repair.	Clean packaging does not change the five-row claim core, does not promote Denmark, and does not close Amsterdam/Helsinki exact-companion gaps.
