as_of_utc	audit_row_id	surface_path	surface_slot_or_focus	alignment_status	current_action	live_dependency_bundle	paper_readiness_delta	blocking_or_caution_note
2026-06-08T06:56:25Z	T1B-VSA-030-001	results/dashboard-paper/figure-table-priority-register-v0.1.tsv	LIMEN-VIS-008 row	verified_multi_source_alignment	verified_no_patch_needed	results/dashboard-paper/public-sector-disclosure-asymmetry-v0.1.md ; results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv ; results/dashboard/public-sector-disclosure-comparison.tsv ; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-015 ; results/boost/limen-boost-042/public-sector-traceability-ladder.tsv	Confirms the shared figure/table registry already carries the live five-row scope, Amsterdam current-plus-history export depth, Helsinki family-level procurement-companion ceiling, the explicit non-denominator reading for Table 1B reuse, and the now-materialized shared comparison path.	Registry alignment is publication-useful negative evidence only; it does not add a buyer-side or page-specific public-impact companion for any municipal row.
2026-06-08T06:56:25Z	T1B-VSA-030-002	results/dashboard-paper/publication-route-visual-bridge-v0.1.tsv	LIMEN-VIS-008 route row	verified_dual_source_contract	verified_no_patch_needed	results/dashboard/public-sector-disclosure-comparison.tsv ; results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv ; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-015 ; results/boost/limen-boost-030/public-sector-upgrade-queue.tsv	Makes explicit that the route bridge intentionally points Table 1B to the live shared comparison TSV for the visual source while the proof-ceiling TSV remains the row-level legend and claim-ceiling control surface.	Do not misread the dual-source contract as drift; the comparison TSV supplies table body scope, while proof ceilings and CCR-015 govern claim-safe wording.
2026-06-07T15:24:29Z	T1B-VSA-030-003	results/dashboard-paper/caption-control-register-v0.1.tsv	CCR-015	verified_as_caption_root	verified_no_patch_needed	results/boost/limen-boost-054/public-sector-caption-promotion-candidate.tsv:PS-CCR-054-001..PS-CCR-054-003 ; results/boost/limen-boost-006/public-sector-caption-control-register.tsv:psdc-001..psdc-005 ; results/boost/limen-boost-042/public-sector-traceability-ladder.tsv:psl-001..psl-005 ; results/authoritative-scout/authoritative-claim-support-register-v0.1.tsv	Confirms one shared caption-control row still governs the five-row panel, Amsterdam buyer-side-unresolved wording, Helsinki family-level wording, UK regulator-row caution, and the denominator boundary.	Any future Table 1B prose change should route through CCR-015 first; otherwise claim ceiling and denominator discipline can silently drift.
2026-06-08T06:56:25Z	T1B-VSA-030-004	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv	exp-013	verified_materialized_shared_control_state	verified_no_patch_needed	results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv ; dashboard/limen-dashboard-spec-v0.1.md ; results/boost/limen-boost-054/table1b-control-travel-kit.tsv	Keeps dashboard-path references reviewer-safe by confirming that the shared `results/dashboard/public-sector-proof-ceilings.tsv` target is now materialized locally while remaining semantically bounded by the same caption and denominator controls.	Do not misread local shared-copy existence as a proof-ceiling upgrade, denominator change, or buyer-side blocker resolution.
2026-06-07T15:24:29Z	T1B-VSA-030-005	results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv	pspcf-001..pspcf-005	verified_row_safe_control_state	verified_no_patch_needed	results/boost/limen-boost-042/public-sector-claim-support-bridge.tsv ; results/boost/limen-boost-054/public-sector-manuscript-bridge.tsv ; results/boost/limen-boost-054/public-sector-claim-defense-crosswalk.tsv	Confirms the shared proof-ceiling table still exposes row-specific safe claims, forbidden overreads, next stronger-source events, and dashboard badges for Amsterdam, Helsinki, the two UK ICO rows, and ORION.	This is a control artifact over already captured evidence; it does not itself strengthen any row's authority or procurement trace.
2026-06-07T15:24:29Z	T1B-VSA-030-006	results/boost/limen-boost-042/public-sector-publication-cells.tsv	pspc-042-001..pspc-042-005	verified_default_view_alignment	verified_no_patch_needed	results/boost/limen-boost-042/public-sector-visual-encoding-contract.tsv ; results/boost/limen-boost-042/public-sector-traceability-ladder.tsv ; results/boost/limen-boost-054/public-sector-manuscript-bridge.tsv	Confirms the publication-cell layer still matches the intended default visibility split: ORION as low-trace control, two UK rows as direct-document comparators, Amsterdam as caution-badged register exemplar, and Helsinki as linkage-badged middle state.	Default visibility is not substantive promotion; Amsterdam remains buyer-side unresolved and Helsinki remains below exact row-linked proof.
2026-06-07T15:24:29Z	T1B-VSA-030-007	results/boost/limen-boost-054/public-sector-manuscript-bridge.tsv	psmb-054-001..psmb-054-004	verified_sentence_bundle_alignment	verified_no_patch_needed	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-015 ; results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv ; results/boost/limen-boost-030/table1b-control-travel-kit.tsv	Confirms the manuscript-safe sentence bundle remains synchronized with the live five-row panel, Amsterdam-versus-Helsinki contrast, four-state ladder wording, and sf09 blocker sentence already named in the current sprint/goal stack.	Sentence alignment alone does not change the empirical package; stronger rhetoric still requires one exact buyer-side or public-impact companion event.
2026-06-08T06:56:25Z	T1B-VSA-030-008	results/boost/limen-boost-054/public-sector-claim-defense-crosswalk.tsv	PSCX-054-001..PSCX-054-004	verified_claim_to_visual_bundle	verified_no_patch_needed	claims.md:LIMEN-C-012 ; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-015 ; results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-013 ; results/boost/limen-boost-054/table1b-control-travel-kit.tsv	Confirms the shared claim-defense layer still couples top-level claim text, Amsterdam/Helsinki contrast language, governance-comparator caveats, and shared-copy materialization caution into one reusable reviewer-response/manuscript/thesis bridge.	If another cycle changes Table 1B claim wording, patch the crosswalk and travel kit together; otherwise future prose can decouple allowed statements from bundle governance.
2026-06-07T15:24:29Z	T1B-VSA-030-009	results/boost/limen-boost-030/public-sector-upgrade-queue.tsv	030-upq-001..030-upq-005	verified_route_order_alignment	verified_no_patch_needed	results/boost/limen-boost-018/public-sector-threshold-register.tsv ; next.md ; results/boost/limen-boost-054/sf09-public-sector-publishability-priority.tsv	Confirms the lane-local route queue still matches the current shared route order: Amsterdam first only via a genuinely different official/public companion surface, Helsinki second only via page-specific evidence, UK rows maintenance-only, and ORION as low-trace floor.	Route-order alignment is negative evidence only; substantive sf09 progress still requires new public/open authority, not another packaging pass.
2026-06-08T06:59:58Z	T1B-VSA-030-010	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv	exp-013	verified_materialized_local_shared_copy_state	patched_currentness_record	results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv ; results/dashboard/public-sector-proof-ceilings.tsv ; results/boost/limen-boost-054/table1b-control-travel-kit.tsv ; dashboard/limen-dashboard-spec-v0.1.md	Supersedes the earlier export-state check and records that the shared public-sector proof-ceiling path is now materialized locally on this host while preserving the same caption and row-level claim ceilings.	Do not read host-local mirror materialization as denominator widening, Denmark promotion into the five-row core, or closure of Amsterdam/Helsinki exact-companion gaps.
