as_of_utc	lane_id	table_slot	family_id	source_family	route_rank	priority	saturation_state	reviewer_control_state	thin_family_flag	paper_safe_claim_now	main_limitation_to_state	next_verification_move	exact_upgrade_trigger	recommended_table_cell	visualization_hook	paper_thesis_use	evidence_anchor
2026-06-07T10:01:54Z	limen-boost-049	Table 1 source-family claim ceilings	sf01	AI Incident Database (AIID)	13	P0	seeded	bounded_comparator_use_now	no	Strong for overlap, residual-gap detection, and source-baseline discussion; weak alone for legal/compliance or incident-truth claims	machine-readable discovery route [origin_restricted_graphql_and_partial_field_manifest]	Verify one snapshot-manifest or single-record machine-readable extraction that ties public page labels to field names without broad harvesting	one_snapshot_or_field-manifest_appendix_verified	appendix_or_background_row	Source-family saturation map; comparator-overlap panel; interoperability readiness board	Table 1 companion for the first LIMEN paper; thesis methods/source-strategy chapter; dashboard legend or tooltip discipline for source-family saturation.	results/source-map/source-family-publication-route-support-v0.1.tsv; results/source-map/source-family-coverage-map-v0.1.tsv; results/source-map/source-family-hardening-priority-v0.1.tsv; results/boost/limen-boost-001/blocked-source-priority-register.tsv
2026-06-07T10:01:54Z	limen-boost-049	Table 1 source-family claim ceilings	sf02	OECD AI Incidents Monitor (OECD AIM)	12	P0	seeded	bounded_comparator_use_now	no	Strong for comparator metadata, vocabulary bridges, and country/language context; still insufficient alone for strong factual or legal claims	Strong for comparator metadata, vocabulary bridges, and country/language context; still insufficient alone for strong factual or legal claims	Trace one public detail page back to a stable list/discovery route and document the minimal safe metadata subset	stable_list_to_detail_discovery_route_documented	appendix_or_background_row	Country/language coverage comparison; vocabulary bridge; incident-monitor interoperability board	Table 1 companion for the first LIMEN paper; thesis methods/source-strategy chapter; dashboard legend or tooltip discipline for source-family saturation.	results/source-map/source-family-publication-route-support-v0.1.tsv; results/source-map/source-family-coverage-map-v0.1.tsv; results/source-map/source-family-hardening-priority-v0.1.tsv
2026-06-07T10:01:54Z	limen-boost-049	Table 1 source-family claim ceilings	sf03	AI Vulnerability Database (AVID)	9	P0	seeded	reviewer_safe_appendix_now_hold_until_second_direct_join_or_exact_negative_rule	no	Strong for technical mechanism, vulnerability metadata, and one already-populated direct security-row bridge with an explicit reviewer-safe direct-versus-placeholder control surface; still weak for general incident census or for treating placeholder rows as solved joins	Strong for technical mechanism, vulnerability metadata, and one already-populated direct security-row bridge; not a general incident census and not a license to collapse placeholder rows into solved joins	Treat the current AVID appendix as the reviewer-safe control surface; only add a second canonical direct join or an exact negative-match rule if justified, otherwise return effort to sf08/sf09 authority hardening	second_canonical_AVID_join_or_exact_negative_match_rule_added	appendix_or_background_row	Security-edge-case bridge; direct-versus-placeholder join panel; reviewer-safe interoperability appendix	Table 1 companion for the first LIMEN paper; thesis methods/source-strategy chapter; dashboard legend or tooltip discipline for source-family saturation.	results/source-map/source-family-publication-route-support-v0.1.tsv; results/source-map/source-family-coverage-map-v0.1.tsv; results/source-map/source-family-hardening-priority-v0.1.tsv
2026-06-07T10:01:54Z	limen-boost-049	Table 1 source-family claim ceilings	sf04	MITRE ATLAS	8	P0	seeded	reviewer_safe_appendix_now_hold_until_exact_case_study_or_stronger_anchor	no	Strong for security-technique structure, mitigation framing, and already-operational technique-context joins with a reviewer-safe appendix; still weak for non-security completeness or direct case-study equivalence claims	Strong for security-technique structure, mitigation framing, and already-operational technique-context joins; weak for non-security completeness or direct case-study equivalence claims	Treat the current ATLAS appendix as the reviewer-safe control surface; only add a defensible exact case-study ID or stronger independent anchor for the cautious rows if justified, otherwise return effort to sf08/sf09 authority hardening	defensible_exact_case_study_ID_or_stronger_cautious_row_anchor_added	appendix_or_background_row	Security/agentic crosswalk; technique-coverage heatmap; case-context-versus-cautious-context panel	Table 1 companion for the first LIMEN paper; thesis methods/source-strategy chapter; dashboard legend or tooltip discipline for source-family saturation.	results/source-map/source-family-publication-route-support-v0.1.tsv; results/source-map/source-family-coverage-map-v0.1.tsv; results/source-map/source-family-hardening-priority-v0.1.tsv
2026-06-07T10:01:54Z	limen-boost-049	Table 1 source-family claim ceilings	sf05	MIT AI Risk Repository	10	P0	seeded	methods_taxonomy_only_now	no	Strong for methods, taxonomy, and harm-definition claims; invalid as event evidence	Strong for methods, taxonomy, and harm-definition claims; invalid as event evidence	Extract one compact manual risk-category bridge for the most used LIMEN harm labels before any stronger comparative language	manual_risk_category_bridge_for_core_LIMEN_labels_added	appendix_or_background_row	Taxonomy heatmap; residual-category overlay; methods table on definition-layer comparators	Table 1 companion for the first LIMEN paper; thesis methods/source-strategy chapter; dashboard legend or tooltip discipline for source-family saturation.	results/source-map/source-family-publication-route-support-v0.1.tsv; results/source-map/source-family-coverage-map-v0.1.tsv; results/source-map/source-family-hardening-priority-v0.1.tsv
2026-06-07T10:01:54Z	limen-boost-049	Table 1 source-family claim ceilings	sf06	CSET AI Harm taxonomy / overview	5	P1	seeded	appendix_only_manual_overlay_now	no	Strong for appendix-only harm-posture interpretation and related-work positioning; invalid as event evidence or ingest-ready comparator	conceptual comparator family [appendix_only_manual_overlay_seeded_but_still_non_ingest]	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed	second_low_drift_review_pass_or_explicit_appendix_only_freeze_recorded	main_table_now	Harm-taxonomy note; conceptual-support panel; related-work table	Table 1 companion for the first LIMEN paper; thesis methods/source-strategy chapter; dashboard legend or tooltip discipline for source-family saturation.	results/source-map/source-family-publication-route-support-v0.1.tsv; results/source-map/source-family-coverage-map-v0.1.tsv; results/source-map/source-family-hardening-priority-v0.1.tsv; results/boost/limen-boost-001/blocked-source-priority-register.tsv
2026-06-07T10:01:54Z	limen-boost-049	Table 1 source-family claim ceilings	sf07	Regulator and enforcement sources	6	P0	seeded	bounded_authoritative_claims_now	no	Best current family for upgrading weak media or company claims into paper-grade bounded statements	Best current family for upgrading weak media or company claims into paper-grade bounded statements	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate	one_non_US_non_UK_follow_through_row_added	appendix_or_background_row	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map	Table 1 companion for the first LIMEN paper; thesis methods/source-strategy chapter; dashboard legend or tooltip discipline for source-family saturation.	results/source-map/source-family-publication-route-support-v0.1.tsv; results/source-map/source-family-coverage-map-v0.1.tsv; results/source-map/source-family-hardening-priority-v0.1.tsv
2026-06-07T10:01:54Z	limen-boost-049	Table 1 source-family claim ceilings	sf08	Court and tribunal records	1	P0	seeded	freeze_until_open_court_text_or_materially_different_caption_source	yes	Critical for hostile-reviewer resilience where regulator or agency summaries alone are too thin	LIMEN-000002 / EEOC-iTutorGroup [access_barrier_to_court_originating_record]; LIMEN-000005 / DOJ-Nate indictment PDF [ocr_or_image_text_barrier]	Either capture one open complaint, consent decree, docket entry, or judicial order text for the iTutorGroup row from a genuinely different public court-facing surface or clearly labeled open mirror, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix; reuse the existing route ledgers so failed EEOC newsroom/node/search paths and same-host OCR variants are not repeated	open_iTutorGroup_court_document_or_materially_different_public_exact_caption_source_added	main_table_now	Regulator-to-court escalation matrix; procedural-posture timeline	Table 1 companion for the first LIMEN paper; thesis methods/source-strategy chapter; dashboard legend or tooltip discipline for source-family saturation.	results/source-map/source-family-publication-route-support-v0.1.tsv; results/source-map/source-family-coverage-map-v0.1.tsv; results/source-map/source-family-hardening-priority-v0.1.tsv; results/boost/limen-boost-001/blocked-source-priority-register.tsv
2026-06-07T10:01:54Z	limen-boost-049	Table 1 source-family claim ceilings	sf09	Public-sector registers and procurement	2	P1	seeded	freeze_until_buyer_side_or_second_register_upgrade	yes	Strong for disclosure-surface heterogeneity and public-body-existence claims; still weak for buyer-side traceability, capability, legality, or impact claims	Helsinki parking chatbot register row / procurement companion [family_level_procurement_companion_not_exact_system_proof]	Add one buyer-side tender, award, contract, or public impact-assessment companion for either register row, or keep the family bounded at register-plus-non-register disclosure surfaces	buyer_side_tender_award_contract_or_public_impact_assessment_companion_added	main_table_now	Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel	Table 1 companion for the first LIMEN paper; thesis methods/source-strategy chapter; dashboard legend or tooltip discipline for source-family saturation.	results/source-map/source-family-publication-route-support-v0.1.tsv; results/source-map/source-family-coverage-map-v0.1.tsv; results/source-map/source-family-hardening-priority-v0.1.tsv; results/boost/limen-boost-001/blocked-source-priority-register.tsv
2026-06-07T10:01:54Z	limen-boost-049	Table 1 source-family claim ceilings	sf10	Company and platform notices	11	P1	seeded	bounded_notice_timing_only_now	no	Useful for timing and remediation claims; should rarely stand alone for incident characterization	Useful for timing and remediation claims; should rarely stand alone for incident characterization	Verify missing direct vendor remediation details for Langflow and CrewAI while preserving the advisory-vs-issue distinction	missing_direct_vendor_remediation_details_verified_for_Langflow_or_CrewAI	appendix_or_background_row	Remediation timeline overlay; issuer-vs-independent-source comparison table	Table 1 companion for the first LIMEN paper; thesis methods/source-strategy chapter; dashboard legend or tooltip discipline for source-family saturation.	results/source-map/source-family-publication-route-support-v0.1.tsv; results/source-map/source-family-coverage-map-v0.1.tsv; results/source-map/source-family-hardening-priority-v0.1.tsv
